PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/15/2019,02:01:03 PM,1,1,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2331306666,-1.84517996561,1.89079142162,2048.6442691,168.766777951,11:45,6.04427068232,-0.873895078228,6.04125811389,-13.5867910455,21.594308748,-4.29537136671,3.20231987855,0.519214882808,80.5466620514,-4.4180525527,1.0754538416,0.426900068256,,,,,,,,,,,,2.93303586358,12.3283083002,0.728998790245,50.0,5.89326185299,-4.14706709512,-129.695603818,-4.60597545492,4.93143231138,30.3885099042,-11.4459631446,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,0a842e51-3154-11e9-bc2f-484d7ed78e54,88.2932079985,,,8.68646861514,-0.981245556804,3.01414313732,-0.563320640738,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
2,02/15/2019,02:01:14 PM,1,2,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.3415920427,-3.04212767748,0.544631731735,2119.32403515,168.794854593,11:45,6.02658197,-0.715686959929,6.0575714703,-12.5171925886,21.6219792538,-4.28964375448,2.16528816083,-0.569098078783,82.0997278436,-5.40008752712,-0.267914627114,0.420530993493,,,,,,,,,,,,2.49318465631,12.6561120532,0.675752468352,50.0,5.78376958671,-1.1119815531,-131.311984562,-7.37650272347,4.32372157764,29.5604559842,-10.2256121922,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,112edab4-3154-11e9-bc2f-484d7ed78e54,89.6304365298,,,8.24186419907,1.19878843988,2.14467052921,0.570124256119,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
3,02/15/2019,02:01:27 PM,1,3,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.0649106811,-2.7866973953,1.1541595427,2122.81603419,169.459946209,11:45,5.99116265687,-0.864123395908,5.95629213576,-13.6275661977,19.9732109201,-3.72213814405,2.26901834499,-0.103968801903,83.0728152691,-5.34507421975,0.451988955238,0.41720180555,70.3494145852,43.914325151,-142.910806051,4411.24720018,-95.6632570145,57.2195316325,-54.3002449374,198.16043131,56.7886608111,-154.934784369,3.52373352051,2.34260034579,11.5993696006,0.77466375131,50.0,5.76231461753,-2.54528754608,-132.387556478,-6.89153237583,4.14696457412,28.931558306,-11.640381812,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,19869472-3154-11e9-bc2f-484d7ed78e54,90.3456696968,57.2819374707,0.84641971411,7.99209541202,1.47018911883,2.27402470344,0.10439141438,1.52844177719,2.27947034061,0.104852243182,686a04e5-3152-11e9-bc2f-484d7ed78e54
4,02/15/2019,02:01:43 PM,1,4,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,1,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,78.2852097029,1.1429332818,0.579105682391,2787.10443782,352.068347059,5:45,6.0290727264,-0.898266881963,5.50731089289,-64.7064709318,-17.3594520019,2.41239634088,1.70579795846,-0.155704911317,70.562956584,-11.001238429,1.03696463332,0.495242421469,,,,,,,,,,,,-1.08034131557,-9.72507579406,0.846234469446,50.0,6.08666890929,-1.22012769706,-113.622972283,0.344673920219,-1.36958518606,26.6854692262,-44.5028557111,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,22be5d98-3154-11e9-bc2f-484d7ed78e54,76.1089415752,,,7.7222531189,2.44590523877,1.90337324411,0.174239708752,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
5,02/15/2019,02:02:00 PM,1,5,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.3496990026,-2.68482848258,1.24918008359,2076.51647941,177.616028682,12:00,5.99470608899,-0.810205067008,6.04237398714,-14.3967783258,20.1645024332,-0.840844978345,2.30710400993,0.276326264386,81.0877886003,-5.41503200334,1.08893902083,0.423122804304,71.7799159733,30.4269960454,-153.499639948,3557.74540525,-102.084254143,32.7250587585,-40.9728878857,187.525484015,48.2173200951,-161.551517752,2.61530456543,0.879287938666,11.8937453308,0.713447726146,50.0,5.77794762538,-2.83487146002,-131.21994997,-6.60818967701,1.50216490819,32.9912431583,-11.8549174991,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,2cdd5cdd-3154-11e9-bc2f-484d7ed78e54,89.0814112066,33.2177996945,0.57797804873,9.26191040232,1.62116768985,2.32647033626,-0.272437832419,1.55067524928,2.31979972093,-0.273778487478,686a04e5-3152-11e9-bc2f-484d7ed78e54
6,02/15/2019,02:02:16 PM,1,6,"Lonsway, Seth",8898952,Left,OSU_BUC,"Del Castillo, Christian",8900471,Left,SET_PIR,Windup,1,Top,0,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.0478932646,2.08647149253,1.18447792151,2789.55011504,9.06867299857,6:15,5.97397719778,-0.767837725929,5.85807881401,-62.2840023911,-15.7264008691,-2.50315590913,2.72316089862,0.124053638711,70.8193333557,-9.64734485229,0.709244418057,0.491096476098,,,,,,,,,,,,1.74959637743,-9.2068842499,0.673295648243,50.0,6.10736888686,-2.27363503176,-113.375600167,2.37674927432,2.23413541668,24.3909562688,-43.930717949,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,362a99e9-3154-11e9-bc2f-484d7ed78e54,76.7514701401,,,7.22855990887,0.0889615094598,2.49339601346,-0.140326731544,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
7,02/15/2019,02:02:39 PM,2,1,"Lonsway, Seth",8898952,Left,OSU_BUC,"Dabrio,  Nick",8880354,Right,SET_PIR,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.7076135777,-2.23544447366,0.847630014338,2132.77181182,176.152877479,11:45,6.00455228155,-0.745893685119,5.98575933902,-11.7266337868,22.4768268078,-1.51364023219,2.95440041,-0.0864487933564,81.637670248,-4.45630456564,0.559999664123,0.420926766084,,,,,,,,,,,,1.09744064219,12.9367276171,0.67993119792,50.0,5.82189594068,-1.9017780538,-131.823855024,-5.52258790254,1.90025226625,32.2015006509,-9.77370631743,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,42a70b12-3154-11e9-bc2f-484d7ed78e54,89.5461623212,,,9.06994332969,-1.13299536545,2.75286618402,0.0618918013707,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
8,02/15/2019,02:02:52 PM,2,2,"Lonsway, Seth",8898952,Left,OSU_BUC,"Dabrio,  Nick",8880354,Right,SET_PIR,Windup,1,Top,1,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.8614721533,-2.87312338417,0.426706230987,2159.22992384,182.626287366,12:00,5.99129011096,-0.695314918017,6.11356216238,-12.8102809767,20.1927175317,0.927653015836,2.26526307935,-0.223513491721,83.3109266517,-5.29201835031,0.602789904985,0.413474012112,75.7065448814,48.5017373736,117.258635003,4393.32813189,,,,,,,,-0.375607243399,11.876479062,0.662161281801,50.0,5.76444507542,-1.02411608726,-133.536475652,-7.11073085002,-0.672080927816,31.1876165461,-10.9232468015,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,4b99b305-3154-11e9-bc2f-484d7ed78e54,91.1602069707,,,8.55054550153,0.679465517246,2.19672083225,0.215738965883,0.748395828432,2.20315127503,0.216467466191,686a04e5-3152-11e9-bc2f-484d7ed78e54
9,02/15/2019,02:03:07 PM,2,3,"Lonsway, Seth",8898952,Left,OSU_BUC,"Dabrio,  Nick",8880354,Right,SET_PIR,Windup,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.407403513,-1.36167153681,-0.636439543887,2060.98588568,178.570618018,12:00,6.00410204249,-1.01341183451,5.88794842932,-10.547606584,22.9488472137,-0.573419236164,3.86059217734,-1.65211525085,82.9144298988,-3.34982811778,-0.744714328647,0.416553640286,,,,,,,,,,,,0.120350976583,12.8008828516,1.06497485614,50.0,5.8884158994,1.4961235315,-132.970650509,-3.51095503753,0.214017342307,30.3160867375,-9.41053632869,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,5457eb9f-3154-11e9-bc2f-484d7ed78e54,90.4862492505,,,8.49297361422,-1.85018281925,3.66528208585,1.69480092343,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
10,02/15/2019,02:03:21 PM,2,4,"Lonsway, Seth",8898952,Left,OSU_BUC,"Dabrio,  Nick",8880354,Right,SET_PIR,Windup,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5548960525,-4.17491377111,-1.3627838618,2034.98658397,164.419999705,11:30,5.9261199081,-0.79449673254,6.02786843079,-12.6620164847,21.5115903148,-6.00700951965,0.997049515902,-2.55725016963,82.2797364308,-6.54790473737,-2.49972076694,0.420743027298,,,,,,,,,,,,2.84981583252,12.9488964242,0.904140578218,50.0,5.59272116441,3.31779951774,-131.40476995,-9.99879610004,4.94037242934,30.0617824197,-9.72615204527,OSU_BUC,SET_PIR,CharlotteSportsPark,NCAA,BIG10,20190215-CharlotteSportsPark-1,5ca61c83-3154-11e9-bc2f-484d7ed78e54,89.5852671956,,,8.27515962166,-1.83413123354,0.61867128368,2.7014859672,,,,686a04e5-3152-11e9-bc2f-484d7ed78e54
