PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/15/2019,06:02:27 PM,1,1,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0555198595,-3.29704380948,3.24702116785,2396.66437643,151.671437483,11:00,6.04774076852,-0.973682311066,5.32298144395,-14.967822285,20.1346917165,-10.8721575318,1.69848448794,1.17017404268,81.6350078788,-6.09757474691,1.20482790741,0.426423007622,,,,,,,,,,,,6.85970141894,11.7973284072,0.687647425548,50.0,5.73861307973,-7.089169308,-131.822355964,-8.14226750608,11.8390742066,33.0314402129,-11.8131847342,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,bddc74e4-3175-11e9-9e6c-484d7ece3d89,88.3919860031,,,9.42051198069,0.62696974689,1.61376709227,-1.18653668006,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
2,02/15/2019,06:02:42 PM,1,2,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2094438714,-4.30190216217,3.43290825358,2378.51714247,153.754716215,11:15,6.15576694753,-0.893600093581,5.39287433397,-13.6180077638,21.4643372697,-10.5991065128,0.974954644891,1.44382549099,81.5586354277,-6.85204754873,1.43698276096,0.426300484378,,,,,,,,,,,,6.82689190409,12.9181972965,0.594518193579,50.0,5.76170681132,-7.53495064295,-131.853220497,-10.4175888367,11.7509810864,33.8493267787,-9.9382355051,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,c6cf330e-3175-11e9-9e6c-484d7ece3d89,88.4173907897,,,9.65080844367,0.4729872869,0.861079044131,-1.46715286418,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
3,02/15/2019,06:02:57 PM,1,3,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.7165428305,-2.49134895826,2.28395056879,2329.62006513,141.286547562,10:45,6.07469801795,-0.853439902096,5.50309373022,-18.0829626473,16.9666103563,-13.6257738883,2.23471909339,0.148008438052,81.3389558321,-5.8890873304,-0.288153446367,0.426101324425,,,,,,,,,,,,8.05623787511,9.91314827562,0.663120162006,50.0,5.84530374324,-4.7745514881,-131.564248443,-6.35619784979,13.832681828,33.2163916601,-15.1530235897,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,cfc16cb3-3175-11e9-9e6c-484d7ece3d89,88.4587171184,,,9.37758699836,-1.73097317685,1.90345891107,-0.1272161909,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
4,02/15/2019,06:03:12 PM,1,4,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,2,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.3679117372,1.83535444769,1.08587817448,2597.78432764,315.650593499,4:30,6.24011084253,-0.796658490333,4.41215347635,-66.277606622,-13.3343724255,12.9862754248,2.46913740235,1.32177135646,68.2684977565,-10.3225791552,3.49004001911,0.523692980028,,,,,,,,,,,,-6.3137873682,-7.49463532069,0.669165598839,50.0,6.37332613979,-2.50681595658,-109.178307546,1.26676470538,-7.45250463966,23.1800365542,-41.0203718871,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,deb8ab26-3175-11e9-9e6c-484d7ece3d89,71.9741870879,,,7.09941398073,-0.911354547803,2.03157358146,-1.46625222105,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
5,02/15/2019,06:03:31 PM,1,5,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1829443327,-0.358806948037,2.49073190667,2201.39928107,150.815712933,11:00,6.07931133008,-1.0304311592,5.47168456216,-15.4983859758,19.0927201964,-10.6818552042,4.45172839053,0.411414364135,81.7426631684,-3.27658119052,0.478984733627,0.423305336473,,,,,,,,,,,,6.52086568239,10.3070439608,0.818850782951,50.0,6.03749824927,-5.38205662277,-132.363169148,-1.37465102067,11.3655656398,32.8768562707,-14.2093502489,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,ea226b1e-3175-11e9-9e6c-484d7ece3d89,89.0429986902,,,9.44028116422,-2.04320421214,4.24686822557,-0.435668080964,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
6,02/15/2019,06:03:57 PM,1,6,"Detmers, Reid",1210333,Left,LOU_CAR,"Woodworth, Michael",1000027197,Right,UCO_HUS,Windup,1,Top,0,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,90.749725119,-0.562191951105,0.357860829851,2193.57303634,153.699571099,11:00,6.07632245927,-1.02338366475,5.39820243787,-14.5150243942,20.4458851516,-10.1214224817,4.33995647303,-1.53152857781,81.4410986521,-3.2896841931,-1.54699796811,0.425562037691,,,,,,,,,,,,5.50518808696,11.0678923504,0.998430647978,50.0,6.01636745909,-0.464750415274,-131.834304435,-1.8080138629,9.51838040358,32.6249592631,-13.0378432183,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,f38c82bc-3175-11e9-9e6c-484d7ece3d89,88.5708150229,,,9.30862646685,-2.24964932679,4.12202977626,1.63550436315,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
7,02/15/2019,06:04:29 PM,2,1,"Detmers, Reid",1210333,Left,LOU_CAR,"Prato, Anthony",8889986,Right,UCO_HUS,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4640096031,-2.04618621297,1.43440319224,2237.70678649,140.332591879,10:45,5.87731544195,-1.45428559919,5.27491285072,-18.4307178089,16.8109391909,-13.9680418536,2.41839717051,-1.27093733285,81.7409650547,-5.48217760145,-1.18162181878,0.427267321704,,,,,,,,,,,,7.84226350698,9.53903751807,1.33347013905,50.0,5.67742474309,-2.78356912172,-131.327353463,-5.35973752323,13.528215184,30.9908910958,-15.7188309935,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,0c6dabdc-3176-11e9-9e6c-484d7ece3d89,88.2173164351,,,8.72304454834,-1.13290459088,2.16935785437,1.32677775921,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
8,02/15/2019,06:04:49 PM,2,2,"Detmers, Reid",1210333,Left,LOU_CAR,"Prato, Anthony",8889986,Right,UCO_HUS,Stretch,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.3830864501,-0.704611077342,1.77534451695,2215.17407949,147.563716869,11:00,6.09926929077,-1.01691872897,5.39104881768,-15.1025569571,20.0689264112,-12.7749780412,4.18008951336,-0.417312606527,81.3549385808,-3.53749772125,-0.624019050683,0.426841719694,,,,,,,,,,,,7.35728582987,10.8939701304,0.867362480165,50.0,6.02605793476,-3.61622537112,-131.272118547,-2.15030312622,12.6594533828,31.398172518,-13.4291322641,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,17562b10-3176-11e9-9e6c-484d7ece3d89,88.3052775349,,,9.02814786926,-2.27634328137,3.94432391926,0.463838823953,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
9,02/15/2019,06:06:00 PM,2,3,"Detmers, Reid",1210333,Left,LOU_CAR,"Prato, Anthony",8889986,Right,UCO_HUS,Stretch,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.002925649,-2.53009527203,1.48845663517,2185.63353951,147.956508356,11:00,6.02727868755,-1.05092255688,5.97836792549,-16.5689922816,18.2016561293,-11.4133402009,2.29922374449,-0.622165814826,81.1434252909,-5.66187205214,-0.679759008123,0.4244024801,,,,,,,,,,,,6.68042004137,10.7049773422,0.939719370549,50.0,5.81837137798,-3.03362742523,-130.743155953,-6.30703600842,11.3820322524,31.5966234289,-13.9350161879,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,42a9f24b-3176-11e9-9e6c-484d7ece3d89,88.8128092753,,,8.85950035813,-1.07694537656,2.04818124298,0.654372762758,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
10,02/15/2019,06:06:37 PM,2,4,"Detmers, Reid",1210333,Left,LOU_CAR,"Prato, Anthony",8889986,Right,UCO_HUS,Stretch,1,Top,0,2,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9678246731,-2.6106266956,3.55178234514,2284.54095647,142.66963762,10:45,6.05588077727,-1.05989376814,5.62674258761,-15.102956722,19.3695460796,-14.7965859809,2.35527432426,1.02503237723,82.177021884,-5.44528546343,0.769231054385,0.422579014675,,,,,,,,,,,,9.02683436431,11.185994882,0.766820251215,50.0,5.82376687652,-7.67833570056,-131.888772087,-6.54361428312,15.7273530332,30.8898810315,-12.6848141873,LOU_CAR,UCO_HUS,JokerMarchant,NCAA,ACC,20190215-JokerMarchant-1,55f3b0ee-3176-11e9-9e6c-484d7ece3d89,89.1960443186,,,8.79080278903,-2.86019547287,1.93752058115,-1.07263497909,,,,c1ea0c92-3171-11e9-9e6c-484d7ece3d89
