PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/15/2019,01:00:28 PM,1,1,"Abel, Kevin",1000018168,Right,ORE_BEA,"Watari, Justin",8901018,Left,MEX_LOB,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8836878084,-4.17367545691,-2.62743871421,2481.30963818,193.598037375,12:30,6.11414254887,0.892312120469,6.1221720399,-11.5639023047,22.3807372536,5.42137870744,1.2816557389,-1.08627427854,82.2157201037,-6.35505642082,-1.59828262959,0.419331144146,,,,,,,,,,,,-3.77543758223,13.5086636436,-0.694228980495,50.0,5.78833928919,5.87711531565,-131.776303516,-9.98901795652,-6.56205873751,31.0193254052,-8.69474520046,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,5795d7c5-315c-11e9-9d1c-fc7774fe1bbc,89.8868997625,,,8.66796770473,-0.422481609582,1.07530548701,1.1369171633,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
2,02/15/2019,01:00:45 PM,1,2,"Abel, Kevin",1000018168,Right,ORE_BEA,"Watari, Justin",8901018,Left,MEX_LOB,Undefined,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.7572192411,-2.52806683703,-1.55929124828,2507.34131531,191.036807406,12:15,6.10571038436,0.847526109782,6.15411440893,-11.6330351874,21.5284456916,4.20514178831,2.79850771803,-0.242857432916,82.7985827037,-4.73427382248,-0.759002413938,0.414465586592,70.9876056605,50.4555923696,-154.012122624,3718.08659795,-101.624979024,65.1745451103,-42.0993205464,194.568228615,45.9896777205,-159.20198427,3.67109924316,-2.7917944281,12.5621865134,-0.731374460347,50.0,5.90781375148,3.49749087171,-133.348230631,-6.25613534339,-4.9589365831,32.2910034815,-9.86041198001,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,622742ae-315c-11e9-9d1c-fc7774fe1bbc,90.9421137496,65.5162320889,0.750774069881,8.95863653735,2.2843919415,2.8700549937,0.231245659605,2.02625428388,2.8488376819,0.234724285675,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
3,02/15/2019,01:01:05 PM,1,3,"Abel, Kevin",1000018168,Right,ORE_BEA,"Watari, Justin",8901018,Left,MEX_LOB,Undefined,1,Top,0,1,1,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.462527591,-1.19204106806,-2.08545948728,2426.79864859,237.181129618,2:00,5.85305033385,1.43262748363,6.20753342092,-31.2114636336,9.60522107773,14.9531168493,2.15112387321,0.753289750558,74.9975506886,-7.09461208701,0.758757936794,0.45982267301,,,,,,,,,,,,-8.81957014292,5.61997568951,-1.28381336574,50.0,5.74803398603,3.94695481577,-119.931979413,-3.37443738425,-12.712982139,25.4317989611,-24.0731264701,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,6bc7ee9c-315c-11e9-9d1c-fc7774fe1bbc,81.9715484545,,,7.4649769024,-0.950346166902,1.8500589798,-0.787721932735,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
4,02/15/2019,01:01:27 PM,1,4,"Abel, Kevin",1000018168,Right,ORE_BEA,"Watari, Justin",8901018,Left,MEX_LOB,Undefined,1,Top,0,1,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,83.2395388026,-2.44653525261,-2.59296912718,2578.64569298,222.965384896,1:30,5.78454266163,1.33829983004,6.47017061379,-26.3185502819,13.3221239966,12.442756471,1.34107273802,-0.00748395860846,75.8853910988,-7.4338811312,-0.218855482978,0.453150052782,81.6612037116,7.07577841976,32.6494548308,2650.42529457,,,,107.168169652,106.54519563,35.6786519007,1.01054992676,-7.64545630914,8.08726815729,-1.16136335727,50.0,5.60042407287,5.14487116822,-121.007283597,-5.88438018182,-11.2469728215,25.3474729884,-20.2771412317,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,7b56f9a3-315c-11e9-9d1c-fc7774fe1bbc,83.1785769189,4.69447585266,1.00343983847,7.35414770377,3.17133245296,1.56705084916,-0.000622616729446,2.95016490087,1.53889348197,0.000553368034318,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
5,02/15/2019,01:02:05 PM,2,1,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.3695050942,-2.79071110781,-1.13750520829,2467.24988397,197.483773786,12:30,6.10991348154,0.836966523441,6.21182739467,-15.3849831047,18.7791500374,5.9253148128,2.25006761876,0.280935673913,81.541270295,-5.7091910154,-0.00739866756256,0.420684703756,69.2922903557,43.8336569211,-132.082954859,4113.71182982,-81.921694837,55.1440945626,-73.4086839359,194.572463544,46.7427215996,-141.904015473,3.45123596191,-3.61113332951,11.183107244,-0.754772918459,50.0,5.89317887939,2.426088495,-131.325893918,-6.8740763114,-6.21064439148,31.7530729829,-12.9406678012,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,8f929957-315c-11e9-9d1c-fc7774fe1bbc,89.5976872575,55.3325991414,0.695360936045,8.82823479921,1.75449818876,2.2837775312,-0.281004290004,1.71284503064,2.27962825512,-0.280993130311,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
6,02/15/2019,01:02:29 PM,2,2,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,0,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,81.851802904,-3.08063724472,-2.65299026747,2418.86454916,248.630423387,2:15,5.86944854303,1.24081684359,6.20814614807,-35.9022542354,5.35607013174,13.7876115518,0.0288438988412,-0.0602684579267,75.4168311783,-9.79404925764,-0.042066768945,0.462303638283,,,,,,,,,,,,-8.27906966405,3.79994142303,-1.04890147741,50.0,5.62010842375,5.12322481356,-118.911156225,-7.41352582378,-11.8291288063,23.2490314686,-26.7446949728,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,9f5614b7-315c-11e9-9d1c-fc7774fe1bbc,81.5316458705,,,6.43497172562,1.38005899041,0.0225228340957,0.06029466919,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
7,02/15/2019,01:02:53 PM,2,3,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,1,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,82.0258645361,-4.14221261071,-3.17258011542,2483.01453288,252.225290894,2:30,5.82270209629,1.33720115909,6.35419499238,-35.0451993205,5.70774654254,17.9240710081,-0.922314261321,-0.0918300780065,76.1245264696,-10.6691756431,0.219468677566,0.459463505935,,,,,,,,,,,,-10.6645230944,4.23222162245,-1.11593155884,50.0,5.5053247025,6.10721708411,-119.044243316,-9.59507041051,-15.3678797529,21.9562093064,-26.07529736,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,aa6acd0f-315c-11e9-9d1c-fc7774fe1bbc,82.0356264083,,,5.90133806645,6.7249604755,0.0427276166327,0.0942518798502,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
8,02/15/2019,01:03:40 PM,2,4,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.1382482609,-1.87564723174,-0.403943923982,2501.3907622,201.392747636,12:45,6.07115385862,0.991165448045,6.33001598227,-13.2082990406,19.3985936878,7.61140351482,3.24285801073,1.25352404071,83.2052852054,-4.38967548206,1.04963702083,0.41098524064,,,,,,,,,,,,-4.31191390309,11.2579825631,-0.965372567384,50.0,5.92833352042,0.712332199535,-134.049565393,-4.7938570646,-7.74031012896,32.6150876539,-11.9648610766,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,c5429942-315c-11e9-9d1c-fc7774fe1bbc,91.7122387715,,,8.93296305547,-1.12978571289,3.04416038232,-1.30201616745,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
9,02/15/2019,01:04:01 PM,2,5,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,3,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.9138785629,-2.31587821778,-1.0490802943,2471.33510936,197.752932868,12:30,6.11563901611,0.925449066511,6.24867531183,-11.2760542199,21.3668170108,6.85060405987,3.03888486733,0.528827050008,83.6366146227,-4.44968341511,0.251634852684,0.411211919043,,,,,,,,,,,,-4.05263976026,12.3616790361,-0.85098728136,50.0,5.93810227765,2.23478001891,-133.720725107,-5.76089398789,-7.30343725184,30.1018037609,-9.89653254008,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,d65d52ca-315c-11e9-9d1c-fc7774fe1bbc,91.6616828831,,,8.27726394017,-1.13655842298,2.83751464742,-0.541669372908,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
10,02/15/2019,01:04:24 PM,2,6,"Abel, Kevin",1000018168,Right,ORE_BEA,"Schilling, Hayden",8894154,Right,MEX_LOB,Undefined,1,Top,1,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,92.2777677081,-3.54857768888,-2.74149055401,2399.48449259,191.250521539,12:30,6.08809712474,0.803698078188,6.31499654646,-12.1501230449,20.1742429317,4.01914298557,1.79947884358,-1.38816320694,84.3394289037,-5.83893085394,-1.98014690938,0.40920084886,,,,,,,,,,,,-2.97056906877,12.0473816168,-0.605238299303,50.0,5.82241568207,6.29290684555,-134.018233439,-8.69685952165,-5.39814250024,29.1887182968,-10.2814477729,ORE_BEA,MEX_LOB,Surprise,NCAA,PAC12,20190215-Surprise-1,e01a9914-315c-11e9-9d1c-fc7774fe1bbc,92.1121660088,,,7.93833880436,-0.638146615104,1.58736291117,1.45859095093,,,,8c15440b-315b-11e9-9d1c-fc7774fe1bbc
