PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/15/2019,11:00:50 AM,1,1,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Young, Wyatt",1000054476,Left,PEP_WAV,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.0895012307,-1.33738595086,-1.90890122815,2367.72754086,191.199333695,12:15,5.77228997335,2.70567022919,5.88724585019,-21.1945505142,14.1172174233,2.80168728188,2.7634706541,1.16617498368,80.9652342827,-5.32492659034,-1.38012349242,0.427692120522,,,,,,,,,,,,-2.08423150913,8.02605258321,-2.55353812492,50.0,5.6523924984,4.22661487087,-129.531915164,-3.71071670937,-3.51547273972,28.8859045943,-18.6365077697,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,a0af5a39-314b-11e9-9e8f-7c67a2932f5a,88.1296959017,,,8.12426694803,-0.184450396699,2.61223030825,-1.12785982518,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
2,02/15/2019,11:01:08 AM,1,2,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Young, Wyatt",1000054476,Left,PEP_WAV,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5191927154,-1.72712954044,-1.54682539698,2364.47443679,191.417438897,12:30,5.78996857532,2.72117298474,5.96467530125,-22.1667891931,12.099947028,2.45011664499,2.34045333406,1.49094623342,81.929447144,-5.9104064807,-1.08237420306,0.421315938663,,,,,,,,,,,,-1.81584092743,7.10695134257,-2.60005783488,50.0,5.64090107099,3.47422098338,-131.581398741,-4.68352127406,-3.14330284931,31.211068921,-19.8715940476,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,a9a066ce-314b-11e9-9e8f-7c67a2932f5a,89.4634478836,,,8.5897455714,-0.263918384639,2.16414920208,-1.45944798309,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
3,02/15/2019,11:01:26 AM,1,3,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Young, Wyatt",1000054476,Left,PEP_WAV,Windup,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7203924906,-1.77090538438,-1.18325973119,2205.5872862,192.504886528,12:30,5.82473073647,2.55887031428,6.23174906097,-16.3594907191,19.0707984155,4.23698882729,2.82702754217,1.82031847221,79.8603766461,-4.88457890155,-0.37414710545,0.428409276891,,,,,,,,,,,,-2.71085567888,11.0359712044,-2.47280015466,50.0,5.68467051217,2.53782487212,-129.007780588,-4.47907617042,-4.49038845069,31.1213427957,-13.8935484086,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,b6aa9949-314b-11e9-9e8f-7c67a2932f5a,87.9821669472,,,8.86001584446,-0.685877540641,2.64464259132,-1.80728761669,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
4,02/15/2019,11:01:47 AM,1,4,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Young, Wyatt",1000054476,Left,PEP_WAV,Windup,1,Top,0,2,1,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,86.4058037901,-1.59534030659,-3.69230787328,2290.67415674,195.972547357,12:30,5.60173107153,2.65773110493,5.94545470472,-24.8353403361,12.8091507324,3.67645457123,2.04909077518,-0.465005994319,78.4719937515,-6.26613072387,-2.99881368412,0.441593053828,68.6416715113,-14.3681832186,13.2536227041,,,,,12.210639839,11.0692166918,10.5823202903,0.0868121337891,-3.11792774452,7.42457419952,-2.36587184478,50.0,5.46073279617,7.97996644031,-125.419727881,-4.26811713714,-4.92043508617,27.5557808248,-20.4572486866,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,c3281d72-314b-11e9-9e8f-7c67a2932f5a,85.3554561024,2.31145599665,0.0751352034001,7.93381003865,4.02722666763,2.33003248278,0.327343839201,3.85106317188,2.31145599665,0.336689949821,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
5,02/15/2019,11:02:29 AM,2,1,"Skuija, Ethan",1000054497,Right,CSU_BAK,"McAfee, Quincy",8898376,Right,PEP_WAV,Windup,1,Top,1,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Error,0,0,,90.5981871289,-1.91424937127,-2.45643126937,2369.89410282,192.698685581,12:30,5.80590316993,2.49254131634,6.22178978571,-19.6812028844,13.8167704554,3.12050771432,2.39741903978,0.484871256906,83.0229982446,-5.6207127081,-1.86665467961,0.416563088504,93.8934178887,7.89336018587,-32.6995506284,2276.34241081,89.2775331257,4.54018101846,-64.260302349,138.404701946,97.1157100888,-36.8004146151,1.14994812012,-2.37930118984,8.0668708154,-2.31057892558,50.0,5.65289020449,5.55640274163,-131.783010836,-5.02014851257,-4.18806183261,27.7601271543,-17.974688713,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,dc933710-314b-11e9-9e8f-7c67a2932f5a,90.4841968992,7.05142399425,0.771031914269,7.57518888433,1.8887665766,2.44374864902,-0.500282291743,1.61997447756,2.41740921083,-0.491501845468,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
6,02/15/2019,11:03:23 AM,3,1,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Wills, Cory",1000025511,Left,PEP_WAV,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.1639720605,-1.01213433396,-1.84427263416,2301.69052466,195.033379089,12:30,5.76952749431,2.78212387075,6.02057802742,-15.529339234,20.1110752258,5.41030561924,3.53747500557,1.52437537867,80.4949677153,-3.93672020119,-0.823864309336,0.429677775766,,,,,,,,,,,,-3.44692887526,11.1807925293,-2.64084352452,50.0,5.68186523639,3.96107972821,-128.292818591,-2.75543043344,-5.74226698984,26.6512783721,-13.5478748857,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,fa19d904-314b-11e9-9e8f-7c67a2932f5a,87.7224251451,,,7.66900434521,-1.18378278358,3.35473242994,-1.48829358342,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
7,02/15/2019,11:03:50 AM,3,2,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Wills, Cory",1000025511,Left,PEP_WAV,Stretch,1,Top,1,1,0,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.0859380369,-1.96215202127,-4.52946412139,1951.07564955,209.771715137,1:00,5.5991858178,2.7555651583,5.77061288027,-21.274682535,19.8679498825,11.3875895759,1.99411147441,-0.518857347099,75.1682665831,-5.95910251663,-2.38748361627,0.461655013348,,,,,,,,,,,,-7.53094889241,11.3038615989,-2.38772056086,50.0,5.42392435934,9.18991272968,-120.403361439,-4.78865217503,-10.9389654757,25.6721895687,-15.7547960107,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,0bfe54dc-314c-11e9-9e8f-7c67a2932f5a,81.6461977696,,,7.91767145383,-0.0571714122725,1.83846113055,0.579411108066,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
8,02/15/2019,11:04:15 AM,3,3,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Wills, Cory",1000025511,Left,PEP_WAV,Stretch,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.5991122895,0.415624373905,-0.671044894491,2400.89416175,192.126508531,12:30,5.68762851107,2.78994801776,5.8954434705,-18.3864745192,17.8256866462,3.83743887693,4.54128116584,2.48677266572,79.982504302,-3.0421237968,0.051195642554,0.433110528,,,,,,,,,,,,-2.25564943267,9.49925692932,-2.73822352287,50.0,5.71046224935,1.37099029266,-127.525920265,0.337476046596,-3.7157528341,26.1461983245,-16.5258319738,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,1b50b6b1-314c-11e9-9e8f-7c67a2932f5a,87.0271537733,,,7.61660798758,-1.13793908853,4.4012355962,-2.48994876122,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
9,02/15/2019,11:04:42 AM,3,4,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Wills, Cory",1000025511,Left,PEP_WAV,Stretch,1,Top,1,2,1,ChangeUp,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,82.8606121943,0.147290369619,-2.62902156297,2082.5228511,207.38037278,1:00,5.53996697474,2.7795407957,5.73935607552,-30.1542030848,10.7967999969,5.61177946489,3.16439295333,0.79777735347,75.5392830971,-5.50476886861,-1.57502656467,0.460578637198,67.2953104111,35.0651318672,-158.955910136,2916.35250875,-102.518773588,34.4916232458,-39.8728690822,176.739485521,70.9411245742,-159.055499577,2.62336364746,-3.77337945143,5.7541138054,-2.56436195935,50.0,5.53385829247,5.35699944872,-120.446465667,-0.622743887757,-5.52183483094,24.235258275,-23.7536746076,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,26cf18a6-314c-11e9-9e8f-7c67a2932f5a,81.8370056206,36.0643821385,0.941434434967,7.32132909718,1.43736251755,3.16638776974,-0.79834649889,1.40457747151,3.16322728352,-0.797444974229,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
10,02/15/2019,11:05:20 AM,3,5,"Skuija, Ethan",1000054497,Right,CSU_BAK,"Wills, Cory",1000025511,Left,PEP_WAV,Stretch,1,Top,1,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.5544383099,-0.46554761587,-1.48832729314,2242.52231012,197.539147158,12:30,5.64994895325,2.51781390415,5.93586410723,-25.2437143113,9.76558263144,3.09681686523,3.11430971975,1.39500165356,82.0068521165,-5.17710158171,-0.908794087444,0.425856433911,,,,,,,,,,,,-2.02738735106,5.37150113071,-2.40099837755,50.0,5.59842302923,3.25127616784,-128.998557312,-1.86671280357,-3.45983948381,23.6247719727,-23.007309063,CSU_BAK,PEP_WAV,TempeDiablo,NCAA,BW,20190215-TempeDiablo-1,41a4a153-314c-11e9-9e8f-7c67a2932f5a,88.5095856718,,,6.54758619338,-0.775604339858,2.91142783698,-1.36074481652,,,,6fb10f6f-3147-11e9-9e8f-7c67a2932f5a
