PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/16/2019,04:35:40 PM,1,1,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.3782088783,-4.1647298126,-3.23712903694,2209.55687701,218.198544372,1:15,6.24293252291,1.97057998367,4.85027318831,-15.9028333333,19.1102075054,15.0633684976,0.962321455405,0.158506394509,83.2974612073,-7.08349959338,-0.454543464124,0.425879203856,,,,,,,,,,,,-8.7507894488,11.1208771499,-1.66355655683,50.0,5.81766570413,6.89029269924,-132.233794506,-10.2656880693,-15.4649588648,28.6955820244,-12.5205180184,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,8c0d158a-3243-11e9-af38-d89ef32d468c,88.5048534416,,,8.08074767098,1.00324094625,0.910852234754,-0.155315174306,,,,be642db9-3242-11e9-af38-d89ef32d468c
2,02/16/2019,04:35:57 PM,1,2,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6165430532,-3.02647043839,-3.38646741783,2212.09273103,224.435890825,1:30,6.1591007654,2.21145955272,4.76227146822,-19.2975427264,16.4593260125,16.1713368512,1.67393641419,0.344680272708,82.3250820403,-6.57513833622,-0.398979056587,0.430379184667,,,,,,,,,,,,-9.38422724578,9.42929902996,-1.88571277875,50.0,5.83876971542,7.13155028633,-131.219131399,-7.70543999225,-16.2752409205,29.1389112105,-15.8206387972,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,9bee9672-3243-11e9-af38-d89ef32d468c,87.5794598438,,,8.29146101295,2.75483537547,1.82699279824,-0.35499627899,,,,be642db9-3242-11e9-af38-d89ef32d468c
3,02/16/2019,04:36:11 PM,1,3,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,1,1,Undefined,Fastball,InPlay,Undefined,Popup,Out,1,0,,90.0462834955,-2.44829720681,-3.1448388343,2228.80818851,213.430661715,1:00,6.25394890535,2.09969167788,4.62323380664,-18.4871972796,17.7563749546,11.7443064272,2.38129350314,0.0861837747481,82.000546056,-5.83821305276,-0.984258045342,0.433298331147,79.1994853592,70.9964407372,38.1007457092,4927.47258301,60.3958803388,71.5689043485,91.9365918526,120.607596665,49.2054531615,57.391883968,5.63138000488,-6.95159226922,9.85586798186,-1.78727588705,50.0,5.98581445304,6.70249876284,-130.494689321,-6.3235062372,-11.9627949719,27.9775547257,-15.2133691364,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,a5d080ad-3243-11e9-af38-d89ef32d468c,86.9894338649,134.21207154,1.76691859394,8.04573743947,2.65250280061,2.50671441394,-0.108026973982,1.6670822147,2.40686273143,-0.0905111173426,be642db9-3242-11e9-af38-d89ef32d468c
4,02/16/2019,04:36:44 PM,2,1,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Windup,1,Top,1,0,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.3761632839,-3.60859840579,-2.74582600749,2231.81361338,217.04256599,1:15,6.23113534506,1.99331494179,4.80807699265,-16.0165312361,19.8864877152,15.0341966393,1.46960282748,0.643100167237,82.0612770878,-6.55485269545,0.0362241436721,0.431257839163,,,,,,,,,,,,-8.62440232781,11.4028290642,-1.73294756289,50.0,5.85831537823,5.69372277699,-130.875718609,-8.88444238813,-14.8703224352,29.1409448407,-12.5131215249,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,b8441f93-3243-11e9-af38-d89ef32d468c,87.4010234673,,,8.31488619613,1.0246849403,1.42447666061,-0.643428059087,,,,be642db9-3242-11e9-af38-d89ef32d468c
5,02/16/2019,04:37:00 PM,2,2,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Windup,1,Top,1,0,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1535068427,-3.95208171756,-2.83167502847,2237.50048566,196.767499982,12:30,6.24190160008,1.68095503619,4.7104649052,-18.377363173,17.0446884475,5.14558170284,0.949434436187,-0.57965531024,82.9842488255,-7.31471796276,-1.88258260665,0.428359471588,,,,,,,,,,,,-3.49095645684,9.98171692641,-1.39904793908,50.0,5.82551666464,6.32150153773,-131.930912006,-9.85475115797,-6.12364742624,29.3129465712,-14.66465939,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,c1aa0cf4-3243-11e9-af38-d89ef32d468c,87.9923966229,,,8.16925801713,3.91958461652,1.2669470987,0.496281929229,,,,be642db9-3242-11e9-af38-d89ef32d468c
6,02/16/2019,04:37:16 PM,2,3,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Windup,1,Top,1,1,1,Undefined,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,90.9042194896,-2.76821362206,-2.68418867278,2234.25939435,224.690951618,1:30,6.12795105089,2.25657597326,4.77924205395,-21.0291479384,14.3775381031,14.2561993957,1.74692276545,0.898695490105,82.7641596347,-6.63247892603,-0.0498001990952,0.428266553406,82.1378868943,9.50530756419,2.11347751465,765.436812511,109.873256322,5.74465169818,5.27314365201,144.759884444,144.759884444,3.45944633162,1.40936157227,-8.17682309074,8.2650775486,-2.00046743653,50.0,5.83319785986,5.61783855268,-131.768425306,-7.20396864285,-14.3174487407,29.0695024577,-17.7020680786,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,caa4abeb-3243-11e9-af38-d89ef32d468c,88.0114877553,7.81913453433,1.41036518517,8.14005985488,1.54457900404,1.76178435789,-0.898814708869,1.21099668215,1.72297708918,-0.898537526879,be642db9-3242-11e9-af38-d89ef32d468c
7,02/16/2019,04:38:02 PM,3,1,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Erro, Alex",1000026607,Right,NOR_CAT,Stretch,1,Top,1,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.9536142316,-1.59983944153,-3.29752485342,2256.98508574,216.810132819,1:15,6.29943423605,2.13227587528,4.52921049799,-21.8502456936,15.6169700394,11.7136576749,2.9523718319,-0.0347924247393,80.4912813578,-5.61578908878,-1.13948781193,0.440552052404,,,,,,,,,,,,-7.03197327143,8.52848425229,-1.79894728689,50.0,6.11246143557,6.96112667135,-128.866108387,-4.47006084538,-11.7242561497,28.9057321985,-17.9546921847,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,e577ebcd-3243-11e9-af38-d89ef32d468c,85.5571465743,,,8.46233287378,-0.622738360373,2.74865129509,0.07366945379,,,,be642db9-3242-11e9-af38-d89ef32d468c
8,02/16/2019,04:38:24 PM,3,2,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Erro, Alex",1000026607,Right,NOR_CAT,Stretch,1,Top,1,0,1,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,81.6700914305,-0.465763040434,-3.80437742071,2100.28444361,220.952585364,1:15,6.14969357915,2.66246640091,4.66417137718,-29.3155939412,14.6186766742,12.7224463898,3.26336193414,0.103977455232,74.4767673714,-5.84646893493,-1.46530303932,0.477060247038,,,,,,,,,,,,-7.64072584902,7.68104967993,-2.28561516901,50.0,6.07631266183,7.41582060641,-118.395421281,-2.01781773368,-10.8343171739,22.8189680274,-21.2825534151,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,ee690689-3243-11e9-af38-d89ef32d468c,79.0096780337,,,7.1933240591,-1.11632445977,2.99745655111,-0.0419841693164,,,,be642db9-3242-11e9-af38-d89ef32d468c
9,02/16/2019,04:38:55 PM,3,3,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Erro, Alex",1000026607,Right,NOR_CAT,Stretch,1,Top,1,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.6059484492,1.69280376951,-2.11789208764,2212.55280605,315.356472099,4:30,6.18659944494,2.47311224289,3.97803093034,-55.553894718,-1.76067409196,1.6889486096,3.18678148128,0.576006830628,68.5872183413,-8.34402425354,-1.81112771331,0.527880101577,,,,,,,,,,,,-1.4306354023,-1.35069156417,-2.23373994254,50.0,6.31971653987,3.94016630423,-108.183911168,1.2065569911,-1.69808703054,18.6018785616,-33.7772465646,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,06734ded-3244-11e9-af38-d89ef32d468c,71.4032910286,,,6.01873010789,-1.97189553925,2.66822100718,-0.469506225068,,,,be642db9-3242-11e9-af38-d89ef32d468c
10,02/16/2019,04:39:24 PM,3,4,"Zimmerman, Drew",1000026570,Right,BYU_COU,"Erro, Alex",1000026607,Right,NOR_CAT,Stretch,1,Top,1,1,2,Undefined,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.4694416144,-1.2757539416,-4.44983257279,1979.50852709,219.911520125,1:15,6.05431033153,2.61230096364,4.64413268345,-33.9993693129,11.0670036711,9.29267620724,2.00501463111,-0.849809229543,74.1495348849,-7.46743389946,-2.75148722499,0.483167619833,,,,,,,,,,,,-5.94015610608,6.03130211758,-2.16488491204,50.0,5.89316879614,8.7429248455,-116.609282743,-3.81830738487,-8.23379257719,20.5537814364,-23.8139163108,BYU_COU,NOR_CAT,SloanPark,NCAA,BIG10,20190216-SloanPark-2,122d5881-3244-11e9-af38-d89ef32d468c,78.0109737779,,,6.31990672951,1.13466337831,1.96791766707,0.863337306438,,,,be642db9-3242-11e9-af38-d89ef32d468c
