PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/16/2019,12:57:56 PM,1,1,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Franchi, Daniel",8896941,Right,BIN_BEA,Undefined,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2935790321,-0.592740146174,-0.0382730152915,1995.97546453,197.619290586,12:30,6.13668446006,1.19022224842,6.77541924203,-17.1503936737,14.3257563265,4.5591057055,4.16633594851,1.53520717675,84.5553453428,-3.86475471314,0.833135152132,0.403796287285,,,,,,,,,,,,-2.54865867965,8.13791478745,-1.18950869482,50.0,6.09148836061,-0.0386930487818,-134.561484692,-1.87581082081,-4.67944274475,28.8195712505,-17.2325004341,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,63186299-3214-11e9-9ed0-94b86dcc8db3,93.3450299272,,,7.73823368933,-2.51267792233,3.89111476509,-1.59493827736,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
2,02/16/2019,12:58:12 PM,1,2,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Franchi, Daniel",8896941,Right,BIN_BEA,Undefined,1,Top,0,1,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.4306218855,-1.58053496167,-2.55622747826,1991.26331431,224.472856476,1:30,6.00979592258,1.37303677313,6.96371596459,-18.8289878047,12.471922555,12.2734085208,3.0011946099,0.0690236399666,84.5417177669,-5.18428691986,-0.200883887021,0.402670675038,,,,,,,,,,,,-7.60367346073,7.44066767211,-1.2195306253,50.0,5.90551232231,5.67893754912,-134.605048895,-4.22466840969,-13.9342399179,29.5327192232,-18.538527643,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,6c0971d0-3214-11e9-9ed0-94b86dcc8db3,93.6059635272,,,7.88890411859,0.833332425649,2.94803099957,-0.0671329021768,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
3,02/16/2019,12:58:32 PM,1,3,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Franchi, Daniel",8896941,Right,BIN_BEA,Undefined,1,Top,0,1,1,Undefined,Fastball,InPlay,Undefined,GroundBall,Error,0,0,,91.3285654945,-1.2080508354,-2.41552929644,2040.40046374,238.951464438,2:00,5.96854198839,1.28122923772,6.8242644315,-23.8208446404,8.02182418107,13.3747080246,2.88049358776,0.191334783632,84.6543564657,-5.7237746186,0.128523149124,0.406140452506,100.523499567,-23.7242072849,36.4744298878,,,,,6.23996147138,5.7654419132,34.2219466305,0.0465167236328,-8.02754244384,4.75638370592,-1.1313354356,50.0,5.88185537063,5.24273428943,-133.104204135,-3.47211089493,-14.5794936912,25.2607538061,-23.5355808413,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,74fa7f56-3214-11e9-9ed0-94b86dcc8db3,92.80626022,2.7515038394,0.0429943931092,6.67420902885,0.262091576938,2.76362691876,-0.194565080478,0.143600382668,2.7515038394,-0.194969219242,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
4,02/16/2019,12:59:16 PM,2,1,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Tully, Cavan",1000057327,Left,BIN_BEA,Undefined,1,Top,0,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.9396774222,-1.92263606252,-3.25869777337,2117.06036061,221.833077194,1:30,6.06839835703,1.47744098619,6.69287946589,-19.8620322797,13.7561475823,12.3420071577,2.6517208187,-0.476929247221,81.8650468213,-5.71148240221,-0.89794739604,0.41730983157,,,,,,,,,,,,-7.82661112815,8.21802595898,-1.26570116323,50.0,5.93242318587,7.10338497978,-130.778338355,-4.94864959595,-13.4717356095,29.1536163452,-18.0285811072,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,8fcdaa73-3214-11e9-9ed0-94b86dcc8db3,90.3222825576,,,8.07463060092,-1.62647305991,2.34048309509,0.520376202535,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
5,02/16/2019,12:59:36 PM,2,2,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Tully, Cavan",1000057327,Left,BIN_BEA,Undefined,1,Top,0,0,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5529597812,-3.071556343,-3.06786646255,2172.92579143,223.955187261,1:30,5.92239680741,1.59839777118,6.55897810738,-21.2262288656,12.1415068372,11.7368280206,1.33108319287,-0.238557139641,82.6209804887,-7.09648704463,-0.828666485061,0.415752516673,,,,,,,,,,,,-7.39495826098,7.62121866495,-1.39226887185,50.0,5.70154915705,6.71293014435,-131.554653572,-7.68033204457,-12.8888578416,29.3288909026,-18.8908357937,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,9f6c5c26-3214-11e9-9ed0-94b86dcc8db3,90.6606094,,,7.93197929245,0.218171777456,1.18073916853,0.255271394277,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
6,02/16/2019,01:00:14 PM,2,3,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Tully, Cavan",1000057327,Left,BIN_BEA,Undefined,1,Top,0,1,1,Undefined,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.299026179,-0.8217549859,-1.90069341279,1287.90595195,233.342011844,1:45,5.96005418559,1.75336779829,6.85451333438,-28.8040853847,9.2928798688,12.5345813708,2.81018050292,1.06470627737,77.5412653034,-6.27417137836,0.482149848905,0.444239027013,,,,,,,,,,,,-7.42203320927,5.3648999268,-1.63716160139,50.0,5.89685817959,3.71467437906,-121.482481226,-2.47138606151,-11.2618983895,20.3722000058,-24.0335625007,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,b391e4c9-3214-11e9-9ed0-94b86dcc8db3,84.8470625702,,,5.75776087567,-1.75153352869,2.45146981756,-1.09588089696,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
7,02/16/2019,01:00:36 PM,2,4,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Tully, Cavan",1000057327,Left,BIN_BEA,Undefined,1,Top,0,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.2893718789,-1.61913539485,-2.12558232579,2348.86207574,105.197275191,9:30,6.20972284493,1.45661239312,6.36884550984,-38.0404393728,1.90426305113,-7.14842858649,1.54861864444,-1.09557642077,75.858135947,-8.81092168705,-3.48967814803,0.454884473549,,,,,,,,,,,,3.25137469086,1.57087655644,-1.29999458019,50.0,6.07521064226,4.69058072938,-121.107532149,-4.4666776909,4.7555857778,27.0028129095,-29.8764240373,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,c35b80e2-3214-11e9-9ed0-94b86dcc8db3,82.8614268301,,,7.43123593193,-1.28060317488,1.11940268699,1.26200635524,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
8,02/16/2019,01:01:17 PM,3,1,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Marshall, Shane",1000027061,Right,BIN_BEA,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.4529183152,-1.43692503334,-0.651587530317,2339.96170602,98.9112617738,9:15,6.1758537586,1.47774184711,6.33621139278,-39.8474472477,1.53958828284,-10.067152601,1.53204486427,0.0389386880323,74.9020211255,-8.93534606153,-2.56498309835,0.463024187467,,,,,,,,,,,,5.33339813346,1.2656695814,-1.42561015638,50.0,6.05247188068,1.62244366782,-118.58760489,-4.05849430219,7.5558516984,23.7668108199,-30.3809681569,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,d7561d04-3214-11e9-9ed0-94b86dcc8db3,81.4047679179,,,6.55089718975,-0.188027749132,1.27573915357,0.0338947268674,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
9,02/16/2019,01:01:36 PM,3,2,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Marshall, Shane",1000027061,Right,BIN_BEA,Undefined,1,Top,1,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.5660229848,-2.17044603634,-1.57110731621,2172.90983738,229.726747451,1:45,6.23074759677,1.41951877903,6.59031162765,-21.3206671108,11.6758712402,13.8173683643,2.46385040133,1.13122015447,83.1706317391,-6.20839155451,1.06057570485,0.413433542488,,,,,,,,,,,,-8.07088568912,7.05121706899,-1.3181924201,50.0,6.07347554602,3.21872004303,-131.867480593,-5.61391798841,-14.2317365821,27.6648351741,-19.7403370935,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,e7189329-3214-11e9-9ed0-94b86dcc8db3,91.1691303379,,,7.3953912457,-1.71677244292,2.11528487184,-1.19418123612,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
10,02/16/2019,01:02:02 PM,3,3,"Kauffmann, Karl",8889839,Right,MIC_WOL,"Marshall, Shane",1000027061,Right,BIN_BEA,Undefined,1,Top,1,1,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.7234023966,-2.24074139116,-3.39650971768,2151.83557107,227.788435319,1:30,6.06576563965,1.4064977331,6.6633627618,-21.3346260846,11.5537856583,12.7709719066,2.23320526512,-0.640314342835,83.1964447742,-6.28970155023,-0.963996597804,0.412755594875,,,,,,,,,,,,-8.01484898274,7.02292391693,-1.18409880211,50.0,5.9066487464,7.46734189763,-131.921163403,-5.77592926961,-14.1408116031,27.7546886312,-19.7833167752,MIC_WOL,BIN_BEA,Tradition,NCAA,BIG10,20190216-Tradition-1,f09b14da-3214-11e9-9ed0-94b86dcc8db3,91.3188748721,,,7.5269576224,-1.95745172088,1.85236188302,0.691762314288,,,,065f3d0f-3213-11e9-9ed0-94b86dcc8db3
