PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/17/2019,12:02:32 PM,1,1,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.8162827244,-3.86276144919,-1.52552480171,2440.67178071,192.472253561,12:30,6.27351434338,1.11512124639,7.36506584495,-13.4883192976,17.0474198546,3.77701204304,1.6562198842,0.0525255361522,85.2987863545,-6.44743160894,-0.796263756609,0.397718448788,,,,,,,,,,,,-2.5631581755,10.7487827059,-1.03269852693,50.0,6.0579605063,3.50597852414,-135.105536546,-9.45454881294,-4.74780470537,28.8433327115,-12.2637981491,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,31e92cdb-32de-11e9-b155-94b86dd45444,94.771506416,,,7.51749636996,-0.256467473523,1.46571623569,-0.0296668051287,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
2,02/17/2019,12:02:52 PM,1,2,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.4078640421,-4.32887195738,-0.836290783628,2497.65938004,176.873728765,12:00,6.37281021752,1.09342777802,7.31832858837,-12.4565680089,17.9438223745,-0.98161576723,1.41588153921,0.256009315954,85.3465980688,-6.71714521459,-1.02628051664,0.396836032197,,,,,,,,,,,,0.315164940501,11.4644415717,-1.04670133692,50.0,6.12834538278,2.00755330534,-135.869108305,-10.5938974135,0.586558291435,30.9876109276,-10.8374009908,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,3adc500d-32de-11e9-b155-94b86dd45444,94.9822432011,,,8.06126597324,0.911101579269,1.3562083959,-0.246943225157,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
3,02/17/2019,12:03:14 PM,1,3,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.8088569626,-3.3470880426,-1.34222913459,2435.79095992,187.330619549,12:15,6.23442104755,1.33889242143,7.17301651371,-13.0374438718,18.481449899,2.3813802167,2.11119801408,0.321050620359,84.0038850466,-5.84491424505,-0.883177555942,0.404070366552,,,,,,,,,,,,-1.72626263098,11.3964756478,-1.26168810903,50.0,6.0356907823,3.07137346264,-133.659280798,-8.14947734639,-3.11719540082,29.2914165715,-11.594884739,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,4b8223f5-32de-11e9-b155-94b86dd45444,93.2817143775,,,7.80497191598,-0.326522031495,1.93124805435,-0.294448950254,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
4,02/17/2019,12:03:35 PM,1,4,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.9180501792,-2.65232371368,-0.541050486226,2529.70113425,183.904023594,12:15,6.30957565853,1.03457812459,7.34854200431,-12.8135796469,17.2841655434,1.18146682483,2.84506252307,0.644481692344,85.1956963454,-5.13053313719,-0.311472306251,0.39485577927,75.3474511002,21.5642429233,-160.798458505,2074.53802292,-104.567161017,21.074881335,-34.1410596537,176.340652109,50.1353346672,-163.160071141,2.11924377441,-0.841205766048,10.6764366177,-1.00515076723,50.0,6.15996515959,1.26311594062,-136.828353939,-6.65344497209,-1.57726468717,33.2818893818,-12.155680707,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,55b2f807-32de-11e9-b155-94b86dd45444,95.4585914656,22.1828136675,0.533718915977,8.72235383386,1.83439534943,2.88248352869,-0.64676043747,2.19092798997,2.91428785267,-0.648717764903,c8b3a61f-32d9-11e9-b155-94b86dd45444
5,02/17/2019,12:04:21 PM,1,5,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.403472261,-2.98212285125,-0.367348964609,2447.37748999,167.865796017,11:30,6.35915165972,0.995198842873,7.36051131483,-13.5390674445,16.6610716236,-3.58833398299,2.53634461792,0.364548214811,85.4674628059,-5.58670583697,-1.06177426269,0.395526867514,79.9924613536,4.62899326948,-42.3988417158,2734.78180397,,,,83.7916739586,82.8744730341,-45.0149946958,0.784318237305,1.93825295705,10.3342753302,-0.974058026599,50.0,6.19177896163,0.960575806946,-136.101434988,-7.42220467933,3.62724717261,30.5112019568,-12.8344825642,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,70876271-32de-11e9-b155-94b86dd45444,95.2966274025,3.91269020874,0.776181755203,7.93600945506,1.88956403938,2.58249619401,-0.37328259175,1.77169852392,2.57101455808,-0.371111254138,c8b3a61f-32d9-11e9-b155-94b86dd45444
6,02/17/2019,12:04:54 PM,1,6,"Johnson, MD",8892205,Right,DAL_PAT,"Touchette, Cam",1000054127,Left,KSU,Windup,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.7910113603,-2.21352746866,0.149549061423,2594.25048843,112.848692259,9:45,6.36420747652,1.14799621064,6.71558169727,-31.8052306404,4.92815641699,-11.7777540926,1.68961615645,0.303203321424,78.8442475845,-8.23964037062,-2.10389777841,0.436216416618,,,,,,,,,,,,6.59332286411,3.3802049638,-1.15317182449,50.0,6.20523125102,-0.0146521951942,-124.945843973,-5.67061110867,10.3839062312,26.0538536095,-26.850521693,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,826c52c6-32de-11e9-b155-94b86dd45444,86.4075149058,,,6.94676377581,0.0105557840944,1.48354080771,-0.250688230447,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
7,02/17/2019,12:05:31 PM,2,1,"Johnson, MD",8892205,Right,DAL_PAT,"Hollander, Josh",8892087,Right,KSU,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.8812568169,-1.9151366516,-0.412007831737,2400.84552606,180.757930315,12:00,6.19066247467,1.18011613696,7.45091077111,-15.7936390334,14.4920006068,0.192093570504,3.14800167036,0.824834275725,85.2529458174,-4.96012682364,-0.374831054234,0.396086366123,,,,,,,,,,,,-0.222579051926,8.79637942032,-1.15824148704,50.0,6.08447649291,0.969728938236,-135.489914892,-4.9072872909,-0.414298986602,29.234772733,-15.8008496948,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,9d43fea5-32de-11e9-b155-94b86dd45444,95.1620145122,,,7.62831099952,-1.73205556651,2.86883266105,-0.804306609159,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
8,02/17/2019,12:05:52 PM,2,2,"Johnson, MD",8892205,Right,DAL_PAT,"Hollander, Josh",8892087,Right,KSU,Windup,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.2687455249,-1.8011692545,0.640012475929,2597.88889416,102.028111998,9:30,6.10493360712,1.08070349567,6.77397212346,-35.6622417046,2.1043841982,-10.0431736498,1.48802095098,0.828109260036,77.9328213134,-8.54910590903,-1.27853052425,0.442308832121,,,,,,,,,,,,5.76321018347,1.65996460696,-1.11841101323,50.0,5.97385251651,-1.11300022241,-122.805717663,-4.78117598903,8.8216970578,23.7890012233,-29.6331547797,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,a6365909-32de-11e9-b155-94b86dd45444,85.2173273149,,,6.33592421154,1.12444562763,1.44397010599,-0.821556103262,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
9,02/17/2019,12:06:12 PM,2,3,"Johnson, MD",8892205,Right,DAL_PAT,"Hollander, Josh",8892087,Right,KSU,Windup,1,Top,1,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.8964525899,-2.05773770423,-0.0756050623114,2427.41487872,174.011540169,11:45,6.21199184284,1.20001438809,7.43616102667,-15.5848135867,15.6526479549,-1.64505312419,3.0575858029,0.994775182459,83.5722484329,-5.07549300006,-0.395462557411,0.402262349233,79.4677277132,77.2573857192,-57.67052047,,,,,78.1856689032,19.2523358916,-83.9031867193,6.01730773926,0.917525462491,9.5735585572,-1.19553079323,50.0,6.09773380987,0.215437898207,-133.979747185,-5.17996458455,1.65302667556,31.3360763353,-14.9261918788,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,b68f26df-32de-11e9-b155-94b86dd45444,93.7009804497,148.046336705,1.04333124891,8.32420415695,1.74703825841,3.08686415921,-0.997048645103,1.26333244297,3.04395289749,-0.993715359161,c8b3a61f-32d9-11e9-b155-94b86dd45444
10,02/17/2019,12:07:01 PM,2,4,"Johnson, MD",8892205,Right,DAL_PAT,"Hollander, Josh",8892087,Right,KSU,Windup,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.6833105704,-5.2334052309,-1.6181830897,2367.68212387,189.710914255,12:15,6.4014469224,0.926220684582,7.52778415186,-13.4437421289,16.592566471,2.84430533083,0.55701924215,-0.293205153303,85.7844980768,-7.81142338888,-1.06598512199,0.394452576561,,,,,,,,,,,,-2.09494259325,11.0159230661,-0.842978014261,50.0,6.12568096285,3.77858648751,-136.104030808,-12.7851291774,-3.91666538078,30.7936782112,-11.5788854004,DAL_PAT,KSU,DallasBaptist,NCAA,MVC,20190217-DallasBaptist-1,d2f218b3-32de-11e9-b155-94b86dd45444,95.5561676128,,,7.89881249356,1.44406931399,0.560778772716,0.292695188762,,,,c8b3a61f-32d9-11e9-b155-94b86dd45444
