PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/22/2019,04:04:10 PM,1,1,"Parrish, Drew",8899406,Left,FLO_SEM,"Nasonti, Lucas",1000026404,Right,YSU_PEN,Windup,1,Top,0,0,0,ChangeUp,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,80.0504021951,-1.58146390446,2.56817238551,1615.56525374,158.005316093,11:15,6.25841306061,-1.07668475495,5.36456511624,-29.0875366273,15.2566986042,-6.17930054828,2.34985131823,0.817827896984,73.4644355992,-6.96716861546,1.41810417468,0.479280878961,,,,,,,,,,,,3.97397959357,8.50620483181,0.850679561198,50.0,6.09607749938,-5.01911643671,-116.29721631,-4.14220307531,5.44968018223,21.5431303326,-20.5091431873,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,65885629-36e5-11e9-af37-484d7efb3b25,78.6436058181,,,6.58596659585,1.4389807105,2.35257849161,-0.817275391436,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
2,02/22/2019,04:04:27 PM,1,2,"Parrish, Drew",8899406,Left,FLO_SEM,"Nasonti, Lucas",1000026404,Right,YSU_PEN,Windup,1,Top,0,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.1618045812,-2.80137521134,1.40254591396,2377.33291752,154.32978162,11:15,6.41037394652,-0.588551021647,5.37964791802,-16.553385629,19.5523781978,-9.41372635464,2.40229630854,-0.0581502777267,80.7323281733,-5.88683493315,-0.361984432362,0.43247378464,,,,,,,,,,,,5.42938383295,11.2432667772,0.46969192458,50.0,6.14830454744,-2.83803830142,-129.409907075,-6.91524181111,9.11297412536,29.5846972417,-13.3027360138,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,6e7b06a0-36e5-11e9-af37-484d7efb3b25,87.1552863082,,,8.42947640793,-0.74224989127,2.17693092637,0.0733596666772,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
3,02/22/2019,04:04:54 PM,1,3,"Parrish, Drew",8899406,Left,FLO_SEM,"Nasonti, Lucas",1000026404,Right,YSU_PEN,Windup,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.9885451735,-2.93939650359,3.26459274795,2289.36940417,150.262486613,11:00,6.39992303073,-0.341307332751,5.37831294807,-17.4804485452,18.9232193905,-10.8295932461,2.18113327963,1.81954209523,80.4051895524,-6.2005355932,1.23617502413,0.434254262917,,,,,,,,,,,,6.77146141719,10.9695903463,0.0566477267124,50.0,6.12443586391,-6.97723216874,-128.956750138,-7.24314228418,11.2687648612,29.7587042022,-13.9189442857,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,80606375-36e5-11e9-af37-484d7efb3b25,86.7979424494,,,8.5833556211,-2.11621902989,1.78936441253,-1.89091262568,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
4,02/22/2019,04:05:09 PM,1,4,"Parrish, Drew",8899406,Left,FLO_SEM,"Nasonti, Lucas",1000026404,Right,YSU_PEN,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,80.5358362073,-2.93709123007,0.942725413306,1887.71465568,144.459901224,10:45,6.27979322081,-1.01868404892,5.34702348835,-30.326374173,13.9979032195,-10.0291658998,0.995179873318,-0.970208701032,73.3305064797,-8.5580419496,-0.936632632398,0.479173012774,,,,,,,,,,,,5.61028092578,8.33213273212,0.940901458803,50.0,5.99417451593,-1.60386687813,-116.884907228,-6.96389377623,7.67859902793,24.2259264337,-20.7701443413,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,895313dc-36e5-11e9-af37-484d7efb3b25,78.6613092062,,,7.20532972756,2.2098428538,1.11388032682,0.95746547464,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
5,02/22/2019,04:05:41 PM,2,1,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.1373174144,-1.27821801833,2.38959914033,2383.71602702,153.739469016,11:00,6.43430109367,-0.436904115104,5.27881006328,-17.2984436523,18.9978437516,-9.38987832908,3.79118851535,1.02590021769,80.421897626,-4.50991732141,0.632242034016,0.433613326251,,,,,,,,,,,,5.71705352078,10.454574653,0.225734805469,50.0,6.30532989925,-5.06491486603,-129.383483967,-3.50534300839,9.57540677284,30.0009049278,-14.6638390446,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,9b3870cc-36e5-11e9-af37-484d7efb3b25,86.9262410522,,,8.71541978832,-1.61572295614,3.54629032952,-1.05626836968,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
6,02/22/2019,04:05:56 PM,2,2,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,1,0,Curveball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.7059330417,-0.564377399231,0.334480193866,2766.28962353,359.110202649,6:00,6.16913526739,-0.862744802965,4.88187083403,-49.7048073677,-1.14384226326,0.017056053022,1.49314383336,-0.544903523042,70.6825584024,-9.73174039304,0.337658374431,0.501551083589,,,,,,,,,,,,0.0992662705388,-0.415015490069,0.829933053163,50.0,6.07336204543,-0.659049853684,-112.796703134,-2.74296893662,0.125895703085,23.5011614353,-32.7003972006,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,a42b20fd-36e5-11e9-af37-484d7efb3b25,75.1516201529,,,7.0233746393,2.1316590689,1.61487165767,0.54911689296,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
7,02/22/2019,04:06:14 PM,2,3,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,1,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,81.7053447942,-3.63364341244,1.97757054236,1910.12157962,153.637548452,11:00,6.18276561165,-0.923472769543,5.58261821486,-27.7192546233,14.8610772278,-7.3848086188,0.473281733041,0.308444164829,74.725639163,-8.77466631502,0.591995251144,0.469651852005,,,,,,,,,,,,4.52737221168,9.01050473982,0.758442538416,50.0,5.85243044209,-3.86238458132,-118.53600421,-8.39730724573,6.40442388271,23.8757534616,-19.4277822782,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,ad1dcdba-36e5-11e9-af37-484d7efb3b25,80.2559946483,,,6.97970563115,2.38908523073,0.622458139919,-0.298148829581,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
8,02/22/2019,04:06:29 PM,2,4,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,2,1,ChangeUp,Other,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.0266268316,-2.13513450587,1.69795305696,2104.18749624,141.743796268,10:45,6.19691173156,-0.828347441118,5.56959432064,-28.0428026186,14.9587257143,-11.8270153435,1.86401457927,-0.22759436862,74.2926884312,-7.34671801695,-0.515921381844,0.471968988991,,,,,,,,,,,,6.78311191313,8.57611189643,0.689886145239,50.0,5.99477015082,-3.12194100238,-117.764252516,-5.26741213243,9.51738092923,22.5453480256,-20.1409102483,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,b3d207d3-36e5-11e9-af37-484d7efb3b25,79.8619769525,,,6.73393840039,-0.315818646759,1.63766115208,0.244448400821,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
9,02/22/2019,04:06:48 PM,2,5,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,2,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,80.0042167243,-3.26218525244,2.94984383282,1931.98875758,133.795651391,10:30,6.14548693316,-1.09297426121,5.57260429724,-31.3207432248,12.7450919535,-13.3356895534,0.481400851823,0.553128330969,73.8795604037,-9.04410335443,0.461545401622,0.47777400994,,,,,,,,,,,,7.88918702067,7.65914099128,0.847765906361,50.0,5.84382792826,-5.57152914301,-116.110346361,-7.5935715799,10.8141228596,20.9054249656,-21.6752618675,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,c47a5cce-36e5-11e9-af37-484d7efb3b25,78.8916427786,,,6.12465632059,3.01134428325,0.732471258317,-0.539103424688,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
10,02/22/2019,04:07:05 PM,2,6,"Parrish, Drew",8899406,Left,FLO_SEM,"Charles, Web",8895097,Right,YSU_PEN,Windup,1,Top,1,3,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.7087631069,-2.31324690545,1.38748262742,2362.73787962,154.37193337,11:15,6.38427764358,-0.489712638099,5.5232785687,-15.3721702045,20.1192309583,-9.66764933635,2.93903092999,0.00192170892838,81.061608636,-5.19228686939,-0.430726578893,0.428778589146,,,,,,,,,,,,5.59426460009,11.4632679349,0.375510679896,50.0,6.17310032868,-2.82195691655,-130.271464937,-5.79397253846,9.49994479106,30.3838252942,-12.7076092134,FLO_SEM,YSU_PEN,DickHowserStadium,NCAA,ACC,20190222-DickHowserStadium-1,cf1c7b84-36e5-11e9-af37-484d7efb3b25,87.9063868282,,,8.64715447087,-1.22789638797,2.69482808042,0.0204001591587,,,,ac064db6-36dd-11e9-af37-484d7efb3b25
