PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/22/2019,05:12:21 PM,1,1,"Bennett, Nick",10000624,Left,LOU_CAR,"Lomuscio, Joe",1000027581,Right,BRO_BEA,Windup,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7931362534,-4.6437873413,3.80123565548,2233.41539104,119.244790809,10:00,6.71559202943,-1.40267426813,5.63677502315,-24.3684088033,10.5784686866,-18.9519284994,0.333998819865,0.56907266546,83.0466523713,-9.1339262806,0.269760497654,0.425476626447,,,,,,,,,,,,11.0777668965,6.83019295764,1.09166835995,50.0,6.30411730098,-7.98964576513,-130.036657677,-11.4218403247,19.1221455879,25.1941751773,-20.3839517481,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,ec059aef-36ee-11e9-abc2-d45ddf10736f,88.5885949503,,,6.74648388207,3.68231015469,0.69395669042,-0.555046039418,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
2,02/22/2019,05:12:36 PM,1,2,"Bennett, Nick",10000624,Left,LOU_CAR,"Lomuscio, Joe",1000027581,Right,BRO_BEA,Windup,1,Top,0,1,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,89.1142128145,-2.44883174059,2.74277219346,2171.66910414,140.141823768,10:45,6.53773910933,-1.57307505581,5.97335619259,-22.9832168613,11.624947434,-9.73272211798,2.34855305153,0.160204784947,82.6951769649,-6.72512762075,0.922203280164,0.423409697179,103.426128213,10.0448461797,-23.6667513621,2884.1090065,98.0370159264,7.15504705204,-49.8868110868,149.135733492,148.615425381,-28.5771104289,1.18441955566,5.90307480017,6.85352118777,1.36170053869,50.0,6.33098063909,-5.89421664627,-129.609997849,-6.29316378448,10.1791629211,23.6077769686,-20.355951867,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,f4f84ab2-36ee-11e9-abc2-d45ddf10736f,89.0210516487,9.13679483202,1.17995689273,6.41903584955,2.04148420624,2.4219285131,-0.150015438272,1.792904701,2.39281105392,-0.154100742418,654efac2-36ee-11e9-abc2-d45ddf10736f
3,02/22/2019,05:13:42 PM,2,1,"Bennett, Nick",10000624,Left,LOU_CAR,"Homza, Willy",1000027568,Right,BRO_BEA,Stretch,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.7146249984,-3.11470638515,2.53919223985,2242.04742472,114.993360554,9:45,6.79597300181,-1.62807380834,5.54595454074,-27.9314051585,7.23976692359,-15.6013662981,1.55222964464,-0.554002885698,82.4053968458,-8.28731003973,-0.377575366476,0.426839830803,,,,,,,,,,,,9.01595232241,4.72297189876,1.4186260934,50.0,6.50778765565,-5.23410733923,-130.222835068,-8.06129709145,15.4834539039,27.3205063679,-24.0631008641,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,18c30934-36ef-11e9-abc2-d45ddf10736f,88.3056683117,,,7.30922815256,2.37058609231,1.69028829248,0.548213870323,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
4,02/22/2019,05:14:23 PM,2,2,"Bennett, Nick",10000624,Left,LOU_CAR,"Homza, Willy",1000027568,Right,BRO_BEA,Stretch,1,Top,0,0,1,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,2,0,,80.1754024674,-2.2535155526,2.77996736543,1585.25449054,124.828725672,10:15,6.64596725083,-2.12522585472,5.86046530356,-33.5684356679,9.57902607319,-13.8259860208,1.75172699033,-0.693011567775,74.3085261149,-8.48492504086,0.191371063059,0.472769166437,89.8855880708,-1.73383605557,-11.9204099925,,,,,32.5470637077,31.3570918142,-9.34125935652,0.243790893555,8.14230296407,5.72521320607,1.90805200185,50.0,6.44348549125,-5.25084797348,-116.558480846,-5.58509322437,11.2925378328,20.2403532279,-24.2337659342,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,339b18c4-36ef-11e9-abc2-d45ddf10736f,79.7268079159,1.81348620534,0.234351787124,5.86687635254,1.91659465141,1.82601482367,0.694801979765,1.83200512315,1.81348620534,0.694482092324,654efac2-36ee-11e9-abc2-d45ddf10736f
5,02/22/2019,05:15:01 PM,3,1,"Bennett, Nick",10000624,Left,LOU_CAR,"Delano, Garett",8885969,Right,BRO_BEA,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7445094508,-1.42698242282,3.50503449709,2161.36954315,130.499574315,10:15,6.6428129141,-1.10454287011,5.74409257663,-23.2893546256,11.3989662495,-13.3848630637,3.37082578868,1.04712408225,82.4676894595,-5.76984631913,1.00332069397,0.423899746924,,,,,,,,,,,,8.09036976957,6.48160269301,0.821437779281,50.0,6.50985319887,-7.53555521455,-130.393816901,-4.03931781716,14.0065819176,25.989497353,-20.9526703423,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,4c66c028-36ef-11e9-abc2-d45ddf10736f,88.9181387689,,,7.27681999121,-2.69888587436,2.94101141372,-1.11121349422,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
6,02/22/2019,05:15:15 PM,3,2,"Bennett, Nick",10000624,Left,LOU_CAR,"Delano, Garett",8885969,Right,BRO_BEA,Windup,1,Top,2,1,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,81.9458758234,-2.525408427,2.1027851304,1588.72407567,105.102237661,9:30,6.57228968509,-1.70929909879,5.54461030146,-38.1501216119,3.50181515377,-13.1214077803,1.03018248013,-0.836967838119,76.418786537,-9.53528116964,-0.336777320865,0.464503636721,,,,,,,,,,,,7.48301664825,2.47781639845,1.53605655462,50.0,6.32827522204,-3.95461125002,-119.145722953,-6.47981658814,10.8833477164,20.3642157936,-28.5702963921,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,54ebca11-36ef-11e9-abc2-d45ddf10736f,81.1454928258,,,5.52708928644,0.964692516577,0.953992835014,0.839716575986,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
7,02/22/2019,05:15:28 PM,3,3,"Bennett, Nick",10000624,Left,LOU_CAR,"Delano, Garett",8885969,Right,BRO_BEA,Windup,1,Top,2,2,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.2799784493,-2.75446791938,2.19059089961,2197.44166826,125.633107755,10:15,6.6396787928,-1.36108938946,5.83241180856,-24.5006224566,9.82555515877,-13.7524743746,2.03409925438,-0.470192515246,82.7712336863,-7.3263615083,-0.39492514191,0.421681201866,,,,,,,,,,,,8.0146824781,6.05945989452,1.19064592695,50.0,6.40051954167,-4.56061078475,-131.172596279,-7.12963197618,13.956761978,27.8816304694,-21.6221097,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,5cf01c17-36ef-11e9-abc2-d45ddf10736f,89.38595402,,,7.50874476294,1.19665368724,2.0057692748,0.471732664051,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
8,02/22/2019,05:18:23 PM,1,1,"Tomlinson, Will",1000027571,Right,BRO_BEA,"Dunn, Lucas",1000026985,Right,LOU_CAR,Windup,1,Bottom,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.9379609175,-2.72238512428,-3.67604848436,1995.84381306,225.116444255,1:30,6.29278017728,2.15527233074,6.36143021337,-18.9752446689,15.6841809206,15.7807822233,2.1993948993,0.083095941643,81.5147148684,-6.3029789498,-0.688012364504,0.423723156421,,,,,,,,,,,,-9.65612035076,9.34392157282,-1.89684881324,50.0,6.08660335777,7.83186615224,-129.182745611,-6.71782415794,-16.3478851358,26.4403187049,-16.3547183242,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,c50c82d3-36ef-11e9-abc2-d45ddf10736f,88.9551962171,,,7.42324604909,-1.12500344916,1.91420713289,-0.0562587505163,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
9,02/22/2019,05:18:41 PM,1,2,"Tomlinson, Will",1000027571,Right,BRO_BEA,"Dunn, Lucas",1000026985,Right,LOU_CAR,Windup,1,Bottom,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.6411818801,-2.86589948302,-3.53870758335,1963.9307242,218.194699697,1:15,6.37618844388,2.34476712111,6.3738415881,-15.5921577979,18.6517584778,14.7000245949,2.43310395874,0.310174567016,81.7265780209,-5.81802242597,-0.747981241305,0.421175627548,99.4754736982,-3.65680380401,50.2959307673,,,,,27.0032760895,27.0032760895,47.5316119658,0.196206665039,-9.08735014791,11.0658613809,-2.09649377705,50.0,6.16192387544,7.61364745387,-130.1723135,-6.99180813889,-15.5471325268,28.0664193235,-13.2419714809,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,ceaad1de-36ef-11e9-abc2-d45ddf10736f,89.4932518782,2.3709377353,0.196206665039,7.91460385913,0.977986692259,2.38829218063,-0.304550217017,0.808669103063,2.3709377353,-0.302434455466,654efac2-36ee-11e9-abc2-d45ddf10736f
10,02/22/2019,05:19:02 PM,1,3,"Tomlinson, Will",1000027571,Right,BRO_BEA,"Dunn, Lucas",1000026985,Right,LOU_CAR,Windup,1,Bottom,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.3901937313,1.63568091402,-3.0014457207,2347.61951456,47.6543375237,7:30,6.19419231423,2.15577675398,5.79489283782,-50.9130748013,-4.05422166378,-4.40006279746,3.47521916552,-1.00497234748,71.064830253,-7.87320229803,-3.82636002403,0.492682737581,,,,,,,,,,,,1.50876993215,-2.64804054759,-1.90644836872,50.0,6.298360531,6.02116333139,-112.433246337,1.75775782799,1.92627351189,20.8814920504,-35.5548492051,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,d79d819a-36ef-11e9-abc2-d45ddf10736f,76.5043579691,,,6.32536347826,-0.972970420414,3.1336370086,1.16569438332,,,,654efac2-36ee-11e9-abc2-d45ddf10736f
11,02/22/2019,05:19:19 PM,1,4,"Tomlinson, Will",1000027571,Right,BRO_BEA,"Dunn, Lucas",1000026985,Right,LOU_CAR,Windup,1,Bottom,0,1,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,77.8256611066,-0.610756199038,-3.2877560106,2364.61477403,46.0655428203,7:30,6.1057569877,2.44593241048,5.62957448459,-51.5446207511,-4.6139267053,-4.74301388715,1.23960952045,-1.01998237686,71.4533185652,-10.1798173125,-4.17688559883,0.493060267302,63.5414573204,-10.4791489156,161.913251651,,,,,5.05126413445,5.05126413445,146.235057711,0.0647387695313,1.53218715537,-2.28374458636,-2.16315416327,50.0,6.02119915442,6.63006607761,-112.985782244,-2.72321921448,1.96126975028,22.4627052524,-35.0973462482,LOU_CAR,BRO_BEA,JimPatterson,NCAA,ACC,20190222-JimPatterson-2,e6a97b73-36ef-11e9-abc2-d45ddf10736f,76.4457795947,1.24336314059,0.23066817384,6.37234254144,2.80942179101,1.48678875887,0.918598819476,1.43751960114,1.24336314059,1.0184595648,654efac2-36ee-11e9-abc2-d45ddf10736f
