PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/23/2019,01:56:08 PM,1,1,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Walker, Bryce",1000026475,Right,HAR_HAW,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.5439499886,-1.68904784149,1.12824877682,2016.95504292,149.050482751,11:00,6.83233797899,-1.0267155913,5.66205208668,-26.4230339369,15.8512391888,-9.52922168153,3.05490042571,-0.76877702467,73.6759147562,-6.68325785163,-0.683557174612,0.467960927243,,,,,,,,,,,,5.54084165033,9.14927954721,0.937333970079,50.0,6.67350471871,-2.06839395475,-119.815021985,-4.341427383,7.82788897537,29.2167919068,-19.2482966545,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,cf2141bd-37b5-11e9-9e89-aced5cacee5b,80.5459907586,,,8.86803523243,-1.01466107567,2.76413023993,0.799896395194,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
2,02/23/2019,01:56:22 PM,1,2,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Walker, Bryce",1000026475,Right,HAR_HAW,Undefined,1,Top,0,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.2224031461,-1.73309739184,1.69049369833,2049.45402221,150.628849095,11:00,6.79630224357,-0.937916323987,5.67601034109,-20.7872851857,18.0449040005,-10.1763623329,3.44742908617,-0.209796671588,76.602822811,-5.67449625301,-0.247031688353,0.448505172239,,,,,,,,,,,,6.11144202634,10.3711024244,0.801818422971,50.0,6.63768741255,-3.36884293016,-125.102776998,-4.44744343498,9.38880412723,32.4354001265,-16.2412705268,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,d813e78a-37b5-11e9-9e89-aced5cacee5b,84.0400041163,,,9.61958033512,-1.47327485694,3.15371891434,0.225464358468,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
3,02/23/2019,01:56:37 PM,1,3,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Walker, Bryce",1000026475,Right,HAR_HAW,Undefined,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.0394263369,-1.25168127947,1.86679540207,2098.93144739,164.599898348,11:30,6.81932616816,-0.887625918243,5.81487447619,-17.180605583,19.8114945684,-5.46661289631,4.22315974537,0.392934486396,78.2086922598,-4.52057111024,0.824420852846,0.437749856567,,,,,,,,,,,,3.64311472262,11.1909887966,0.738164816735,50.0,6.70702404761,-3.99209421437,-127.801651415,-3.33877429783,5.84820880626,33.5528629613,-14.2094099946,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,e1068d0a-37b5-11e9-9e89-aced5cacee5b,86.1048289466,,,9.83073407708,-1.71766428759,3.96893723295,-0.43600469017,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
4,02/23/2019,01:56:53 PM,1,4,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Walker, Bryce",1000026475,Right,HAR_HAW,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,InPlay,Undefined,Popup,Out,1,0,,78.2398093792,-1.15605934592,1.32620277065,1701.44996495,143.88794874,10:45,6.79814891516,-1.21287928256,5.54665091532,-34.7185177712,12.0202004185,-8.80121346528,2.82434145837,-0.706957675082,70.7907640857,-7.6585261099,-0.333505331515,0.492050771624,92.1462301341,45.1254744405,10.1346555238,3691.6723813,107.583417937,99.7357520088,22.9299679742,299.215328313,101.520855258,15.3598455761,5.75903991699,5.13924589527,6.80586096495,1.10395890816,50.0,6.67574731418,-2.36855740581,-113.65786267,-3.33051335332,6.61372853924,23.9793571058,-23.4155423835,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,e9f93186-37b5-11e9-9e89-aced5cacee5b,76.6026164265,121.802454853,1.35662261096,7.44904529347,1.95495385506,2.89636117078,0.703916688507,1.81996199678,2.87836838365,0.704661983221,0480cf1d-37b1-11e9-9e89-aced5cacee5b
5,02/23/2019,01:57:25 PM,2,1,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Sullivan, Chris",8897041,Right,HAR_HAW,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.8278889923,-2.61528520069,2.63800096852,2026.04943188,157.990015332,11:15,6.90764339354,-0.985090034165,5.72286508836,-15.0254368538,24.5518794282,-9.93962247245,3.21570242071,0.645042848449,75.3986724548,-5.48159689051,0.735339878196,0.452787771347,,,,,,,,,,,,6.43703596067,14.3427948783,0.770999873699,50.0,6.68040397086,-5.41851272617,-124.304605938,-6.15061064078,9.66230889574,34.3352729144,-10.6448050678,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,014e836d-37b6-11e9-9e89-aced5cacee5b,83.2451291893,,,10.4292165376,-1.23432051909,2.95720604194,-0.676372894532,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
6,02/23/2019,01:57:39 PM,2,2,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Sullivan, Chris",8897041,Right,HAR_HAW,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.7871883697,-2.93848083008,2.49855369497,2088.0922541,162.349395865,11:30,6.93173463615,-0.727029240321,5.85797371514,-12.7006115173,23.8121460159,-7.58773511162,3.13875819211,0.963073968302,78.6498519635,-5.35584680703,1.04913508368,0.434904433471,,,,,,,,,,,,5.05366657986,14.0294612997,0.528884181897,50.0,6.68615117505,-5.37517044102,-128.680879307,-7.01318562635,8.20075630166,34.7113079779,-9.40796548708,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,09ad6091-37b6-11e9-9e89-aced5cacee5b,86.6681818355,,,10.1373364062,-1.34620474371,2.87600234193,-1.01146436476,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
7,02/23/2019,01:57:55 PM,2,3,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Sullivan, Chris",8897041,Right,HAR_HAW,Windup,1,Top,1,0,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,88.5947699002,-1.47312336329,1.4419911935,2036.58746468,165.782367643,11:30,6.79221503062,-0.638936231549,6.01630918449,-14.9164492719,21.3617109925,-5.42098146992,4.18411023883,0.245098617842,78.6083719094,-4.32377046693,0.403557093064,0.43350503486,,,,,,,,,,,,3.49156326152,12.2050483855,0.529021070949,50.0,6.66898785497,-3.07215537917,-128.66384231,-3.76845963621,5.67255503194,34.3562661635,-12.3451629116,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,112e907c-37b6-11e9-9e89-aced5cacee5b,86.9479555948,,,9.9863979908,0.360439326009,4.10361700891,-0.252308334681,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
8,02/23/2019,01:58:13 PM,2,4,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Sullivan, Chris",8897041,Right,HAR_HAW,Windup,1,Top,1,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.5628147826,-0.0112506828747,0.727534117192,2207.98048542,349.01040387,5:45,6.85625585793,-0.697480431914,5.1188510149,-70.3050875246,-15.3127167253,2.96356442602,0.986901654908,0.234722189997,66.0489607301,-13.109932082,1.28949596955,0.533731383224,,,,,,,,,,,,-1.27937189215,-8.11721994733,0.626998744024,50.0,6.80346959377,-1.44074028512,-106.60922627,-2.08385059233,-1.4112471577,25.4066267086,-41.1279763778,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,18742a93-37b6-11e9-9e89-aced5cacee5b,70.6204988237,,,7.51385405253,2.02419181535,1.12744987261,-0.221088014426,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
9,02/23/2019,01:58:43 PM,3,1,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Bardzell, Ashton",8897881,Right,HAR_HAW,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.3613694257,-4.38628461316,1.11161866453,2124.55496571,175.728465751,11:45,6.78480672075,-0.751146034567,6.06439194063,-10.765020161,24.5525864664,-1.83633171643,1.82032878554,0.124549017398,80.4499378355,-6.41804265972,0.762036255496,0.427727477834,,,,,,,,,,,,1.3646922362,14.8192996362,0.666097454746,50.0,6.43900912501,-2.45748436419,-129.5866261,-10.275926867,2.28129494177,31.3552301944,-7.40128851277,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,2ff20101-37b6-11e9-9e89-aced5cacee5b,88.122410821,,,8.91143159028,-1.10301582206,1.53433418058,-0.157629868781,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
10,02/23/2019,01:58:59 PM,3,2,"Boone, Rodney",1000049219,Left,UCSB_GAU,"Bardzell, Ashton",8897881,Right,HAR_HAW,Windup,1,Top,2,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.6005955674,-1.75829033167,1.15698879287,2013.40203643,167.719199998,11:30,6.81134664645,-0.660678667401,5.98819189533,-17.59830887,20.8512806522,-4.54686498966,3.71467208011,0.0326755139626,76.9863746468,-5.09381394845,0.292086007619,0.446290222475,,,,,,,,,,,,2.85379385596,11.9157915455,0.572086688627,50.0,6.66330169853,-2.37529748054,-124.411751973,-4.35142019699,4.39289878275,29.1220568749,-13.8318455742,UCSB_GAU,HAR_HAW,CaesarUyesaka,NCAA,BW,20190223-CaesarUyesaka-1,3914528a-37b6-11e9-9e89-aced5cacee5b,84.4570968015,,,8.61422092055,-1.58575061748,3.44114196991,-0.0464585289614,,,,0480cf1d-37b1-11e9-9e89-aced5cacee5b
