PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/23/2019,02:02:30 PM,1,1,"Harley, Dylan",1000037008,Left,SOU_GAM,"Howell, Trevor",8897939,Right,UTA_WOL,Windup,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2578796717,-1.48464094834,3.83946268283,2063.16718643,142.279200048,10:45,5.87745278201,-1.67373854058,5.84411452988,-19.3012911843,15.0477934519,-11.6639646562,2.88607264304,0.927238016718,82.4435574717,-5.10214470732,1.65142774886,0.421821879474,,,,,,,,,,,,7.3446576544,8.51347968791,1.36812026102,50.0,5.74518971496,-8.40894771425,-131.059399872,-4.04426260609,12.7786867705,27.6151643737,-17.3617733793,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,8ed88864-379d-11e9-9eac-7c67a28ae1ba,89.356143802,,,7.81432220006,-0.930443771946,2.67263762282,-0.992619642094,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
2,02/23/2019,02:02:45 PM,1,2,"Harley, Dylan",1000037008,Left,SOU_GAM,"Howell, Trevor",8897939,Right,UTA_WOL,Windup,1,Top,0,1,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.848689442,-1.13142231234,2.68125432427,2038.08579209,142.368902062,10:45,5.85358747219,-1.90946800158,5.47788505839,-16.9770981005,18.2793824308,-14.1183882699,3.37898327306,-0.575611109776,81.5445641236,-4.30554827758,0.0379643934527,0.427357171973,,,,,,,,,,,,8.30191066192,10.0602559809,1.68374008857,50.0,5.74291977757,-5.61775958932,-130.501012691,-3.17385946078,14.237051278,28.8915361328,-14.9215887188,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,97c997c4-379d-11e9-9eac-7c67a28ae1ba,88.1987690697,,,8.30412531842,2.66386007653,3.47194917936,0.577212996629,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
3,02/23/2019,02:03:07 PM,1,3,"Harley, Dylan",1000037008,Left,SOU_GAM,"Howell, Trevor",8897939,Right,UTA_WOL,Windup,1,Top,0,1,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.1928672426,-2.49476829802,3.64653853168,2161.72835614,144.558505947,10:45,5.9318735823,-1.73231563441,5.75540248071,-16.1655995167,17.1449278775,-12.2252546674,2.25655988148,0.647508109181,83.5543286399,-5.53016092267,1.34653128786,0.415395964137,,,,,,,,,,,,7.6736584485,9.97292715109,1.43731728263,50.0,5.71498852036,-8.10470919335,-133.719539433,-6.38965582857,13.7830222823,30.9879156367,-14.2612005888,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,a7f9bed5-379d-11e9-9eac-7c67a28ae1ba,90.7384273687,,,8.63853860266,-0.736052239138,2.04537325879,-0.696065933939,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
4,02/23/2019,02:03:22 PM,1,4,"Harley, Dylan",1000037008,Left,SOU_GAM,"Howell, Trevor",8897939,Right,UTA_WOL,Windup,1,Top,0,1,2,Undefined,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.2359273879,-2.79549018689,3.74401487297,2073.60757227,145.287819542,10:45,5.80991570595,-1.74057417441,5.87140958105,-15.5858858481,17.6499852364,-12.2486290179,1.90723832828,0.720814638399,83.3899358723,-5.73116307355,1.43192329128,0.414930205594,,,,,,,,,,,,7.77840283192,10.4045627449,1.44473312021,50.0,5.57446140214,-8.34276077113,-133.735614744,-7.0642381109,13.9349950992,31.7501871698,-13.5342925561,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,b10c301a-379d-11e9-9eac-7c67a28ae1ba,90.8402811195,,,8.84599151555,1.120040096,1.87740907261,-0.728190319343,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
5,02/23/2019,02:03:49 PM,2,1,"Harley, Dylan",1000037008,Left,SOU_GAM,"Beltran, Michael",1000024775,Right,UTA_WOL,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7432983156,-0.87926087623,2.96582143887,2180.37898884,161.942271696,11:30,5.93128497649,-1.74049042653,5.7779539611,-12.1242299387,21.5423880612,-7.03387085273,4.10174763542,0.435082953146,82.6099470162,-3.16860066253,1.63796231647,0.417610359964,,,,,,,,,,,,4.73028507181,11.887701907,1.50003224479,50.0,5.85150211785,-6.66511806457,-133.225430445,-2.45631272644,8.38870784418,32.1692173884,-11.092346984,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,bb8dd57c-379d-11e9-9eac-7c67a28ae1ba,90.2572831869,,,9.13335129945,-2.15760804129,3.89813037171,-0.534003144493,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
6,02/23/2019,02:04:03 PM,2,2,"Harley, Dylan",1000037008,Left,SOU_GAM,"Beltran, Michael",1000024775,Right,UTA_WOL,Windup,1,Top,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2672258634,-2.29063213428,4.28040854987,2138.73788226,145.740453572,10:45,5.79132667601,-1.76627354105,5.79927601693,-18.2961769681,14.662464132,-10.0079993335,2.12930285797,1.38784869156,84.4053310757,-5.70994587577,2.40763326316,0.413196055514,,,,,,,,,,,,6.5511377167,8.50763272489,1.42042539639,50.0,5.59183845318,-9.67586408228,-133.843391819,-5.99371317222,11.9014994054,28.4815409356,-16.7181704792,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,c905bb83-379d-11e9-9eac-7c67a28ae1ba,91.2215303562,,,7.8618947877,0.0425494288785,1.9905625355,-1.44495574174,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
7,02/23/2019,02:04:17 PM,2,3,"Harley, Dylan",1000037008,Left,SOU_GAM,"Beltran, Michael",1000024775,Right,UTA_WOL,Windup,1,Top,1,2,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,91.1330969619,-2.09943861677,3.88566363491,2000.90288597,135.028228378,10:30,5.83255957687,-1.86435853529,5.85153435972,-18.8155263078,14.9010521534,-14.9180464481,2.30870573021,0.508066136013,83.2436335624,-5.62510966338,1.08553857603,0.41792010702,85.1851622878,31.7531857611,-24.5191310302,2791.57138061,97.4124049752,59.4193856008,-51.0959233166,300.322426928,183.435300407,-35.8302698248,4.61492614746,9.11483198682,8.60952032129,1.55735462624,50.0,5.65075908261,-8.48615629698,-132.277907001,-5.48889112192,16.1507518862,28.1972047629,-16.9186684496,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,d3ab2514-379d-11e9-9eac-7c67a28ae1ba,90.190387799,72.6357503526,2.36873400616,7.8894633995,1.58007899194,2.32478582987,-0.504955594854,1.47728373909,2.3146747278,-0.506915590162,d8b40454-3799-11e9-9eac-7c67a28ae1ba
8,02/23/2019,02:04:49 PM,3,1,"Harley, Dylan",1000037008,Left,SOU_GAM,"Estrada, Paul",8897936,Right,UTA_WOL,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.4260764179,-2.93100844168,3.92924448099,2121.59868883,146.505570374,11:00,5.92391057247,-1.62668503455,5.96968978832,-15.1386333165,17.6277727711,-11.6854907374,1.93651249649,1.04768218601,84.1770926457,-5.77614597692,1.72884028824,0.411989286857,,,,,,,,,,,,7.45377104378,10.3845856245,1.3220228064,50.0,5.68298854599,-8.82164928618,-134.058724236,-7.38049327176,13.5224856714,29.8204674728,-13.3345363838,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,df5213e0-379d-11e9-9eac-7c67a28ae1ba,91.4887297402,,,8.24898377222,-0.191938596517,1.77231082346,-1.09514807255,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
9,02/23/2019,02:05:03 PM,3,2,"Harley, Dylan",1000037008,Left,SOU_GAM,"Estrada, Paul",8897936,Right,UTA_WOL,Windup,1,Top,2,0,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.9740435136,-2.08522699174,3.46260444302,1730.26945714,112.342388526,9:45,5.71965971421,-1.98746968302,6.01140206025,-32.4439585732,6.41260253232,-15.6915427163,1.08010717152,-0.0838500381217,77.3370393959,-8.18451739448,0.491886032612,0.448645895921,,,,,,,,,,,,9.58607622851,4.12445407568,1.72441431329,50.0,5.53828439054,-6.99235268709,-123.345117948,-5.47297991785,14.6181378568,26.8596487396,-25.8845264595,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,e84326ee-379d-11e9-9eac-7c67a28ae1ba,84.0136438645,,,7.63700411767,1.04105502708,1.02591569509,0.0807059090957,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
10,02/23/2019,02:05:18 PM,3,3,"Harley, Dylan",1000037008,Left,SOU_GAM,"Estrada, Paul",8897936,Right,UTA_WOL,Windup,1,Top,2,0,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,84.4989124313,-1.64923786569,1.66136148759,1666.68100658,121.658294999,10:00,5.7377603612,-2.07935694828,5.96781294554,-30.8073443452,8.49168141314,-13.8315399948,1.64050700336,-1.69140529481,76.7604145905,-7.44874019146,-0.960804833658,0.451193059452,,,,,,,,,,,,8.02218546471,5.12231753665,1.95555116072,50.0,5.59018386108,-3.1465864782,-122.833700155,-4.46503510243,12.1089000365,27.0663025546,-24.442286273,SOU_GAM,UTA_WOL,FoundersPark,NCAA,SEC,20190223-FoundersPark-1,f12120bb-379d-11e9-9eac-7c67a28ae1ba,83.5393535682,,,7.73849784081,-0.776905851612,1.34824404091,1.73063093735,,,,d8b40454-3799-11e9-9eac-7c67a28ae1ba
