PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/23/2019,09:54:40 PM,1,1,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.1598801637,-1.05136274361,-2.9534242588,2044.66856022,216.623273054,1:15,6.05081640902,1.55077711555,5.01132662394,-19.9515027379,14.6194120774,10.8907103076,3.39457807186,-0.331312131469,82.5089732493,-4.77499685619,-0.917825976517,0.423181773544,,,,,,,,,,,,-6.71147941599,8.03283217203,-1.27613705883,50.0,5.9344750571,6.47733285741,-133.576102628,-3.21345631765,-11.8897503495,33.999267787,-17.9434500244,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,841d5b3c-37df-11e9-9f9d-aced5cacee04,89.068997952,,,9.65090691436,-1.3864688351,3.15474056829,0.37313366543,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
2,02/23/2019,09:54:54 PM,1,2,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.6178908975,-3.65942296178,-2.38821795537,2066.32740473,205.19353101,12:45,5.99812500821,1.58937878252,5.05840008388,-14.1400026073,20.8229735263,9.81114045122,1.36165939856,0.153844780818,82.2505357015,-6.28808924969,-0.553528488452,0.425574615287,,,,,,,,,,,,-5.94913708948,12.1629383214,-1.37000494662,50.0,5.63905291379,5.16316908128,-132.632311411,-9.02101946709,-10.408339307,33.0839725883,-10.8943256125,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,8cbafa2e-37df-11e9-9f9d-aced5cacee04,88.568197367,,,9.36735519609,-0.999356593163,1.09245560501,-0.13256266736,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
3,02/23/2019,09:55:13 PM,1,3,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.9774109239,-2.25402795454,-3.36230516194,2064.64831644,209.92500345,1:00,5.9059733627,1.47609839348,5.23212795075,-17.9393687744,16.6542809226,9.60503168228,2.28781429766,-0.887199829462,82.1418820233,-5.61541491084,-1.55797035777,0.423320899257,,,,,,,,,,,,-6.253126862,9.6060089777,-1.17359995163,50.0,5.68541510176,7.47399845415,-133.196719283,-5.90806017688,-10.974963876,34.7526070501,-15.3143871663,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,95fee310-37df-11e9-9f9d-aced5cacee04,89.0397251524,,,9.83552890062,-1.27718931067,2.01808684383,0.957918326106,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
4,02/23/2019,09:55:29 PM,1,4,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.9151364027,-0.675157601361,-2.4317515415,2467.37113644,82.044370485,8:45,5.78678124002,2.07677221471,4.63163350144,-47.5184364462,-1.92520385866,-13.4691926152,1.18467602906,-1.35803332524,73.1978488122,-9.40366328761,-4.92912493699,0.485983708611,,,,,,,,,,,,6.15090983707,-0.766246977757,-1.81584580305,50.0,5.67605749728,5.45128929725,-117.225325022,-3.05142320625,8.36556535345,26.8280030284,-33.2161853035,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,a543091e-37df-11e9-9f9d-aced5cacee04,77.5589301724,,,7.71728759052,-1.27517645686,0.724873844235,1.59368159116,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
5,02/23/2019,09:55:48 PM,1,5,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Dunn, Jack",1000026605,Right,NOR_CAT,Windup,1,Top,0,3,1,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,80.7201639443,-0.0245615203355,-2.38211088538,2514.85622358,76.2425865883,8:30,5.88822815379,1.91702120718,4.55810409536,-49.4343783208,-3.3940727337,-13.6858560004,1.7453031607,-1.49163969151,72.7795411112,-9.11826267764,-4.91987682964,0.488360598301,,,,,,,,,,,,6.24929166185,-1.74908931101,-1.65769570696,50.0,5.84160389885,5.34668034784,-116.913501496,-1.79522754504,8.43268193772,27.1953292289,-34.5342382609,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,b0456297-37df-11e9-9f9d-aced5cacee04,77.1814447198,,,7.94062283311,-1.15499465519,1.31927752692,1.71625918603,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
6,02/23/2019,09:56:19 PM,2,1,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Stretch,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.2061462645,-2.42809804472,-1.39246624916,2034.57480276,203.204760457,12:45,6.05007469247,1.62944558889,5.11106653604,-14.6076442225,19.8419409054,8.5201039218,2.54353019593,1.02753504361,82.4568778511,-5.15779928276,0.206298658409,0.422438523889,,,,,,,,,,,,-4.96950393193,11.2955981102,-1.50488063659,50.0,5.81059080321,2.93060518816,-133.686074861,-6.2174207373,-8.79904290214,34.627697223,-12.17397335,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,c27af00c-37df-11e9-9f9d-aced5cacee04,89.225708333,,,9.74926841341,-1.53065861855,2.27287642563,-1.04083785006,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
7,02/23/2019,09:56:54 PM,2,2,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Stretch,1,Top,0,0,1,Slider,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,80.1878402783,-2.09016179587,-2.69851009571,2215.37426974,231.511502139,1:45,5.60927719992,2.09756109123,5.58602342091,-30.2834618546,14.4827678172,18.2677754887,1.13107939138,1.09846603534,72.1096821828,-7.77595671595,0.756733269269,0.481555976981,,,,,,,,,,,,-10.7201764903,8.48276346557,-1.87762035863,50.0,5.41055085698,4.92947860769,-116.298377879,-5.16423477404,-14.3645740211,26.2088627109,-20.807511465,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,d7be57df-37df-11e9-9f9d-aced5cacee04,78.2720562569,,,8.07815809551,-0.666160188411,0.84179090868,-1.1288975217,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
8,02/23/2019,09:57:20 PM,2,3,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Stretch,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2555690221,-0.588161653828,-2.07628957232,2102.89400741,199.626219548,12:45,5.88882713976,1.40091626469,5.03365481625,-17.6510285928,17.5813581431,6.28132002393,3.86269902205,-0.0351051502288,81.5264224665,-3.88978661327,-0.900047171424,0.427211122,,,,,,,,,,,,-4.01101314132,9.4481316656,-1.2076283629,50.0,5.81909161561,4.56282077432,-132.355881482,-2.0216877433,-6.96357091884,33.8583492967,-15.771027029,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,e117c3d5-37df-11e9-9f9d-aced5cacee04,88.2289214397,,,9.72914655558,-1.61864104067,3.65039644761,0.0806925690274,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
9,02/23/2019,09:57:39 PM,2,4,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Stretch,1,Top,0,2,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.944797571,-3.72960401955,-1.91705257386,2026.55012315,203.212269757,12:45,5.99508813209,1.33674413689,5.1433110374,-13.1727872699,23.0617890725,9.90475226813,1.37934460462,0.356739975783,80.5365587015,-6.18527726974,-0.0587091928976,0.43324455407,,,,,,,,,,,,-5.87832932552,13.4403032316,-1.16485499028,50.0,5.63601308415,3.99920980196,-130.231340317,-8.972539774,-9.88671139036,32.6221432194,-9.56891847758,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,f26638d3-37df-11e9-9f9d-aced5cacee04,87.0002315483,,,9.40823886949,0.599445398833,1.29046045657,-0.35614164717,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
10,02/23/2019,09:58:23 PM,2,5,"Jarvis, Bryce",8898949,Right,DUK_BLU,"Maxwell, Charlie",1000026615,Right,NOR_CAT,Stretch,1,Top,0,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,90.3046558363,-0.814008119332,-1.94158986175,2036.87121926,211.498960141,1:00,5.82275065578,1.52650025141,5.22302516893,-20.6851099537,14.8260686224,9.10551605768,3.33332011512,0.45946960789,81.2668499984,-4.68095173494,-0.235732264603,0.428898039915,,,,,,,,,,,,-5.43938306337,8.10039978822,-1.35427357708,50.0,5.73272084181,4.1135835848,-131.090772728,-2.61421061853,-9.32198080562,31.6266544325,-18.2916338664,DUK_BLU,NOR_CAT,JackCoombs,NCAA,ACC,20190223-JackCoombs-2,073ec458-37e0-11e9-9f9d-aced5cacee04,87.8819043532,,,9.03780583792,-1.2362135833,3.11086160092,-0.450860591641,,,,3b8ebc7c-37df-11e9-9f9d-aced5cacee04
