PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/23/2019,02:02:44 PM,1,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Tumosa, Mark",8897229,Right,UMASS_RIV,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.8357260783,-3.29525495922,-3.59324847298,2573.11267276,205.202564188,12:45,5.82547885548,2.15345831876,6.17017639504,-15.4379091051,15.3508023099,7.23800200853,1.48642832632,-0.5661291565,86.7530202217,-6.19686089338,-2.22760178322,0.399362493093,,,,,,,,,,,,-4.94221755343,9.28045517891,-1.88527772217,50.0,5.56776327279,8.40569348347,-137.632448887,-8.44577115599,-9.48056345748,30.525457276,-14.371525036,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,988c9f69-379d-11e9-ab79-181deafaf042,94.3813632302,,,8.08270585663,0.683827166687,1.40649921186,0.594495994784,,,,2823356c-3799-11e9-ab79-181deafaf042
2,02/23/2019,02:02:58 PM,1,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Tumosa, Mark",8897229,Right,UMASS_RIV,Windup,1,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.2294629171,-3.52295790834,-4.38693089257,2604.89971512,208.600630271,1:00,5.80449704886,2.09205614701,6.36326251433,-11.5991965178,18.8411083433,10.2883795354,1.58265818218,-1.09507133838,86.7806593691,-5.71800268227,-2.43868511627,0.397096461538,,,,,,,,,,,,-6.89791534694,11.3482858735,-1.77954878315,50.0,5.54360455846,10.2667282048,-138.05996598,-8.890715188,-13.2829410268,31.3959284484,-10.3212706618,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,a17f4a63-379d-11e9-ab79-181deafaf042,94.9199506214,,,8.44880354801,0.411048463151,1.48144754578,1.13752139146,,,,2823356c-3799-11e9-ab79-181deafaf042
3,02/23/2019,02:03:13 PM,1,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Tumosa, Mark",8897229,Right,UMASS_RIV,Windup,1,Top,0,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.5692473316,-1.37624588335,-2.75967325678,2493.0438783,216.891889932,1:15,6.02891423232,1.88591640751,6.10532045622,-14.6625502705,16.1898118444,12.1738449621,3.53277928495,0.34672176232,86.5045665585,-4.13861249952,-0.463740258965,0.399775088762,,,,,,,,,,,,-7.36445640524,9.16959658551,-1.68051600723,50.0,5.91546019758,6.22596113635,-137.548004635,-3.79523256253,-14.1377167878,29.9227363348,-14.5709625375,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,a7ebfe2e-379d-11e9-ab79-181deafaf042,94.2839551055,,,8.06468077304,-1.18943025629,3.34063349932,-0.328589538851,,,,2823356c-3799-11e9-ab79-181deafaf042
4,02/23/2019,02:03:37 PM,2,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Marchena, Oscar",8891980,Right,UMASS_RIV,Windup,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,94.6300447158,-1.85077369909,-1.82745589746,2545.54439791,204.978593963,12:45,5.86544316087,2.15182511794,6.12679450639,-12.954720506,18.039378806,8.41727241793,3.07380980688,1.16363601923,85.9318499746,-4.30080941068,-0.23192205972,0.400692329252,,,,,,,,,,,,-5.12727689735,10.3761078748,-2.01667252568,50.0,5.7173188905,4.11436463203,-137.622985114,-4.87506620927,-9.77050792006,32.3697972759,-12.4013999946,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,b9dd3bd5-379d-11e9-ab79-181deafaf042,94.0681260144,,,8.69819474123,-3.36587657142,2.7032891332,-1.15132591559,,,,2823356c-3799-11e9-ab79-181deafaf042
5,02/23/2019,02:04:14 PM,2,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Marchena, Oscar",8891980,Right,UMASS_RIV,Windup,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.3978431508,-1.86139932945,-2.39991813967,2229.67886558,113.605630612,9:45,5.89028520518,2.13709427482,5.90262377122,-33.2693353397,4.14098616275,-9.55629314501,1.38800425243,-0.888119754336,79.4539813408,-8.0598926821,-4.19526252821,0.440217434631,,,,,,,,,,,,4.47392219712,2.76748339477,-1.93894815833,50.0,5.72171690435,5.56328269481,-125.588961547,-5.12856212701,7.1270275513,26.0476795036,-27.7654045226,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,ce3c9ae4-379d-11e9-ab79-181deafaf042,85.6221802135,,,6.94386180994,1.07282160183,1.33904202128,0.913381948057,,,,2823356c-3799-11e9-ab79-181deafaf042
6,02/23/2019,02:04:31 PM,2,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Marchena, Oscar",8891980,Right,UMASS_RIV,Windup,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,95.1975044893,-0.822476080257,-2.85085924248,2426.74217194,215.165972536,1:15,6.13814248375,1.92929772109,5.99211098648,-13.6030543782,17.4270344299,12.298481861,4.24143771605,0.310335133651,85.6599299158,-3.40297346313,-0.517404241037,0.400924898217,,,,,,,,,,,,-7.59297157869,9.7293624016,-1.7115323832,50.0,6.06591595881,6.47311473951,-138.300038532,-2.44574012865,-14.4942560025,34.9888977321,-13.6016269519,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,d5490254-379d-11e9-ab79-181deafaf042,94.0135588704,,,9.53757457342,-1.53112778529,4.06178479501,-0.287657385093,,,,2823356c-3799-11e9-ab79-181deafaf042
7,02/23/2019,02:04:46 PM,2,4,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Marchena, Oscar",8891980,Right,UMASS_RIV,Windup,1,Top,1,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.3502773541,-1.8774306868,-2.33562839783,2398.48265507,218.510166087,1:15,5.94226767747,2.03819199092,6.06989798683,-15.7908380808,14.9885188597,11.9497768569,2.88718787347,0.871747467463,86.1344801671,-4.86801903807,-0.0665817688376,0.399301819718,,,,,,,,,,,,-7.23872356555,8.74959685849,-1.86383565216,50.0,5.78856148415,5.25350653559,-138.556755019,-5.07121588558,-13.8989329866,34.512983746,-15.3741170085,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,de001528-379d-11e9-ab79-181deafaf042,94.3957043515,,,9.215797187,-1.35325074472,2.64681842748,-0.871904488358,,,,2823356c-3799-11e9-ab79-181deafaf042
8,02/23/2019,02:05:14 PM,3,1,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Passatempo, Steve",8891982,Right,UMASS_RIV,Windup,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.5181947493,-1.42748959531,-1.9694149638,2216.77597316,105.726919851,9:30,5.73861934863,2.03814600952,5.78861266274,-37.2386798299,0.98267173778,-3.61728975483,1.30653049443,-0.0959042676081,78.8057626958,-8.35589814788,-2.64788267478,0.444963654614,,,,,,,,,,,,1.39701366556,0.924346224001,-1.87397024457,50.0,5.59882238111,4.39167241228,-124.373895125,-4.28415041702,2.18864455439,24.9030760644,-30.72591288,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,f20743a4-379d-11e9-ab79-181deafaf042,84.7088883109,,,6.71243205351,0.861353365478,1.22447173957,0.121625463703,,,,2823356c-3799-11e9-ab79-181deafaf042
9,02/23/2019,02:05:29 PM,3,2,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Passatempo, Steve",8891982,Right,UMASS_RIV,Windup,1,Top,2,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.172261012,-3.41537402901,-4.04128833191,2485.40839116,204.688972314,12:45,6.09805891008,2.01438829312,6.06659514185,-8.15687187977,23.060552785,10.6147855442,2.24638136858,-0.846731682824,85.3867384051,-4.96585198123,-2.02555857263,0.402133315475,,,,,,,,,,,,-7.11413552566,13.6935086386,-1.70677463604,50.0,5.82850052129,9.38900376836,-137.852207012,-8.51681424682,-13.4534475502,35.5746396471,-6.27843557808,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,f884a5f9-379d-11e9-ab79-181deafaf042,93.7310465723,,,9.78552260686,-0.701934968482,2.06082551322,0.91989207398,,,,2823356c-3799-11e9-ab79-181deafaf042
10,02/23/2019,02:05:45 PM,3,3,"Hancock, Emerson",1000027898,Right,GEO_BUL,"Passatempo, Steve",8891982,Right,UMASS_RIV,Windup,1,Top,2,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,96.1579118228,-3.48581179823,-6.14824924136,2510.75143543,215.486709785,1:15,6.32261185409,1.76218720658,6.05970695501,-7.43955198432,23.31974791,16.6462733089,2.45407867537,-2.56238063487,86.1430304684,-4.90730487517,-3.0013333444,0.399171698088,,,,,,,,,,,,-11.0702328316,13.8414407117,-1.29270799808,50.0,6.04662228296,14.3995524886,-138.82350995,-8.75311036685,-21.2584173046,35.7081100341,-5.59401837808,GEO_BUL,UMASS_RIV,UGeorgia,NCAA,SEC,20190223-UGeorgia-1,fffc506a-379d-11e9-ab79-181deafaf042,94.426475378,,,10.0148813544,-1.77540535235,2.17682152745,2.72344893514,,,,2823356c-3799-11e9-ab79-181deafaf042
