PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/24/2019,10:02:56 AM,1,1,"Baum, Tyler",8889807,Right,NOR_TAR,"Gonzalez, Nick",1000052348,Right,USF_BUL,Windup,1,Top,0,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.8570230639,-0.771478390446,-2.18222968389,2086.59153478,215.176583045,1:15,5.6076616893,0.898203370303,5.78860463006,-22.974660099,12.1832578939,8.61018646856,2.97493528243,-0.415110978497,80.8362288397,-5.11186372688,-0.551666188373,0.426759396942,73.54552,80.2494786901,139.794450229,,,,,,,,,-5.36210575495,6.82731985252,-0.723754399961,50.0,5.53059571956,4.69104737047,-130.537574944,-2.51459462238,-9.09378627037,31.8680984136,-20.5953534736,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,41d6104a-3845-11e9-aef4-484d7efbbbf7,88.3223118018,,,9.0207942242,2.68751570927,3.08727210936,0.402366952918,2.5318297718,3.07365541197,0.403982573152,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
2,02/24/2019,10:03:20 AM,1,2,"Baum, Tyler",8889807,Right,NOR_TAR,"Gonzalez, Nick",1000052348,Right,USF_BUL,Windup,1,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.8896760987,-1.61032945209,-0.343595633542,2286.64340095,334.26061407,5:15,6.0959840593,0.764702260027,5.13575205503,-54.4170662582,-6.74179076449,3.22870349914,0.0445706046268,0.710239074589,71.6400470747,-11.6088687091,0.259200316768,0.496956212363,,,,,,,,,,,,-1.80566499647,-3.05160222194,-0.734959138555,50.0,5.9042664137,0.575536650995,-113.120707238,-4.91353324422,-2.31490807153,22.6767351257,-36.0862795785,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,529d640e-3845-11e9-aef4-484d7efbbbf7,75.846474163,,,6.24962902398,5.58673253576,0.868095180973,-0.693340773044,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
3,02/24/2019,10:03:34 AM,1,3,"Baum, Tyler",8889807,Right,NOR_TAR,"Gonzalez, Nick",1000052348,Right,USF_BUL,Windup,1,Top,0,1,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.5592807188,-2.43099295359,-0.790673197665,2138.49736756,216.561814509,1:15,5.98308753243,0.790169771556,5.90925437959,-17.6562535963,16.6004253781,12.3352938864,2.25404202357,1.08426763989,82.103704331,-5.75299019244,1.54361399283,0.42125410626,,,,,,,,,,,,-6.91773854497,9.73165517747,-0.733802296616,50.0,5.77815883788,1.41402755206,-131.62271481,-6.16455122766,-12.0086221603,30.6687393078,-15.2806997747,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,5b331c61-3845-11e9-aef4-484d7efbbbf7,89.4765794825,,,8.45557638775,0.022853336953,2.11232016963,-1.12269939779,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
4,02/24/2019,10:03:50 AM,1,4,"Baum, Tyler",8889807,Right,NOR_TAR,"Gonzalez, Nick",1000052348,Right,USF_BUL,Windup,1,Top,0,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.8234632803,-0.145041046299,-0.546606704605,2395.79673003,357.513298158,6:00,6.06900244324,0.640622498075,5.59749994692,-49.6020520365,-6.4905957977,0.280115885332,1.80009484141,0.153688888612,74.5117621671,-9.35627828344,-0.494116084243,0.472571868112,,,,,,,,,,,,-0.304221317796,-3.42426765865,-0.594029410134,50.0,6.02467509539,1.11321274596,-117.594274709,-1.83487851074,-0.425250881432,22.6616430934,-36.9606060885,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,64f2c923-3845-11e9-aef4-484d7efbbbf7,79.7600937858,,,6.31170111322,1.44716506458,1.80511846979,-0.153951921061,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
5,02/24/2019,10:04:13 AM,2,1,"Baum, Tyler",8889807,Right,NOR_TAR,"Santos, Jordan",8901534,Left,USF_BUL,Windup,1,Top,1,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.2423670134,-1.53144991539,-2.90331974768,2256.62482033,236.962327407,2:00,5.47845403242,1.15526690795,5.89845431269,-23.3069066874,9.82601734482,15.1568830744,2.1124708234,-0.278987393076,83.4148443846,-5.92731598237,-0.0348065365064,0.414287090652,,,,,,,,,,,,-9.11390639554,5.7985007285,-0.930499152467,50.0,5.34202456911,6.29050060819,-133.962098198,-4.36035822455,-16.356086517,32.2945559008,-21.7678873048,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,6e937969-3845-11e9-aef4-484d7efbbbf7,90.9812962355,,,8.82752262882,-1.42241231293,1.81083278321,0.276238146974,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
6,02/24/2019,10:04:24 AM,2,2,"Baum, Tyler",8889807,Right,NOR_TAR,"Santos, Jordan",8901534,Left,USF_BUL,Windup,1,Top,1,0,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.4613509842,0.542402302816,-0.126884182884,2384.69434316,316.651763047,4:30,5.93838516673,0.767920677672,5.13615034265,-49.0251656023,-3.18929910453,2.96983676502,2.36367495119,0.895937941554,72.3200605525,-8.55322865214,0.428000131915,0.487275124662,,,,,,,,,,,,-1.60366693035,-1.84933316966,-0.758271146745,50.0,5.95236476616,0.159220047775,-115.432003742,-0.498709908689,-2.13759957057,23.9105096386,-34.6391076747,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,74b8adea-3845-11e9-aef4-484d7efbbbf7,77.353377206,,,7.1412904317,-0.483659410193,2.07155465143,-0.910515398825,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
7,02/24/2019,10:04:39 AM,2,3,"Baum, Tyler",8889807,Right,NOR_TAR,"Santos, Jordan",8901534,Left,USF_BUL,Windup,1,Top,1,0,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.6435910791,-0.318278871203,-0.300280336444,2451.72087121,327.572125736,5:00,5.979805332,0.665460796018,5.4513193988,-49.5369728319,-7.52259931656,4.75402565155,1.55378955557,0.780547152166,75.1723198696,-9.55497178679,0.59477941348,0.466520212088,,,,,,,,,,,,-2.63185558585,-3.90647868299,-0.642187935172,50.0,5.91854122532,0.477014624541,-120.086699618,-2.25459952692,-3.78088059125,26.7721573619,-37.7860317944,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,8078d687-3845-11e9-aef4-484d7efbbbf7,80.7947341712,,,7.47127120951,1.69435715198,1.60039758075,-0.777677614652,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
8,02/24/2019,10:05:10 AM,3,1,"Baum, Tyler",8889807,Right,NOR_TAR,"Phillips, Kyle",1000008746,Left,USF_BUL,Windup,1,Top,2,0,0,Undefined,Fastball,InPlay,Undefined,Popup,Out,1,0,,92.4527201992,-0.7260699918,-2.85395251444,2200.01199264,240.397544404,2:00,5.54286983921,1.14466553286,5.75818279061,-23.3618075335,9.8794220583,17.4442044159,2.91942203246,-0.0600302723128,83.2413381223,-5.1344336791,0.445099513297,0.414963653144,,,,,,,,,,,,-10.3239514365,5.55861057033,-0.918709402146,50.0,5.46871585113,6.09866747284,-134.246594589,-2.49866397446,-18.5449971871,33.3150212337,-22.1890715808,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,925e33a4-3845-11e9-aef4-484d7efbbbf7,90.8329590689,,,9.21138207694,2.67601151049,3.03123507601,0.0688079650408,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
9,02/24/2019,10:07:44 AM,1,1,"Wisely, Alec",1000025017,Right,USF_BUL,"Harris, Dylan",1000035579,Left,NOR_TAR,Windup,1,Bottom,0,0,0,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.6243435084,-0.930848970677,-3.37090762719,2295.74346611,209.575577497,1:00,5.43815121852,2.3809194701,6.15518374256,-19.1900521342,16.2337170886,9.23178611763,2.97752048223,0.0326821388751,80.3151041931,-4.56565992782,-1.62103950683,0.428369856958,,,,,,,,,,,,-6.0580178341,9.13901114212,-2.12973107099,50.0,5.35758456073,7.30287121377,-128.76997977,-2.68176190488,-10.0851695037,28.8667588576,-16.9597525625,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,ebd90710-3845-11e9-aef4-484d7efbbbf7,87.990263341,,,8.30923931534,-1.5157187033,2.73721174709,0.0473941271074,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
10,02/24/2019,10:07:58 AM,1,2,"Wisely, Alec",1000025017,Right,USF_BUL,"Harris, Dylan",1000035579,Left,NOR_TAR,Windup,1,Bottom,0,0,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2874621321,-2.22776243439,-3.26443712423,2425.56950399,200.133039767,12:45,5.5226748113,2.19334296714,6.12116730399,-21.434066735,13.0839308136,4.80849377447,1.67284520418,-0.426757085443,82.2753332817,-6.2409857412,-2.3606226169,0.422857769987,,,,,,,,,,,,-3.45861389607,7.68320585434,-1.94611251807,50.0,5.34075151665,7.25183958724,-129.785517633,-5.72890598558,-5.93738868335,25.5170971649,-18.9843197049,NOR_TAR,USF_BUL,UNC,NCAA,ACC,20190224-UNC-1,f4af1b1a-3845-11e9-aef4-484d7efbbbf7,89.1372447107,,,7.01212885049,-0.817072288943,1.42456196268,0.517988803218,,,,7ca2dea4-3844-11e9-aef4-484d7efbbbf7
