PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/28/2019,07:05:39 PM,1,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.8095272431,-3.76523709948,-1.10084226515,2048.56983464,176.91899462,12:00,6.36860648508,1.01688551541,5.47269913475,-9.6827963811,28.5007381651,-1.53600112997,2.032910252,-0.141279736261,78.1629967877,-5.5747646301,-1.38984460603,0.444743471866,,,,,,,,,,,,0.464786548787,16.413760907,-0.91925947849,50.0,6.03124713517,2.47001916995,-125.86384606,-8.60908973618,0.734345571622,29.1383400313,-6.24091286822,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,e1cf295d-3bce-11e9-b147-302432607227,84.7508258254,,,8.64653045542,-0.714825261596,1.82320818629,0.193247117462,,,,42ba5a29-3bcc-11e9-b147-302432607227
2,02/28/2019,07:05:53 PM,1,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,86.8790077757,-3.65389694763,-2.45339450074,2070.51733529,207.112852592,1:00,6.0153277513,0.99290072839,5.62027856453,-18.7688239452,18.8845919596,9.68720651719,1.03402276462,-0.490510218696,79.0709926985,-7.15139693122,-0.634472580589,0.441645397637,81.1185382635,32.8731927113,54.810049008,4803.34113736,50.3067963661,53.7259864958,97.8221181872,275.553009613,71.7218182744,72.9388802079,3.82023864746,-5.91019425356,11.1884077144,-0.789980408874,50.0,5.69149941318,5.07936501456,-126.000308586,-8.67218327934,-9.44027166713,27.1380822307,-14.3029594154,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,ea189361-3bce-11e9-b147-302432607227,85.3453397743,58.9394483249,0.799078165229,7.80801507721,1.36461383528,1.02748960554,0.491085720982,1.09167682562,0.993173870741,0.494072703407,42ba5a29-3bcc-11e9-b147-302432607227
3,02/28/2019,07:06:13 PM,1,3,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Diaz, Gio",1000025914,Right,STM_GAE,Stretch,1,Top,0,0,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Single,0,0,,86.4680077526,-2.46430695589,-2.19549491305,2126.07356939,189.908107731,12:15,6.22643774743,1.18163259153,5.62375297901,-11.2143211208,26.8702094112,4.69977520863,2.9894909674,-0.476219773308,78.0702490592,-4.56962177927,-1.31085466223,0.444166522034,96.2100344722,14.8076629121,-11.5019655427,626.119573616,107.018058627,18.2575460448,-25.437600586,212.496420739,212.496420739,-14.6635978467,1.93606689453,-3.20185969284,15.1630874496,-0.997660231439,50.0,6.009338128,4.65856460962,-125.520864272,-5.77244118747,-5.04933580142,28.1431965887,-8.26184512959,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,faadcbed-3bce-11e9-b147-302432607227,84.8609128589,18.2580358278,1.93633987069,8.39775869347,1.73215469588,3.01467263589,0.468983722366,1.46941066171,2.99370648446,0.475012376561,42ba5a29-3bcc-11e9-b147-302432607227
4,02/28/2019,07:06:52 PM,2,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.7359007571,-3.10001726797,-2.23208764727,2071.32237194,200.32642994,12:45,6.10392095783,0.922482185408,5.54862262876,-17.0620618189,21.4645745566,7.9646639178,1.78052844633,-0.500418192608,78.34140966,-6.27322840804,-0.742412500332,0.446737145957,,,,,,,,,,,,-4.87119237512,12.3097912288,-0.734713193881,50.0,5.82437457241,4.58784149599,-124.467735378,-7.31064251135,-7.63411096717,25.2129768526,-12.8821986382,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,0e8c702d-3bcf-11e9-b147-302432607227,84.3726044772,,,7.39449109706,-0.256201705289,1.59493286621,0.521309152243,,,,42ba5a29-3bcc-11e9-b147-302432607227
5,02/28/2019,07:07:12 PM,2,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.1040400216,1.49849471534,-2.1111919368,2305.18938167,70.7071498946,8:15,5.79271403453,1.59814998881,5.16528405388,-57.5469367428,-2.34310003479,-6.54524720152,2.40857033983,-0.934918793681,66.4094813653,-9.11047295349,-3.32578540214,0.534756595409,,,,,,,,,,,,2.84225072305,-1.65747559405,-1.3965853772,50.0,5.88922894586,4.05426116422,-104.730907779,1.04058142829,3.15053573679,18.0171440534,-34.0113024094,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,177f1730-3bcf-11e9-b147-302432607227,70.4851082618,,,5.69455865628,-1.41849827465,1.93697106754,1.10151396139,,,,42ba5a29-3bcc-11e9-b147-302432607227
6,02/28/2019,07:07:33 PM,2,3,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.3130615676,-0.735958170715,-2.81904178836,2344.0684615,29.4198212417,7:00,5.773871592,1.51479234255,4.9649919257,-63.6509039091,-9.55071329485,-5.35721940534,-0.226395254773,-1.59650021269,67.9008177373,-12.3426925754,-3.81120963199,0.529384127824,,,,,,,,,,,,1.95722363107,-4.77277375333,-1.23796921086,50.0,5.65192667797,5.40316710888,-106.377703533,-3.32844817285,2.22645468696,19.4866815169,-37.6033537846,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,28a5b648-3bcf-11e9-b147-302432607227,71.2004280824,,,5.41224383032,2.18054384848,-0.0601708579511,1.54572239498,,,,42ba5a29-3bcc-11e9-b147-302432607227
7,02/28/2019,07:08:06 PM,2,4,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,85.8756984939,-2.24707585994,-2.23475384481,2118.48054465,188.060816192,12:15,6.20948977362,0.84157292655,5.56990276733,-15.8330089111,22.7129878431,3.22182336614,2.78866101135,-0.978228705829,77.9139116652,-5.20783725036,-1.630193507,0.446849378879,,,,,,,,,,,,-2.39173717523,12.8072812443,-0.651266729611,50.0,6.00564913832,4.76041181845,-124.701006732,-5.41714719634,-3.73741676046,26.8602936941,-12.1609183203,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,3b4c18a2-3bcf-11e9-b147-302432607227,84.3514130324,,,7.96178682871,1.00920787277,2.75141432067,0.989805864799,,,,42ba5a29-3bcc-11e9-b147-302432607227
8,02/28/2019,07:08:30 PM,2,5,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Novis, Ryan",10000095,Right,STM_GAE,Stretch,1,Top,0,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.6165142408,-1.85820397935,-2.57146935121,2032.90844406,183.45137955,12:00,6.12894293555,0.693637932267,5.5822280121,-14.5410915186,24.3152030517,1.46867522255,3.17969113831,-1.58674805693,77.4386958216,-4.58324124955,-2.29562722606,0.448644357183,,,,,,,,,,,,-1.57768884769,13.5755316337,-0.473720558964,50.0,5.95989211224,5.53460963319,-124.302378458,-4.51112758677,-2.44294421366,27.317324643,-11.1532582399,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,4ae2455d-3bcf-11e9-b147-302432607227,84.0139320102,,,8.17781841925,-2.38585742128,2.86702078836,1.73841480459,,,,42ba5a29-3bcc-11e9-b147-302432607227
9,02/28/2019,07:08:59 PM,3,1,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Milam, Kevin",1000009861,Right,STM_GAE,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7100235996,-5.33247715231,-2.66583915713,1957.73694883,206.245439753,12:45,6.08142086331,0.855540033829,5.72946842609,-18.0910033293,20.5604340573,10.1551674966,-0.411551083867,-0.782419981352,78.2542512002,-8.68895946841,-0.757357218944,0.447460128479,,,,,,,,,,,,-6.22863689367,12.5968293808,-0.639620435424,50.0,5.62461264344,5.45149222194,-124.036924613,-12.1668982789,-9.65858610098,25.8856556326,-12.6404711059,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,5621aee9-3bcf-11e9-b147-302432607227,84.2362796641,,,7.45577239943,3.60537130963,-0.0801098880225,0.751760895912,,,,42ba5a29-3bcc-11e9-b147-302432607227
10,02/28/2019,07:09:26 PM,3,2,"Scott, Mitchell",1000058609,Right,CAL_BEA,"Milam, Kevin",1000009861,Right,STM_GAE,Stretch,1,Top,1,1,0,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.6033036343,-4.13408117339,-2.51066357676,1660.22506685,200.944229953,12:45,5.7646778473,1.47500624012,5.76527207171,-30.726405332,16.6388780833,6.38553680956,-0.653324393772,-0.330724808421,70.5137795521,-9.85920181823,-1.30357669272,0.49533793409,,,,,,,,,,,,-4.25223141251,10.3050909766,-1.27121329858,50.0,5.40378249802,4.74814873714,-112.43569085,-9.00963961804,-5.35964055348,23.3105110327,-19.1852014906,CAL_BEA,STM_GAE,CalBerkeley,NCAA,PAC12,20190228-CalBerkeley-1,68096328-3bcf-11e9-b147-302432607227,76.0942660092,,,7.0895240822,4.83542110268,-0.0719978358964,0.250229898535,,,,42ba5a29-3bcc-11e9-b147-302432607227
