PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/01/2019,05:03:46 PM,1,1,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Handley, Maverick",8900470,Right,STA_CAR,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.7059683392,-3.83790483259,-3.47104521264,2370.57269759,203.076668607,12:45,6.15516415227,3.22061837649,6.80638516616,-12.3001946013,19.5785663251,8.35431502444,1.61673298739,0.745932724264,83.6269379345,-6.1948581818,-1.86378820048,0.406370557473,,,,,,,,,,,,-5.79455708411,12.1952625444,-2.99973858763,50.0,5.90227545856,7.92756144691,-134.502869314,-9.37938775848,-10.4531206433,33.3263215607,-10.1743428321,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,082d0d92-3c87-11e9-808f-64006a6aa9f6,92.7537092143,,,9.07903040475,-0.0604556664608,1.45529888828,-0.698556523192,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
2,03/01/2019,05:04:06 PM,1,2,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Handley, Maverick",8900470,Right,STA_CAR,Windup,1,Top,0,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.0850927183,-3.88645712923,-4.84833642221,2383.13389285,195.447459985,12:30,6.22278362614,3.08435945668,6.84889128286,-9.60513040653,22.8826096923,6.33175890011,1.86103011623,-0.818622955058,82.6637319948,-5.73278054828,-3.63082916983,0.410233638958,,,,,,,,,,,,-5.17575151735,14.1396185981,-2.77699973017,50.0,5.97031100239,11.1392762447,-133.342583365,-9.35081516992,-9.13923447445,33.819216494,-7.20660386467,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,12a056be-3c87-11e9-808f-64006a6aa9f6,91.8802675881,,,9.42136072349,0.744101460267,1.79320893599,0.861191206826,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
3,03/01/2019,05:04:32 PM,1,3,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Handley, Maverick",8900470,Right,STA_CAR,Windup,1,Top,0,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.238836075,-1.76339234435,-3.32746816839,2281.23454347,185.467684865,12:15,6.36334715043,3.18761308757,6.73896191487,-12.4224295758,20.2120013033,1.9376266544,3.71391158687,0.305746018361,82.8878574057,-4.13683547934,-2.95694718422,0.411158752802,,,,,,,,,,,,-2.0730491637,11.7860269193,-2.96970657103,50.0,6.24247213936,7.65973474455,-132.673326415,-4.43754445222,-3.66902573722,30.2496368456,-11.3143232475,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,2484dffe-3c87-11e9-808f-64006a6aa9f6,91.6735355001,,,8.35097866929,-1.98804755369,3.46195390283,-0.13071634869,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
4,03/01/2019,05:05:03 PM,2,1,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Stowers, Kyle",8888744,Right,STA_CAR,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.3133348437,-2.65677147013,-3.40821756569,2347.33126299,190.97372762,12:15,6.10206542971,3.62731699683,6.86805475224,-13.3776052006,18.2411912572,3.54281336439,2.56004361778,0.812876944449,84.3274567754,-5.20869327037,-2.73071114449,0.40471023321,,,,,,,,,,,,-2.94894496606,10.9533078537,-3.41232922153,50.0,5.92827994254,7.89556527676,-134.209563937,-6.60600259675,-5.36771074395,29.5976201441,-12.2366848807,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,3663bfe1-3c87-11e9-808f-64006a6aa9f6,93.1342314282,,,7.98587806833,-0.91587533843,2.34447006848,-0.702338234832,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
5,03/01/2019,05:05:23 PM,2,2,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Stowers, Kyle",8888744,Right,STA_CAR,Windup,1,Top,1,0,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,92.5913135939,-2.63615099214,-3.85679636888,2383.04896341,175.872030544,11:45,6.30669846406,3.34778050538,6.77963456767,-11.6997058296,20.198502339,-1.45992227389,2.91808953445,-0.299967443416,83.6951099469,-4.87248499515,-4.13656841122,0.406494489231,67.2775559756,7.69418637365,-14.2198622667,2762.32236313,,,,94.8154864656,93.7496608772,-16.9691451388,1.06349060059,-0.411574625578,12.125433943,-3.09640968545,50.0,6.1305285866,9.1041934228,-134.443286289,-6.52955053277,-0.743004989174,32.864060345,-10.2843173737,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,3f5a6e3f-3c87-11e9-808f-64006a6aa9f6,92.7254305277,5.7719362486,1.05051077262,8.896203647,1.36000002249,2.91324487141,0.304065889638,0.772761421023,2.86287284424,0.346559033311,8c746d30-3c86-11e9-808f-64006a6aa9f6
6,03/01/2019,05:06:11 PM,3,1,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Tawa, Tim",1000024914,Right,STA_CAR,Stretch,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.9918175262,0.047596839348,-1.85851726253,2695.17535776,74.2679267536,8:30,6.31009782031,3.12205748869,6.34485528871,-51.1481644749,-5.01067672784,-17.6338241834,2.09158483937,-0.0587190225921,70.4452875434,-9.66892428492,-5.24051462642,0.488875743877,,,,,,,,,,,,9.05721227755,-2.78361751196,-2.97903841013,50.0,6.28979466228,4.12733918908,-113.364606017,-1.20759125677,11.4406536352,26.3900529062,-35.6901860644,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,5a307042-3c87-11e9-808f-64006a6aa9f6,77.1001159153,,,7.5465299828,-1.00056627259,1.66653088113,0.284389031756,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
7,03/01/2019,05:06:38 PM,3,2,"Bibee, Tanner",1000018470,Right,CAL_FUL,"Tawa, Tim",1000024914,Right,STA_CAR,Stretch,1,Top,1,0,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,2,0,,92.9355147222,-4.16739417336,-4.32578600504,2310.41153028,180.091680346,12:00,6.35184295508,2.9067288225,6.83971163489,-8.59551630897,22.8593402086,0.0366251307229,1.81803306429,-1.04208267388,84.735865924,-5.79950021592,-4.31879843539,0.403659680936,71.7987123026,12.4371053801,14.1526825925,2971.36112579,104.241650315,9.65024355833,35.1228132215,153.292576966,138.872633376,20.0424125323,1.72638244629,-1.27596232663,13.9846436987,-2.62986747905,50.0,6.08115581143,10.1907270477,-134.734784148,-10.0833882321,-2.33596619362,30.3862091242,-6.5716822262,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,6c147897-3c87-11e9-808f-64006a6aa9f6,93.3766197153,11.3672846609,1.53722369556,8.19964879812,2.35824482541,1.91365774661,0.970973176665,2.34508309825,1.91232494042,0.971967188003,8c746d30-3c86-11e9-808f-64006a6aa9f6
8,03/01/2019,05:09:20 PM,1,1,"Beck, Brendan",1000024913,Right,STA_CAR,"LoForte, Hank",8892217,Left,CAL_FUL,Windup,1,Bottom,0,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,45f0b2e9-f232-40ae-832d-16c241b28805,,,,,,,,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
9,03/01/2019,05:09:21 PM,1,2,"Beck, Brendan",1000024913,Right,STA_CAR,"LoForte, Hank",8892217,Left,CAL_FUL,Windup,1,Bottom,0,1,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,31f0a9e0-5f69-42fa-acad-74dd1c6022c9,,,,,,,,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
10,03/01/2019,05:09:22 PM,1,3,"Beck, Brendan",1000024913,Right,STA_CAR,"LoForte, Hank",8892217,Left,CAL_FUL,Windup,1,Bottom,0,2,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,STA_CAR,GoodwinField,NCAA,BW,20190301-GoodwinField-1,622cb0da-e12c-4daf-82ec-379613f99432,,,,,,,,,,,8c746d30-3c86-11e9-808f-64006a6aa9f6
