PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/01/2019,01:01:41 PM,1,1,"Schwab, Davis",10000802,Left,MIS_BEA,"Palmer, Jake",1000026524,Left,CAL_ANT,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.2953741348,-3.45237724511,3.19723418822,2129.11787077,143.790807384,10:45,6.38760817606,-1.51463567364,5.76193690794,-17.8946268936,16.7682637252,-12.3005066926,1.67458668192,0.438863699431,82.1877737598,-6.79856669428,0.884329039244,0.423744336467,,,,,,,,,,,,7.55148240575,10.0297890773,1.25738645523,50.0,6.09054148179,-6.90288251917,-130.940390482,-8.51035442527,13.0396751939,29.0432140726,-14.8549071213,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,71b226ee-3c54-11e9-9ea5-d46d6d941de5,88.9507499626,,,8.10760037501,-0.367927574289,1.45976276819,-0.465005198365,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
2,03/01/2019,01:01:58 PM,1,2,"Schwab, Davis",10000802,Left,MIS_BEA,"Palmer, Jake",1000026524,Left,CAL_ANT,Undefined,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9592085861,-1.44212414604,2.10576428308,2026.92046367,140.189813533,10:45,6.21106050788,-1.74289862523,5.69420244225,-20.1890043089,14.6846242242,-12.2665200001,3.18365922924,-0.802043052838,81.7599771018,-5.22727155145,-0.20116558052,0.425030491208,,,,,,,,,,,,7.20235486658,8.30302753336,1.57378045195,50.0,6.0775138328,-4.39296699276,-130.741808725,-3.97552843127,12.3891707301,29.1605473055,-17.8915496248,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,7aa33511-3c54-11e9-9ea5-d46d6d941de5,88.6815823825,,,8.19923148434,-1.96984354082,2.86551033112,0.818991337929,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
3,03/01/2019,01:02:16 PM,1,3,"Schwab, Davis",10000802,Left,MIS_BEA,"Palmer, Jake",1000026524,Left,CAL_ANT,Undefined,1,Top,0,1,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Error,0,0,,89.8072945133,-1.80761547644,2.50138802967,2009.15086132,145.297132942,10:45,6.29905672909,-1.58721511431,5.83207314604,-21.3493405311,13.1919128275,-9.15798036832,2.83777198194,-0.0240915385653,82.4192804188,-5.79748267637,0.783683777892,0.423000191982,93.226835294,-41.3719660344,-20.7094732453,,,,,2.87058183409,1.80899373834,-21.7176332839,0.0294805908203,5.59684870844,7.57995575179,1.38871092159,50.0,6.13898823343,-5.4004494464,-130.577036896,-4.83316395289,9.69471007636,26.6531980708,-19.0442540536,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,8394435d-3c54-11e9-9ea5-d46d6d941de5,89.1072326575,2.67659825583,0.019077798142,7.38801409453,-0.000324824711633,2.69237466625,0.00535836211555,-0.152318659121,2.67659825583,0.00342630418068,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
4,03/01/2019,01:03:01 PM,2,1,"Schwab, Davis",10000802,Left,MIS_BEA,"Koss, Christian",8901191,Right,CAL_ANT,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6084052315,-1.20914054557,1.60264757389,2038.53904676,139.847085031,10:45,6.48040295033,-1.41749527353,5.49136573342,-19.824897755,14.7514351274,-12.4725907739,3.69674234739,-0.957442925342,82.4343757111,-4.91109275629,-0.73336418649,0.423214933462,,,,,,,,,,,,7.10637927914,8.20469228044,1.2856845845,50.0,6.36142044835,-3.2454217579,-131.704716662,-3.47952752614,12.4231935224,29.2067747695,-17.830811869,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,9e67652b-3c54-11e9-9ea5-d46d6d941de5,89.0620191796,,,8.17402952048,-1.47502761945,3.44235627715,0.998166989034,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
5,03/01/2019,01:03:18 PM,2,2,"Schwab, Davis",10000802,Left,MIS_BEA,"Koss, Christian",8901191,Right,CAL_ANT,Undefined,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.7615121297,-2.88269275892,1.61482341817,2039.17522703,162.895857373,11:30,6.30362929475,-1.77976542974,5.51239475793,-16.2254928265,19.2458578472,-5.93258497818,2.25287460381,-0.763907721713,81.2417452218,-5.91482818552,0.500099142118,0.428657455087,,,,,,,,,,,,3.66458996171,11.1602464402,1.64306880933,50.0,6.04169377037,-3.46777045192,-130.28300603,-7.12393844923,6.23053713421,30.1306272018,-13.1993936567,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,acc42fd5-3c54-11e9-9ea5-d46d6d941de5,87.9312282426,,,8.51976690797,-1.54552062641,1.94084524326,0.739927886577,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
6,03/01/2019,01:03:54 PM,2,3,"Schwab, Davis",10000802,Left,MIS_BEA,"Koss, Christian",8901191,Right,CAL_ANT,Undefined,1,Top,0,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9321174521,-1.51358431554,1.39160239901,2001.12889373,167.693546465,11:30,6.64581417791,-1.26238039513,5.47107251835,-15.519360497,19.1595089071,-4.18682228487,3.93551246186,-0.30889150708,81.8627513812,-4.42639933026,0.60380044501,0.423841993348,,,,,,,,,,,,2.68008382707,10.7038634407,1.14300620569,50.0,6.50255421626,-3.06104036582,-132.066749768,-4.03640540403,4.66279731526,32.0417756146,-13.5515169737,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,c226d7b9-3c54-11e9-9ea5-d46d6d941de5,88.9302549362,,,9.06936607097,-2.03177991801,3.66185106558,0.274358179229,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
7,03/01/2019,01:04:13 PM,2,4,"Schwab, Davis",10000802,Left,MIS_BEA,"Koss, Christian",8901191,Right,CAL_ANT,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.8316350009,0.204182016607,-0.0915983446783,2411.76244984,266.661474925,3:00,6.17495970629,-1.80778449379,5.20093957242,-44.6197879355,0.638950259666,11.6827277035,2.64866267577,-0.920365163739,72.6860168583,-8.07928460742,2.09187190621,0.484197719028,,,,,,,,,,,,-6.19345964142,0.273758206118,1.80767080404,50.0,6.16105437188,-0.192184673447,-115.995467279,-1.02889565584,-8.34347677645,23.9732655463,-31.8052570623,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,cb1cab8b-3c54-11e9-9ea5-d46d6d941de5,77.8450104985,,,7.14561814266,-1.65746989373,2.19693690132,0.804136747529,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
8,03/01/2019,01:05:02 PM,3,1,"Schwab, Davis",10000802,Left,MIS_BEA,"Lewis, Brandon",1000056310,Right,CAL_ANT,Undefined,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.1488288103,-2.98859066643,0.844743854213,2068.47126036,150.850386749,11:00,6.69872357416,-1.2747072881,5.59215373956,-17.5704847326,16.6075468824,-9.28040947743,2.44154483323,-1.25936849003,82.8447901699,-6.26768425991,-0.899151476517,0.420770265424,,,,,,,,,,,,5.21420647619,9.77448597334,1.20829835481,50.0,6.43119858848,-1.62923826488,-132.372168512,-7.52231284543,9.18214218897,30.2399639243,-14.9613201305,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,e5efd5fa-3c54-11e9-9ea5-d46d6d941de5,89.5794679863,,,8.30403864043,-1.80421699728,2.08120464525,1.31337615891,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
9,03/01/2019,01:05:37 PM,3,2,"Schwab, Davis",10000802,Left,MIS_BEA,"Lewis, Brandon",1000056310,Right,CAL_ANT,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.9842638168,1.98466691534,-0.205956509488,2428.62291016,255.241527176,2:30,6.13861836884,-1.97573005167,5.11216855965,-43.2981553155,3.23515053121,12.4466672027,4.40070131433,-1.13251406576,71.4152646048,-6.07859820142,2.11899323983,0.490968322186,,,,,,,,,,,,-6.61609697056,1.07459391597,1.98568790863,50.0,6.29258857142,0.00973406860348,-114.659841622,2.57339618802,-8.69146854471,23.8123004542,-30.7623704537,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,ffcb0444-3c54-11e9-9ea5-d46d6d941de5,76.7715040215,,,7.56899921206,-2.45912144516,3.9643943739,0.982414799346,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
10,03/01/2019,01:05:54 PM,3,3,"Schwab, Davis",10000802,Left,MIS_BEA,"Lewis, Brandon",1000056310,Right,CAL_ANT,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,79.3460117922,0.297093789184,0.958564783316,2532.07880684,264.251572643,2:45,6.09963038954,-2.01966436736,5.32557115115,-44.5280877217,1.03980058966,10.7547143613,2.66774566798,-0.223982475102,72.3451994621,-7.98018945699,2.97035527346,0.485848616002,96.1985047698,37.8136667537,-11.5647788809,3444.9880881,108.390482595,82.5921286326,-18.7482596023,339.783785821,212.781001858,-7.12523545153,5.77991638184,-5.40385428159,0.459520723883,1.92551253547,50.0,6.09509518255,-2.26848330672,-115.306409766,-0.80647610812,-7.20032693249,23.5025895483,-31.5617634592,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,09b40d86-3c55-11e9-9ea5-d46d6d941de5,77.5804958163,115.211515874,3.00192597331,7.00081233008,1.8244029605,2.7247194867,0.245075990253,1.65392113533,2.7009616513,0.236271856985,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
11,03/01/2019,01:07:18 PM,4,1,"Schwab, Davis",10000802,Left,MIS_BEA,"Brooks, Brendan",1000026527,Right,CAL_ANT,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.2725404699,-1.52954213218,1.12316088423,2264.63708683,246.044311791,2:15,6.1108777804,-2.21357412441,5.28422698139,-42.9237443064,1.9387648571,4.45855358965,1.09708776147,-0.787278634053,72.9940580997,-9.49386911007,1.95944658468,0.482073544161,,,,,,,,,,,,-1.99785066812,1.52424946377,2.1081475436,50.0,5.94105162558,-2.4273577843,-116.547043673,-4.48364764232,-2.70387691883,25.1800564914,-30.1111401472,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,36695da5-3c55-11e9-9ea5-d46d6d941de5,78.1880212628,,,7.27848237017,1.57938021706,1.12427390737,0.792841175196,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
12,03/01/2019,01:07:44 PM,4,2,"Schwab, Davis",10000802,Left,MIS_BEA,"Brooks, Brendan",1000026527,Right,CAL_ANT,Undefined,1,Top,2,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.8888818392,-0.679516059242,1.45396430171,2355.66433345,217.939809722,1:15,6.18662714383,-1.83332207644,5.40515548079,-37.4387683867,7.88393568225,6.17950008763,2.4298839551,0.0440886953307,72.9220034655,-7.59412429892,2.60243648776,0.484539765621,,,,,,,,,,,,-2.88976413605,4.3508843018,1.699718597,50.0,6.10019719352,-3.107019097,-114.76818554,-2.53688355614,-3.87583366167,20.1292926675,-26.3385190665,MIS_BEA,CAL_ANT,Hammons,NCAA,MVC,20190301-Hammons-1,484b786a-3c55-11e9-9ea5-d46d6d941de5,77.7900581035,,,5.96687837377,-2.16649011428,1.93494907017,-0.209711397612,,,,5a0e4d8c-3c53-11e9-9ea5-d46d6d941de5
