PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/01/2019,01:02:28 PM,1,1,"Elliott, Jensen",8891895,Right,OKL_COW,"Boe, Mitchell",8891654,Left,IOW_HAW,Undefined,1,Top,0,0,0,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,4dbdaa6a-3d0b-11e9-ab1f-000d3a10640a,,,,,,,,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
2,03/01/2019,01:02:58 PM,1,2,"Elliott, Jensen",8891895,Right,OKL_COW,"Boe, Mitchell",8891654,Left,IOW_HAW,Undefined,1,Top,0,0,1,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.3542523637,-3.03564460722,-2.64600481746,2283.79056454,211.614242707,1:00,6.97096354966,2.17240857865,5.4441989405,-14.4355759355,21.3349769605,13.1533795305,2.92045156869,0.789677026023,80.1908005624,-5.75885686249,-0.154340825147,0.430461529866,,,,,,,,,,,,-8.00283522382,12.5223213388,-1.94754772941,50.0,6.6930291293,5.59187088844,-130.837753265,-7.44498109134,-13.459903245,35.2490774801,-11.1128585021,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,9ef923c5-3c54-11e9-9f42-aced5cacee54,87.5627063186,,,10.1634518013,-1.14355815447,2.65871587752,-0.786000391105,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
3,03/01/2019,01:03:16 PM,1,3,"Elliott, Jensen",8891895,Right,OKL_COW,"Boe, Mitchell",8891654,Left,IOW_HAW,Undefined,1,Top,0,0,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.1179759385,-1.25439341752,-0.259639040561,,103.658830407,9:30,6.46648846165,2.50429349368,5.17028184712,-43.9993814045,0.993698523302,-4.2631618426,1.61936264358,1.90472336435,73.1732560296,-9.388972222,-1.05605845689,0.482774563556,,,,,,,,,,,,2.16676326149,0.911995121191,-2.47698094301,50.0,6.31713714691,0.666316074666,-116.380896274,-3.98222568736,2.93954355134,24.0524629304,-30.936788619,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,a7ebca98-3c54-11e9-9f42-aced5cacee54,78.0744872793,,,6.94471990891,-3.15444893643,0.830524232518,-1.8172755236,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
4,03/01/2019,01:03:31 PM,1,4,"Elliott, Jensen",8891895,Right,OKL_COW,"Boe, Mitchell",8891654,Left,IOW_HAW,Undefined,1,Top,0,1,2,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,80.4719353309,-0.0632233391829,-2.51977465097,2224.07477432,256.987112104,2:30,6.32559212714,2.73748291259,6.02242079811,-40.0382025032,3.72609712075,16.3010028397,2.93046943971,1.76091112308,72.2165268152,-7.6669234424,0.593229032963,0.476136537824,,,,,,,,,,,,-9.77496416462,2.05380196033,-2.54920106148,50.0,6.29924760412,4.68628917193,-116.874490939,-1.2515061854,-13.180502364,27.1901668839,-29.4047144558,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,b0de710a-3c54-11e9-9f42-aced5cacee54,79.1629575277,,,8.25540851576,-1.26691249634,2.55831480991,-1.79312640567,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
5,03/01/2019,01:03:48 PM,1,5,"Elliott, Jensen",8891895,Right,OKL_COW,"Boe, Mitchell",8891654,Left,IOW_HAW,Undefined,1,Top,0,2,2,Undefined,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,81.7235536198,-1.05098204426,-3.40898363711,2202.32676362,228.917198084,1:45,6.14921754918,2.58084185752,5.71456803114,-31.1525730956,12.0442000424,13.8614800811,2.57239651559,0.556945151819,72.8201166425,-6.95040155283,-0.773330056604,0.47303924317,86.8918857109,-8.36627349107,2.20314400968,,,,,18.8410699894,15.6288606837,0.115587001529,0.130092163086,-8.72612646418,6.88546162857,-2.3041852398,50.0,6.04255606702,6.64225630471,-118.471838847,-3.10971232194,-12.0395877289,28.7939573631,-22.6740579625,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,b9d1175b-3c54-11e9-9f42-aced5cacee54,79.6812887415,2.74286270012,0.103775391063,8.90343697731,3.16052849185,2.78147584959,-0.582053181261,2.8340081086,2.74286270012,-0.577113983841,80a46a30-3c53-11e9-9f42-aced5cacee54
6,03/01/2019,01:04:27 PM,2,1,"Elliott, Jensen",8891895,Right,OKL_COW,"Whelan, Chris",8883612,Right,IOW_HAW,Stretch,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.0346150989,-3.76940709496,-4.79804945592,2124.13626417,220.208323155,1:15,6.72406663814,2.01280407181,5.56167863016,-17.7662103213,18.5106327268,15.6761395824,1.70502087012,-1.17326146353,80.4845401024,-7.09066561682,-1.85917872305,0.433497164766,,,,,,,,,,,,-9.86788898209,11.0665492221,-1.60852280413,50.0,6.38615146924,10.2735889056,-128.72041351,-9.11213696549,-16.3749962969,29.4476390664,-13.8099685734,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,d4a908b2-3c54-11e9-9f42-aced5cacee54,86.9495341255,,,8.55007499648,1.3388031029,1.69532636587,1.17578551868,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
7,03/01/2019,01:05:00 PM,2,2,"Elliott, Jensen",8891895,Right,OKL_COW,"Whelan, Chris",8883612,Right,IOW_HAW,Stretch,1,Top,0,1,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.219637485,-1.33035121704,-2.68228040229,2511.48717874,174.338898437,11:45,6.42465416292,2.53648550455,5.40732547669,-34.7560033481,9.0495312067,-0.901141499975,2.28045152711,-0.0532168975736,73.3136960073,-7.82190255261,-2.85167361705,0.476360794066,,,,,,,,,,,,-0.416187335397,5.26495148087,-2.29733967067,50.0,6.28267576838,5.54843825994,-117.825169449,-3.83710326716,-0.573884425104,26.3773769171,-24.9141600475,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,e68e553f-3c54-11e9-9f42-aced5cacee54,79.1256900036,,,7.90594147772,-0.126289972002,2.06521676876,0.130153111855,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
8,03/01/2019,01:05:35 PM,2,3,"Elliott, Jensen",8891895,Right,OKL_COW,"Whelan, Chris",8883612,Right,IOW_HAW,Stretch,1,Top,0,1,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8650934609,-3.30865719108,-4.82937973687,2203.46784563,224.762221895,1:30,6.87222937067,2.05636174435,5.49579897568,-20.8924960984,14.8276915623,14.7384367005,2.0222534909,-1.24288525741,81.1708169745,-7.21057085666,-2.06794411459,0.430158376415,,,,,,,,,,,,-9.38374475245,8.95454171185,-1.64340822488,50.0,6.56814156987,10.470457042,-129.949546913,-8.26058681266,-15.8449821608,30.4148274241,-17.0537999323,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,fec15612-3c54-11e9-9f42-aced5cacee54,87.6244160006,,,8.69427648648,0.649530209105,1.92469231224,1.27027311853,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
9,03/01/2019,01:06:12 PM,2,4,"Elliott, Jensen",8891895,Right,OKL_COW,"Whelan, Chris",8883612,Right,IOW_HAW,Stretch,1,Top,0,2,1,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,89.8023485819,-3.13554253946,-4.35068869329,2155.30230313,222.373479632,1:30,6.72886213341,2.17155125587,5.45443203164,-20.315856756,15.4881374399,14.1601827524,2.0896412411,-0.728442182492,81.0230981476,-6.93105097208,-1.69577543408,0.430662698552,,,,,,,,,,,,-8.92921940916,9.25195867689,-1.79726912629,50.0,6.43809655979,9.39472796409,-129.947738358,-7.84460785156,-15.0600243549,30.6973082288,-16.5696920478,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,134b95b2-3c55-11e9-9f42-aced5cacee54,87.5218045302,,,8.77925043435,1.33750536548,2.08000934664,0.730782603566,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
10,03/01/2019,01:06:49 PM,3,1,"Elliott, Jensen",8891895,Right,OKL_COW,"Wetrich, Tanner",1000016821,Right,IOW_HAW,Stretch,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.1518845587,-1.76015632632,-3.83046855424,,148.66387211,11:00,6.56032077375,2.42719177034,5.36564885422,-37.8819192464,4.72654423228,-2.90225996641,1.74907787144,-1.41120614594,75.0779166935,-8.76574840219,-4.37132543989,0.469806969273,,,,,,,,,,,,0.373019525341,3.04411303475,-2.08148319017,50.0,6.37588902786,8.06822037402,-119.099332113,-4.89554433784,0.530948023961,24.8017128152,-27.8411230908,OKL_COW,IOW_HAW,OKState,NCAA,BIG12,20190301-OKState-1,2530df1d-3c55-11e9-9f42-aced5cacee54,80.2294963385,,,7.07396786519,1.13286625996,1.70508087963,1.43290883451,,,,80a46a30-3c53-11e9-9f42-aced5cacee54
