PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/02/2019,01:02:02 PM,1,1,"Owen, Jack",1000023935,Left,AUB_TIG,"Mercer, Jace",1000000881,Right,CIN_BEA,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.3328611842,-1.88947345818,2.99517966523,2183.66466023,152.152233744,11:00,5.51996626301,-2.54362012911,6.95545809579,-17.3997434749,18.1734430012,-9.61881062641,2.34799411395,-0.617728236525,78.7663903506,-5.24226183292,1.13741701036,0.429272337083,,,,,,,,,,,,6.38419205791,10.8387088957,2.36157055695,50.0,5.39681978826,-6.40381856264,-127.012825636,-4.63344842445,10.2629833788,29.8773017078,-14.7501540002,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,a90cbba1-3d1d-11e9-9eff-484d7ece3d3d,87.8052771283,,,8.56647083361,-1.50892786209,2.07381905957,0.56279161727,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
2,03/02/2019,01:02:17 PM,1,2,"Owen, Jack",1000023935,Left,AUB_TIG,"Mercer, Jace",1000000881,Right,CIN_BEA,Windup,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,88.0466917329,-1.52916746506,2.7419032238,2310.19792501,169.594187045,11:45,5.47846286934,-2.62096568146,7.12182536032,-17.4617677948,17.4626423858,-3.2128561314,2.63462037061,-0.400218327947,79.0147672147,-4.91349307849,2.11788552252,0.425339835229,88.5683510279,25.5086559033,-28.3960132782,3139.6203375,95.179123397,45.2699954181,-55.1440930737,302.813418652,160.604748392,-34.8508780401,4.00221252441,2.76036437755,10.4223253984,2.46024567879,50.0,5.38264916683,-6.05734417758,-128.103775968,-3.84640828917,4.48639799873,31.8751869332,-15.234726998,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,b1ff69d9-3d1d-11e9-9eff-484d7ece3d3d,88.6170854438,54.1778798774,1.74295119388,9.03192451827,2.19466099788,2.70114041049,0.429064322731,2.13381745173,2.69596752199,0.426803002238,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
3,03/02/2019,01:02:52 PM,2,1,"Owen, Jack",1000023935,Left,AUB_TIG,"Johnson, Jeremy",8895092,Right,CIN_BEA,Windup,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.7631818987,-2.21304538146,2.73264919088,2279.54529889,145.73218874,10:45,5.66855685436,-2.57040401766,7.0309917455,-16.4903865051,16.8635242259,-11.5110057743,2.28058597677,-1.04524516211,81.5285557752,-5.38294447982,0.513264497629,0.415666380137,69.9608540556,54.2572232194,140.461764959,4026.36451941,-90.7369792848,68.1078918352,62.1835869494,183.035428597,52.317202353,147.632721441,3.83031555176,7.31235422135,10.1701262636,2.40876382037,50.0,5.52881034569,-5.94043393374,-130.61762445,-5.47443726511,12.5232871877,29.7396687788,-14.7564826017,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,c3e4c6da-3d1d-11e9-9eff-484d7ece3d3d,90.67939656,69.3176724385,0.93033049266,8.23462612358,1.66795225016,2.30422584145,1.04752357039,1.52735424329,2.29100862098,1.04624204224,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
4,03/02/2019,01:03:08 PM,2,2,"Owen, Jack",1000023935,Left,AUB_TIG,"Johnson, Jeremy",8895092,Right,CIN_BEA,Windup,1,Top,1,0,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.8982474443,-1.48138733138,2.72813585782,1606.39805853,133.098883995,10:30,5.52561983032,-2.76870732364,6.57663000345,-31.2506455732,10.3022246208,-11.0513788008,1.5620150264,-1.18770498834,74.1672925464,-7.4046265192,0.621379964125,0.463950911194,,,,,,,,,,,,6.89229747135,6.1222702147,2.58651951936,50.0,5.41072084034,-5.32512070781,-117.717014501,-3.85139152647,9.64686266186,22.8719410729,-23.6049610808,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,d181a9dd-3d1d-11e9-9eff-484d7ece3d3d,81.2421650905,,,6.73095489791,-1.46181082921,1.17839037096,1.15985199675,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
5,03/02/2019,01:03:25 PM,2,3,"Owen, Jack",1000023935,Left,AUB_TIG,"Johnson, Jeremy",8895092,Right,CIN_BEA,Windup,1,Top,1,0,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,80.361917364,-1.38494571217,1.87047718652,1641.49620505,139.585440576,10:45,5.52547956853,-2.72392907126,6.60941647662,-30.5741204484,11.3521416707,-9.69997142952,1.70834318914,-1.81861914388,73.8226095949,-7.18001683392,0.0209130076846,0.46603076862,,,,,,,,,,,,5.8928095969,6.67187943317,2.60098821149,50.0,5.41851365096,-3.57534705021,-117.031623729,-3.6082842936,8.16850361479,22.1934244394,-22.9256127516,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,db487d08-3d1d-11e9-9eff-484d7ece3d3d,80.8795879137,,,6.53930776913,-1.72355525173,1.30169704749,1.82098074956,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
6,03/02/2019,01:03:41 PM,2,4,"Owen, Jack",1000023935,Left,AUB_TIG,"Johnson, Jeremy",8895092,Right,CIN_BEA,Windup,1,Top,1,1,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,81.2488236031,-0.551328207523,2.10830912559,1741.53363814,126.225298945,10:15,5.54394065145,-2.69649865767,6.5680558638,-31.8582262888,9.37055909908,-12.8443064064,2.3834117328,-1.83361817103,74.2591016192,-6.60689456661,-0.3439223937,0.462138115047,58.8590260754,-3.4521791462,-2.64911886298,,,,,21.8847217006,20.9350205422,1.65513965119,0.229848022461,7.72204527793,5.34575359588,2.55728203989,50.0,5.49245181048,-4.0229999005,-118.298253254,-1.96255077215,10.890959647,23.565830055,-24.6345451477,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,e4dfa434-3d1d-11e9-9eff-484d7ece3d3d,81.5608479238,2.52639365103,0.218830553811,6.9897219839,2.65987369895,2.52560772686,1.82688221437,2.66683344255,2.52639365103,1.8268485851,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
7,03/02/2019,01:04:15 PM,3,1,"Owen, Jack",1000023935,Left,AUB_TIG,"Wiemer, Joey",1000014435,Right,CIN_BEA,Windup,1,Top,2,0,0,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.3496841449,-0.59682449288,2.67391248319,1713.7679124,141.252313646,10:45,5.54454494227,-2.70533719325,6.60047297315,-27.5634287958,14.7881194558,-11.899695118,2.70029620132,-1.24594222359,72.9173443193,-5.85912576463,0.395381610023,0.468388435827,,,,,,,,,,,,7.4254336896,8.38711195727,2.52825562594,50.0,5.49232593499,-5.15945369521,-116.907808689,-1.91504190862,10.1695121183,24.1835620292,-20.6874687481,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,f924d567-3d1d-11e9-9eff-484d7ece3d3d,80.4724746344,,,7.43233982563,-2.10273647818,2.32635532732,1.22717054098,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
8,03/02/2019,01:04:30 PM,3,2,"Owen, Jack",1000023935,Left,AUB_TIG,"Wiemer, Joey",1000014435,Right,CIN_BEA,Windup,1,Top,2,0,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.0368238861,-0.934296314512,3.21312879298,1587.48571447,132.461105486,10:30,5.55010051933,-2.73924775168,6.68859271931,-31.2936276802,12.4386984645,-13.6379050073,2.08651516718,-0.934428349387,71.7319756128,-6.91350486562,0.596518651635,0.475962577273,,,,,,,,,,,,8.5995176555,7.21767455003,2.53080989656,50.0,5.47529576596,-6.12104109661,-114.939573715,-2.63804421283,11.3647075828,23.7135829555,-22.635518144,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,020b9896-3d1e-11e9-9eff-484d7ece3d3d,79.1918909614,,,7.30484827329,-1.83908347151,1.67924108682,0.905971818973,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
9,03/02/2019,01:04:51 PM,3,3,"Owen, Jack",1000023935,Left,AUB_TIG,"Wiemer, Joey",1000014435,Right,CIN_BEA,Windup,1,Top,2,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.4530932449,-2.09474483075,2.52215655761,2108.58946341,149.585526299,11:00,5.60412355851,-2.58859683739,7.05100069482,-17.0144491883,15.7003822746,-9.2347484858,2.28128155056,-1.06626003177,82.4159012578,-5.36132718859,0.74361878981,0.411664921705,,,,,,,,,,,,5.9437234894,9.46029845065,2.43981091507,50.0,5.47217993753,-5.56314093742,-131.679415822,-5.25793041042,10.3778457193,29.4165004575,-15.6562011238,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,0b7a3a25-3d1e-11e9-9eff-484d7ece3d3d,91.5608169019,,,8.03719198706,-2.33375822011,1.92027311151,1.02247401072,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
10,03/02/2019,01:07:10 PM,1,1,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Ward, Judd",1000023936,Left,AUB_TIG,Windup,1,Bottom,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.87738927,-2.6676030461,-1.92242316674,1886.14480249,206.460129842,1:00,6.06293014041,1.74989823092,6.63033487147,-15.2713930238,17.0472127611,8.49974434808,2.34508480003,0.697645858327,83.4790484429,-5.57816698578,-0.295204624901,0.409164387506,,,,,,,,,,,,-5.29716800225,10.2665176245,-1.62356577446,50.0,5.87624829055,4.24143488632,-133.63776532,-6.66862639689,-9.50168146632,30.9831350807,-13.7587028104,AUB_TIG,CIN_BEA,PlainsmanPark,NCAA,SEC,20190302-PlainsmanPark-1,5c025ab4-3d1e-11e9-9eff-484d7ece3d3d,92.120374285,,,8.39834082713,-2.50516996854,1.95328393791,-0.682317700089,,,,dd361d8d-3d1a-11e9-9eff-484d7ece3d3d
