PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/02/2019,06:19:04 PM,1,1,"Scherzer, Luke",8880826,Right,VT,"Ciliento, James",8900881,Right,BRY_BUL,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.9971888783,-2.15077732861,-3.30395148764,2323.47333277,207.175119359,1:00,5.25077403228,1.4971619361,6.93453848925,-16.7093023276,17.0045284242,8.74608152827,1.89662176066,-0.784426575131,81.7612314873,-5.33688615794,-1.63264407495,0.417903077617,,,,,,,,,,,,-5.77545607562,10.0904389138,-1.29453645615,50.0,5.11068016421,7.24715825986,-129.506369968,-5.30949206755,-9.84851771988,26.0162593084,-14.96746519,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,8dde5346-3d41-11e9-9ef3-aced5caced75,90.1940630255,,,7.23595739099,-1.32645084243,1.63564627511,0.860195302989,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
2,03/02/2019,06:19:18 PM,1,2,"Scherzer, Luke",8880826,Right,VT,"Ciliento, James",8900881,Right,BRY_BUL,Windup,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.8576575993,-0.026659927016,-2.09139561412,2334.72512254,88.6924362874,9:00,5.2337068435,1.45206905287,5.74927940698,-47.8906252347,-0.371685813381,-14.3265596222,1.2179888291,-1.68942349845,70.8806745137,-8.92897326486,-4.77558878243,0.496140737486,,,,,,,,,,,,7.09215281123,-0.191936906795,-1.26993071996,50.0,5.20244669977,4.49221040387,-111.770076036,-1.42457396898,8.94153191266,20.7753251359,-32.4160357249,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,94b0ba5d-3d41-11e9-9ef3-aced5caced75,75.9711381736,,,5.97698308552,-1.90199781766,0.67587417439,1.97232659382,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
3,03/02/2019,06:19:32 PM,1,3,"Scherzer, Luke",8880826,Right,VT,"Ciliento, James",8900881,Right,BRY_BUL,Windup,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.9557435901,-1.7267672123,-3.42083066464,2254.03353142,202.97234887,12:45,5.26018485883,1.20082141626,6.67455051317,-18.8544557408,15.2729292432,6.48787880667,2.10622923758,-1.39123645022,81.6215424343,-5.3063448503,-2.18676254809,0.420458391158,,,,,,,,,,,,-4.52285178991,8.93646357123,-0.974870069085,50.0,5.13696837313,7.55483850714,-129.401360103,-4.43178511143,-7.68963344756,26.3166514614,-16.9805086457,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,9fc22556-3d41-11e9-9ef3-aced5caced75,89.6459133977,,,7.33420115581,-1.459675507,1.8331884729,1.49910932043,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
4,03/02/2019,06:19:49 PM,1,4,"Scherzer, Luke",8880826,Right,VT,"Ciliento, James",8900881,Right,BRY_BUL,Windup,1,Top,0,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.2960693127,-2.56049469783,-2.97296543438,2226.28746571,219.995976941,1:15,5.199611139,1.34078045906,6.70272690662,-19.5826992247,14.3174182374,12.038768729,1.22220980749,-0.376303046244,81.8565391863,-6.27959856155,-0.676597228995,0.419056054653,,,,,,,,,,,,-7.50758858792,8.65980108665,-1.14847647838,50.0,5.02172758101,6.41191784917,-129.872593623,-6.35719981393,-12.8303408707,27.0444058424,-17.3745961739,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,a8b2fe59-3d41-11e9-9ef3-aced5caced75,89.945906049,,,7.43953012647,2.6756467324,1.35962844755,0.360740576847,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
5,03/02/2019,06:20:11 PM,1,5,"Scherzer, Luke",8880826,Right,VT,"Ciliento, James",8900881,Right,BRY_BUL,Windup,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.2812575116,0.797419022564,-1.4170212147,2270.68938484,76.6633037249,8:30,5.26730728653,1.36057712693,5.6738314226,-50.6542735064,-3.19320659582,-13.2814404946,1.78971006675,-1.06736007908,70.600993478,-8.66742978485,-3.91579663466,0.495838524746,,,,,,,,,,,,6.68651258992,-1.96209685792,-1.23298483435,50.0,5.30308029075,3.16390770218,-112.336419003,0.0953992698004,8.44610542295,22.5347745503,-34.652482073,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,ba2aa844-3d41-11e9-9ef3-aced5caced75,76.0174424535,,,6.68026403367,-0.710824427095,1.45633251567,1.21516455479,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
6,03/02/2019,06:20:39 PM,2,1,"Scherzer, Luke",8880826,Right,VT,"Gustin, Jake ",1000055212,Left,BRY_BUL,Windup,1,Top,1,0,0,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.7804016835,0.353707989134,-3.28018538286,1708.13104521,260.498859927,2:45,5.25569462803,1.42601678398,6.77458383537,-36.6988393476,2.77706188175,16.8148096308,2.52090678463,-0.170642859745,75.6003127921,-6.65228765739,-0.0597011148137,0.452207275315,,,,,,,,,,,,-10.3350119656,1.44468563892,-1.2190731482,50.0,5.26451653787,6.48119140908,-120.455080839,-0.177079784154,-15.1083647902,24.493512649,-30.0621170258,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,cafca313-3d41-11e9-9ef3-aced5caced75,83.3519905111,,,7.18008889145,-1.22598750013,2.20316938319,0.169031108587,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
7,03/02/2019,06:20:54 PM,2,2,"Scherzer, Luke",8880826,Right,VT,"Gustin, Jake ",1000055212,Left,BRY_BUL,Windup,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.8191936707,2.02957149092,0.17272856592,2166.49641519,66.3908535148,8:15,5.16761961544,1.49615043473,5.76700422166,-53.1874508979,-4.14330575701,-9.37402562107,2.62470243478,0.875710751159,69.1596874614,-7.94949821443,-1.59537834965,0.504040116018,,,,,,,,,,,,5.09704960283,-2.84738159236,-1.5047952302,50.0,5.30341829606,-0.0693650675428,-110.222698115,2.41423794529,6.21363029361,21.2496963059,-35.6451892944,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,d3ca838d-3d41-11e9-9ef3-aced5caced75,74.7805091764,,,6.65950620933,-1.94119100044,2.13388121869,-0.778356608264,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
8,03/02/2019,06:21:11 PM,2,3,"Scherzer, Luke",8880826,Right,VT,"Gustin, Jake ",1000055212,Left,BRY_BUL,Windup,1,Top,1,0,2,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.0239577594,-0.215042141985,-2.31247881325,2323.39787044,76.7185045717,8:30,5.24542866722,1.53830270191,5.63582649112,-50.2005338243,-3.34985719668,-14.0047495595,0.861291513711,-1.78705066112,71.2338523005,-9.56978377655,-4.94629045371,0.49263975103,,,,,,,,,,,,6.76438656992,-1.72755243486,-1.33314191419,50.0,5.19570154731,4.98725231344,-113.326318704,-1.89848088551,8.65830685271,23.7544557688,-34.385288102,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,de296565-3d41-11e9-9ef3-aced5caced75,76.5110335541,,,6.79010545895,1.15135994901,0.81626657128,1.81004722197,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
9,03/02/2019,06:21:45 PM,3,1,"Scherzer, Luke",8880826,Right,VT,"Ward, Ryan",8900884,Left,BRY_BUL,Stretch,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.7691578703,-1.70469195807,-2.80332991644,2226.70647177,214.620803935,1:15,5.24955948513,1.06921200845,6.90199715643,-18.9861885232,15.0750845923,10.4297948353,2.11256480641,-0.616720199963,81.1316579602,-5.33469683676,-0.804035726912,0.420050935896,,,,,,,,,,,,-6.63340908911,8.92214956931,-0.896876380668,50.0,5.13547398509,6.05403656577,-129.22055147,-4.34812333394,-11.1942912632,27.4142481932,-17.1173650878,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,f040a9b3-3d41-11e9-9ef3-aced5caced75,89.7328711832,,,7.63749991012,-0.591193065942,1.9222189422,0.643339776716,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
10,03/02/2019,06:22:03 PM,3,2,"Scherzer, Luke",8880826,Right,VT,"Ward, Ryan",8900884,Left,BRY_BUL,Stretch,1,Top,1,0,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,83.1107851448,0.596169273169,-0.79618918628,1720.69153014,262.312173494,2:45,5.24220551731,1.01197491089,6.63215740399,-37.144787642,1.93994472267,14.6433688477,2.69262865548,1.50335529949,76.3859762494,-6.45793684659,1.99626955447,0.449961224088,,,,,,,,,,,,-8.33278524153,0.909334826396,-0.964342439063,50.0,5.26696058339,1.29966531486,-121.12609489,0.287381366441,-12.3823272733,23.6089896589,-30.8227979127,VT,BRY_BUL,VATech,NCAA,ACC,20190302-VATech-2,f931871a-3d41-11e9-9ef3-aced5caced75,83.7680548974,,,6.7248088954,-1.58413469788,2.34050076678,-1.61278115752,,,,2159e0bb-3d3e-11e9-9ef3-aced5caced75
