PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/03/2019,11:59:06 AM,1,1,"Mock, Eric",8888375,Right,PEN_NIT,"Cheek, Chase",8900200,Left,DUK_BLU,Undefined,1,Top,0,0,0,Undefined,Cutter,HitByPitch,Undefined,Undefined,Undefined,0,0,,90.0607043801,-0.547395912023,-3.52960800064,2509.45611466,193.891768729,12:30,5.76725774929,1.23539428882,5.19734485907,-15.4099214159,19.8218195222,4.91057518828,3.96728428824,-1.67915037316,82.3481729735,-3.40089989115,-2.62086956333,0.427207206664,,,,,,,,,,,,-3.52821586917,10.5664406782,-0.911976883016,50.0,5.70502179173,7.88404530291,-130.755288229,-1.81998670428,-6.1294849275,26.6707742956,-13.8172242361,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,a8225328-3dd5-11e9-b3c1-fc7774fe1b71,88.2297300541,,,7.71253140651,0.780792238072,3.92924185462,1.70818886222,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
2,03/03/2019,11:59:50 AM,2,1,"Mock, Eric",8888375,Right,PEN_NIT,"Taylor, Kennie",8892146,Right,DUK_BLU,Undefined,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0517753583,-3.92542099155,-1.87140901538,2519.44945665,188.259279484,12:15,5.87091110274,0.986776830715,5.51009289261,-9.77148247263,24.986945519,3.63181055624,1.37852143736,-0.461017320351,81.8051520466,-5.75549000823,-1.18709666142,0.424327893743,,,,,,,,,,,,-2.5541417002,14.6398169053,-0.826119539093,50.0,5.52191678921,4.18420882478,-131.933214055,-9.39845759921,-4.42499812394,32.5404415216,-6.81086595153,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,c238dcbd-3dd5-11e9-b3c1-fc7774fe1b71,88.8284203724,,,9.24662331172,0.278041010403,1.26327258471,0.484440460496,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
3,03/03/2019,12:00:09 PM,2,2,"Mock, Eric",8888375,Right,PEN_NIT,"Taylor, Kennie",8892146,Right,DUK_BLU,Undefined,1,Top,0,1,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9386090008,-3.49426017922,-1.40132051133,2270.52572918,202.554234252,12:45,5.84748414255,1.11727578292,5.57336307725,-10.7461862129,23.9824894745,9.9740401626,1.68356173319,0.639456297512,81.6733989019,-5.51159101325,0.481788990654,0.424146248081,,,,,,,,,,,,-5.80392667205,13.9981873629,-1.00314701883,50.0,5.53967962559,2.88234087013,-131.873732471,-8.42511851982,-10.0396808206,32.6755575825,-7.95986716987,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,cbff6a5d-3dd5-11e9-b3c1-fc7774fe1b71,88.8664621971,,,9.26521009889,-1.28605250517,1.41988536119,-0.664850083203,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
4,03/03/2019,12:00:31 PM,2,3,"Mock, Eric",8888375,Right,PEN_NIT,"Taylor, Kennie",8892146,Right,DUK_BLU,Undefined,1,Top,0,1,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.3422731094,-1.06045582928,-1.47643640671,2631.50157531,128.54369197,10:15,5.78774937172,1.22127331137,5.27231559824,-31.071163494,10.732184179,-13.5204414074,2.20208290238,-1.29237584755,75.1053339768,-6.85538800114,-4.01329827136,0.465347140321,,,,,,,,,,,,6.6706932866,6.0495533184,-1.07691190736,50.0,5.66883980164,3.56528904771,-120.965590291,-3.26822302175,9.68184657837,28.0974401568,-23.393724746,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,d4f0802e-3dd5-11e9-b3c1-fc7774fe1b71,80.9984058247,,,8.23693913263,-1.39266267309,1.85456768259,1.49336785649,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
5,03/03/2019,12:00:53 PM,2,4,"Mock, Eric",8888375,Right,PEN_NIT,"Taylor, Kennie",8892146,Right,DUK_BLU,Undefined,1,Top,0,1,2,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,90.4554460606,-2.99239312913,-2.41868257195,2362.71777472,197.481102241,12:30,5.87684295843,1.22219609965,5.48127445515,-7.01412536845,28.1549606258,8.87743050551,2.48780512415,-0.302119015999,81.2340055778,-4.31023298008,-0.748200466651,0.42682717216,74.9328491734,-25.7225635964,-35.5714460899,,,,,7.21939747456,5.23700818579,-22.3394695963,0.0530926513672,-5.52000900842,15.9926828082,-1.01610094788,50.0,5.60960227646,5.23064926471,-131.15784758,-7.10675284462,-9.46460671164,31.7996554324,-4.75299674068,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,e6d4a93f-3dd5-11e9-b3c1-fc7774fe1b71,88.3082872403,2.56331977475,0.0321244842584,9.22144048277,2.54915150757,2.57284371141,0.286919404378,2.42188883748,2.56331977475,0.288668275015,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
6,03/03/2019,12:01:35 PM,3,1,"Mock, Eric",8888375,Right,PEN_NIT,"Rothenberg, Michael",1000010302,Right,DUK_BLU,Undefined,1,Top,1,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.7765826144,-3.07875066845,-2.83457651508,2432.33016117,193.665104316,12:30,5.81936827416,1.14591548996,5.41738052507,-7.60842580103,26.7075666012,6.50121725152,2.29531378777,-0.969483816308,82.3262254938,-4.5065534627,-1.6127131925,0.42161863691,,,,,,,,,,,,-4.39068116006,15.2323495753,-0.898669017882,50.0,5.54049828389,6.35292790741,-132.990812873,-7.43316775989,-7.73045330815,33.0221853037,-5.35521045977,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,00de9a06-3dd6-11e9-b3c1-fc7774fe1b71,89.3992182066,,,9.45035712064,-2.47860220424,1.98397148471,1.07555785293,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
7,03/03/2019,12:01:57 PM,3,2,"Mock, Eric",8888375,Right,PEN_NIT,"Rothenberg, Michael",1000010302,Right,DUK_BLU,Undefined,1,Top,1,0,1,Undefined,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.2358497398,-3.29864327361,-1.92964520986,2349.87550909,221.238342529,1:15,5.82100397366,1.11478150821,5.78445132704,-16.3710266613,17.4457630215,15.3211175611,1.383080838,0.595827276633,82.1444334605,-6.39665985778,0.989584952644,0.418540709906,,,,,,,,,,,,-8.98851548709,10.6354735039,-0.964888528508,50.0,5.53946911028,3.99279697006,-133.698040106,-8.25691736557,-15.8058810676,36.4789759936,-13.4720693984,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,0a9c8748-3dd6-11e9-b3c1-fc7774fe1b71,90.0566554913,,,10.0914162793,0.3939550823,1.26776604321,-0.614094179849,,,,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
8,03/03/2019,12:02:44 PM,3,3,"Mock, Eric",8888375,Right,PEN_NIT,"Rothenberg, Michael",1000010302,Right,DUK_BLU,Undefined,1,Top,1,0,2,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,81.8843622001,-0.723612918257,-0.549088219034,2599.6063909,128.267373827,10:15,5.71134290881,1.26216682165,5.32511226682,-36.4493219513,6.89362882793,-8.79073620674,1.99489655528,0.014403308406,73.5254482277,-7.55049831985,-2.20645782525,0.473838948283,99.1735085302,-16.1990153836,55.0075423578,,,,,9.54545064732,9.15925427941,39.3369720871,0.0548309326172,4.48292613063,3.9193478765,-1.2064512881,50.0,5.62060081094,1.42185265827,-118.869986727,-2.67332614317,6.25731051359,27.9818958504,-26.7033858778,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,25732b0c-3dd6-11e9-b3c1-fc7774fe1b71,79.5468094333,2.21150280232,0.0523146482874,8.35891397234,3.05842059122,2.20909356402,-0.0767955930078,3.07720267694,2.21150280232,-0.0774994328893,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
9,03/03/2019,12:03:15 PM,3,4,"Mock, Eric",8888375,Right,PEN_NIT,"Rothenberg, Michael",1000010302,Right,DUK_BLU,Undefined,1,Top,1,0,2,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.5589202782,-2.7784801179,-1.07196928509,2341.25035909,214.067043285,1:15,5.79635984385,1.19939679221,5.51256573703,-13.4083338093,20.3818106945,13.8039155979,2.07866450959,1.34732955956,82.5555220449,-5.30337211546,1.54180021164,0.418375787543,56.2974794313,-8.65665037285,-122.88687993,,,,,12.8790986491,11.2164175263,-110.290000466,0.159741821289,-7.77030052431,11.8960972513,-1.11505633346,50.0,5.54554404673,2.02591566405,-134.239834707,-6.98802255701,-13.8168239134,35.9731411534,-11.0209051917,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,37571fd5-3dd6-11e9-b3c1-fc7774fe1b71,90.0921555295,2.15888234515,0.13886205641,10.0033982333,2.17352775068,2.1486640983,-1.32724890002,2.28452400581,2.15888234515,-1.32435283345,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
10,03/03/2019,12:03:47 PM,3,5,"Mock, Eric",8888375,Right,PEN_NIT,"Rothenberg, Michael",1000010302,Right,DUK_BLU,Undefined,1,Top,1,0,2,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.3904671953,-2.56219780326,-2.03933989828,2520.93929978,195.187778585,12:30,6.00646425856,0.885873265503,5.42667830312,-6.31393631638,26.8488368004,7.29698254656,3.07771987104,-0.416663588045,83.4791081756,-3.75067728414,-0.66401196438,0.414473661969,80.7735266693,64.3538673117,-177.419766203,4231.35553641,-106.606718656,109.299482395,-27.1105828133,200.833904224,32.2900108093,-163.153618671,4.88343688965,-4.57894876495,15.1804270016,-0.710140274693,50.0,5.77503988824,4.55877868494,-135.437425266,-6.29283421806,-8.3323249066,35.1855897945,-4.55018629209,PEN_NIT,DUK_BLU,IMGAcademy,NCAA,BIG10,20190303-IMGAcademy-1,503e2848-3dd6-11e9-b3c1-fc7774fe1b71,90.9403418835,109.313942997,0.670271536136,9.91135901972,2.38569318664,3.14103377432,0.405184118654,2.01215476789,3.1166785677,0.409668039323,69fc8da2-3dd3-11e9-b3c1-fc7774fe1b71
