PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/05/2019,03:01:44 PM,1,1,"James, Keegan",8889860,Right,MSU_BDG,"Hoover, Lane",1000050170,Left,ECU_PIR,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.1100539273,-3.34248574159,-4.00853505468,2242.55989896,214.568340088,1:15,5.07876108917,1.73607507094,5.91721872326,-12.6085114053,19.1304545552,13.2021830766,0.915342157966,-0.889438218244,85.5339964373,-5.71310365888,-1.52303303211,0.405478569001,,,,,,,,,,,,-8.30218573509,11.3137491543,-1.42242509207,50.0,4.80329595345,9.11124837529,-136.41013756,-8.41414414213,-15.5734571785,31.2557897278,-10.9514219368,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,e1eacf91-3f89-11e9-8c66-f8b156b77dde,92.9577526476,,,8.57605748999,-2.81345970263,0.483833194946,0.993365926653,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
2,03/05/2019,03:01:59 PM,1,2,"James, Keegan",8889860,Right,MSU_BDG,"Hoover, Lane",1000050170,Left,ECU_PIR,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.3092961569,-2.55718944878,-3.95791200388,2386.79038958,215.944606442,1:15,4.95871520322,1.90445016403,5.9526743035,-12.8580172669,19.3121964828,14.0245565033,1.50867107662,-0.602876787539,84.826557143,-4.97851261034,-1.31637228151,0.408223960297,,,,,,,,,,,,-8.73151152943,11.188220934,-1.59768145277,50.0,4.74794057545,8.89654193203,-135.368099849,-6.49048746784,-16.1416092957,30.5740895793,-11.4908151411,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,eae37cfb-3f89-11e9-8c66-f8b156b77dde,92.3325923684,,,8.48273901386,-1.84650390995,1.21939813965,0.67247262962,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
3,03/05/2019,03:02:16 PM,1,3,"James, Keegan",8889860,Right,MSU_BDG,"Hoover, Lane",1000050170,Left,ECU_PIR,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.3305779834,-2.36379030318,-2.12773337581,2133.34165072,219.518360548,1:15,4.9713364535,1.87860225879,5.82263373973,-13.6847280148,18.709336448,15.4579827463,1.63085894947,1.18797112642,84.4317073044,-4.93998673355,0.792299080661,0.409641775096,,,,,,,,,,,,-8.99306776487,10.8200356667,-1.71388870681,50.0,4.77010008749,4.50878916819,-135.557329965,-6.06663477885,-16.5604071777,32.4983655138,-12.2493464412,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,f3d1c5f9-3f89-11e9-8c66-f8b156b77dde,92.0130192099,,,8.89887067902,-2.00522744861,1.3292289706,-1.24188515561,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
4,03/05/2019,03:02:34 PM,1,4,"James, Keegan",8889860,Right,MSU_BDG,"Hoover, Lane",1000050170,Left,ECU_PIR,Windup,1,Top,0,1,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,93.4507020384,-2.58826740446,-4.27839674905,2345.68777161,231.262419237,1:45,4.98444247106,1.95491671654,5.79391807127,-17.4940075696,14.8047021116,18.4923241737,1.1109535389,-0.490701445769,85.0129315234,-5.86917532536,-0.805283150508,0.409038422442,89.1886403862,-5.86980384182,0.111877319405,,,,,11.968674097,11.968674097,2.45436707408,0.0792626953125,-11.183839296,8.71294324895,-1.61387644413,50.0,4.76068024858,9.49808427661,-135.480584388,-6.74442454413,-20.7107759067,30.6080509576,-16.0389977621,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,fcc2f53a-3f89-11e9-8c66-f8b156b77dde,92.1487431329,1.14217276442,0.0814771754236,8.43777051509,1.98012251567,1.16868261544,0.482572566577,1.72089790739,1.14217276442,0.486364258495,970ffb95-3f86-11e9-8c66-f8b156b77dde
5,03/05/2019,03:03:14 PM,2,1,"James, Keegan",8889860,Right,MSU_BDG,"Packard, Bryant",8900208,Left,ECU_PIR,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.7503070604,-1.40035286608,-2.36868493702,2258.03802883,221.93848808,1:30,5.03463815864,1.91730258286,5.84655980744,-13.4589664702,18.6950893426,16.8239887402,2.61053805176,1.11716701599,84.4437562319,-3.94417951781,0.81620376297,0.408121429343,,,,,,,,,,,,-9.84502838155,10.5475166689,-1.7345580169,50.0,4.91298932152,5.06077339601,-136.191698409,-3.79036031338,-18.2328332273,33.8060290669,-12.6402183902,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,17994617-3f8a-11e9-8c66-f8b156b77dde,92.3557887705,,,9.30655082853,-3.91622806296,2.22869402721,-1.21078566823,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
6,03/05/2019,03:03:38 PM,2,2,"James, Keegan",8889860,Right,MSU_BDG,"Packard, Bryant",8900208,Left,ECU_PIR,Stretch,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.8036981244,-1.66719868267,-5.27805727179,2323.3429097,227.668641621,1:30,5.00681717123,1.78367234274,5.92786836574,-16.2348928952,16.5948720066,18.2513716936,2.10016164145,-1.60593135661,83.7260429229,-4.7350080328,-1.8371737496,0.412387416365,,,,,,,,,,,,-11.5095812697,9.49942626831,-1.37156284159,50.0,4.86403934446,11.8095804873,-134.396206116,-4.46754259767,-20.8351833468,31.9151378331,-14.9777419879,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,208b3c95-3f8a-11e9-8c66-f8b156b77dde,91.4004041474,,,9.07765520144,-4.18808935562,1.61695502386,1.7646569996,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
7,03/05/2019,03:04:18 PM,2,3,"James, Keegan",8889860,Right,MSU_BDG,"Packard, Bryant",8900208,Left,ECU_PIR,Stretch,1,Top,0,2,0,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Error,0,0,,83.957189087,-0.675975113064,-3.69973521458,1676.72416939,259.078447246,2:45,4.91106921766,1.83380006467,6.40430350066,-35.0795502066,3.64284404883,19.0674530657,1.36493981503,0.0163992540795,77.2411002376,-7.29388489374,-0.0869514860998,0.447870667042,45.403476366,-60.5521613848,-57.8590968425,,,,,3.53229478855,3.53229478855,-12.4471796882,0.026806640625,-11.4712875801,2.18337188079,-1.57782049897,50.0,4.84634872373,7.36472153049,-122.087917375,-2.41814192067,-17.3591983239,23.448583198,-28.8700092122,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,3b61183f-3f8a-11e9-8c66-f8b156b77dde,84.1590648704,1.56266093937,0.0302785371372,6.71608884944,2.99909887587,1.56433165322,-0.0205134485414,2.98562916305,1.56266093937,-0.0204640157718,970ffb95-3f86-11e9-8c66-f8b156b77dde
8,03/05/2019,03:05:13 PM,3,1,"James, Keegan",8889860,Right,MSU_BDG,"Brickhouse, Spencer",8889383,Left,ECU_PIR,Stretch,1,Top,0,0,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,83.0575774203,0.715031552962,-1.62692000943,1622.95439018,246.411837531,2:15,4.91247649107,2.03481137353,6.28832364552,-32.9929167908,7.9831214992,18.3711721548,2.82223011501,2.06621935237,73.6410223593,-5.62900913229,1.91649160143,0.460719402008,,,,,,,,,,,,-10.7561926332,4.1313480659,-1.92389502594,50.0,4.94942424985,2.92640992115,-120.678268582,0.606628591255,-15.30852328,31.1107208311,-26.2941949501,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,5ed8cc89-3f8a-11e9-8c66-f8b156b77dde,81.8120017452,,,9.41655506098,-3.0049393931,2.36101118992,-2.22818978558,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
9,03/05/2019,03:05:38 PM,3,2,"James, Keegan",8889860,Right,MSU_BDG,"Brickhouse, Spencer",8889383,Left,ECU_PIR,Stretch,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.8619988068,-1.32087143208,-4.24370664374,2101.04794683,222.27064847,1:30,5.01809912463,1.92277932549,5.87316858115,-15.0995042412,17.8250578886,16.2310097114,2.52953336458,-0.672957599494,83.3522872406,-4.18061423324,-1.17249879172,0.412982379563,,,,,,,,,,,,-10.1644027168,10.0757022711,-1.58874385248,50.0,4.90248340794,9.44766263858,-134.637292196,-3.61786314252,-18.3565023283,33.630689564,-13.9777356641,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,681b2f07-3f8a-11e9-8c66-f8b156b77dde,91.2687281259,,,9.50971156625,-1.340458294,2.32372771793,0.724839440602,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
10,03/05/2019,03:06:08 PM,3,3,"James, Keegan",8889860,Right,MSU_BDG,"Brickhouse, Spencer",8889383,Left,ECU_PIR,Stretch,1,Top,0,2,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.2291373119,-1.24646042652,-3.04504122659,2164.96919073,217.636003139,1:15,5.03789029505,1.83438116259,5.7886065438,-15.2822761081,17.1899518233,13.278803863,2.60312671566,0.105877419321,84.3433200588,-4.125095849,-0.541978341567,0.410135688583,,,,,,,,,,,,-8.07656937821,9.63616104396,-1.59165369487,50.0,4.92614181631,6.74686970305,-135.401031982,-3.47498389563,-14.8602879239,32.0214888343,-14.4442277763,MSU_BDG,ECU_PIR,MSST,NCAA,SEC,20190305-MSST-1,79ff4314-3f8a-11e9-8c66-f8b156b77dde,91.9022108302,,,8.88581725311,-1.76421559645,2.36810188092,-0.0806583427285,,,,970ffb95-3f86-11e9-8c66-f8b156b77dde
