PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/05/2019,03:07:02 PM,1,1,"Green, Haylen",8899238,Left,TCU_HFG,"Daley, Nick",1000025587,Right,STE_LUM,Windup,1,Top,0,0,0,Sinker,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.3979628151,-1.95822697196,3.47187612229,1924.73928761,143.964701517,10:45,5.3809094514,-1.82590225734,5.85101693629,-14.299236052,22.6925656035,-16.5337858914,2.36590292255,0.0258844187301,78.9002000048,-4.65677089588,0.348939747783,0.437748090422,,,,,,,,,,,,10.0072848145,12.8633496674,1.55343021528,50.0,5.2133773707,-7.16969296699,-126.82814554,-4.79834641357,16.11809902,28.6409849704,-11.4558670006,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,9df92a39-3f8a-11e9-9a20-fc7774fe1b8a,86.1051763464,,,8.49776281029,-0.266731070541,2.22730442994,-0.034432255988,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
2,03/05/2019,03:07:17 PM,1,2,"Green, Haylen",8899238,Left,TCU_HFG,"Daley, Nick",1000025587,Right,STE_LUM,Windup,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.9629416452,-2.23718309494,4.41141253127,1959.91196912,116.291105121,10:00,4.94706796318,-2.65405477872,5.68504030543,-27.4624582464,10.9876484098,-22.3136850144,0.566269773793,-0.394053841957,78.1608208129,-7.37262179121,0.22052439348,0.446293223691,,,,,,,,,,,,13.2876416918,6.56351031289,2.29642940157,50.0,4.74138479747,-8.89230706776,-124.581414194,-5.76586977931,20.7324091803,26.7141992186,-21.9331506889,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,a6e9c139-3f8a-11e9-9a20-fc7774fe1b8a,84.4565288476,,,7.80212083229,4.25139982989,0.925215877333,0.411340131629,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
3,03/05/2019,03:07:39 PM,1,3,"Green, Haylen",8899238,Left,TCU_HFG,"Daley, Nick",1000025587,Right,STE_LUM,Windup,1,Top,0,1,1,Sinker,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,88.370278268,-2.20847514142,3.85495767412,1967.71406894,132.859138756,10:30,5.49127221548,-1.81662840223,5.81926608093,-16.5189140233,19.590157623,-21.148281114,2.05594818347,0.0101299888211,80.1796476245,-5.3142136672,-0.127103048185,0.432493594669,92.9251766124,18.6891116483,-12.354717927,2893.95011163,107.463967876,36.0429588657,-23.4816802797,335.907255854,332.439904222,-11.5821078397,4.10882385254,12.5361743509,11.2095344899,1.51368454979,50.0,5.30062060582,-7.95331396584,-128.200535009,-5.49043901031,20.7334064186,28.0451946215,-13.6347535661,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,b8cdd23d-3f8a-11e9-9a20-fc7774fe1b8a,87.1512942289,48.1058042548,4.05024721172,8.19063064345,2.40967263747,2.14773231566,-0.0115865372706,2.11963236895,2.12104408297,-0.011315196867,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
4,03/05/2019,03:08:20 PM,2,1,"Green, Haylen",8899238,Left,TCU_HFG,"Uhse, Brandon",1000055000,Right,STE_LUM,Windup,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.6445715425,-0.174190191403,4.26157783379,2025.30070337,124.534319423,10:15,4.97631454647,-2.51117509672,5.80707042745,-21.6576564874,15.6272702758,-22.7596091549,3.0090901683,-0.437873144221,79.119393206,-4.23341650944,-0.00391343305295,0.439479038347,,,,,,,,,,,,13.3932733004,8.44597730166,2.17504211437,50.0,4.9490982563,-8.64386235606,-125.796323541,-1.07814295525,21.5051889702,25.0332972043,-18.6125887223,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,cab1b7fc-3f8a-11e9-9a20-fc7774fe1b8a,85.7660394063,,,7.52517833644,-1.00819800842,2.82508405325,0.442781651351,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
5,03/05/2019,03:08:36 PM,2,2,"Green, Haylen",8899238,Left,TCU_HFG,"Uhse, Brandon",1000055000,Right,STE_LUM,Windup,1,Top,1,0,1,ChangeUp,ChangeUp,InPlay,Undefined,LineDrive,Out,1,0,,78.444462848,0.257820627872,4.25348972015,2040.13067,125.573768974,10:15,4.78295813314,-2.87201941674,6.29139782315,-28.116540179,17.2176579774,-24.1322411596,2.67812501803,-0.956687252458,70.6062712837,-5.09947353759,-0.349092916544,0.484601202703,96.7145003476,11.7630533082,-5.53154184534,1178.19620157,109.891723023,21.4836262586,-4.8788072922,285.04866373,281.926961758,1.16642662672,2.81832824707,14.6292297536,9.37200948897,2.5706192248,50.0,4.78842016317,-7.83706567892,-113.853168378,-0.22104546806,18.9055843252,23.9160847843,-20.0624528898,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,da365053-3f8a-11e9-9a20-fc7774fe1b8a,77.7801959857,24.5268835492,2.7786800755,7.83819156437,1.56564067802,2.69139631694,0.955799433965,1.30279889949,2.66794992698,0.95739264929,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
6,03/05/2019,03:09:14 PM,3,1,"Green, Haylen",8899238,Left,TCU_HFG,"Moore, Sean",8884743,Right,STE_LUM,Windup,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.6565944141,0.0988004694925,2.37701080325,2321.63151514,174.97112857,11:45,5.34040096407,-2.32068377465,5.54169838811,-39.9394997889,7.29476072841,-0.645820998072,2.10451577844,-0.151962741079,70.6485619951,-7.36339336152,2.25579155992,0.494652352252,,,,,,,,,,,,1.07598803113,3.8647052495,2.11528314552,50.0,5.32291016252,-4.66375114634,-112.814913705,-0.995796293274,1.37261271142,22.4691636829,-27.2439346538,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,ee17c594-3f8a-11e9-9a20-fc7774fe1b8a,76.1997316894,,,7.00803241902,-0.0953494711585,1.90569069061,0.0924554158798,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
7,03/05/2019,03:09:30 PM,3,2,"Green, Haylen",8899238,Left,TCU_HFG,"Moore, Sean",8884743,Right,STE_LUM,Windup,1,Top,2,0,1,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,77.9933942298,0.42687317965,2.75957781965,2228.27740085,173.241495387,11:45,5.26956252258,-2.28406781896,5.44720609612,-37.1189508072,10.0129261554,-1.19186664687,2.57639554353,0.201925104392,70.646232422,-6.51318954478,2.53608733895,0.49411596469,57.7187782252,-24.4730307646,-152.658471812,,,,,3.92276464179,3.92276464179,-132.613682743,0.0777001953125,1.50285123891,5.19742283048,2.0413205442,50.0,5.28224958014,-5.42159288323,-113.228707942,-0.28105258784,1.92661994021,23.0909234061,-25.5110747347,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,f76b1d2a-3f8a-11e9-9a20-fc7774fe1b8a,76.2824503046,2.70965899321,0.166142366548,7.3471618078,3.3607896795,2.79356303527,-0.115655186382,2.59900853426,2.70965899321,-0.149497236441,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
8,03/05/2019,03:09:56 PM,3,3,"Green, Haylen",8899238,Left,TCU_HFG,"Moore, Sean",8884743,Right,STE_LUM,Windup,1,Top,2,0,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.2227618409,-1.98471711594,4.11989771652,1946.61292241,122.45025573,10:00,4.82344427768,-2.62111736138,5.77916351378,-26.2352832489,11.5412922906,-18.2068161461,0.785197451458,-0.298853969672,78.9416629925,-6.88414366957,0.707494769808,0.442367091527,,,,,,,,,,,,10.920588113,6.74950963406,2.2920310442,50.0,4.64363857563,-8.42895449151,-125.112661232,-5.1867946831,17.3172677443,25.1374291462,-21.4710475581,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,07149d66-3f8b-11e9-9a20-fc7774fe1b8a,85.2061042584,,,7.28109884836,1.10432241301,0.74739392989,0.295059745449,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
9,03/05/2019,03:10:19 PM,3,4,"Green, Haylen",8899238,Left,TCU_HFG,"Moore, Sean",8884743,Right,STE_LUM,Windup,1,Top,2,1,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,88.3460031977,-1.43510964588,4.37230415686,1986.72088213,129.909206531,10:15,5.31118661923,-1.92582110479,5.99490238031,-19.7940122549,16.0472921802,-19.2263706697,2.3277987124,0.531101033628,80.2816539128,-5.16620844334,0.74695831205,0.43088703029,92.9181281335,13.8790997125,-13.6049262245,1409.69188587,106.52720741,23.7916572635,-27.4217048825,279.649437909,279.649437909,-14.0208084032,2.9842199707,11.69377978,9.11522628702,1.59194110808,50.0,5.18710164817,-9.19705339532,-128.189704964,-3.84298079987,19.3704733171,27.613685124,-17.0748889268,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,12441f7f-3f8b-11e9-9a20-fc7774fe1b8a,87.4762382515,26.9804545777,2.99046712763,8.06434928485,1.98736889653,2.37917016963,-0.523435529892,1.73429085661,2.35644659399,-0.52689027097,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
10,03/05/2019,03:11:05 PM,4,1,"Green, Haylen",8899238,Left,TCU_HFG,"Vasquez, Manny",1000025590,Right,STE_LUM,Stretch,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.6915023672,0.346207537459,3.54850660707,2414.66290032,183.625296953,12:00,5.08346370333,-2.26580716899,5.56686620486,-36.8061975649,9.11225331611,0.580069012163,2.34027692525,1.10121866151,71.7008037062,-6.52301070423,3.65700364759,0.487713899021,,,,,,,,,,,,0.748732482977,4.76262835344,1.95951519369,50.0,5.08948120955,-7.10101300319,-114.227640688,-0.417534206264,0.982430469386,22.3966717119,-25.9248857177,TCU_HFG,STE_LUM,TCU,NCAA,BIG12,20190305-TCU-1,2d18ee0d-3f8b-11e9-9a20-fc7774fe1b8a,77.2837858359,,,6.99069866101,0.538678143039,2.23866881415,-1.15734998988,,,,69e28ec8-3f86-11e9-9a20-fc7774fe1b8a
