PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/05/2019,04:34:34 PM,1,1,"Whelan, Matthew",1000017426,Right,TEX_LON,"Atwood, Andy",8892177,Right,UTR_VAQ,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.7839322437,-2.01653545851,-1.05125776368,1992.79741856,201.458537649,12:45,6.03360338693,1.13767463116,5.13170418151,-14.3291737595,20.3704143312,8.01992020275,2.9395461391,0.815981374225,83.0947286159,-4.66433731078,0.435770385023,0.423968585397,,,,,,,,,,,,-4.48999844774,11.228471614,-1.04526252113,50.0,5.83362947283,2.11973210452,-131.938146692,-5.18467096205,-7.93739566112,27.3128085374,-12.3244154424,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,dc1a2186-3f96-11e9-bad7-90b11c7ab2c3,88.9037014048,,,7.68920362776,-2.17673667565,2.63994669431,-0.846900220148,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
2,03/05/2019,04:34:52 PM,1,2,"Whelan, Matthew",1000017426,Right,TEX_LON,"Atwood, Andy",8892177,Right,UTR_VAQ,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9981060123,-1.65808390915,-2.19909709236,1958.63535448,203.739930344,12:45,6.19679513227,0.767238841219,4.94572072865,-14.1841761719,20.6034326912,9.07579066669,3.44648370652,-0.555367516166,83.2491118992,-4.27229428332,-0.52333862483,0.424505975157,,,,,,,,,,,,-5.31699255461,11.177901632,-0.561282880647,50.0,6.0243953152,4.72413677079,-132.170643061,-4.37774888537,-9.43922497199,27.220848365,-12.329986874,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,e4481d13-3f96-11e9-bad7-90b11c7ab2c3,88.7911566078,,,7.74899411319,-1.38426721735,3.23341329063,0.578507395382,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
3,03/05/2019,04:35:10 PM,1,3,"Whelan, Matthew",1000017426,Right,TEX_LON,"Atwood, Andy",8892177,Right,UTR_VAQ,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.4883028809,-1.28355632869,-2.01880741614,1908.74921487,200.847023067,12:45,6.0679678867,0.976879480023,5.39908707452,-14.9932860365,19.6279088835,7.48677792251,3.61491806942,-0.291578930184,82.6691932651,-4.0730486397,-0.623659597427,0.423489400534,,,,,,,,,,,,-4.51935972329,10.7492827026,-0.802247999948,50.0,5.94319964466,4.36783389737,-131.536471132,-3.48725123375,-7.9285948665,27.5467876864,-13.315910928,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,ee46e3ed-3f96-11e9-bad7-90b11c7ab2c3,89.0042973296,,,7.81910961586,-1.36317601126,3.41290164575,0.319812451479,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
4,03/05/2019,04:35:33 PM,1,4,"Whelan, Matthew",1000017426,Right,TEX_LON,"Atwood, Andy",8892177,Right,UTR_VAQ,Windup,1,Top,0,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.2887126341,-2.7638343697,-1.75355629082,2011.93483152,205.563004839,12:45,6.20593529723,0.708031740485,5.09822814723,-13.7409052272,20.0100040572,9.58648528345,2.45345870116,-0.145857989441,84.2830327552,-5.30163836347,0.0246130309467,0.41813281975,,,,,,,,,,,,-5.5104461997,11.25474287,-0.550006904944,50.0,5.93445869493,3.73485231318,-133.97901745,-6.99683048994,-10.0208575869,28.8179401812,-11.7070715839,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,fd748a7a-3f96-11e9-bad7-90b11c7ab2c3,90.1445061014,,,8.00567987892,-1.36711548325,2.19143706785,0.142082425464,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
5,03/05/2019,04:36:06 PM,2,1,"Whelan, Matthew",1000017426,Right,TEX_LON,"Gomez, Anthony",8892594,Right,UTR_VAQ,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.8034146598,-3.16436298246,-2.18907956391,1974.87996912,204.804290756,12:45,6.1272283825,0.770233516722,5.14639801781,-13.8775917818,20.6859165193,9.5751341326,1.98666551415,-0.493610605776,83.6428865502,-5.71649171953,-0.419816102793,0.423136439631,,,,,,,,,,,,-5.56639200862,11.6334228032,-0.572863628369,50.0,5.8204429127,4.67923740057,-131.844321003,-7.81685694056,-9.89021821976,25.5599782508,-11.5040903522,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,10b8b34a-3f97-11e9-bad7-90b11c7ab2c3,89.0785406097,,,7.16052810961,-1.43859393047,1.69696853667,0.51186429736,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
6,03/05/2019,04:36:19 PM,2,2,"Whelan, Matthew",1000017426,Right,TEX_LON,"Gomez, Anthony",8892594,Right,UTR_VAQ,Windup,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.5819199518,-1.1224306964,-2.11702530692,2114.35852037,162.018460835,11:30,6.17344459862,1.03474933361,5.12071072397,-37.0344418465,5.563323439,-1.81865104734,2.02924007542,-1.11159969598,75.9284668679,-7.89710855542,-2.45196302941,0.469747985672,,,,,,,,,,,,0.441923766294,3.17922925619,-0.834479154468,50.0,6.0394315778,4.44806228221,-118.6503391,-3.58977221854,0.638300247299,19.8919899315,-27.5820737064,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,187d87ca-3f97-11e9-bad7-90b11c7ab2c3,80.2395703032,,,5.6534530839,-1.13017926867,1.66750628279,1.22105769698,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
7,03/05/2019,04:36:44 PM,2,3,"Whelan, Matthew",1000017426,Right,TEX_LON,"Gomez, Anthony",8892594,Right,UTR_VAQ,Windup,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.8444843406,-0.921800411751,-2.19160576765,2039.17340828,223.596979377,1:30,6.17548257534,0.71277626352,5.10182528619,-18.4606052962,15.4910510415,14.7807671732,3.76790104673,-0.121352488862,84.0064876832,-4.33571116734,0.546904109254,0.419374482389,,,,,,,,,,,,-8.3369363529,8.36604004279,-0.517535535812,50.0,6.07436256665,4.54329459175,-133.461857602,-2.85362952391,-15.078021151,27.9892271166,-17.0433910372,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,2749346e-3f97-11e9-bad7-90b11c7ab2c3,89.8776108321,,,7.83799665741,-1.70546002861,3.52495406096,0.086565659087,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
8,03/05/2019,04:36:58 PM,2,4,"Whelan, Matthew",1000017426,Right,TEX_LON,"Gomez, Anthony",8892594,Right,UTR_VAQ,Windup,1,Top,1,1,2,ChangeUp,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,80.1754035545,-1.1524044195,-0.662453998488,1326.16427218,247.138176056,2:15,6.01663490456,0.766971673747,5.16549234695,-38.5188369134,5.92250929868,14.1457484207,1.72203983757,1.32235217345,73.8915837315,-8.24226383755,1.96320329795,0.479805388877,,,,,,,,,,,,-7.61231218923,3.42660905408,-0.715920051197,50.0,5.88035098054,0.88118267237,-116.574279844,-3.61600986151,-10.4908765593,21.6066878349,-27.4516814609,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,2ff75b68-3f97-11e9-bad7-90b11c7ab2c3,78.5576348138,,,6.283819823,5.81334306376,2.33377958205,-1.18101440923,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
9,03/05/2019,04:37:17 PM,2,5,"Whelan, Matthew",1000017426,Right,TEX_LON,"Gomez, Anthony",8892594,Right,UTR_VAQ,Windup,1,Top,1,1,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,91.6213512658,-2.52311547748,-2.1371348862,1963.86580491,212.354540935,1:00,6.12964777583,0.9358158792,5.55320655869,-14.9861159554,18.8753932344,11.9778612112,2.52032708753,-0.0636502157186,83.1816652116,-5.32402461997,0.110127371507,0.418817358734,88.2268191344,27.3172727291,3.37002172987,3336.30546399,108.828071229,51.2779099044,16.0122407451,292.276260941,289.696552108,18.9675556922,4.53882507324,-7.02702862941,10.8234074382,-0.75899977934,50.0,5.90172869738,4.54297640577,-133.033049751,-6.39351852569,-12.5108617337,30.2783422363,-12.9041464274,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,3ec8d067-3f97-11e9-bad7-90b11c7ab2c3,89.9971687779,63.9242662217,4.48078995061,8.4396860542,1.42952717012,2.52152547359,0.0636748642933,1.22950927648,2.50286716155,0.0632755585569,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
10,03/05/2019,04:38:03 PM,3,1,"Whelan, Matthew",1000017426,Right,TEX_LON,"Diaz, Conrado",1000056838,Left,UTR_VAQ,Windup,1,Top,2,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEX_LON,UTR_VAQ,Texas,NCAA,BIG12,20190305-Texas-1,5f85996c-6e0b-4cc5-bc5c-e42cc3364123,,,,,,,,,,,b9ed2f43-3f91-11e9-bad7-90b11c7ab2c3
