PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/06/2019,03:02:10 PM,1,1,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Bullock, Tommy",1000025621,Right,CHA_FOR,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.3805696467,-0.885619665709,1.56578573661,2392.29891276,138.456200073,10:30,5.6510269834,-1.32980392303,5.77797055566,-18.0965274411,15.7384092526,-13.9738200595,3.31866975936,-1.03719105191,82.5371670569,-4.29722221218,-1.07458849492,0.41865299502,,,,,,,,,,,,8.01896425306,8.75650781639,1.20905265627,50.0,5.56722448442,-3.16072777674,-132.837133388,-2.66332831887,14.1540325006,31.6868956747,-16.718200106,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,1941ef1c-4053-11e9-bc97-1866da1b9159,90.0325017842,,,8.84340258976,-2.52916837197,3.01182534706,1.11915453471,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
2,03/06/2019,03:02:24 PM,1,2,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Bullock, Tommy",1000025621,Right,CHA_FOR,Undefined,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.6822506744,-1.64535584068,1.31671621353,2402.75609096,141.883465948,10:45,5.71409999445,-1.27488665406,5.7829273338,-18.4539472567,14.8198369437,-11.65168899,2.64482463695,-1.02074668667,83.7890523284,-5.10024384306,-0.872722896597,0.415166799562,67.793222587,54.498368275,126.069141182,4281.66153136,,,,,,,,6.62943194279,8.42394369781,1.17345887899,50.0,5.56748953842,-2.66826918033,-133.359025989,-4.4604861221,11.9302030508,28.8715711574,-17.0144753575,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,232b03a0-4053-11e9-bc97-1866da1b9159,90.7885133418,,,7.89319834601,1.72010102841,2.67184969966,1.01616244583,1.55356655368,2.65703237825,1.01866901808,b258cfd9-404f-11e9-bc97-1866da1b9159
3,03/06/2019,03:02:42 PM,1,3,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Bullock, Tommy",1000025621,Right,CHA_FOR,Undefined,1,Top,0,1,1,Slider,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,82.3842421221,1.87066207729,0.722111342682,2003.28211275,119.983753985,10:00,5.35844914374,-1.574032451,5.97550919261,-33.1151808112,7.85730809677,-13.6849409092,4.33353346639,-2.045079152,75.1192516827,-4.36932586466,-1.86068746182,0.460699447607,,,,,,,,,,,,7.61476193753,3.71774606148,1.52460552735,50.0,5.48784558252,-1.10658577616,-119.861606194,2.93714901847,11.0460645898,23.7887384495,-26.7810417283,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,295327ed-4053-11e9-bc97-1866da1b9159,81.8155452907,,,7.26499043942,-1.2247443702,4.1232844512,2.13432751303,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
4,03/06/2019,03:03:01 PM,1,4,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Bullock, Tommy",1000025621,Right,CHA_FOR,Undefined,1,Top,0,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.4044032118,0.113025776346,1.14376246711,2264.56672693,161.848218011,11:30,5.55139323931,-1.28693942576,5.96403711633,-16.9526444186,16.5665649486,-5.44169719521,4.24348083142,-0.679883593266,82.5678099029,-3.09672674561,0.112624713536,0.416695107589,,,,,,,,,,,,3.30525830401,8.9471706914,1.1993937362,50.0,5.55094994801,-2.47715554593,-132.963784786,-0.290548911047,5.85147490193,31.46287957,-16.3343955162,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,3a2a47d9-4053-11e9-bc97-1866da1b9159,90.4555293178,,,8.83659330884,-0.907973167374,4.11436611729,0.676389332305,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
5,03/06/2019,03:03:17 PM,1,5,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Bullock, Tommy",1000025621,Right,CHA_FOR,Undefined,1,Top,0,3,1,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,90.4626884348,-0.558065669387,0.603744618638,2300.07215672,158.49771993,11:15,5.50936776411,-1.53199474039,6.08667695356,-16.7557243198,17.334445582,-6.84164381827,3.59682058187,-1.54366773672,81.6996385988,-3.73711885819,-0.696520234206,0.420229078808,,,,,,,,,,,,3.91666896265,9.61834421742,1.48908953734,50.0,5.45755839428,-1.17136082983,-131.623632199,-1.81028644225,6.7856512865,31.1793006898,-15.5102124152,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,422f513e-4053-11e9-bc97-1866da1b9159,89.6948317522,,,8.76304983603,-3.74267488855,3.24327608517,1.61313749733,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
6,03/06/2019,03:03:53 PM,2,1,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Johnson, Carson ",1000054655,Right,CHA_FOR,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.6145074998,-0.206556162288,1.5643623077,2303.71696768,147.561267189,11:00,5.52375458138,-1.5781639487,5.98914508703,-18.3164938021,17.322155294,-11.0307040438,3.80589883833,-1.04738388012,80.0923355665,-3.67416496992,-0.526609528214,0.429667134097,,,,,,,,,,,,6.4711265877,9.46428424917,1.46102264419,50.0,5.49743978563,-3.17281943004,-128.888612042,-1.04124971447,10.7653465638,29.5491516553,-16.4292939856,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,5920459a-4053-11e9-bc97-1866da1b9159,87.7245977874,,,8.52217193334,-0.914832343282,3.65253360536,1.07100754224,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
7,03/06/2019,03:04:18 PM,2,2,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Johnson, Carson ",1000054655,Right,CHA_FOR,Undefined,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,88.1747957984,-1.05617499469,1.78602815425,2295.07105925,148.400511385,11:00,5.35267828167,-1.37320841757,5.88987784553,-22.8553689562,13.1484773202,-8.10966072179,2.46692264304,-0.390326023454,80.1959375697,-5.35663120165,0.255343618308,0.431862970571,,,,,,,,,,,,4.90972994979,7.41505411312,1.23410169424,50.0,5.25454943199,-3.73903670867,-128.232208813,-3.09662328762,8.12302401423,28.0930829009,-19.9060290841,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,685d456d-4053-11e9-bc97-1866da1b9159,87.2785561385,,,7.97885822876,5.63664637498,2.84809980105,0.41428128485,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
8,03/06/2019,03:04:51 PM,2,3,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Johnson, Carson ",1000054655,Right,CHA_FOR,Undefined,1,Top,0,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5433554579,-1.65403188116,3.41807467949,2282.21826927,144.485992697,10:45,5.36663708391,-1.55651279494,6.03740632059,-20.6079276924,13.870076,-9.92168086117,2.11480865171,0.784982535611,82.2266767771,-5.51885101186,1.55345147603,0.422612729493,,,,,,,,,,,,6.27918826158,7.95029643596,1.29537870194,50.0,5.2263165886,-7.45709043956,-130.148858719,-4.42205704347,10.8198002413,26.1374435836,-18.4747269701,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,7bd7349f-4053-11e9-bc97-1866da1b9159,89.1889285169,,,7.31667868084,0.892108414448,2.06390575701,-0.799111586253,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
9,03/06/2019,03:05:15 PM,2,4,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Johnson, Carson ",1000054655,Right,CHA_FOR,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.0059896522,0.560413654203,1.73454038825,2243.74706273,222.914259255,1:30,5.2582924569,-1.58089896135,5.64861395295,-37.2392630164,8.6557364098,8.08754081649,2.67792517093,0.711209908178,72.0317822827,-6.36010207016,3.2425717765,0.487589340581,74.2411777061,10.3688861432,-49.6581541979,3814.88148915,64.1833281598,7.85566588682,-89.3332280065,152.19274468,152.044004498,-56.2179181712,1.67895446777,-3.86679312188,4.47490327458,1.42884620728,50.0,5.28210126465,-3.67908553653,-113.519301824,-0.000718817139546,-5.07823810277,19.5299498886,-26.2971827405,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,8bbd80bd-4053-11e9-bc97-1866da1b9159,77.3035285722,9.74314410621,1.67730412792,5.97420736949,1.16674556057,2.6499425975,-0.725386535776,0.761128274093,2.60418231593,-0.748469882983,b258cfd9-404f-11e9-bc97-1866da1b9159
10,03/06/2019,03:05:42 PM,2,5,"Wicklander, Patrick",8889147,Left,ARK_RAZ,"Johnson, Carson ",1000054655,Right,CHA_FOR,Undefined,1,Top,0,1,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.5922529738,-2.18754192793,3.07985018547,2383.79709367,149.88655003,11:00,5.38189776188,-1.29938770541,6.19253593236,-18.1182923938,15.6342629431,-9.0861753082,1.84877543711,0.789239268469,82.5086404531,-5.60888443915,1.35909686416,0.418143015922,,,,,,,,,,,,5.85666603284,9.17121584346,1.07222732839,50.0,5.20794070256,-6.79999912693,-131.630205256,-5.59847473401,10.228606401,29.1302682128,-16.156615335,ARK_RAZ,CHA_FOR,BaumStadium,NCAA,SEC,20190306-BaumStadium-1,9a36fa0b-4053-11e9-bc97-1866da1b9159,90.1423079804,,,8.0836125207,1.77893319785,1.88427668113,-0.780601293662,,,,b258cfd9-404f-11e9-bc97-1866da1b9159
