PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/06/2019,06:31:51 PM,1,1,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6818216857,-1.48862728369,2.73319488789,2089.07818112,163.720521747,11:30,6.33524440934,-2.79445765451,5.7362482906,-19.6710097248,17.1570264888,-5.02050777246,3.30812328941,-0.666172829414,79.3556443435,-5.18602751665,1.78727176491,0.436778044028,,,,,,,,,,,,3.54460220539,9.68695191483,2.57018041654,50.0,6.19944724378,-5.91582249829,-127.340016042,-3.95290862723,5.75830346414,28.7443754598,-16.437329586,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,632726cb-4070-11e9-9ec7-aced5cacedaf,86.2964085225,,,8.32617734217,-1.52013156651,3.0352876905,0.576105041732,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
2,03/06/2019,06:32:02 PM,1,2,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.6478322499,-0.993701401979,2.24672294372,2041.43541554,156.50438693,11:15,6.33660189059,-2.8028137456,5.8033146724,-19.6101169257,16.1989464993,-7.05666409276,3.77760395889,-1.30062648665,80.397833904,-4.68362653055,0.916315209485,0.430693184684,,,,,,,,,,,,4.47814890117,9.02590718216,2.62280665561,50.0,6.24351163195,-4.82521946202,-128.853522412,-2.87604423248,7.46890426216,28.7659490935,-17.1201416609,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,6c19c9dd-4070-11e9-9ec7-aced5cacedaf,87.5156093978,,,8.24999834591,-1.30039634225,3.54973758449,1.2590538515,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
3,03/06/2019,06:32:15 PM,1,3,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,2,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7606196839,-3.65231279098,3.39495355833,2132.66854665,160.494267194,11:15,6.37629317915,-2.81855711302,5.82019828398,-18.2972235071,17.5669230572,-6.2346966734,1.44582409878,-0.178535111332,80.7524751405,-7.07372441824,2.22172269127,0.431024313373,,,,,,,,,,,,4.37196029759,10.5576007925,2.54473192289,50.0,6.06642288702,-7.42997661823,-128.66128697,-8.82146691538,7.27818676805,28.403769136,-14.5983650735,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,74da5ee8-4070-11e9-9ec7-aced5cacedaf,87.4483766964,,,8.00814454339,-1.12544111059,1.12586610188,0.0813663348169,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
4,03/06/2019,06:32:26 PM,1,4,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,3,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.2972589437,-1.87475519003,2.72127870243,2080.69888369,165.869836925,11:30,6.33189424006,-2.93069343153,5.7986927369,-18.5269109524,17.4944378543,-4.41261733256,3.04195462855,-0.765838802028,80.445560286,-5.34738934079,1.8918062242,0.431967928473,,,,,,,,,,,,3.16169080558,9.95620906856,2.70995977442,50.0,6.16688889656,-5.95365749754,-128.284023439,-4.80759160038,5.24830920245,27.4975460035,-15.6470486411,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,7bede78a-4070-11e9-9ec7-aced5cacedaf,87.2573495314,,,7.85169865771,-1.29797004985,2.78282480437,0.677340062431,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
5,03/06/2019,06:32:38 PM,1,5,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,3,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.3621275258,-3.01717864208,3.38747142348,2170.00165408,157.42604892,11:15,6.28186571468,-2.85380748209,5.67421991499,-20.0811941561,16.178257469,-6.73990345254,1.78850668627,-0.254225031585,80.5707428399,-6.7621290003,2.12406947858,0.433393241219,,,,,,,,,,,,4.59399271696,9.5441970388,2.57248951574,50.0,6.01465296183,-7.36183038717,-128.160613374,-7.43493159651,7.60908823114,27.5137266884,-16.3658743085,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,831481b3-4070-11e9-9ec7-aced5cacedaf,86.9703837907,,,7.79138468593,-1.29496279451,1.46148424166,0.155424476024,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
6,03/06/2019,06:32:54 PM,1,6,"Weber, Chris",1000017022,Left,TEX_AGG,"Farkas, Dalon",8882853,Right,ABI_WIL,Undefined,1,Top,0,3,2,Fastball,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,88.4433858701,-3.2847392834,3.65317208163,2249.97277756,154.303938959,11:15,6.17995037749,-2.90205190718,5.94246496138,-20.0948057727,15.8278329515,-7.63233357175,1.4494126512,-0.145360347446,80.5289129231,-7.05177281485,2.21453991349,0.431375656904,,,,,,,,,,,,5.21367577469,9.54137695755,2.6154838647,50.0,5.9067048618,-7.94624511437,-128.247171476,-8.01222954137,8.62863101094,28.0790168704,-16.3830740768,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,8c61b876-4070-11e9-9ec7-aced5cacedaf,87.3771524143,,,7.91447294693,-0.672055466401,1.18766939988,0.0657933901685,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
7,03/06/2019,06:33:56 PM,2,1,"Weber, Chris",1000017022,Left,TEX_AGG,"Trevino, Luis",1000001419,Right,ABI_WIL,Undefined,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3492523903,-1.92525652261,1.77713843686,2122.391952,166.776202696,11:30,6.35581432221,-2.93236296961,5.66193903715,-19.8675752348,17.3959764009,-4.09604591373,2.90364494012,-1.61626722231,78.9378571698,-5.65621681329,1.00476084851,0.439353045513,,,,,,,,,,,,2.75934685414,9.94402725668,2.78486554586,50.0,6.18082385734,-3.80228663359,-126.874042923,-4.91789962377,4.43941647852,29.0978038977,-16.1754514972,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,b179f8f9-4070-11e9-9ec7-aced5cacedaf,85.7906344479,,,8.41139522049,-2.26249632713,2.5293993574,1.5537617313,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
8,03/06/2019,06:34:14 PM,2,2,"Weber, Chris",1000017022,Left,TEX_AGG,"Trevino, Luis",1000001419,Right,ABI_WIL,Undefined,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,88.6185356213,-1.4106135834,3.36388593397,2158.46613192,150.474841818,11:00,6.38905903326,-2.87493271707,5.73081921779,-19.7716463669,16.3736037512,-9.29247982221,3.42541000265,-0.513452967123,80.0408972274,-5.13080665696,1.61272981233,0.432710202842,,,,,,,,,,,,6.0513533366,9.2486211653,2.6003655514,50.0,6.25948176685,-7.25456365472,-128.61593551,-3.82215690357,10.0148743595,29.6595075471,-16.8677569194,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,bc2a5786-4070-11e9-9ec7-aced5cacedaf,87.1076676112,,,8.57763839396,-0.0553061547024,3.29163576563,0.472740111778,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
9,03/06/2019,06:34:37 PM,2,3,"Weber, Chris",1000017022,Left,TEX_AGG,"Trevino, Luis",1000001419,Right,ABI_WIL,Undefined,1,Top,0,1,1,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,81.7840497996,-1.11604272615,3.42309440128,1940.65294929,111.280125629,9:45,6.04185241232,-3.21956731856,5.73494776118,-37.0334675387,6.07196723502,-15.6938243177,1.91462944231,-1.33645466028,73.056478712,-8.11862496311,0.437243659304,0.47253886442,92.8939899249,1.90317607871,-4.77982267953,982.060312461,,,,55.7271570489,51.0327791561,-3.55148183568,0.429514770508,9.72866954707,3.6882584367,2.94403132275,50.0,5.92680914008,-6.62335911714,-118.559152252,-3.41888308783,13.440606164,28.8667937198,-27.0785492347,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,c5942896-4070-11e9-9ec7-aced5cacedaf,79.765664497,2.08744777276,0.391309693419,8.72757108757,1.09307026983,1.86832089344,1.3340467084,0.936459679239,1.84580452002,1.3329256089,4fbf1848-406d-11e9-9ec7-aced5cacedaf
10,03/06/2019,06:35:31 PM,3,1,"Weber, Chris",1000017022,Left,TEX_AGG,"Scott, Derek",8893691,Left,ABI_WIL,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.8720427862,-0.062665753315,3.52526889703,2587.45534976,265.665309145,2:45,5.88871301742,-3.63414048242,5.39519169951,-49.9411560801,0.70242944034,9.89515426403,1.6681209884,0.497799900615,68.4157344556,-9.38271439727,5.38553901665,0.512193120816,,,,,,,,,,,,-4.01625040095,0.397233157331,3.31308536399,50.0,5.84929574672,-7.06323345881,-109.941010933,-1.58554403079,-4.78238539413,24.4141468419,-31.7010396899,TEX_AGG,ABI_WIL,BlueBell,NCAA,SEC,20190306-BlueBell-1,e95eb523-4070-11e9-9ec7-aced5cacedaf,73.5901654849,,,7.45630833063,-1.35430410318,1.19399009038,-0.76184730756,,,,4fbf1848-406d-11e9-9ec7-aced5cacedaf
