PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/06/2019,03:01:50 PM,1,1,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.5637681777,-1.31911217699,2.84222759233,2062.72208681,123.658486269,10:00,5.74514713236,-1.43525849637,5.84875636529,-24.5560586722,11.4431776858,-17.2361143837,2.47147085852,-0.228666578156,80.1042735619,-5.94644214022,-0.417252848063,0.431835321902,,,,,,,,,,,,10.2023404923,6.59529267646,1.21432651138,50.0,5.62368167575,-5.83125789386,-128.627941995,-3.7558672459,16.8817911792,29.7529340134,-21.2608317496,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,b0520c31-404a-11e9-9eae-94b86dd51479,87.2841442313,,,8.45949461577,-0.926699871948,2.22245744358,0.249188259442,,,,301b8150-4044-11e9-9eae-94b86dd51479
2,03/06/2019,03:02:05 PM,1,2,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.2337912628,-2.72649665924,3.43740405011,2164.88926606,137.054279359,10:30,5.69212419403,-1.53701649353,5.77693214449,-17.8928654648,17.3435370298,-16.1732545955,1.65790392038,0.317119424205,81.628872483,-6.06990825092,0.404988741007,0.427235467894,,,,,,,,,,,,9.63082993592,10.0645582351,1.2630661484,50.0,5.4560143162,-7.24324177729,-129.519692104,-6.77268616134,16.3766973642,26.7878407494,-15.0598200406,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,b8714511-404a-11e9-9eae-94b86dd51479,88.2238937392,,,7.60491877983,-1.15294877361,1.38045717974,-0.331493509944,,,,301b8150-4044-11e9-9eae-94b86dd51479
3,03/06/2019,03:02:21 PM,1,3,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,0,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,79.7335205597,-2.4130944804,2.83946645494,1772.38731944,127.308421763,10:15,5.73278444561,-1.36365546441,6.10174809706,-32.3198208658,11.3330161331,-14.9260355745,0.80400558313,0.0203229089475,73.1637841391,-8.47026337728,0.0177351402475,0.475529818835,66.1514194205,-12.5705082419,-18.4759795395,,,,,5.53368832259,5.53368832259,-12.6956265258,0.04029296875,8.92905086917,6.85391214831,1.15337882769,50.0,5.53016685793,-5.33014315078,-115.855436612,-5.78936746654,12.1024557579,22.2045408614,-22.8842405177,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,c2e95e8a-404a-11e9-9eae-94b86dd51479,79.2639599625,0.862107129685,0.0442920790344,6.56973642062,1.8098701799,0.862382035838,-0.0201182576447,1.80801282482,0.862107129685,-0.0201196139789,301b8150-4044-11e9-9eae-94b86dd51479
4,03/06/2019,03:02:52 PM,2,1,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.4999338797,-1.55998930899,1.87999035946,2106.10913323,140.435891714,10:45,5.7080966814,-1.30985852313,5.86522554835,-22.6114214756,14.7612569121,-12.2250387488,2.37370635893,-0.581791395176,78.9188792557,-5.80281891031,-0.42343960135,0.439995900501,,,,,,,,,,,,7.13481952386,8.41048030094,1.16481786305,50.0,5.5686933713,-3.74238358914,-125.783586122,-4.14191701446,11.3898593899,26.3635837533,-18.7477540708,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,d49bc91c-404a-11e9-9eae-94b86dd51479,85.6652902407,,,7.581054624,-0.842824264168,2.1399335049,0.600730518096,,,,301b8150-4044-11e9-9eae-94b86dd51479
5,03/06/2019,03:03:09 PM,2,2,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,73.8297057644,0.67910767207,1.48634413492,2086.81839701,270.84570502,3:00,5.76743216067,-1.39529770342,5.18402947719,-52.9609917613,-0.183261947068,9.05327288827,1.99311141237,0.757689342159,67.7237701826,-9.10624851118,3.17185849176,0.522873788232,89.2392364999,7.63738665282,-15.3007278846,2407.27945435,103.504141855,5.55919663806,-37.2403235709,145.797661123,144.808498303,-21.2171552217,1.29528259277,-4.32683464315,-0.298638438138,1.25064582354,50.0,5.79117425077,-3.05556537509,-107.266425632,-0.320928458692,-5.00720123615,19.7245669148,-32.5196459457,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,ddcd3773-404a-11e9-9eae-94b86dd51479,72.0869497944,7.30231060037,1.28492440843,6.10593558185,1.87040685866,2.06556843578,-0.732610300546,1.7361095186,2.04420241199,-0.740019533977,301b8150-4044-11e9-9eae-94b86dd51479
6,03/06/2019,03:03:52 PM,3,1,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8904029119,-0.563902587462,1.71750776036,2154.05357517,125.152088935,10:15,5.70135965919,-1.66749845958,5.80928094792,-22.4255494418,13.9395609011,-19.8442648479,3.30799044019,-1.72375715927,79.85946359,-4.77993093975,-2.02412580507,0.434024227924,,,,,,,,,,,,11.202492025,7.67729407094,1.53857575036,50.0,5.64191705506,-3.19078524784,-127.814761939,-1.98379076858,18.3997130173,28.0969212471,-19.5643535583,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,f8436156-404a-11e9-9eae-94b86dd51479,86.8439457893,,,8.03093932186,-1.18876269478,3.08449306796,1.82070288456,,,,301b8150-4044-11e9-9eae-94b86dd51479
7,03/06/2019,03:04:10 PM,3,2,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3871665638,-2.95760450849,2.66883464855,2175.16060306,128.308685472,10:15,5.60464607997,-1.61138659069,5.83707020035,-22.8496056948,14.3905980884,-18.2603014523,0.946512969089,-0.651075094063,78.7768691629,-7.25856012886,-0.793420559491,0.439215383414,,,,,,,,,,,,10.7520249386,8.75649064014,1.404613345,50.0,5.35022847128,-5.33056880385,-126.752841733,-7.27897672439,17.1830004519,30.1806188627,-18.1801466183,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,01916c89-404b-11e9-9eae-94b86dd51479,85.817523576,,,8.61029740087,0.993304381518,0.892434606438,0.657058322424,,,,301b8150-4044-11e9-9eae-94b86dd51479
8,03/06/2019,03:04:30 PM,3,3,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.1096828148,-1.43723891167,2.06108668497,2193.58532908,124.805092302,10:15,5.59929027754,-1.64046380131,5.77003065911,-24.1486115871,13.4272504509,-19.3664412831,2.24841942588,-1.33568050123,78.2143412613,-5.99735431308,-1.61323840741,0.441190339811,,,,,,,,,,,,11.1521536516,7.73507490012,1.48172972073,50.0,5.46621358879,-3.93490983082,-126.490835903,-3.94538768807,17.6914683818,30.8183455858,-19.9033394807,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,0a8279e2-404b-11e9-9eae-94b86dd51479,85.4333676872,,,8.89534155354,-0.79997286017,2.0110576304,1.4016338607,,,,301b8150-4044-11e9-9eae-94b86dd51479
9,03/06/2019,03:05:13 PM,3,4,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.5991158365,-2.31619254536,1.62637667759,2239.83073452,129.054752489,10:15,5.55139981662,-1.78040651585,5.73489098568,-22.5618455606,13.6879427199,-16.9122197106,1.51258051125,-1.67502252126,79.9406829184,-6.55721179107,-1.57362082723,0.433335486522,,,,,,,,,,,,9.63796740136,8.12733498082,1.65531599884,50.0,5.34497145463,-3.09927463419,-128.650709344,-5.94411093871,15.8855203914,30.8109687441,-18.7783873979,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,2555a1a0-404b-11e9-9eae-94b86dd51479,86.981975152,,,8.65843291812,-0.911404748069,1.24038861753,1.74234114342,,,,301b8150-4044-11e9-9eae-94b86dd51479
10,03/06/2019,03:05:33 PM,3,5,"Hazelwood, Mason",1000017469,Left,KEN_WIL,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,3,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,1,0,,86.0493944464,-0.79220914629,3.32863161174,2178.70391309,138.92887366,10:45,5.643616078,-1.55591432811,5.95970451655,-20.3230942804,17.7492796671,-15.499134576,3.21421458556,0.242215530298,77.4808329348,-4.64160768713,0.389896638512,0.444095627385,69.0342670512,55.6960158592,153.11006113,4565.37497433,-99.88562766,62.7384504134,46.0740541929,173.383052488,60.3727238871,155.620738916,3.68123474121,9.47905792058,9.88524679889,1.30042309375,50.0,5.56948311597,-6.79290701845,-124.94449025,-2.35211345766,14.7635048237,28.6370200233,-16.7779100349,KEN_WIL,BOC_EAG,UKentucky,NCAA,SEC,20190306-UKentucky-1,3737bc5f-404b-11e9-9eae-94b86dd51479,84.8744599065,65.763614118,1.11578198684,8.56856151155,1.18055664533,3.19500307043,-0.243790607602,1.11714833393,3.18982958224,-0.244202804143,301b8150-4044-11e9-9eae-94b86dd51479
