PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/06/2019,02:03:55 PM,1,1,"Kaiser, Erik",8898970,Right,VAN_COM,"Lyle, Jake",1000054677,Right,ETS_BUC,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.3305979974,-2.10940298661,-3.37294060058,2080.90733739,210.30581468,1:00,5.39223522768,1.9872531067,6.33343299316,-16.2590440138,16.8874603285,9.88874990809,2.0910236505,-0.297606299978,81.8518203075,-5.23294877975,-1.46965741226,0.414371984619,,,,,,,,,,,,-6.7217771829,10.1151413626,-1.74629298866,50.0,5.23093155224,7.59594131806,-133.927178536,-5.43031973216,-11.8149462782,37.6047802584,-14.3945464183,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,f8c184d4-404a-11e9-9eb2-74e5f9ab4644,90.9626565506,,,10.47877769,-1.52427091258,1.81613953349,0.369747995852,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
2,03/06/2019,02:04:08 PM,1,2,"Kaiser, Erik",8898970,Right,VAN_COM,"Lyle, Jake",1000054677,Right,ETS_BUC,Windup,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,94.2623166533,-2.39072348618,-4.13727614621,2088.37377732,209.124060656,1:00,5.52929925316,1.93720742959,6.53857878921,-14.5701395153,16.9976029825,9.48663229421,2.11563386604,-1.07305682895,83.6649278956,-5.19761613778,-2.30856444671,0.404383364232,80.4766492886,0.28327142643,12.8673291215,1494.59432299,,,,42.7889508754,42.7889508754,14.5483391012,0.367529907227,-6.80461098983,10.3373135792,-1.65468851161,50.0,5.35728816513,9.60559999669,-136.652613133,-6.14891528826,-12.4711733365,38.7411563715,-13.2283028449,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,00fa40e8-404b-11e9-9eb2-74e5f9ab4644,93.2095131874,2.10024118663,0.367529907227,10.5973887577,1.27448679101,2.1026785798,1.07878125136,1.19524448439,2.09544823275,1.08196526658,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
3,03/06/2019,02:04:40 PM,2,1,"Kaiser, Erik",8898970,Right,VAN_COM,"Smith, Cullen",1000008638,Left,ETS_BUC,Windup,1,Top,1,0,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,93.2177380515,-2.11886411009,-2.69048091737,2137.11002455,221.189459088,1:15,5.33018323725,2.25327716214,6.27825089893,-17.6450659,14.8885254931,13.0558498563,1.90392164426,0.859832824162,82.7333290575,-5.50339398929,-0.178051914416,0.410523026758,,,,,,,,,,,,-8.19570327648,8.99362040736,-2.06111947282,50.0,5.16539236042,5.9563206015,-135.287586682,-5.55305854235,-14.7079269216,38.2267542771,-16.0341875525,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,13de9d72-404b-11e9-9eb2-74e5f9ab4644,91.8154989228,,,10.484408994,1.0474125069,1.86825203256,-0.858753573097,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
4,03/06/2019,02:05:17 PM,3,1,"Kaiser, Erik",8898970,Right,VAN_COM,"Greer, Jackson",8885461,Right,ETS_BUC,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.6435780967,-2.84359001669,-3.44951770169,2036.34002483,204.089280276,12:45,5.42516229691,1.89699667174,6.62501842785,-14.3478067186,19.0333213931,8.52377535502,1.61913615954,-0.554785932565,81.0887016564,-5.61540220297,-1.79850183565,0.415835941109,,,,,,,,,,,,-6.07817465224,11.7165821016,-1.66688292358,50.0,5.22651015257,7.77277040095,-132.905532215,-7.01504603868,-10.4914890006,37.7571755531,-11.9501492319,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,28288510-404b-11e9-9eb2-74e5f9ab4644,90.6424211928,,,10.5548764403,-1.14266821179,1.36368127442,0.632956377407,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
5,03/06/2019,02:05:31 PM,3,2,"Kaiser, Erik",8898970,Right,VAN_COM,"Greer, Jackson",8885461,Right,ETS_BUC,Windup,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.8580729384,-3.50165048251,-4.39269246775,2004.08355792,236.528971526,2:00,5.47921047173,1.65242612987,6.36962855938,-22.6712585395,11.1852783055,16.9658391116,0.354803601668,-0.983089265585,81.0028999809,-7.85861322254,-1.11340550203,0.418786607288,,,,,,,,,,,,-11.1551739462,7.59951866994,-1.34286136649,50.0,5.21540652906,9.70749971451,-132.865872467,-8.82092861034,-19.1332249695,39.190244267,-19.1394422766,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,311b2e18-404b-11e9-9eb2-74e5f9ab4644,90.0037772583,,,10.8551729574,-0.442947736607,0.0949991554517,1.01692444591,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
6,03/06/2019,02:05:46 PM,3,3,"Kaiser, Erik",8898970,Right,VAN_COM,"Greer, Jackson",8885461,Right,ETS_BUC,Windup,1,Top,2,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.4280104369,-1.67683097711,-3.64184055038,1948.97966167,210.366168901,1:00,5.51323553553,1.78673448149,6.47546037166,-16.3730093573,17.2690688868,10.1365334123,2.60562852612,-0.716931971846,80.9633484378,-4.83377254509,-1.68578189092,0.417458133145,,,,,,,,,,,,-6.99863286595,10.2190440867,-1.53500601973,50.0,5.38803382311,8.14967745464,-132.644990417,-4.3640745835,-12.0564470806,37.114195883,-14.5698440488,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,3a0dd584-404b-11e9-9eb2-74e5f9ab4644,90.2901956591,,,10.464661999,1.81261705884,2.6390278171,0.705217404195,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
7,03/06/2019,02:06:06 PM,3,4,"Kaiser, Erik",8898970,Right,VAN_COM,"Greer, Jackson",8885461,Right,ETS_BUC,Windup,1,Top,2,1,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,96.1634214176,-2.25561323583,-4.16421240095,2222.37682154,218.133155001,1:15,5.69961400043,1.60347443664,6.52071821947,-13.9278052256,16.3979010776,12.8953102092,2.46313533598,-1.14886648128,85.3600037806,-4.93984601597,-1.67910829849,0.396348282559,,,,,,,,,,,,-8.69301513848,9.94002779059,-1.31928072701,50.0,5.53649250836,9.76186496917,-139.419294737,-5.92605245644,-16.5987753994,40.0714453194,-13.1941795315,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,43007db2-404b-11e9-9eb2-74e5f9ab4644,95.0991291743,,,10.803417637,-3.44217921887,2.03018894197,1.27943834566,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
8,03/06/2019,02:08:33 PM,1,1,"Kirby, Zach",1000054730,Right,ETS_BUC,"Gristanti, Walker",8882926,Left,VAN_COM,Windup,1,Bottom,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.3870805948,-2.84245428227,-2.21372131257,2104.85979499,207.365471806,1:00,5.54416516089,0.548867974171,6.34186314858,-17.2786278388,21.4105420408,11.1006345172,1.48366111481,-0.56485128571,75.8703811389,-6.15448648708,-0.0745957948378,0.447678486045,,,,,,,,,,,,-6.95414814813,12.8833966036,-0.39328401608,50.0,5.32953550048,4.48165148873,-123.915832115,-6.6372224982,-10.4705735883,32.058371755,-12.7760505081,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,9c7b0fe3-404b-11e9-9eb2-74e5f9ab4644,84.1951929701,,,9.51669945593,-0.732313590808,1.24885437025,0.565670619823,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
9,03/06/2019,02:08:51 PM,1,2,"Kirby, Zach",1000054730,Right,ETS_BUC,"Gristanti, Walker",8882926,Left,VAN_COM,Windup,1,Bottom,0,0,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Triple,0,0,,84.946861157,-1.55881243652,-1.41300435078,2016.26483646,213.68606636,1:00,5.65340805179,0.434190317463,6.45088995716,-21.6649659777,16.945134859,11.3192451501,2.41526546183,0.0791985233303,75.9778828303,-5.71259158149,0.766627524766,0.447220791896,,,,,,,,,,,,-6.76695837923,9.93368645895,-0.339340992271,50.0,5.53356165898,2.738563641,-123.509323787,-3.95158571445,-10.18438028,30.4857658423,-17.2236920135,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,a56db81f-404b-11e9-9eb2-74e5f9ab4644,84.2813599102,,,8.96897832667,2.22772054745,2.49586531623,-0.0686286810691,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
10,03/06/2019,02:09:40 PM,2,1,"Kirby, Zach",1000054730,Right,ETS_BUC,"Martin, Austin",1000009951,Right,VAN_COM,Stretch,1,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1184928687,-2.5337230372,-3.18149602583,2157.90142593,205.443779739,12:45,5.7093736998,0.403558132546,6.43430127039,-17.7261342216,18.5528377799,8.8431426492,1.89884542048,-1.78599482384,79.1580999589,-5.89865050756,-1.49707561594,0.43350988475,,,,,,,,,,,,-5.82919516567,10.9854071267,-0.181585823515,50.0,5.52113186844,6.78405709406,-126.565463737,-6.1124794221,-9.38218341041,27.6988357955,-14.4928590317,VAN_COM,ETS_BUC,Vanderbilt,NCAA,SEC,20190306-Vanderbilt-1,c68054e6-404b-11e9-9eb2-74e5f9ab4644,86.9469828649,,,7.9603929098,-1.93898165204,1.54465092425,1.87001073939,,,,5ccaeda5-4046-11e9-9eb2-74e5f9ab4644
