PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/08/2019,05:59:24 PM,1,1,"Hurt, Kyle",8898805,Right,SOU_TRO,"Morrill, Hueston",1000013489,Right,OKL_COW,Windup,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.5951127468,-0.36853522739,-1.23007732463,2075.66828203,242.37379201,2:00,6.07135481901,0.836475842543,5.42992134359,-27.5339761405,7.47706407356,14.3492810203,3.43166123519,0.880178194227,81.6362281313,-5.53184164961,1.47015528617,0.425867036438,101.074363802,22.5855997927,-34.9744281202,2591.41440058,84.9918143406,41.4391002338,-69.8310660722,325.660465783,94.4360328297,-50.8239278072,3.76044250488,-8.04376431684,4.10272848377,-0.737292679549,50.0,6.02012416772,2.32015331174,-131.605466144,-1.81708106124,-13.8774536638,32.1771512428,-25.0958421116,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,f1e4cb75-420e-11e9-9ef0-94b86dd5147e,88.5073821077,51.9756356261,0.776438551176,8.95888461545,2.32935722414,3.51925819844,-0.857184852468,2.14916910863,3.50209504361,-0.86165620709,9ed555e4-4206-11e9-9ef0-94b86dd5147e
2,03/08/2019,05:59:54 PM,1,2,"Hurt, Kyle",8898805,Right,SOU_TRO,"Morrill, Hueston",1000013489,Right,OKL_COW,Windup,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.1496844245,-1.68015171604,-0.402411251359,2399.20864879,55.5733940279,7:45,6.36134354423,1.20787086366,4.72528130824,-46.9290900529,-2.44735526668,-3.50969432292,0.856064772855,0.533606950034,74.5096032587,-10.2511140958,-1.05167579271,0.480023364438,,,,,,,,,,,,1.69929377419,-0.767319848692,-1.16428639785,50.0,6.1515385477,0.951230710859,-117.802039737,-5.11150433965,2.37110289966,23.8472182059,-33.2447252963,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,03ca126f-420f-11e9-9ef0-94b86dd5147e,78.5219622909,,,6.64008116583,2.19779968903,0.996366514942,-0.547872407645,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
3,03/08/2019,06:00:09 PM,1,3,"Hurt, Kyle",8898805,Right,SOU_TRO,"Morrill, Hueston",1000013489,Right,OKL_COW,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.9605198823,-2.1826670667,-0.546859357311,1994.54226701,192.440422014,12:30,6.25234913158,0.934068575333,5.26670299658,-16.8981745627,17.7814373931,3.92984892383,2.79292687321,0.74788137406,82.6122253899,-5.32419779275,0.187033616375,0.423846531024,,,,,,,,,,,,-2.23849024665,10.0422178915,-0.88694671932,50.0,6.04066569243,1.11734408117,-132.127503413,-5.65429447521,-3.93112361741,29.8803873929,-14.5384122236,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,0cbcb5aa-420f-11e9-9ef0-94b86dd5147e,88.9293028541,,,8.34829449242,-1.39500577497,2.52616471978,-0.758160188837,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
4,03/08/2019,06:00:27 PM,1,4,"Hurt, Kyle",8898805,Right,SOU_TRO,"Morrill, Hueston",1000013489,Right,OKL_COW,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,83.9364063325,-0.347330366633,0.461803063256,1780.87278409,225.371997775,1:30,6.35017195929,0.990979749376,4.76166331443,-30.4130120477,11.3950075866,11.5837654612,3.48643436322,2.39414019752,75.732876594,-5.97433249459,2.61387704368,0.465373143299,,,,,,,,,,,,-5.8765523514,6.03977381848,-1.04702651262,50.0,6.28967810156,-1.39964037088,-121.81712019,-1.83535808091,-8.69375715032,27.3840670823,-23.2388219676,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,1c638a07-420f-11e9-9ef0-94b86dd5147e,80.9938799947,,,8.20352973846,-2.26580742006,3.08600044177,-2.56783660156,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
5,03/08/2019,06:00:45 PM,1,5,"Hurt, Kyle",8898805,Right,SOU_TRO,"Morrill, Hueston",1000013489,Right,OKL_COW,Windup,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,81.3511299381,0.855862077758,-0.380583540352,2436.42101893,31.3899954118,7:00,6.08377360622,1.13516850312,4.984247582,-54.1027103592,-10.3902192095,-6.31464950037,2.38341344882,0.249588277189,74.659626059,-9.10861807073,-1.55267382377,0.475854627539,96.3836052664,-18.0115604272,-18.2949661344,,,,,9.65646525998,6.39758237934,-15.9551285041,0.0569842529297,3.19023486769,-5.68247700101,-1.09351065881,50.0,6.12321758697,1.00108067505,-118.203858543,-0.0840013038161,4.49121660038,23.5760226049,-40.1738467207,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,27249897-420f-11e9-9ef0-94b86dd5147e,79.2098559933,2.4857217749,0.0325065111243,6.6915038791,2.29680567126,2.52312163929,-0.273275437903,2.05938948553,2.4857217749,-0.266919267075,9ed555e4-4206-11e9-9ef0-94b86dd5147e
6,03/08/2019,06:01:22 PM,2,1,"Hurt, Kyle",8898805,Right,SOU_TRO,"Navigato, Andrew",1000053952,Right,OKL_COW,Windup,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.6992839213,0.19918917547,-0.0638778428839,2481.5212908,34.7780026689,7:15,6.10992853677,1.13440244248,4.47260948149,-60.4837189868,-13.7343038322,-9.50724741763,1.25947638969,0.281246722001,72.9674514738,-10.8359876325,-1.81932307143,0.492107075572,,,,,,,,,,,,4.87186877088,-7.12942972812,-1.11888785381,50.0,6.07493888256,0.468165316521,-115.644750117,-1.75612438437,6.516301904,24.0471666749,-41.7099204562,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,3979e796-420f-11e9-9ef0-94b86dd5147e,76.5938520134,,,6.73183244753,0.798497829312,1.14028939589,-0.261485099181,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
7,03/08/2019,06:01:38 PM,2,2,"Hurt, Kyle",8898805,Right,SOU_TRO,"Navigato, Andrew",1000053952,Right,OKL_COW,Windup,1,Top,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7275486797,-3.33008824711,-0.0692364730276,2113.25308413,190.734957791,12:15,6.82771438915,0.748296539018,5.43859951409,-3.66865864459,30.7728208227,5.84017205359,3.40055029836,1.17015217056,81.8303165559,-4.01946789392,1.03366071353,0.422388823076,,,,,,,,,,,,-3.14075494672,17.5726883087,-0.74609265913,50.0,6.53071174282,-0.0459203380019,-132.997007152,-7.86844405711,-5.49746691594,34.5732915403,-1.41543343363,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,4131e8a9-420f-11e9-9ef0-94b86dd5147e,89.2362071672,,,9.89723212379,-1.80576626293,3.17267443228,-1.2305291396,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
8,03/08/2019,06:01:56 PM,2,3,"Hurt, Kyle",8898805,Right,SOU_TRO,"Navigato, Andrew",1000053952,Right,OKL_COW,Windup,1,Top,1,2,0,Fastball,Fastball,InPlay,Undefined,Popup,Out,1,0,,90.9259554159,-2.67217694283,-0.416531137858,2050.10098931,194.300465805,12:30,6.52725453531,0.90306068802,5.35955837237,-11.9060002351,23.2880087191,5.94467550205,3.02758736462,1.00787533395,81.0580844101,-4.90994979099,0.705949368773,0.426978383263,,,,,,,,,,,,-3.31219961027,13.3419940307,-0.869773479693,50.0,6.27911317567,0.747870146802,-131.86777129,-6.57691143803,-5.68604451346,34.5909754849,-9.26988187475,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,515bd52d-420f-11e9-9ef0-94b86dd5147e,88.2770135412,,,9.86787100585,2.0283538817,3.07997544068,-1.00041965998,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
9,03/08/2019,06:02:38 PM,3,1,"Hurt, Kyle",8898805,Right,SOU_TRO,"Funk, Christian",1000024004,Left,OKL_COW,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.500346953,-3.49406129788,0.0354812054138,2080.70306831,197.201740951,12:30,6.44552090883,0.66253750491,5.40305145913,-13.4946398969,21.6695356016,6.71879888577,2.04328416948,1.25568008882,81.6505895654,-6.01056815462,1.29783082199,0.426797373175,,,,,,,,,,,,-3.56213398691,12.6412983115,-0.670286764372,50.0,6.12504359396,-0.318914189695,-131.271514598,-8.49251657563,-6.12800265803,31.4476319696,-10.4269975082,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,6637181f-420f-11e9-9ef0-94b86dd5147e,88.3144529235,,,8.84975738756,-1.72135685747,1.70798947764,-1.32916535276,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
10,03/08/2019,06:02:54 PM,3,2,"Hurt, Kyle",8898805,Right,SOU_TRO,"Funk, Christian",1000024004,Left,OKL_COW,Windup,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4211099046,-2.89853753191,0.48671544329,2058.94269425,190.193767627,12:15,6.82056440155,0.581040564519,5.457458247,-10.8842968005,24.2179757619,4.36071671082,3.19821050389,1.39999064917,81.5112333086,-4.93455396798,1.30660064084,0.426421541127,,,,,,,,,,,,-2.16875073467,13.8270200837,-0.626806707333,50.0,6.55790767195,-1.26780633681,-131.244079593,-7.02702860358,-3.73064604316,31.347956629,-8.38905706835,SOU_TRO,OKL_COW,DedeauxField,NCAA,PAC12,20190308-DedeauxField-1,740d1f49-420f-11e9-9ef0-94b86dd5147e,88.3922899897,,,8.90987659594,-1.87184117657,2.90995158773,-1.4767041489,,,,9ed555e4-4206-11e9-9ef0-94b86dd5147e
