PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/12/2019,04:03:54 PM,1,1,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Young, Michael",8897242,Right,UMASS_RIV,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.0774347498,-2.01262032489,-4.13385502679,1804.50274481,205.088380777,12:45,6.06059477976,2.89501721978,6.44219513307,-26.8638265617,12.5613457062,5.8984132462,1.96723637572,-0.418083167071,76.7201121227,-7.06323153268,-3.02055552201,0.451916624826,57.9728199295,73.8183216284,-140.771211843,2130.10389652,,,,,,,,-4.31000940522,7.42139251302,-2.60443775304,50.0,5.90531313099,8.56354070174,-120.717736125,-4.98793382353,-6.403458719,21.9978162518,-21.1479518298,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,f28f1f01-4501-11e9-9f68-aced5cacef94,83.4055984013,,,6.35732262706,1.68997132277,2.00107561027,0.403645816556,1.45695796014,1.97223405343,0.415956752712,a77a594a-4500-11e9-9f68-aced5cacef94
2,03/12/2019,04:04:17 PM,1,2,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Young, Michael",8897242,Right,UMASS_RIV,Undefined,1,Top,0,0,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,85.4428236598,-1.88899985403,-2.96060345145,1881.61361925,195.081285749,12:30,6.13933289812,2.68623561856,6.42443304569,-26.4133396813,10.4366073686,2.82169246617,2.19914301315,0.197943229958,79.7089373289,-6.83143441332,-2.42999623251,0.436907955234,73.7527076572,3.03288316626,-11.6352687284,2230.60965004,,,,52.9826349672,52.1287444163,-13.5597799066,0.516690063477,-2.22124988579,6.14646375916,-2.47676537928,50.0,5.99242417375,6.35324781391,-124.399691965,-4.8618333456,-3.54188756239,20.8483261633,-22.3732225978,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,04747096-4502-11e9-9f68-aced5cacef94,86.2707489519,2.52347833099,0.509190152624,5.7338863309,0.820123836672,2.12728394122,-0.172662997654,0.648025306581,2.10643051169,-0.165382918221,a77a594a-4500-11e9-9f68-aced5cacef94
3,03/12/2019,04:04:49 PM,2,1,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Passatempo, Steve",8891982,Right,UMASS_RIV,Undefined,1,Top,1,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.170505269,-2.53774840083,-2.63897829892,1875.42505122,187.990058125,12:15,6.29094302472,2.745334562,6.23490647745,-18.126330586,18.882239623,2.65526881734,2.43562767171,0.530742550392,79.0773926245,-5.94592673593,-2.13748987611,0.437847295791,,,,,,,,,,,,-2.16608214318,10.9951340941,-2.55007557549,50.0,6.0926347907,5.69623485643,-125.284794583,-6.09333165518,-3.45052414683,24.7794224084,-14.6590268806,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,1659c338-4502-11e9-9f68-aced5cacef94,86.085667043,,,7.09311264441,-1.35588560521,2.14165204485,-0.427995364365,,,,a77a594a-4500-11e9-9f68-aced5cacef94
4,03/12/2019,04:05:02 PM,2,2,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Passatempo, Steve",8891982,Right,UMASS_RIV,Undefined,1,Top,1,0,1,ChangeUp,Cutter,InPlay,Undefined,LineDrive,HomeRun,0,1,,76.4471435959,-0.858009192412,-2.76349599252,1729.80154707,131.824638325,10:30,6.00843301105,2.8214208392,5.89857702092,-41.7426731988,6.13084018123,-6.90133962639,1.73244263625,-0.320898055848,70.2589600958,-8.64779287605,-4.06112306074,0.49798833385,95.3938407669,28.7146023978,19.3220318969,4205.12925908,99.8112905426,54.9734811734,46.2350532542,363.113634843,163.381004164,36.6096105611,4.94648010254,2.92031447928,3.56187317559,-2.59536262554,50.0,5.91557181376,5.55510084297,-111.121338167,-2.82334028823,3.63391961222,20.8044233334,-27.7417996049,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,1f4c6ae4-4502-11e9-9f68-aced5cacef94,75.6892761518,78.6083235537,1.71226064004,6.18818350003,1.43703522278,1.7355476489,0.319452013286,1.20654301132,1.70033855523,0.33582753676,a77a594a-4500-11e9-9f68-aced5cacef94
5,03/12/2019,04:05:47 PM,3,1,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Climo, Cam",8900891,Right,UMASS_RIV,Undefined,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.4981513823,-3.61235766151,-4.11587452053,1999.28027031,200.144748683,12:45,6.23079235212,2.64601167628,6.32228915369,-22.8856569667,14.7473333886,5.4228015175,0.98416856631,-0.698745649778,78.7030993484,-7.89987131107,-3.09267874476,0.441525593452,,,,,,,,,,,,-4.08043041772,9.05078181482,-2.34799452936,50.0,5.95533169657,8.76836745344,-124.014978852,-8.50644452459,-6.37291328914,24.1348509027,-18.0383222237,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,3a2202ee-4502-11e9-9f68-aced5cacef94,85.3684975007,,,6.79505203393,2.85019178964,1.18169161475,0.6208938994,,,,a77a594a-4500-11e9-9f68-aced5cacef94
6,03/12/2019,04:06:00 PM,3,2,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Climo, Cam",8900891,Right,UMASS_RIV,Undefined,1,Top,1,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.5006882991,-3.4356987083,-3.44225609192,1956.479372,213.042696577,1:00,5.98374867801,2.76173614649,6.37673533647,-26.0392293726,13.3686168949,8.71995305023,0.64378378237,0.318035143738,76.72063265,-8.32828049904,-1.78968839737,0.451817313046,,,,,,,,,,,,-5.74809374602,8.29965719637,-2.51780423488,50.0,5.72353412611,7.0502021496,-121.220797313,-8.01153767437,-8.54970928745,23.7803085571,-19.829146168,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,4175eba0-4502-11e9-9f68-aced5cacef94,83.4239313828,,,6.78005564909,1.28480277417,0.624454653358,-0.31392039105,,,,a77a594a-4500-11e9-9f68-aced5cacef94
7,03/12/2019,04:06:12 PM,3,3,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Climo, Cam",8900891,Right,UMASS_RIV,Undefined,1,Top,1,2,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,83.253081816,-2.12800464016,-3.80581132058,1942.90800284,203.229052174,12:45,6.12747058458,2.76771599949,6.38697900166,-23.2498677559,16.2639433738,6.99644439742,2.22757201156,-0.154708257264,76.3823069584,-6.51242574044,-2.48186647148,0.452424357363,94.7142824036,46.4247996438,9.55861670639,4317.67074406,105.551351394,109.73660103,30.9662969535,302.76063871,102.236784924,26.140132051,6.06251037598,-4.88614172038,9.51270494745,-2.49737760954,50.0,5.96342606246,7.85344858161,-120.960802015,-5.1461978986,-7.24821690112,23.3212990464,-18.062679562,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,49d4cb9d-4502-11e9-9f68-aced5cacef94,83.3119965972,134.249562012,1.41204421759,6.87077485762,2.06273297385,2.30104374387,0.126600108735,1.8941948625,2.28194462074,0.13395288432,a77a594a-4500-11e9-9f68-aced5cacef94
8,03/12/2019,04:06:48 PM,4,1,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Roden, Andrew",1000055492,Right,UMASS_RIV,Undefined,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.0090131999,-3.31811773879,-2.67968317593,1969.07319347,198.447903249,12:30,6.06826872627,2.84395585902,6.29995738806,-21.3391331189,16.7132253395,5.5872090155,1.22643646877,0.839110424128,78.0135798471,-7.32823924866,-1.62185797865,0.443978876591,,,,,,,,,,,,-3.80128194194,10.0689919685,-2.6500895994,50.0,5.81412864948,5.62024555821,-123.503024858,-7.77970152086,-5.87262246412,24.53928954,-16.618404611,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,5def081b-4502-11e9-9f68-aced5cacef94,84.8967788975,,,6.99543335277,-0.302585210093,1.00296666251,-0.791027579303,,,,a77a594a-4500-11e9-9f68-aced5cacef94
9,03/12/2019,04:07:01 PM,4,2,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Roden, Andrew",1000055492,Right,UMASS_RIV,Undefined,1,Top,2,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.2719393854,-2.93367790988,-3.6237038708,1907.69554701,205.475826364,12:45,6.20936005806,2.85138317266,6.30303983203,-21.8167200732,17.9472612068,8.5689248701,1.68103896752,0.222878240175,76.2068295189,-7.04281540944,-2.00139297773,0.453854293944,,,,,,,,,,,,-5.71891846358,10.6604238516,-2.58973424745,50.0,5.98327900798,7.41671320972,-120.899712984,-6.81888823136,-8.45000867363,23.9487289154,-16.4227007125,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,664923b2-4502-11e9-9f68-aced5cacef94,83.0495095543,,,7.06510986654,0.679525024119,1.58948544582,-0.197287288891,,,,a77a594a-4500-11e9-9f68-aced5cacef94
10,03/12/2019,04:07:20 PM,4,3,"Feathers, Brandon",1000049568,Right,RAD_HIG,"Roden, Andrew",1000055492,Right,UMASS_RIV,Undefined,1,Top,2,1,1,Slider,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.3722731338,0.493691631283,-1.68390281834,1724.04807572,150.48836571,11:00,5.89851373477,3.1184058892,5.96645876112,-37.471701734,11.8792117737,-6.75038410402,3.23376553105,0.99433584032,68.4597915466,-6.57276121436,-2.96159455119,0.505614029944,,,,,,,,,,,,3.13475447526,6.28822716648,-2.98139186839,50.0,5.91686632492,3.40355700224,-109.607726192,-0.061515102943,3.76829543545,21.5176819626,-24.6149564758,RAD_HIG,UMASS_RIV,CarterMemorial,NCAA,BSOU,20190312-CarterMemorial-1,6fd4596c-4502-11e9-9f68-aced5cacef94,74.5477267024,,,6.91248158719,-2.55158689864,2.75423530799,-0.785128646639,,,,a77a594a-4500-11e9-9f68-aced5cacef94
