PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/13/2019,06:06:52 PM,1,1,"Levy, Gabe",1000056672,Right,DAV_WIL,"McFalls, Scout",8901429,Left,WIN_EAG,Undefined,1,Top,0,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,88.4353783867,-1.84732667771,-2.44309034427,2038.91696215,220.204693128,1:15,5.89905827967,2.37080241519,5.16142244349,-18.9544181507,18.2479262793,15.452819656,2.57883323725,1.3579688725,79.5373169115,-5.38380883696,0.449785567452,0.43899206779,66.7930350803,23.994522006,-54.1002597142,4411.65943301,55.0352247063,24.1742178072,-95.2420268895,172.698868713,154.456770802,-63.7592012222,2.44561706543,-8.94704988662,10.2287201109,-2.1545406609,50.0,5.71270232323,4.91880043893,-128.257517135,-4.81928346286,-14.6649478715,30.4867499756,-15.4083381692,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,4ff0285e-45dc-11e9-aeb2-484d7ed792f4,85.8611790205,25.1037096979,2.12508079888,8.89806147527,1.47610488528,2.58443263556,-1.3575042104,1.34171191721,2.57176527166,-1.35856040198,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
2,03/13/2019,06:07:15 PM,1,2,"Levy, Gabe",1000056672,Right,DAV_WIL,"McFalls, Scout",8901429,Left,WIN_EAG,Undefined,1,Top,0,0,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.0174750793,-1.70789215022,-3.95542416551,2095.88426941,233.849502252,1:45,5.84376517744,2.45410180659,5.37747182207,-24.7049252496,11.0615894427,15.1872070683,2.17987921202,0.00629620757061,80.8831104314,-6.3347511553,-1.10339683221,0.430437231383,,,,,,,,,,,,-9.38643313704,6.44930642476,-2.1104281527,50.0,5.67372446484,8.4826960021,-130.402246048,-4.7661227391,-15.873813069,31.9913252439,-21.2673406391,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,58e13dc3-45dc-11e9-aeb2-484d7ed792f4,87.5676492947,,,9.13436464789,2.31822466437,2.27925986325,-0.0241057693321,,,,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
3,03/13/2019,06:07:51 PM,1,3,"Levy, Gabe",1000056672,Right,DAV_WIL,"McFalls, Scout",8901429,Left,WIN_EAG,Undefined,1,Top,0,0,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.0348373775,-0.497419257887,-3.01048596735,2563.09588825,34.1864581923,7:15,5.96162055237,2.4096716935,5.00304234799,-45.4550374284,-2.6423037246,-1.76745258408,1.7035475904,-0.581701381366,75.6969858086,-8.82832601509,-3.33672032298,0.470931779022,,,,,,,,,,,,0.098397385552,-1.24384166447,-2.11924532366,50.0,5.87779630119,6.3252000647,-119.110597821,-2.60480405603,0.141566177139,22.5643025007,-33.963587053,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,71e389d3-45dc-11e9-aeb2-484d7ed792f4,80.0378700273,,,6.33785156887,0.801456985831,1.60724246668,0.617592771537,,,,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
4,03/13/2019,06:08:20 PM,2,1,"Levy, Gabe",1000056672,Right,DAV_WIL,"Raines, Alex",8892726,Right,WIN_EAG,Undefined,1,Top,1,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.9752758432,-2.04066258854,-3.45210455969,2156.69399197,244.08103999,2:15,5.94071317266,2.42238783808,5.38975420699,-26.6926612047,9.44291746303,19.5004653766,1.79971801689,0.808513752536,80.081157029,-7.06363354376,0.236275024206,0.43265230844,,,,,,,,,,,,-11.6681997909,5.78571559691,-2.12740866541,50.0,5.74025807143,7.18167510617,-130.280941519,-5.57768271658,-19.4653164858,34.8566699952,-22.5221067652,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,830957da-45dc-11e9-aeb2-484d7ed792f4,87.119323729,,,9.89411881418,1.77033342699,1.84341852723,-0.807145484004,,,,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
5,03/13/2019,06:08:44 PM,2,2,"Levy, Gabe",1000056672,Right,DAV_WIL,"Raines, Alex",8892726,Right,WIN_EAG,Undefined,1,Top,1,0,1,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,82.1149573345,0.33401882737,-2.47723327759,2678.8941295,66.6314266914,8:15,5.92714312398,2.37283483798,4.97007836675,-44.796401886,-1.20153556177,-2.68590598355,2.50986639698,-0.192028235842,74.05531944,-7.98292397386,-2.97855192399,0.475213963733,73.5479122365,44.2104178116,58.1444845917,5026.4584127,47.3893329543,72.7310409361,99.2685553503,216.15666977,88.0422481213,69.5770417443,4.2813079834,0.574058839237,-0.743055286862,-2.13153555402,50.0,5.92413628091,5.24271212996,-119.066425743,-0.832295578213,0.807495599844,27.1541806261,-33.2192617534,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,8e87c6d8-45dc-11e9-aeb2-484d7ed792f4,79.3166434442,73.267967324,1.41155484468,8.05963789456,0.988214700267,2.44940544416,0.214339308748,0.880089013841,2.43405398327,0.219975406845,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
6,03/13/2019,06:09:04 PM,2,3,"Levy, Gabe",1000056672,Right,DAV_WIL,"Raines, Alex",8892726,Right,WIN_EAG,Undefined,1,Top,1,0,2,Undefined,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,90.6622287764,-1.88156366519,-2.56444588743,2157.64291618,226.635115217,1:30,5.89439233513,2.44095934073,5.34833331048,-20.6550213761,14.4044763984,15.2859200698,2.40614890284,1.30816364548,81.8266216652,-5.74078122049,0.302320110486,0.426161648394,83.887676428,16.2376117813,-25.2905664076,1115.24910451,97.2638084311,22.1017087605,-51.3782544398,233.576744702,233.576744702,-30.2368332551,2.48080322266,-8.92484363962,8.24123389711,-2.22093712414,50.0,5.71063116787,5.34493057275,-131.54493301,-5.06447244918,-15.4317048897,31.3441315878,-17.9243547172,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,9f8046cf-45dc-11e9-aeb2-484d7ed792f4,88.4461956237,22.5547245779,2.48326011842,8.83560711114,1.9227844607,2.4568416338,-1.30563304588,1.68527950651,2.43310021952,-1.30678574183,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
7,03/13/2019,06:09:43 PM,3,1,"Levy, Gabe",1000056672,Right,DAV_WIL,"Yankle, Spencer",8901574,Right,WIN_EAG,Undefined,1,Top,1,0,0,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,88.6394161198,-1.30289373519,-2.99165972765,2046.99543926,228.431380073,1:30,6.02006787681,2.26358305958,5.4048967969,-22.3697746486,14.5617713059,16.4585753897,2.93343647735,0.829865406066,79.2175168725,-5.51084656723,0.112706009255,0.437391422636,94.0132936897,-12.1815354145,0.916267120839,,,,,13.7005529931,11.875822763,-2.69142591544,0.0967620849609,-9.80889943908,8.21407523255,-2.00852204131,50.0,5.88890089561,6.15110160426,-128.518264123,-3.69556828571,-16.0285436436,32.3400760391,-18.7515780566,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,b24c21fa-45dc-11e9-aeb2-484d7ed792f4,86.1753902122,2.87165661688,0.0829769286947,9.42189924734,0.92097415464,2.88541076432,-0.830988475701,0.779773161576,2.87165661688,-0.83136263887,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
8,03/13/2019,06:10:21 PM,4,1,"Levy, Gabe",1000056672,Right,DAV_WIL,"Lipscomb, Hunter",8892720,Left,WIN_EAG,Undefined,1,Top,2,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.2392992229,-0.972142196267,-3.4999644938,2286.44725806,217.2652505,1:15,5.94057336556,2.4176305107,5.53037034115,-21.7521220897,14.1386959344,10.7829296002,3.21749548694,0.0408800916203,80.6386929883,-5.04967672084,-1.47630027882,0.431184555734,,,,,,,,,,,,-6.84221912979,7.85002051004,-2.12081008721,50.0,5.84188006874,7.5501563354,-129.482926779,-2.94619925772,-11.4889218766,29.8003235802,-18.9929050329,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,cb76f6db-45dc-11e9-aeb2-484d7ed792f4,87.4158780037,,,8.60060623465,1.55676248442,3.22986350162,-0.0444982245669,,,,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
9,03/13/2019,06:10:45 PM,4,2,"Levy, Gabe",1000056672,Right,DAV_WIL,"Lipscomb, Hunter",8892720,Left,WIN_EAG,Undefined,1,Top,2,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.9442376814,-1.33603507149,-3.05687331548,2625.12312025,162.689740151,11:30,6.0490690124,2.45858430547,5.04170441354,-39.0160466937,5.65896420205,-1.77677398071,1.53558318948,-0.575406864313,73.3192084769,-8.55487187681,-3.38807586302,0.481065100855,,,,,,,,,,,,-0.0678620411624,3.41211777669,-2.16579221112,50.0,5.89153022703,6.32488506326,-117.327647705,-4.04056515443,-0.0929942411412,25.7024241608,-27.4982784515,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,d6107cf1-45dc-11e9-aeb2-484d7ed792f4,78.3519246233,,,7.62502920446,1.02324180947,1.47608092042,0.598708262698,,,,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
10,03/13/2019,06:11:23 PM,4,3,"Levy, Gabe",1000056672,Right,DAV_WIL,"Lipscomb, Hunter",8892720,Left,WIN_EAG,Undefined,1,Top,2,1,1,Undefined,Fastball,InPlay,Undefined,LineDrive,HomeRun,0,2,,88.5303479501,-1.19590311848,-3.36719918346,2262.37143441,212.456660367,1:00,5.86168146138,2.42423131505,5.54794365357,-24.3639460982,11.7266714212,7.47983106867,2.71186982032,-0.102207078776,80.928566973,-5.73434008415,-1.97072616178,0.432383064111,96.4553169958,29.8864572651,27.6822446428,2632.59557262,95.1121417886,57.3543902867,55.2600912567,345.581330131,335.022593007,35.4406171721,4.89025817871,-4.92539263202,6.58206420154,-2.13784981728,50.0,5.74217715122,7.3086531229,-128.566623187,-3.52158959513,-8.24123810707,26.7371855608,-21.160843646,DAV_WIL,WIN_EAG,BBTCharlotte,NCAA,CUSA,20190313-BBTCharlotte-1,f0e3c066-45dc-11e9-aeb2-484d7ed792f4,87.1735728101,78.5931105333,4.67703201601,7.60178097718,2.63841438099,2.83335409043,0.059776383753,2.51664603363,2.82136020687,0.0640403769488,e23bc99d-45d8-11e9-aeb2-484d7ed792f4
