PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/15/2019,07:32:08 PM,1,1,"Parker, Jason",1000049230,Right,NOR_WOL,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.2809938867,-3.19833210812,-3.78249721079,2388.17342409,216.566643711,1:15,5.72973281084,3.11341366699,5.91837147525,-12.1680690237,21.327642677,15.843409509,1.73847910822,0.918877403545,83.4891517929,-5.48007803379,-0.807887611676,0.416549025992,,,,,,,,,,,,-9.57331102448,12.3754402617,-2.8196262584,50.0,5.46628148892,8.23071290162,-132.427590867,-7.81895588716,-17.0435188907,27.6080457278,-10.1418541212,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,8d0fe385-477a-11e9-9f53-aced5cacee06,90.4872516059,,,7.79184209387,0.151377293114,1.61638664528,-0.901934841817,,,,66c274f6-4776-11e9-9f53-aced5cacee06
2,03/15/2019,07:32:23 PM,1,2,"Parker, Jason",1000049230,Right,NOR_WOL,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0456836167,-4.46438601069,-7.01200574243,2461.68412302,215.114277412,1:15,5.67652669139,2.81621181554,6.23601291434,-12.1922879399,20.6636511194,14.5520738266,0.503381122853,-2.47104192817,84.4175677344,-6.75830957968,-4.29190802927,0.412551775486,,,,,,,,,,,,-9.75601651784,12.4313788107,-2.29920427606,50.0,5.33507924349,15.8695259137,-132.732308649,-10.8235527901,-17.5226469032,26.6069825149,-9.84622028543,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,95da05e8-477a-11e9-9f53-aced5cacee06,91.3639905603,,,7.62811588229,-1.1700347357,0.193074084462,2.66169839492,,,,66c274f6-4776-11e9-9f53-aced5cacee06
3,03/15/2019,07:32:43 PM,1,3,"Parker, Jason",1000049230,Right,NOR_WOL,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.2327426524,-2.33561113301,-4.86854541191,2254.35900848,212.627120779,1:00,5.81632127874,3.00359807013,6.22197448685,-11.2709963548,22.9411772755,14.7073932266,2.71327388127,-0.273267428341,81.6946210568,-4.47498525854,-2.08468509018,0.420980376396,,,,,,,,,,,,-9.49719413884,13.2424634682,-2.64665119088,50.0,5.63562749845,10.6902593818,-130.796271411,-5.69938753587,-16.336056668,29.407247505,-9.395780525,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,a17402f5-477a-11e9-9f53-aced5cacee06,89.5347589448,,,8.53812159565,0.761276300543,2.66177091622,0.296893702784,,,,66c274f6-4776-11e9-9f53-aced5cacee06
4,03/15/2019,07:33:04 PM,1,4,"Parker, Jason",1000049230,Right,NOR_WOL,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0873429127,-3.97066630543,-3.6983590953,2387.10237952,223.131463993,1:30,5.76000365128,3.00101766338,6.07682204481,-13.8035081363,19.4374927296,18.2385947731,0.922810573597,1.09472611902,83.0574213136,-6.58111075482,-0.235182428294,0.414962225503,,,,,,,,,,,,-11.1144493373,11.8572628646,-2.72481248016,50.0,5.44514102136,8.03902294161,-133.386984559,-9.71917551075,-19.7471592674,32.3952841057,-11.1071246669,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,aa66ac01-477a-11e9-9f53-aced5cacee06,90.8332715717,,,9.02992159907,1.50436726976,0.93292476825,-1.0950912562,,,,66c274f6-4776-11e9-9f53-aced5cacee06
5,03/15/2019,07:33:18 PM,1,5,"Parker, Jason",1000049230,Right,NOR_WOL,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,2,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,91.9887618083,-3.10728013318,-4.7813528125,2352.016205,219.46883253,1:15,5.78106888835,2.94698229026,6.28751367616,-12.8714657471,19.9791956607,16.476765731,1.83245685022,-0.0959378559147,83.4115761557,-5.54949010755,-1.65827051187,0.412518640047,74.0716289159,-36.8092894282,-30.1985644547,,,,,3.50218363396,2.78323112924,-18.4635752438,0.0277264404297,-10.4507130348,11.8738976038,-2.60272865955,50.0,5.54541268988,10.6412099693,-133.292919242,-7.65800366598,-18.6794889828,30.3915483062,-10.9507752033,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,b359536b-477a-11e9-9f53-aced5cacee06,91.371329346,1.81549664364,0.0192023716256,8.57718565259,1.32168311769,1.82322006209,0.0986822431027,1.24232862398,1.81549664364,0.100966739471,66c274f6-4776-11e9-9f53-aced5cacee06
6,03/15/2019,07:33:54 PM,2,1,"Parker, Jason",1000049230,Right,NOR_WOL,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.5903588162,-1.81921105437,-3.99132615313,2395.72413723,227.519723504,1:30,5.66756657262,3.16104471887,6.27290229657,-17.6880366545,15.3581380018,16.8059855164,2.51216454541,0.876796969222,83.0753069736,-5.17421144086,-0.800941733544,0.413744387244,,,,,,,,,,,,-10.4016504968,8.95839472419,-2.87438799061,50.0,5.52438464793,8.7601458759,-132.974580133,-4.77910012298,-18.4879770756,30.4626323958,-16.2513258745,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,cbfec39f-477a-11e9-9f53-aced5cacee06,91.1006352792,,,8.51505184254,-1.708842341,2.22276357223,-0.839133937232,,,,66c274f6-4776-11e9-9f53-aced5cacee06
7,03/15/2019,07:34:07 PM,2,2,"Parker, Jason",1000049230,Right,NOR_WOL,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.2264370402,-2.8651606772,-5.41743562236,2294.82438796,222.115702192,1:30,5.58707962844,3.06120979037,6.31399809173,-16.8843924923,17.4962813311,15.8470396538,1.52724748919,-0.622461394292,81.3237666742,-6.07625683786,-2.40620221488,0.422015799461,,,,,,,,,,,,-10.4314978221,10.5269775896,-2.67190337427,50.0,5.36864666085,11.9107675761,-130.587136693,-7.06941490009,-17.7683978882,30.9849660713,-14.243016066,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,d3a87b49-477a-11e9-9f53-aced5cacee06,89.3150838647,,,8.90267036594,0.305288468078,1.40806331346,0.668436485808,,,,66c274f6-4776-11e9-9f53-aced5cacee06
8,03/15/2019,07:34:24 PM,2,3,"Parker, Jason",1000049230,Right,NOR_WOL,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.5571726222,-0.519012874632,-2.95404650913,2389.33750704,216.949899528,1:15,5.80249311966,2.97025880556,6.04985179737,-14.5350187987,18.0096422438,13.5695810471,4.11019727447,1.36440287863,83.8355840575,-3.26989430943,-0.385767339755,0.410592861647,,,,,,,,,,,,-8.25844694954,9.94184682247,-2.74795706301,50.0,5.7543407584,6.50065670723,-134.536904389,-1.69372512338,-15.0248569979,31.1955893798,-14.0865282617,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,de1d48ff-477a-11e9-9f53-aced5cacee06,91.7998826621,,,8.72158856464,-2.7834323195,3.86085959228,-1.34487142024,,,,66c274f6-4776-11e9-9f53-aced5cacee06
9,03/15/2019,07:34:39 PM,2,4,"Parker, Jason",1000049230,Right,NOR_WOL,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9036729433,-1.31953542465,-4.92828883222,2369.35072892,222.241841605,1:30,5.64084751347,3.16963618602,6.24799465058,-15.6862909086,17.2861115631,15.7252582776,3.11214304821,-0.0756867096979,83.0695982396,-4.29910163189,-1.94730296249,0.413282308328,,,,,,,,,,,,-10.1122204326,9.86706148385,-2.81084837058,50.0,5.53484150816,11.0040351333,-133.271153061,-3.567611824,-18.0225539895,31.057890308,-14.5884302943,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,e69fe996-477a-11e9-9f53-aced5cacee06,91.2024922471,,,8.8340747037,-2.66104659539,2.79579872045,0.204678106669,,,,66c274f6-4776-11e9-9f53-aced5cacee06
10,03/15/2019,07:34:53 PM,2,5,"Parker, Jason",1000049230,Right,NOR_WOL,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8188469517,-0.746649014808,-4.43769946651,2266.02254756,214.621039115,1:15,5.70852685079,3.03742423309,6.20546495163,-18.2827272023,15.3665953255,10.6308768028,3.49379388933,-0.180305720494,82.4613407329,-4.20759753019,-2.42742098121,0.417503077193,,,,,,,,,,,,-7.1103590029,8.61248848806,-2.70958057222,50.0,5.64320426951,9.90165200854,-131.835874743,-2.29051272068,-12.4476998862,29.4159981856,-17.0966562716,NOR_WOL,FLO_SEM,DoakField,NCAA,ACC,20190315-DoakField-1,ef3a96e7-477a-11e9-9f53-aced5cacee06,90.2804759537,,,8.35750621884,-2.41954057894,3.20147890401,0.33720994928,,,,66c274f6-4776-11e9-9f53-aced5cacee06
