PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/15/2019,06:33:15 PM,1,1,"Ethridge, Will",8889514,Right,OLE_REB,"Breaux, Joe",1000010072,Left,ALA_CRI,Windup,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.5228944938,-1.2010357846,-3.63983467099,2062.46835928,231.239671085,1:45,5.33236235809,3.00591706829,5.39905930075,-23.3613815745,10.5978398894,13.2395278015,2.25780445235,0.694194363102,83.6312130851,-5.5427048611,-1.17501011849,0.419421202409,75.9448116339,25.7137915281,-143.937460001,3080.06058219,-92.0166885482,28.2597680582,-60.2735694365,202.774792519,47.9551208553,-149.202238611,2.40915588379,-8.02170979822,5.94758624857,-2.69058936014,50.0,5.20901497697,7.97130572854,-132.850780108,-3.63728198667,-14.3443670676,28.3090743097,-21.5386151561,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,b21dc543-477a-11e9-8d78-98909699bb76,89.8675992167,28.3244911984,0.492799469872,7.89168140871,-0.102447102414,2.10847023976,-0.664105367336,-0.0428816445787,2.11439699605,-0.665244790275,7d92d8d4-4776-11e9-8d78-98909699bb76
2,03/15/2019,06:33:35 PM,1,2,"Ethridge, Will",8889514,Right,OLE_REB,"Breaux, Joe",1000010072,Left,ALA_CRI,Windup,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.9430889199,-0.0259017371301,-2.08440085472,2269.1954814,94.7764097743,9:15,5.67183031911,2.90797576391,4.99644577197,-45.0803255031,0.308838778307,-4.20684901299,1.89066913621,0.588865291704,73.0781531283,-8.33809212185,-2.8651343305,0.484894894687,,,,,,,,,,,,1.57794688101,0.169393893926,-2.70434055867,50.0,5.6337565169,4.3654244884,-116.076732125,-1.56055002623,2.13711831602,23.2142982113,-31.9446271496,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,c09b668e-477a-11e9-8d78-98909699bb76,77.7330859412,,,6.86493579165,-1.24243105405,1.48925261797,-0.454738009021,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
3,03/15/2019,06:33:53 PM,1,3,"Ethridge, Will",8889514,Right,OLE_REB,"Breaux, Joe",1000010072,Left,ALA_CRI,Windup,1,Top,0,0,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.7024878078,-1.72792062828,-3.36983119924,1971.83851705,248.164945623,2:15,5.22618128692,3.15560737894,5.34672194142,-26.7487148469,7.18057325856,18.0005252867,1.37323161896,1.49148785977,83.856575815,-6.68873154678,-0.0171558391048,0.419236312232,,,,,,,,,,,,-10.4666077629,4.28315365012,-2.86484511161,50.0,5.05158835003,7.17877939409,-133.09497419,-5.0001102522,-18.7618828762,28.7447737029,-24.4962957501,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,cb6b518f-477a-11e9-8d78-98909699bb76,89.9072323207,,,7.84591199281,0.759822653892,1.29579774135,-1.49156265054,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
4,03/15/2019,06:34:33 PM,2,1,"Ethridge, Will",8889514,Right,OLE_REB,"Auerbach, Brett",1000047711,Right,ALA_CRI,Windup,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.0380068036,0.571792859759,-2.2666763911,2284.30030954,110.048367931,9:45,5.7984788445,2.9310642794,5.03827297785,-45.7932253818,0.877400343207,-2.52456612184,2.52217113004,0.581483418148,71.6789927582,-7.91874973304,-2.73718498089,0.491692212777,,,,,,,,,,,,0.600999576233,0.277867353716,-2.71291657111,50.0,5.81758318965,4.62197039012,-114.686910394,-0.350581969844,0.78903899146,24.0354013591,-31.809242681,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,dedd477d-477a-11e9-8d78-98909699bb76,76.6584776851,,,7.35901404546,-1.92789060991,2.03811534119,-0.420572990486,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
5,03/15/2019,06:34:51 PM,2,2,"Ethridge, Will",8889514,Right,OLE_REB,"Auerbach, Brett",1000047711,Right,ALA_CRI,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.5380685703,-2.17806434822,-4.83032272847,2080.20599637,239.288859853,2:00,5.40210043148,2.95718373229,5.39313725591,-23.4650935721,9.95945736227,16.8191161013,1.39740478413,-0.178351318702,84.3935210788,-6.53647384879,-1.70112679663,0.416106316963,,,,,,,,,,,,-10.2809036567,5.89582032758,-2.53726289907,50.0,5.19090875644,10.7117216609,-134.02796009,-5.97273073912,-18.6724708396,29.3780644383,-21.4658912953,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,ee0b54e2-477a-11e9-8d78-98909699bb76,90.5835239327,,,8.14454749143,0.163470500814,1.25245580104,0.214642607904,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
6,03/15/2019,06:35:13 PM,2,3,"Ethridge, Will",8889514,Right,OLE_REB,"Auerbach, Brett",1000047711,Right,ALA_CRI,Windup,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.9923544536,-1.54642937591,-4.12918666105,2228.86947718,89.6778648939,9:00,5.68459993373,2.88757747602,5.08730821519,-46.6467006857,-0.0664947015283,-4.03723860704,0.335852610798,-1.34700759367,72.5195163817,-10.0992623648,-4.876775263,0.491215679238,,,,,,,,,,,,0.871235293362,0.433391442997,-2.49371186854,50.0,5.5023818525,8.39313977245,-114.441347129,-4.61445971097,1.14584000282,22.7553591533,-31.604056436,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,fb12a926-477a-11e9-8d78-98909699bb76,76.7328448872,,,6.47283807191,0.0553539008799,0.0894579656525,1.46342096912,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
7,03/15/2019,06:35:38 PM,2,4,"Ethridge, Will",8889514,Right,OLE_REB,"Auerbach, Brett",1000047711,Right,ALA_CRI,Windup,1,Top,1,2,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.6330997671,-1.22121046952,-5.17156662808,2090.98878078,255.218071545,2:30,5.3149028285,2.92183839574,5.37911151203,-29.3679477468,4.66150422647,17.7868965767,1.71805650989,-0.456538303734,83.7971247685,-6.66730589032,-1.86917885172,0.419854677467,,,,,,,,,,,,-10.8417598968,2.80489008816,-2.47075646394,50.0,5.18478955179,11.367386758,-132.73675614,-3.90808948971,-19.3632412462,28.1321203567,-27.1645515778,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,09e61e2a-477b-11e9-8d78-98909699bb76,89.7748162495,,,7.83597499861,-0.225958673104,1.52317155703,0.508468289345,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
8,03/15/2019,06:36:01 PM,2,5,"Ethridge, Will",8889514,Right,OLE_REB,"Auerbach, Brett",1000047711,Right,ALA_CRI,Windup,1,Top,1,2,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.7033838595,-1.57396050824,-5.55726675541,2095.15207184,246.126306559,2:15,5.34507987923,2.996210041,5.4190949104,-25.2133587929,8.09322516661,18.3568181809,1.76242657489,-0.695496336795,84.5068936358,-6.26043142268,-2.14599037334,0.415371375284,,,,,,,,,,,,-11.2999735583,4.73627316597,-2.51443738113,50.0,5.18747967056,12.3857634786,-134.171010843,-4.62272086194,-20.580309255,29.2676840705,-23.5480136397,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,148fe3fb-477b-11e9-8d78-98909699bb76,90.7437988363,,,8.19649022373,-0.224328709376,1.57989500852,0.755251752215,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
9,03/15/2019,06:36:36 PM,3,1,"Ethridge, Will",8889514,Right,OLE_REB,"McCullough, Morgan",8899725,Left,ALA_CRI,Windup,1,Top,2,0,0,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,83.7655876076,0.720070946292,-2.75046526037,1684.12777566,241.304065489,2:00,5.35564214067,3.02227662485,5.50008838852,-35.0002058969,5.47225524031,10.0664798834,3.11318674672,1.28691455269,76.3187002265,-5.81403515118,-0.867021207923,0.457879632641,,,,,,,,,,,,-6.1572097464,2.70419685814,-2.78876089574,50.0,5.39526467651,5.51872243774,-121.689833116,0.392682299299,-9.19431604372,24.8087588401,-28.135979109,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,2cd73040-477b-11e9-8d78-98909699bb76,82.3193997595,,,7.44688738108,-1.35508083808,2.8213712292,-1.24771589224,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
10,03/15/2019,06:36:52 PM,3,2,"Ethridge, Will",8889514,Right,OLE_REB,"McCullough, Morgan",8899725,Left,ALA_CRI,Windup,1,Top,2,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0697658026,-2.30153759164,-4.15474677365,2159.87012226,240.727016058,2:00,5.29397933643,2.98577351329,5.37099644858,-24.9962810819,8.57894822359,15.3607265433,1.04650411959,0.364078547356,84.5125426372,-6.92582482412,-1.30263385702,0.417043169037,,,,,,,,,,,,-9.23465618986,5.15336675725,-2.62395519139,50.0,5.06974956738,9.13521510622,-133.511752765,-6.296702414,-16.7326477267,27.710980831,-22.8364545212,OLE_REB,ALA_CRI,OleMiss,NCAA,SEC,20190315-OleMiss-1,36595596-477b-11e9-8d78-98909699bb76,90.3800357362,,,7.55722316538,2.00726110807,1.11796089556,-0.377693549627,,,,7d92d8d4-4776-11e9-8d78-98909699bb76
