PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,03:21:11 PM,1,1,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b850-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
2,03/16/2019,03:21:41 PM,1,2,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,1,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b851-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
3,03/16/2019,03:22:12 PM,1,3,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,2,0,Undefined,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b852-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
4,03/16/2019,03:22:42 PM,1,4,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,2,1,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b853-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
5,03/16/2019,03:23:12 PM,1,5,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,3,1,Undefined,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b854-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
6,03/16/2019,03:23:20 PM,1,6,"Franklin, Alex",1000049190,Right,IU,"Burlingame, Jake",10000324,Left,CAN_GRI,Undefined,1,Top,0,3,2,Undefined,Undefined,InPlay,Undefined,LineDrive,Double,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b855-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
7,03/16/2019,03:23:27 PM,2,1,"Franklin, Alex",1000049190,Right,IU,"Morro, Conner",8895800,Right,CAN_GRI,Undefined,1,Top,0,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b856-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
8,03/16/2019,03:23:35 PM,2,2,"Franklin, Alex",1000049190,Right,IU,"Morro, Conner",8895800,Right,CAN_GRI,Undefined,1,Top,0,1,0,Undefined,Undefined,InPlay,Undefined,Popup,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b857-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
9,03/16/2019,03:23:42 PM,3,1,"Franklin, Alex",1000049190,Right,IU,"Victor, Jacob",1000056118,Right,CAN_GRI,Undefined,1,Top,1,0,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b858-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
10,03/16/2019,03:24:13 PM,3,2,"Franklin, Alex",1000049190,Right,IU,"Victor, Jacob",1000056118,Right,CAN_GRI,Undefined,1,Top,1,1,0,Undefined,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,CAN_GRI,BartKaufman,NCAA,BIG10,20190316-BartKaufman-2,8e57b859-48c4-11e9-a83a-000d3a10640a,,,,,,,,,,,156871ae-4821-11e9-9ed1-aced5caced9b
