PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,06:05:56 PM,1,1,"Seminaris, Adam",1000025568,Left,LON_DIR,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.0219137918,-2.04310203783,5.80651456784,1863.71110907,110.122148171,9:45,5.99548233262,-3.46017303675,5.51069867004,-29.0820804435,8.96677773558,-24.5711949641,1.65097027763,-0.0599086034391,78.7166159923,-7.47600813701,1.20821455154,0.44395845623,,,,,,,,,,,,14.9064898884,5.41767498991,2.9690059847,50.0,5.79740100916,-11.9711206411,-125.788924427,-5.48166779834,23.629645823,28.0485110435,-23.5859944837,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,ccb6d137-4850-11e9-9a19-e4a7a0511e7b,84.9006838189,,,8.30529779954,1.96315323814,1.72238924699,0.0716965996135,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
2,03/16/2019,06:06:18 PM,1,2,"Seminaris, Adam",1000025568,Left,LON_DIR,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.5412637802,-1.51540239591,6.15010871252,1995.53221743,117.527050415,10:00,6.00318149447,-3.4396937686,5.58670183401,-25.8943315927,11.7481180964,-22.609844117,2.42187841585,0.440618161372,78.7253198917,-6.37716879644,1.90979420219,0.441581080347,,,,,,,,,,,,14.0805216029,6.77760584042,2.92471925262,50.0,5.85589654768,-12.881134957,-126.478304284,-4.22129788054,22.4791123958,29.2690350948,-21.3538127898,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,de9a5a41-4850-11e9-9a19-e4a7a0511e7b,85.3577705174,,,8.81594388845,0.601920955916,2.33014558429,-0.46724187845,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
3,03/16/2019,06:06:42 PM,1,3,"Seminaris, Adam",1000025568,Left,LON_DIR,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,80.6312772872,-0.571294415119,4.88677150256,2212.26826746,109.142988499,9:45,6.02184712132,-3.31715744249,5.3665052462,-43.343336907,2.32711654641,-6.82774426305,1.87232170817,0.706527491572,71.2304390066,-8.74483757977,3.59318371489,0.486395087712,83.1064172759,16.1666240236,-12.4503698127,2214.74620513,105.83405577,21.3252062232,-29.9855888884,223.513872724,223.513872724,-19.4359812459,2.41754516602,5.62400553826,1.47567331568,2.88287296517,50.0,5.94116088439,-9.74911657728,-116.492960207,-2.50375317598,7.40620312248,30.3654453137,-30.2307474263,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,efe0e0d8-4850-11e9-9a19-e4a7a0511e7b,77.4933330401,21.502949881,2.4268684493,9.4008382806,2.02419586523,1.96535183479,-0.668282157843,1.39025700443,1.86825016014,-0.708185711834,a7b02478-484d-11e9-9a19-e4a7a0511e7b
4,03/16/2019,06:07:56 PM,2,1,"Seminaris, Adam",1000025568,Left,LON_DIR,"McDevitt, Cole",8894051,Right,MIN_GOL,Stretch,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.1822932958,0.247833831818,3.30716039664,1720.10116413,112.621062909,9:45,5.96854079184,-3.52655671956,5.71856348106,-30.8539430377,8.31631335668,-20.0463606227,3.62859556445,-2.11340211597,76.873770081,-5.56293033827,-0.476303735294,0.450453250849,,,,,,,,,,,,11.83144189,4.39358742141,3.2624651227,50.0,5.97047426585,-6.51148000541,-123.655423129,-0.439964774218,18.0708746309,27.7753400354,-25.4634575558,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,14451347-4851-11e9-9a19-e4a7a0511e7b,83.6765556694,,,8.30852321479,-2.09226278067,3.27294242798,2.15159064973,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
5,03/16/2019,06:09:19 PM,2,2,"Seminaris, Adam",1000025568,Left,LON_DIR,"McDevitt, Cole",8894051,Right,MIN_GOL,Stretch,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,84.0697818723,0.466965791906,3.88692461739,1899.77330211,97.0542517705,9:15,5.96171359378,-3.92606254202,5.50226813656,-37.7437082032,2.4481852589,-20.0893625004,3.25411160987,-1.95966976405,76.7587335432,-6.56580560742,0.133688260241,0.456289790593,,,,,,,,,,,,11.7964685999,1.16980259221,3.59987754922,50.0,5.97740136954,-7.63420161628,-122.01568414,-0.23576921077,17.7455976759,24.4885010197,-30.4142976627,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,49ebc0b2-4851-11e9-9a19-e4a7a0511e7b,82.6062237162,,,7.31104832912,-1.69121824669,2.88348569687,1.95928950343,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
6,03/16/2019,06:09:50 PM,2,3,"Seminaris, Adam",1000025568,Left,LON_DIR,"McDevitt, Cole",8894051,Right,MIN_GOL,Stretch,1,Top,0,2,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.3595876492,-0.817762741372,3.71177161358,1930.25259466,122.818031288,10:00,6.02082651606,-3.48437986726,5.72750834744,-28.061340951,10.8479332772,-16.8777965552,2.91919967659,-1.42948832183,77.3301701419,-6.08894520506,0.533606276619,0.448950111092,,,,,,,,,,,,10.2122694675,6.08207335545,3.18504245093,50.0,5.93548672316,-7.50115249448,-123.880819441,-2.66214296572,15.7113209008,27.053980237,-22.8169309702,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,5bcd747a-4851-11e9-9a19-e4a7a0511e7b,83.9567149887,,,8.02941750728,-2.08884985627,2.53272448826,1.40436496642,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
7,03/16/2019,06:10:50 PM,2,4,"Seminaris, Adam",1000025568,Left,LON_DIR,"McDevitt, Cole",8894051,Right,MIN_GOL,Stretch,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.6901925975,-0.421888290712,5.29442505444,1868.45376878,118.67324487,10:00,5.94306877043,-3.64469613263,5.70463116484,-27.7048974249,12.3199795628,-22.5966838933,3.23959061804,-0.581199039845,75.910768939,-5.64935780832,1.03154376803,0.455340752858,,,,,,,,,,,,13.9178900119,6.77009859205,3.21408986444,50.0,5.89071657479,-10.6515149095,-122.575465692,-1.77380994178,20.7901195864,28.3346610742,-22.0610817763,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,7f95df21-4851-11e9-9a19-e4a7a0511e7b,82.7783946079,,,8.77942365853,-1.49813219357,2.94254433119,0.535783731267,,,,a7b02478-484d-11e9-9a19-e4a7a0511e7b
8,03/16/2019,06:11:20 PM,2,5,"Seminaris, Adam",1000025568,Left,LON_DIR,"McDevitt, Cole",8894051,Right,MIN_GOL,Stretch,1,Top,0,2,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Error,0,0,,85.7827310155,-1.75145693969,5.58959628609,1953.29186018,131.035052032,10:15,6.15258390967,-3.48937951837,5.77816009013,-21.5650088185,17.6075754854,-20.2725063276,2.71773534788,0.0380909664323,76.4605737876,-5.83703643137,1.75288169734,0.45046663599,91.5400230946,6.05888042028,-13.4427994126,1011.60067881,106.635525282,2.27854771561,-26.997286344,124.447436621,121.558551715,-14.3708009546,1.05925964355,12.9040054425,10.1258036427,3.03922378709,50.0,5.99478699319,-11.5054308026,-124.009515961,-4.48141638108,19.6160843619,30.3005919197,-16.7812606835,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,917a2f13-4851-11e9-9a19-e4a7a0511e7b,83.6740693088,5.7746866953,1.03117591074,9.32215722789,1.41940358513,2.71801526646,-0.0380072025988,1.23834458783,2.69947161963,-0.0435242683879,a7b02478-484d-11e9-9a19-e4a7a0511e7b
9,03/16/2019,06:12:25 PM,3,1,"Seminaris, Adam",1000025568,Left,LON_DIR,"Wilson, Eli",1000026722,Right,MIN_GOL,Stretch,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Double,0,1,,78.5721980579,0.144660860896,3.94200295367,2146.30263486,180.0,12:00,6.01397061999,-3.48189212227,5.31133634528,-45.28089168,3.15085356083,-1.96693055544e-14,2.37664921523,0.223519810273,68.9117884585,-8.42858499748,3.94200295367,0.50088332982,86.3534226115,-5.55219806307,-44.4369969944,,,,,21.527848293,18.0097252577,-41.4859781174,0.162855834961,1.68684472365,1.62387586111,3.12434285086,50.0,5.99609507517,-7.82719029023,-113.586199144,-1.07834598927,2.0944296904,30.3938321525,-30.1578026214,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,b5404f0d-4851-11e9-9a19-e4a7a0511e7b,75.2518087089,2.46086891371,0.133957148512,9.66040959941,2.29543915526,2.50582977347,-0.162963866488,1.9875108198,2.46086891371,-0.184183114045,a7b02478-484d-11e9-9a19-e4a7a0511e7b
10,03/16/2019,06:13:29 PM,4,1,"Seminaris, Adam",1000025568,Left,LON_DIR,"Bertrand, Easton",1000026725,Right,MIN_GOL,Stretch,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,87.0550371074,-1.68493586211,6.04781426864,1947.74917437,115.368094933,9:45,6.18169647851,-3.7857701117,5.38119183479,-23.831083373,14.7796775983,-31.2472767345,2.60722074898,-0.700072883807,77.6599881985,-6.16439316838,0.178552517598,0.447224615049,89.2954748445,47.1151165075,35.5193638771,4007.45693781,81.8020644417,99.6528650126,73.5417917115,275.306183066,70.8092457309,48.5200818228,5.34205627441,18.7076965316,8.44747020231,3.26482887863,50.0,6.01396734846,-12.2597978037,-125.676054994,-4.52246034816,29.2772691334,30.5730517407,-18.95388229,LON_DIR,MIN_GOL,BlairField,NCAA,BW,20190316-BlairField-1,e1026063-4851-11e9-9a19-e4a7a0511e7b,84.280639421,111.009646627,0.955490993034,9.3950489089,1.84450052861,2.65327092959,0.701614213419,1.611216665,2.62820059202,0.700722213323,a7b02478-484d-11e9-9a19-e4a7a0511e7b
