PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,04:02:31 PM,1,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,0,0,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,b8dd8855-ce97-4e9a-9fa7-8693d3a38763,,,,,,,,,,,86795540-4820-11e9-b166-94b86dcc8dae
2,03/16/2019,04:02:35 PM,1,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,0,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,76.0226489222,-0.186853029028,-0.728988745903,1385.92329785,127.505643559,10:15,5.88045844833,-0.705329505047,6.32755698236,-35.5792197913,12.0346294259,-15.7389666417,2.74346555719,-2.68815660407,69.4855418304,-6.91469240661,-3.72136539531,0.496635962417,,,,,,,,,,,,8.42021971439,6.6622350984,0.765901667355,50.0,5.84990621454,1.80779569646,-110.693945976,-1.26374944986,10.3654218409,21.2081305939,-23.972733206,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,6e116ac6-4826-11e9-b166-94b86dcc8dae,75.895382883,,,6.53710709175,-2.5535706115,2.24026212407,2.95554466118,,,,86795540-4820-11e9-b166-94b86dcc8dae
3,03/16/2019,04:02:55 PM,1,3,"Shuster, Jared",8899269,Left,WAK_DEA,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,1,1,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,d6c8310e-6f50-42f0-88e9-0af2d8ca28da,,,,,,,,,,,86795540-4820-11e9-b166-94b86dcc8dae
4,03/16/2019,04:03:01 PM,1,4,"Shuster, Jared",8899269,Left,WAK_DEA,"Galland, Chris",1000026066,Right,BOC_EAG,Windup,1,Top,0,1,2,Fastball,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.5894955083,-2.32599674096,3.04955156374,2153.30167193,140.589457715,10:45,5.85122124544,-0.544885478983,6.26486830483,-14.6568287022,17.4775515296,-14.38643605,2.48141071672,1.07008826132,84.4830688444,-5.09660185092,0.324116673168,0.407996542219,,,,,,,,,,,,8.72851779676,10.2151969378,0.32640171344,50.0,5.67178535198,-6.71733800484,-134.565720692,-5.93376872842,15.9812095089,29.6013731695,-13.4708498875,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,7c634f14-4826-11e9-b166-94b86dcc8dae,92.3840587376,,,8.10642666393,-1.41078770095,2.2249807307,-1.08191009873,,,,86795540-4820-11e9-b166-94b86dcc8dae
5,03/16/2019,04:03:26 PM,2,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.5990381137,-3.00084122765,3.68049934039,1932.82432709,135.076975363,10:30,5.8060503483,-0.415739671018,6.27728336505,-18.025643859,14.7551468619,-14.7462923104,1.53002805397,1.75209449824,83.9876292344,-6.3950233289,0.893661858688,0.412079709721,,,,,,,,,,,,9.05838582634,8.88018129414,0.151429389317,50.0,5.5754354921,-8.09757208282,-133.002714004,-7.5464404759,16.2659726646,27.8680347649,-16.2280744109,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,8bb77e81-4826-11e9-b166-94b86dcc8dae,91.4686543209,,,7.61140887932,-1.53977222244,1.19295373579,-1.79356721785,,,,86795540-4820-11e9-b166-94b86dcc8dae
6,03/16/2019,04:03:40 PM,2,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.1314560162,-1.14878057335,0.410762689043,1840.85321227,184.765387408,12:15,5.99594846198,-0.586049987834,6.01054113457,-36.9574519808,5.37052411903,0.451026147352,1.85190450912,-0.167978889757,74.1806129259,-8.0916904442,0.496151401848,0.468258069164,,,,,,,,,,,,-0.121727303972,3.25831810962,0.55362626028,50.0,5.88579733449,-0.859357599872,-118.055543255,-3.4313001968,-0.170513467053,24.0355111052,-27.60985384,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,94aa94de-4826-11e9-b166-94b86dcc8dae,80.4948787929,,,6.95084309033,-0.492962399766,1.57550073634,0.151382343591,,,,86795540-4820-11e9-b166-94b86dcc8dae
7,03/16/2019,04:03:58 PM,2,3,"Shuster, Jared",8899269,Left,WAK_DEA,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,2,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0830768559,-2.43282024968,3.24259161244,2063.71129676,143.510744092,10:45,5.77127512337,-0.542436231879,6.31476052583,-16.289547701,16.135846655,-11.9577669916,2.16832794766,1.45058899112,84.1182133259,-5.51147241801,0.976822784415,0.409839819578,,,,,,,,,,,,7.46057800191,9.52255035805,0.31115126693,50.0,5.58537594865,-7.21117964079,-133.81012637,-6.1979061269,13.5145359557,29.1144160449,-14.9243328949,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,a2d8463e-4826-11e9-b166-94b86dcc8dae,91.9685563006,,,7.96486353002,-1.62139865562,1.86967837105,-1.49838081596,,,,86795540-4820-11e9-b166-94b86dcc8dae
8,03/16/2019,04:04:11 PM,2,4,"Shuster, Jared",8899269,Left,WAK_DEA,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,3,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.3202512295,-2.96756712991,1.21512820592,2162.68691986,142.458880226,10:45,5.92863829464,-0.595056161954,6.40836737472,-14.5625675742,18.2443203255,-14.0438776819,1.98385736472,-0.648106425618,83.501661515,-5.71905438567,-1.45483012843,0.412243707875,,,,,,,,,,,,8.06352856618,10.8686251052,0.514778754873,50.0,5.70981418853,-2.39500532445,-132.840289805,-7.32631757698,14.3855962606,28.8820779517,-12.784069171,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,aa1da04b-4826-11e9-b166-94b86dcc8dae,91.4322664024,,,7.81858971449,2.52854137,2.09459498229,0.620496498371,,,,86795540-4820-11e9-b166-94b86dcc8dae
9,03/16/2019,04:04:33 PM,2,5,"Shuster, Jared",8899269,Left,WAK_DEA,"Frelick, Sal",1000056905,Left,BOC_EAG,Windup,1,Top,1,3,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,92.6150196553,-1.84360219971,1.58387528401,2190.89911237,140.136709314,10:45,5.74349454803,-0.356393170829,6.33780904765,-19.2312124538,12.9232521096,-10.8167003216,2.44250714169,0.200643243465,84.0884408698,-5.49335099016,-0.47738670035,0.408124023406,103.461612957,9.48730555796,22.0482358746,1890.56151726,100.225109577,9.32250691568,45.3311827458,173.901515312,173.901515312,26.428918984,1.36620117188,6.4231316161,7.65947771289,0.246461199578,50.0,5.60039783139,-3.39253724359,-134.736479533,-4.93068798049,11.7009465628,31.7406949046,-18.2208642261,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,b8729909-4826-11e9-b166-94b86dcc8dae,92.355201751,9.99542772153,1.37838813326,8.52657878544,3.18601148713,2.61047287364,-0.214147480698,2.99606463554,2.59265129042,-0.212816008451,86795540-4820-11e9-b166-94b86dcc8dae
10,03/16/2019,04:05:20 PM,3,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Dempsey, Brian",10000074,Right,BOC_EAG,Stretch,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,Bunt,Single,0,0,,82.0071061501,0.263031469599,0.473615741194,1997.86628826,201.066869644,12:45,5.83359023157,-0.793858501304,6.0364847299,-37.692457771,3.69334288467,1.4376783768,2.93608239705,-0.235558180044,74.7610094211,-6.84472862153,0.745962692493,0.463017279733,46.5733015881,-62.8225985112,28.0500623369,,,,,4.15058419022,4.03221601197,13.8399527237,0.0507049560547,-0.638565755023,1.92712172456,0.756195987718,50.0,5.83375308059,-1.02824550018,-119.353672372,-0.543417045294,-0.913918701936,24.649079214,-29.4159417035,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,d346c9ab-4826-11e9-b166-94b86dcc8dae,81.4059823919,3.07954982028,0.0466421246892,7.246096729,2.94782659328,3.11669779871,0.255372486456,2.6284497736,3.07954982028,0.251259571673,86795540-4820-11e9-b166-94b86dcc8dae
11,03/16/2019,04:06:08 PM,4,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Alu, Jake",8892512,Left,BOC_EAG,Stretch,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5699910723,-2.41209254284,3.25046789985,2174.19678442,116.849932779,10:00,5.77241027239,-0.697910815554,6.24487287,-24.8842934891,8.74529677345,-17.3377794502,1.46942256452,0.858026241724,82.9176639947,-7.09853345526,-0.0330108529582,0.417380645463,,,,,,,,,,,,10.3934618712,5.46171976017,0.464925757921,50.0,5.58057444178,-6.93905514938,-131.592120088,-6.31905328983,18.1962958548,28.3299429882,-22.6119729108,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,ee212151-4826-11e9-b166-94b86dcc8dae,90.3069582427,,,7.65232707759,0.465141523087,1.35011451518,-0.856910850808,,,,86795540-4820-11e9-b166-94b86dcc8dae
12,03/16/2019,04:06:26 PM,4,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Alu, Jake",8892512,Left,BOC_EAG,Stretch,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.4145620118,-1.82801193421,1.25544437191,2076.83570936,264.063212361,2:45,5.88228195173,-0.74299592682,5.77082415281,-42.3770668446,0.0309974439703,0.681519952407,0.648984573431,0.482123278778,74.8448484526,-9.71405378436,1.38374504065,0.468700852183,,,,,,,,,,,,0.00309383482897,0.555042003999,0.638971693422,50.0,5.70590612816,-2.61471094693,-118.372066924,-5.0578707074,0.00436480019483,23.7926200081,-31.3909920647,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,f7142938-4826-11e9-b166-94b86dcc8dae,80.4188350534,,,6.56971355921,3.13266722778,0.938377443065,-0.440743773784,,,,86795540-4820-11e9-b166-94b86dcc8dae
13,03/16/2019,04:06:49 PM,4,3,"Shuster, Jared",8899269,Left,WAK_DEA,"Alu, Jake",8892512,Left,BOC_EAG,Stretch,1,Top,1,2,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9442978858,-0.100877162961,2.60576818161,2121.75119592,120.742923605,10:00,5.82532547664,-0.573024509,6.27653644456,-25.298288216,8.36999788477,-14.1258801981,3.62406682595,0.653035697568,81.8757730974,-4.92385598692,-0.0921881522638,0.417620705637,,,,,,,,,,,,8.60800984658,4.62870728914,0.387695338751,50.0,5.80565134811,-5.58755693291,-132.210454474,-1.00207599985,14.9816497608,32.5790468003,-24.1181015156,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,08b440c7-4827-11e9-b166-94b86dcc8dae,90.2550472531,,,9.0685247884,-2.16888504113,3.30298129424,-0.640459467551,,,,86795540-4820-11e9-b166-94b86dcc8dae
14,03/16/2019,04:07:06 PM,4,4,"Shuster, Jared",8899269,Left,WAK_DEA,"Alu, Jake",8892512,Left,BOC_EAG,Stretch,1,Top,1,3,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.4886370014,-2.46670101705,2.48164622569,2221.27792473,133.009797963,10:30,5.78479866312,-0.571509447341,6.34044332336,-20.5943962114,13.7898603538,-14.8174023233,1.79442256343,0.479533589907,80.5981430567,-6.41037438593,-0.370891686367,0.422037787603,,,,,,,,,,,,9.08902760059,8.51712361388,0.39817422329,50.0,5.59591684524,-5.25557256669,-131.348873356,-6.27114625175,15.4053562166,35.5424835529,-17.738035269,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,11e68613-4827-11e9-b166-94b86dcc8dae,89.3104305545,,,9.89049394464,-0.00741111160374,1.63281940823,-0.46916182357,,,,86795540-4820-11e9-b166-94b86dcc8dae
15,03/16/2019,04:07:24 PM,4,5,"Shuster, Jared",8899269,Left,WAK_DEA,"Alu, Jake",8892512,Left,BOC_EAG,Stretch,1,Top,1,3,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Single,0,1,,90.9138953666,-2.17066922961,2.4326414937,2229.36588431,143.198394128,10:45,6.01345530108,-0.518806632587,6.20586563535,-14.3765572433,19.7148213575,-14.7734130208,2.80940615841,0.496426716233,81.113439504,-4.91769785728,-0.39823544317,0.420236528551,93.6923950297,1.31856501175,-12.7376731374,1868.51792237,,,,63.0053303209,61.8601733438,-14.7480539711,0.48285949707,8.96632416887,11.5864757124,0.343739000204,50.0,5.8434752844,-5.15623212203,-131.999578409,-5.44714825909,15.418409242,34.7400538726,-12.2500506235,WAK_DEA,BOC_EAG,GeneHooksField,NCAA,ACC,20190316-GeneHooksField-1,1ad98f97-4827-11e9-b166-94b86dcc8dae,89.6932416872,2.86895372684,0.474343288337,9.80045586261,1.08140605877,2.78049815294,-0.494033744425,0.560608553302,2.73534961233,-0.490067253119,86795540-4820-11e9-b166-94b86dcc8dae
