PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,01:00:47 PM,1,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.9003205456,-2.10105700306,2.47976748428,1824.58848263,152.155789244,11:00,6.70156089148,-1.81415257174,5.43665870015,-13.9078666896,22.9691181346,-12.1512167338,3.57260161849,-0.503468898803,79.8853107581,-4.69563702304,0.207755563497,0.437068211266,,,,,,,,,,,,7.17500126755,12.8117811293,1.60314544354,50.0,6.50616053925,-5.10865253158,-127.633786886,-5.166213015,11.784851481,27.323066227,-11.1308553658,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,0ba04ef8-480d-11e9-9ee3-30243260799a,86.2391168003,,,8.01500978753,-0.796263559565,3.38842160138,0.49755251343,,,,d9e2a602-4808-11e9-9ee3-30243260799a
2,03/16/2019,01:01:00 PM,1,2,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.1329529214,-2.8965381971,1.83441412417,1887.67460286,151.28206192,11:00,6.61463072311,-1.50112523736,5.482987307,-17.8708205585,21.2250051799,-11.6491291077,2.41197502827,-0.755200044789,76.8972450098,-6.2578901036,-0.369862043731,0.45002507554,,,,,,,,,,,,6.87857431285,12.3766601732,1.34810512493,50.0,6.34889791923,-3.61562284056,-124.858978511,-6.90877503343,10.5826227561,31.0960982098,-13.1326717191,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,1328a6bc-480d-11e9-9ee3-30243260799a,83.7561695331,,,9.23570791163,0.0563575814929,2.26158235668,0.764777891109,,,,d9e2a602-4808-11e9-9ee3-30243260799a
3,03/16/2019,01:01:16 PM,1,3,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3644495759,-1.44246721817,2.39315543913,1845.00395827,158.248699502,11:15,6.51986191724,-1.68043317309,5.48378093418,-13.4786763048,24.2514204434,-9.69012768755,4.04576354671,-0.247870787557,78.2591834099,-3.98018761115,0.566477371776,0.442094872359,,,,,,,,,,,,5.97330850038,13.432821534,1.47719823929,50.0,6.38452536391,-4.97312927671,-126.781071739,-3.64789843729,9.53791704478,30.5013561239,-10.725108248,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,1cb17889-480d-11e9-9ee3-30243260799a,85.2585697725,,,9.10526616599,-0.71876003528,3.89492912361,0.228371761247,,,,d9e2a602-4808-11e9-9ee3-30243260799a
4,03/16/2019,01:01:32 PM,1,4,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,86.5710036073,-2.01752566486,2.71596718849,1792.55025329,156.651067765,11:15,6.55220834993,-1.59584070484,5.49388361777,-21.3512121334,16.689256542,-7.21987205264,2.88302044376,0.344685763673,78.6534273889,-6.00148807781,1.36359440197,0.443909508684,67.0446847633,51.6800102178,170.606473648,3881.06492833,-108.749108585,56.8412124358,16.5415375059,173.984580493,65.4324844274,171.667674186,3.4901348877,4.65699082046,9.49264102771,1.36316318783,50.0,6.36145342203,-5.71944580843,-125.672321657,-5.14832781805,7.39480916773,27.1585764538,-17.1007379995,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,26784399-480d-11e9-9ee3-30243260799a,84.9100453667,59.7168482351,1.16742767051,7.91757621841,2.77981488014,3.02496392921,-0.311762498359,2.64122777187,3.01066101646,-0.315153004898,d9e2a602-4808-11e9-9ee3-30243260799a
5,03/16/2019,01:01:50 PM,1,5,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.2216028727,-1.23364284022,1.81875705688,1906.48918409,157.255871848,11:15,6.54525002835,-1.69393388716,5.68839172102,-18.930650778,17.3451819456,-7.2856466724,3.81728495552,-0.605569688032,80.0898609284,-4.78583562256,0.448223435295,0.43349112819,,,,,,,,,,,,4.44988868081,9.67074662583,1.54565709045,50.0,6.4298606765,-3.83070684636,-128.241063323,-3.39037897022,7.35877512935,28.2462910706,-16.1815474273,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,2f6aeab2-480d-11e9-9ee3-30243260799a,86.9507449403,,,8.1317419443,-0.576392920483,3.64771450538,0.591016695304,,,,d9e2a602-4808-11e9-9ee3-30243260799a
6,03/16/2019,01:02:07 PM,1,6,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Deas, Daino",3099,Right,GEO_PAN,Windup,1,Top,0,3,2,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,86.0887379783,-2.81819145832,1.99390400335,1718.78964689,146.217477316,10:45,6.62600195363,-1.64618567955,5.43327538912,-18.3321174759,20.9053559804,-14.01036395,2.45572448102,-0.945929414328,76.8042839504,-6.26464402257,-0.65566266179,0.450839579258,56.9380778599,20.471917902,12.17888125,3106.46440474,106.388656982,11.3324463785,27.9538197357,142.25840743,134.009174309,15.5724588774,1.98385681152,8.18995396539,12.1658206527,1.47916800816,50.0,6.36416431503,-3.87973771695,-124.773663968,-6.75322531243,12.5746105427,31.2043186807,-13.49501113,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,385d9181-480d-11e9-9ee3-30243260799a,83.6048524913,15.7932531057,1.85305412416,9.28445402793,3.38632297132,2.66935515821,0.925379905501,3.29436048294,2.65949625216,0.926251138479,d9e2a602-4808-11e9-9ee3-30243260799a
7,03/16/2019,01:02:45 PM,2,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cheney, Griffin",1000055721,Right,GEO_PAN,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7899281257,-2.2850786523,2.51989338904,1852.66938577,162.30491753,11:30,6.66112799569,-1.79820215007,5.79203579174,-16.8062121971,19.7648553954,-6.31687128597,3.13205275056,0.0206792004376,79.7058994973,-5.43987808791,1.33006963659,0.435251561277,,,,,,,,,,,,4.15485845962,11.3250581749,1.59476794469,50.0,6.46308378665,-5.40683184586,-127.501981824,-5.6364318472,6.78968712986,28.0013678747,-13.667136111,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,51bcea34-480d-11e9-9ee3-30243260799a,86.5990610363,,,8.0840286284,-1.37582748739,2.86131909586,-0.0837372937141,,,,d9e2a602-4808-11e9-9ee3-30243260799a
8,03/16/2019,01:02:59 PM,2,2,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cheney, Griffin",1000055721,Right,GEO_PAN,Windup,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.8532513652,2.55522542161,0.3829328503,1862.67957563,316.5342161,4:30,6.25955683005,-2.59767743231,4.79305549341,-66.899914248,-8.33288693636,7.84596890808,3.1074134499,-1.58099550289,64.59584045,-9.77100109772,1.83995802046,0.550805297961,,,,,,,,,,,,-3.96239212371,-5.14187050172,2.55295532226,50.0,6.45814347911,-0.924954374644,-102.75972321,2.55525469564,-4.18287708737,19.0527374274,-37.6020353978,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,5a896dba-480d-11e9-9ee3-30243260799a,68.4313979198,,,6.25741091521,-1.25416598965,2.63039139129,1.4932212517,,,,d9e2a602-4808-11e9-9ee3-30243260799a
9,03/16/2019,01:03:14 PM,2,3,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cheney, Griffin",1000055721,Right,GEO_PAN,Windup,1,Top,1,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.5235038328,1.34187089409,2.30680488618,1805.91811016,318.48215622,4:30,6.2400468716,-2.44554190306,5.03466131134,-66.157540352,-8.36803631911,7.35995860121,1.99400030948,0.345036644443,64.5656797318,-10.9436820906,3.6874377635,0.547136895619,,,,,,,,,,,,-3.04204036034,-4.89694040769,2.21974584501,50.0,6.3175197558,-4.38970260037,-103.636612096,0.497906643131,-3.21370414451,21.9426950519,-37.3473256401,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,60c410fe-480d-11e9-9ee3-30243260799a,68.8902116142,,,6.95782410102,-0.533635806089,1.60687032818,-0.471755187971,,,,d9e2a602-4808-11e9-9ee3-30243260799a
10,03/16/2019,01:03:31 PM,2,4,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cheney, Griffin",1000055721,Right,GEO_PAN,Windup,1,Top,1,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.6842617136,-1.80845690613,1.98505745204,1865.21613642,152.325195381,11:00,6.50854694888,-1.70508929023,5.71472468188,-16.3266419524,20.659613188,-10.8531910107,3.46192036806,-0.759784084053,78.9608030381,-4.88511026527,-0.0661363090537,0.437715271429,,,,,,,,,,,,6.47850724761,11.6970914977,1.54584074121,50.0,6.34742590467,-4.06050946411,-127.344909958,-4.55456134975,10.4763420796,29.8686659534,-13.2587757656,APP_MOU,GEO_PAN,JimBettieSmith,NCAA,SBELT,20190316-JimBettieSmith-1,6d4a06a6-480d-11e9-9ee3-30243260799a,86.111632336,,,8.72345867552,-1.93018080323,3.16916876021,0.768102190645,,,,d9e2a602-4808-11e9-9ee3-30243260799a
