PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,03:02:48 PM,1,1,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.8786580387,-0.513363059223,1.29565531045,2143.33451447,177.949467185,12:00,5.35405005799,-2.21467762565,6.16356032175,-26.1612898067,12.9780001596,-0.465979765383,2.69966228629,-1.05662736195,76.7719173909,-5.44668619043,1.207513685,0.450275160539,,,,,,,,,,,,0.617355894676,7.21405934369,2.11685954042,50.0,5.30173692859,-2.74864906112,-122.127709065,-1.85533293914,0.931570556692,24.2520792146,-21.2882607365,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,15588497-481e-11e9-9ecc-aced5cacee40,83.709650952,,,7.10674064779,-0.228160938662,2.540242877,1.02200276434,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
2,03/16/2019,03:03:00 PM,1,2,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,0,1,ChangeUp,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,79.2540138421,-0.0447368178788,2.88136509553,1708.08292224,101.142541859,9:15,5.32720133091,-2.26171232264,6.1243523245,-42.1879985203,1.82769747286,-9.4894899211,1.77013253044,-0.387031550349,72.7987920888,-7.97191056432,1.08860493247,0.4775021211,,,,,,,,,,,,5.97669486244,1.0070413859,2.04648470202,50.0,5.30173006092,-5.53946393353,-115.270826994,-1.25632061931,8.02974001738,21.7204897891,-30.8210799506,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,1e4b26ed-481e-11e9-9ecc-aced5cacee40,78.9365635367,,,6.45522175333,2.29647406482,1.89219320522,0.404012984773,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
3,03/16/2019,03:03:19 PM,1,3,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.6052148326,2.05263236057,1.59348860644,1970.4020498,173.826410226,11:45,5.35221802659,-2.35070256273,6.05465014288,-31.4179475534,9.38685442694,-1.01951099812,4.63533397757,-0.960493316384,74.9551746448,-3.88996005631,1.40049736266,0.459755735348,,,,,,,,,,,,1.02863788797,4.4892256095,2.22761000335,50.0,5.49474087256,-3.31188577336,-120.117243903,3.39359289359,1.49254166318,24.7555892567,-25.660234185,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,273dce31-481e-11e9-9ecc-aced5cacee40,81.9834830176,,,7.65004018787,-1.61089941458,4.41891762509,0.886815268072,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
4,03/16/2019,03:03:33 PM,1,4,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.215773611,0.546770702025,0.990045647891,2071.08928674,176.378892477,12:00,5.32130289384,-2.29121599031,5.95796549465,-32.6147757402,7.79847152075,-0.495927257398,3.11045989543,-1.41448500706,75.5001838154,-5.61192553924,0.896138542523,0.457544556007,,,,,,,,,,,,0.573114738757,4.05839814059,2.21301531557,50.0,5.34652317406,-2.07731065903,-121.059464904,0.185342307093,0.84188600844,25.8699226704,-26.2124000763,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,303072f5-481e-11e9-9ecc-aced5cacee40,82.3796852706,,,7.71558979555,-0.967772068881,2.86936704035,1.37729088333,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
5,03/16/2019,03:03:51 PM,1,5,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,2,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,84.1800114269,-0.174055116266,1.16619745659,2076.21459319,178.338968942,12:00,5.34806376488,-2.31133043658,6.1218724865,-30.3491966933,8.61772532161,-0.250964282487,2.65804483755,-1.25413717719,77.0024085949,-5.89520668898,1.11872507701,0.449282569119,74.3875269139,9.02439683356,125.070559045,2147.25862749,,,,,,,,0.46859351092,4.73879494942,2.22235573946,50.0,5.3188955022,-2.48749520224,-122.557079074,-1.26416640507,0.711044054251,24.7499104857,-24.983398463,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,3922cf30-481e-11e9-9ecc-aced5cacee40,83.8945890891,,,7.17760283199,-0.921500378037,2.41057563655,1.20852721598,-1.37097933618,2.36162171901,1.19977078161,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
6,03/16/2019,03:04:11 PM,1,6,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.1380625806,2.33714053037,2.16217859927,2530.8725948,278.172576302,3:15,5.1240524991,-2.40737241209,5.1780363585,-57.1372526704,-2.50452135937,17.0816224888,2.56420505776,1.05125907363,66.1264041021,-8.29864340318,5.35653435629,0.531983270353,,,,,,,,,,,,-8.29425284474,-2.12022367305,2.19393472321,50.0,5.29942692345,-4.50508013448,-106.01922606,2.64986101948,-9.23971864997,21.7165413088,-34.5359575289,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,48e8a33f-481e-11e9-9ecc-aced5cacee40,70.8525598861,,,7.01165847845,-0.168367262739,2.32678880976,-1.20143310008,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
7,03/16/2019,03:04:27 PM,1,7,"Clark, Mat",10000012,Left,CLE_TIG,"Myers, Spencer",1000018218,Right,NOT_IRI,Windup,1,Top,0,3,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,84.4030693256,-0.334418650391,2.91709785832,2145.90380239,155.336933546,11:15,5.24385954854,-2.32968180906,6.51968973155,-30.1435293092,8.5551391884,-3.94495196831,2.42470404078,0.020010822092,76.2796094781,-6.09072905558,2.16172455615,0.447733437676,91.3453576854,-8.22298109062,-37.6133800293,,,,,16.4162629757,14.6015523057,-34.4561320877,0.116666870117,3.12927010702,4.84583067234,2.1286155585,50.0,5.20752486507,-6.14796610084,-122.729430379,-1.52689738634,4.69821099601,27.8348499924,-24.8986347471,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,52383f4d-481e-11e9-9ecc-aced5cacee40,84.1848594484,2.44089970545,0.102605839156,8.12345984752,1.75219692949,2.46040561246,-0.00732891781625,1.56858135669,2.44089970545,-0.014273074838,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
8,03/16/2019,03:05:01 PM,2,1,"Clark, Mat",10000012,Left,CLE_TIG,"Jung, Daniel",9999668,Left,NOT_IRI,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.3930553708,-0.0797797484179,1.53249743074,2280.41253954,157.755368858,11:15,5.36935408968,-2.40935502987,5.96820492462,-25.7896211379,12.3952786719,-5.08437066659,3.1462352367,-1.41206129468,77.7818683906,-4.93950605027,0.572296122616,0.444751422762,,,,,,,,,,,,3.19919189006,6.73443003198,2.29096486277,50.0,5.34870540983,-3.16863518787,-124.255051985,-0.962449382094,4.97864395561,25.9639315376,-21.6937990042,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,65e00bda-481e-11e9-9ecc-aced5cacee40,84.7493107206,,,7.61118698029,-1.30479584383,2.90412066149,1.38623767677,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
9,03/16/2019,03:05:16 PM,2,2,"Clark, Mat",10000012,Left,CLE_TIG,"Jung, Daniel",9999668,Left,NOT_IRI,Windup,1,Top,1,1,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,84.1619731469,-0.865949532448,2.50674195025,2287.46494505,139.055571964,10:45,5.27452868132,-2.43246676791,6.145242917,-33.371215761,5.75262808311,-5.02281003046,1.69269176784,-0.533506529661,76.9042934617,-7.15415510061,1.55560651639,0.450186302368,,,,,,,,,,,,3.47420961554,3.38982202204,2.24445466204,50.0,5.19142514115,-5.21238572848,-122.405446944,-2.82446343922,5.24227333191,25.3934150064,-27.0591085981,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,6ed2b1cd-481e-11e9-9ecc-aced5cacee40,83.7261736372,,,7.25767968518,2.56588741896,1.83539895515,0.564955715032,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
10,03/16/2019,03:06:48 PM,3,1,"Clark, Mat",10000012,Left,CLE_TIG,"Putz, Carter",1000049298,Right,NOT_IRI,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.7247075286,-0.896794261418,1.83597273098,2170.23900736,155.41334376,11:15,5.3661885208,-2.31166456563,6.27174995468,-25.904406613,12.61969793,-5.79076729537,2.38040271025,-1.10139637287,76.9370866829,-5.80986842396,0.733817094235,0.446722466733,,,,,,,,,,,,3.73541295677,7.19063749872,2.1789813952,50.0,5.28735546044,-3.78619322161,-123.271335905,-2.66976646573,5.6924182683,26.7093830764,-21.2161928301,CLE_TIG,NOT_IRI,KingsmoreStadium,NCAA,ACC,20190316-KingsmoreStadium-1,a4829537-481e-11e9-9ecc-aced5cacee40,84.3753769465,,,7.78762084571,0.653638091621,2.30220410899,1.09174713825,,,,7ddcb9d1-481a-11e9-9ecc-aced5cacee40
