PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,12:58:16 PM,1,1,"Sanders, Zach",1000030176,Right,TUS_PIO,"Ford, Dominic",1000018339,Right,QUN_RYL,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,86.6549388037,-3.85039503733,-6.36060117297,2392.42666832,230.19363772,1:45,6.13593499959,2.6876189159,5.4217599425,-20.1505398539,18.0117908313,21.6565982789,0.822746639848,-1.4894129856,79.4118100947,-7.58083063408,-2.35339983031,0.444619968523,,,,,,,,,,,,-13.1511925779,10.561037207,-2.1364767091,50.0,5.77813634902,13.2016008319,-125.055605676,-9.15600353019,-20.933722632,24.0006328251,-15.3632671547,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,b1e77cf3-480c-11e9-9f69-74e5f9ab2fd8,84.7743673014,,,7.24312870903,3.56713542007,1.10597712596,1.39758092229,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
2,03/16/2019,12:58:33 PM,1,2,"Sanders, Zach",1000030176,Right,TUS_PIO,"Ford, Dominic",1000018339,Right,QUN_RYL,Stretch,1,Top,0,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,85.6504252121,-2.9312211783,-3.29761293887,2342.21012139,224.455658615,1:30,6.09185339464,2.7343469294,5.13445763302,-22.4625431836,16.6695589802,16.3918909635,1.45298756192,0.991920461632,78.5977394989,-7.06705672077,-0.26221024923,0.450233812861,,,,,,,,,,,,-9.48324816343,9.5316021762,-2.43766578027,50.0,5.79957212289,6.57707337832,-124.211997893,-7.16517899025,-14.8656174265,24.0959744689,-17.2326330234,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,bb357c91-480c-11e9-9f69-74e5f9ab2fd8,83.7173385126,,,7.05268571326,3.52020612996,1.71036678796,-1.00403204694,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
3,03/16/2019,12:59:13 PM,1,3,"Sanders, Zach",1000030176,Right,TUS_PIO,"Ford, Dominic",1000018339,Right,QUN_RYL,Stretch,1,Top,0,1,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,78.4239459909,1.08280833871,-3.03858760253,1977.30959579,239.649831097,2:00,5.99043603835,2.85674329803,5.6919254535,-36.4024148047,9.02464949268,15.4857849444,3.96746365595,1.31304225366,72.1438919209,-5.70270640296,-0.146090279132,0.485097296403,,,,,,,,,,,,-9.06813215109,4.54345464455,-2.6111982652,50.0,6.05867983163,5.59125847701,-114.012122184,1.07460836213,-12.0132333887,19.6920103026,-26.154994122,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,d39bbe3d-480c-11e9-9f69-74e5f9ab2fd8,77.7006526332,,,6.28005406992,-1.19076474941,3.69841847897,-1.31007950289,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
4,03/16/2019,12:59:30 PM,1,4,"Sanders, Zach",1000030176,Right,TUS_PIO,"Ford, Dominic",1000018339,Right,QUN_RYL,Stretch,1,Top,0,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,85.0933544859,-2.286962513,-2.9159610114,2260.30740255,216.541479558,1:15,6.31336758469,2.6450771376,5.15265914145,-20.1405326342,19.5253159631,14.4974992127,2.47840948748,1.10612973702,77.7512170113,-6.01024219812,-0.225437775234,0.453293919322,74.530739746,22.7638036459,-46.8792147492,2229.09420769,68.2632151826,26.52250069,-86.2559363199,207.374954331,122.560743551,-56.4501555923,2.49168518066,-8.42551940176,10.8923344215,-2.38363100229,50.0,6.08435120633,5.78283950082,-123.483481175,-5.64227631799,-13.0106022255,24.5653207271,-15.3542154152,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,defafb17-480c-11e9-9f69-74e5f9ab2fd8,83.1521776808,26.5326207165,1.3574754962,7.3421374746,2.24234679408,2.56486712227,-1.10972023282,2.05346471838,2.54517278473,-1.10883865515,bd328532-4802-11e9-9f69-74e5f9ab2fd8
5,03/16/2019,01:00:00 PM,1,5,"Sanders, Zach",1000030176,Right,TUS_PIO,"Ford, Dominic",1000018339,Right,QUN_RYL,Stretch,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.6343752664,-0.382444826024,-3.87746799064,2393.36799571,102.643954102,9:30,6.02534246574,2.88493848389,4.71042646205,-48.7411231963,0.984105343849,-4.59523276378,1.59980924867,-1.18328897482,70.7904056899,-9.25004743555,-4.71928566863,0.507527889304,,,,,,,,,,,,1.30777478345,0.614232633055,-2.48853325876,50.0,5.94418958269,7.68533731939,-111.114459909,-2.37910166165,1.63663714738,19.7209341525,-31.4053566095,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,ef679894-480c-11e9-9f69-74e5f9ab2fd8,74.2666113833,,,5.84396957652,-0.0240767763116,1.36091472908,1.30255363477,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
6,03/16/2019,01:00:27 PM,2,1,"Sanders, Zach",1000030176,Right,TUS_PIO,"Melton, Nick",1000058195,Right,QUN_RYL,Stretch,1,Top,1,0,0,ChangeUp,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.7418641737,-0.810662468547,-6.01757880614,2037.66803164,236.893324085,2:00,6.08830179578,2.89044764756,5.9874455276,-35.3564296924,12.3088136138,18.9456038916,2.3864805065,-1.12782520742,70.0519779536,-7.4417612939,-2.46119706533,0.496903922993,,,,,,,,,,,,-11.9855870807,6.89865311827,-2.42523065519,50.0,6.00455546973,11.193775862,-111.097549381,-2.5464858669,-14.9393709925,20.4059766981,-23.5752592282,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,f9cd39cf-480c-11e9-9f69-74e5f9ab2fd8,75.8544555134,,,6.68988622009,-0.0448269749247,2.19269287863,1.18918991726,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
7,03/16/2019,01:00:42 PM,2,2,"Sanders, Zach",1000030176,Right,TUS_PIO,"Melton, Nick",1000058195,Right,QUN_RYL,Stretch,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.9293535237,1.01666768038,-3.77006400158,2430.61590108,110.997508565,9:45,6.15565153275,2.86791834842,4.81377424547,-48.7372875327,3.49449854194,-9.2326146998,3.05937041289,-1.47756724019,68.4790169246,-7.92914954529,-5.47051132651,0.52016240098,,,,,,,,,,,,3.66618524227,1.51098815365,-2.48550069227,50.0,6.21600982219,7.45111192867,-108.577417192,0.366433428909,4.34196341363,20.4142147638,-30.3845439766,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,08cb4102-480d-11e9-9f69-74e5f9ab2fd8,72.4627086659,,,6.4503365992,-1.17117943845,2.68587291615,1.72756633473,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
8,03/16/2019,01:00:59 PM,2,3,"Sanders, Zach",1000030176,Right,TUS_PIO,"Melton, Nick",1000058195,Right,QUN_RYL,Stretch,1,Top,1,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,85.2708590586,-2.05653798339,-5.0756403055,2305.09607438,220.519188169,1:15,6.17818048796,2.6484620379,5.02495076721,-18.8035563397,21.0919361498,18.0584938777,2.66240516941,-0.648079904091,77.6696990197,-5.53086875714,-1.74136187375,0.454604189403,,,,,,,,,,,,-10.8569446798,11.6031879455,-2.17638051628,50.0,5.96601090496,10.3177852419,-123.408896203,-5.11873019206,-16.7439092589,24.5497672282,-14.2792603076,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,12a66eba-480d-11e9-9f69-74e5f9ab2fd8,82.912514666,,,7.60116003892,-1.05502639168,2.41897322182,0.719401359954,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
9,03/16/2019,01:01:17 PM,2,4,"Sanders, Zach",1000030176,Right,TUS_PIO,"Melton, Nick",1000058195,Right,QUN_RYL,Stretch,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,74.7547280002,-1.17312138253,-3.38764395346,2414.82728399,136.957755389,10:30,6.23595841442,2.87366206195,4.58478296755,-46.9392102937,5.66976611404,-5.34115771231,1.20639953292,-0.797450625001,68.9311375683,-9.69433700576,-4.3663818782,0.522037191253,,,,,,,,,,,,1.79061409675,3.25367631627,-2.51869511287,50.0,6.07226990773,6.59287277566,-108.379058605,-3.78248415628,2.12581037432,19.2700069153,-28.3112961742,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,1d31a8ea-480d-11e9-9f69-74e5f9ab2fd8,72.2024736028,,,5.82359043193,1.25264593449,1.17825499705,0.809979430643,,,,bd328532-4802-11e9-9f69-74e5f9ab2fd8
10,03/16/2019,01:01:44 PM,3,1,"Sanders, Zach",1000030176,Right,TUS_PIO,"Jones, Noah",1000058192,Right,QUN_RYL,Stretch,1,Top,2,0,0,Slider,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,76.0157822347,0.466364225807,-5.56836356919,2082.63308853,243.904899867,2:15,5.75760831616,2.91742031598,5.95234142098,-39.3906648313,8.67590562743,17.8058319638,2.90957746822,-0.778682193778,70.0996915357,-6.8837245651,-2.2438776825,0.498991429677,89.9248466484,-3.34135757841,36.3963649998,,,,,30.172966272,29.2048889531,37.9268579963,0.231438598633,-11.0152181834,4.56094703331,-2.48413081494,50.0,5.77250788465,10.2557214222,-110.221104765,-0.182811742486,-13.6704818427,17.9693436835,-26.5136664772,TUS_PIO,QUN_RYL,PioneerPark,Team Exclusive,Team,20190316-PioneerPark-1,2dbd4dfc-480d-11e9-9f69-74e5f9ab2fd8,75.5371220414,2.77967066938,0.223979444374,5.91609069898,0.571989897128,2.80654041757,0.811333930799,0.354339116123,2.77967066938,0.819602840899,bd328532-4802-11e9-9f69-74e5f9ab2fd8
