PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,03:04:08 PM,1,1,"Criswell, Jeff",8898944,Right,MIC_WOL,"Abreu, Keury ",1000055388,Right,MAN_JAS,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.4500738139,-3.69131495265,-3.33127510583,1992.9458368,221.592622958,1:30,5.52232537263,1.98615042641,6.44402493193,-17.9035693415,14.7494056245,13.1189901459,0.628595039664,0.0154071145577,84.073251712,-7.06329753004,-0.845511353888,0.411275553993,,,,,,,,,,,,-8.10075820901,9.09502674603,-1.75605606152,50.0,5.2520347023,7.33565727504,-132.788407319,-9.11847803641,-14.5207541552,27.3880030827,-15.8710502436,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,46be6175-481e-11e9-9e98-aced5cacedeb,91.6475004536,,,7.37682210196,3.00458596269,0.823751789734,-0.0400269768371,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
2,03/16/2019,03:04:28 PM,1,2,"Criswell, Jeff",8898944,Right,MIC_WOL,"Abreu, Keury ",1000055388,Right,MAN_JAS,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9212592063,-2.79006522113,-4.46231695944,2057.02128494,218.880370796,1:15,5.29305473894,2.13141717445,6.37664384988,-17.9253539466,14.6028772627,11.7994394105,1.22283962169,-0.998523916382,84.1077686465,-6.17476348312,-2.23038083276,0.410489206798,,,,,,,,,,,,-7.70925555671,8.78659442276,-1.81517261876,50.0,5.08307744001,10.0486720874,-133.371519484,-7.06588806426,-13.8953706234,28.5034570255,-16.3368532366,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,51201c2b-481e-11e9-9e98-aced5cacedeb,91.8230635468,,,7.81349055973,-0.259840400028,1.03949897097,1.06261891668,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
3,03/16/2019,03:04:44 PM,1,3,"Criswell, Jeff",8898944,Right,MIC_WOL,"Abreu, Keury ",1000055388,Right,MAN_JAS,Windup,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.4632056442,-1.73459525138,-2.30566765065,2050.96869007,222.095640513,1:30,5.51209701282,1.91702047009,6.27388291206,-18.7082550686,14.0090428754,12.6839965327,2.35251739317,0.847741736252,83.9307125586,-5.2618720903,0.0932983514608,0.411680439812,,,,,,,,,,,,-7.54963025857,8.12049757634,-1.7531101932,50.0,5.37479841021,4.9642846392,-133.099923574,-4.61625078864,-13.5879928164,27.682970884,-17.5585960172,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,5a12c48c-481e-11e9-9e98-aced5cacedeb,91.5573655583,,,7.53249308561,0.449946387628,2.26285971086,-0.849740631212,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
4,03/16/2019,03:05:03 PM,1,4,"Criswell, Jeff",8898944,Right,MIC_WOL,"Abreu, Keury ",1000055388,Right,MAN_JAS,Windup,1,Top,0,2,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.2783220068,-0.880016874031,-2.68778461658,2078.86986981,210.713272739,1:00,5.53374237025,1.79058174496,6.93978796677,-15.6149405683,15.7121143725,9.35159243676,3.4306697163,0.12199606977,84.5462574478,-3.86694730705,-0.897663778013,0.402838808466,,,,,,,,,,,,-5.96528249508,9.03662907677,-1.62679741309,50.0,5.47340284089,6.05691512773,-134.424510606,-2.49064242005,-10.941450072,28.4804273419,-15.5991711815,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,63056a84-481e-11e9-9e98-aced5cacedeb,93.5668950682,,,7.73206455902,-0.738937491536,3.2822753524,-0.089820907172,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
5,03/16/2019,03:05:25 PM,1,5,"Criswell, Jeff",8898944,Right,MIC_WOL,"Abreu, Keury ",1000055388,Right,MAN_JAS,Windup,1,Top,0,2,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,92.396324949,-1.94811506672,-2.71761674859,2033.58722954,221.628858682,1:30,5.40745460398,2.18127915649,6.42773309435,-19.1862549175,12.5301119785,11.162547778,2.01554922793,0.612090453362,85.3129003248,-5.56295155824,-0.607847116419,0.405334187044,,,,,,,,,,,,-6.80531155157,7.36310956288,-1.99314205637,50.0,5.25991400561,6.04162402835,-134.482912081,-5.16707992222,-12.5830651621,26.5329122316,-18.5596112565,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,74c495ab-481e-11e9-9e98-aced5cacedeb,92.9908646394,,,7.08342462424,1.87449591604,2.06000063563,-0.61703078767,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
6,03/16/2019,03:06:04 PM,2,1,"Criswell, Jeff",8898944,Right,MIC_WOL,"Blake, Shawn",1000001039,Left,MAN_JAS,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2067385266,-1.56490142313,-1.6687915443,2049.80902999,225.926326053,1:30,5.3894890406,2.27035079825,6.31557607386,-19.0531188223,13.0678376985,13.5285600244,2.35953017421,1.86038746821,84.6210939166,-5.16025587992,0.893162796656,0.407911315747,,,,,,,,,,,,-7.85389906941,7.57390085388,-2.1549808349,50.0,5.26591453406,3.49027609824,-134.250185323,-4.26210522745,-14.3748445507,28.2803370134,-18.3116795019,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,86d0078c-481e-11e9-9e98-aced5cacedeb,92.4033608925,,,7.58564461008,-0.489593237754,2.18486848804,-1.89187436692,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
7,03/16/2019,03:06:23 PM,2,2,"Criswell, Jeff",8898944,Right,MIC_WOL,"Blake, Shawn",1000001039,Left,MAN_JAS,Windup,1,Top,1,1,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,91.9175644913,-1.60266720803,-3.13150349559,2076.41911038,196.306384568,12:30,5.47381575038,1.88163587842,6.48710563882,-15.9576240856,16.3946341892,4.80500833398,2.67021722484,-0.595461439131,83.7899995174,-4.63303599133,-2.21779232169,0.409377357983,,,,,,,,,,,,-3.55104747288,9.50296176717,-1.66423177575,50.0,5.35426677169,7.17002637069,-133.669706296,-4.22039835275,-6.403583001,29.7030986232,-15.0374135505,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,97169649-481e-11e9-9e98-aced5cacedeb,92.0724504814,,,8.12756497382,1.54417362589,2.68054847105,0.590520611886,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
8,03/16/2019,03:06:49 PM,2,3,"Criswell, Jeff",8898944,Right,MIC_WOL,"Blake, Shawn",1000001039,Left,MAN_JAS,Windup,1,Top,1,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.9326965453,-2.16465551873,-2.97275230162,2073.46409663,212.387209242,1:00,5.34740556627,2.44014022034,6.37968022685,-16.2081121311,15.8823113798,10.0933868643,2.00193423138,0.544306803543,83.8953081676,-5.25163595844,-1.04565395633,0.407717396842,,,,,,,,,,,,-6.50353322828,9.43511589567,-2.23084603216,50.0,5.18394353066,6.70367566899,-135.013176065,-5.60423442659,-11.8406087368,33.1386239053,-14.9960759397,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,a1a7fe4e-481e-11e9-9e98-aced5cacedeb,92.4473098598,,,9.03738837768,-0.685193276016,1.80603990538,-0.507604736718,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
9,03/16/2019,03:07:10 PM,2,4,"Criswell, Jeff",8898944,Right,MIC_WOL,"Blake, Shawn",1000001039,Left,MAN_JAS,Windup,1,Top,1,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.0513909938,-1.28967892879,-2.08483251857,2029.81777978,212.223124682,1:00,5.50321020198,1.72164797327,6.57198632936,-13.1316024462,18.6557010835,11.7774778486,3.22594198544,0.79152051842,83.6818237004,-3.80853883444,0.177457073092,0.405787217865,,,,,,,,,,,,-7.21920529337,10.7759693977,-1.58363840484,50.0,5.40916505374,4.58291119563,-135.360884908,-3.4336852851,-13.1667355476,34.2267492817,-12.5203147225,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,b3161d57-481e-11e9-9e98-aced5cacedeb,92.8870473532,,,9.36956729332,-1.75243948252,3.0099833352,-0.805812678558,,,,24d789a7-4819-11e9-9e98-aced5cacedeb
10,03/16/2019,03:07:42 PM,3,1,"Criswell, Jeff",8898944,Right,MIC_WOL,"Cimillo, Nick",1000055392,Right,MAN_JAS,Windup,1,Top,2,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,93.1809063945,-2.18307532605,-3.26950825098,2003.59894108,221.874316674,1:30,5.38514215413,2.33071521735,6.27842844438,-17.3115059948,14.4437969793,12.9747606906,1.9262962607,0.395428364426,84.9704957469,-5.45640320749,-0.810331657573,0.405582911668,95.6698340841,15.9043626673,1.31104555814,2221.09166301,109.797901179,25.4218453988,6.66356169346,257.261168544,257.261168544,7.58697415814,2.80071777344,-8.03610662982,8.52980970161,-2.09590049896,50.0,5.21548651498,7.32648105496,-135.401789137,-5.71493275238,-14.8779446068,30.3206857889,-16.3820684232,MIC_WOL,MAN_JAS,RayFisher,NCAA,BIG10,20190316-RayFisher-1,c57299f3-481e-11e9-9e98-aced5cacedeb,92.9338377844,27.4988531524,2.80295699225,8.21041064756,1.64605969392,1.94817738721,-0.398697571012,1.45644122409,1.93009496075,-0.395991674357,24d789a7-4819-11e9-9e98-aced5cacedeb
