PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/16/2019,01:59:25 PM,1,1,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Bailey, Dawson",1000057523,Right,NIA_EAG,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.4201599397,-1.92653301335,-2.58511355495,1843.35086457,202.695004179,12:45,5.93315588564,1.63372374447,5.94118636394,-13.7285940287,18.9244367962,7.9271640678,2.99974182027,-0.105014468225,84.2012672998,-4.50871057711,-1.09142882344,0.411275905774,,,,,,,,,,,,-5.02301045503,10.7807731643,-1.43236077357,50.0,5.77192264711,5.80075282587,-134.328466278,-4.98038275135,-9.15505623067,29.7717130653,-12.5247594671,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,3751aae0-4815-11e9-b189-48a472d32344,91.6474220638,,,8.21889263988,-1.65364345148,2.7529346784,0.160820135189,,,,609142cc-4814-11e9-b189-48a472d32344
2,03/16/2019,01:59:38 PM,1,2,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Bailey, Dawson",1000057523,Right,NIA_EAG,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,94.4960729201,-0.861401566564,-0.88874021198,1771.7534135,209.125088354,1:00,6.1038998646,1.68071616231,5.80210032446,-10.1037348115,21.2608153913,11.8622453157,4.4607195199,1.84270150742,85.9020519188,-2.76128662796,1.34470129472,0.403079814678,,,,,,,,,,,,-6.64089792495,11.6906536542,-1.61488775021,50.0,6.0272527187,1.71858624853,-137.484999255,-2.42017063982,-12.6592131614,31.6393360038,-9.88873740155,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,401bd416-4815-11e9-b189-48a472d32344,93.5109503094,,,8.5940210013,-2.94074215318,4.2435928416,-1.95309556989,,,,609142cc-4814-11e9-b189-48a472d32344
3,03/16/2019,01:59:53 PM,1,3,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Bailey, Dawson",1000057523,Right,NIA_EAG,Windup,1,Top,0,1,1,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,79.2559993212,0.556363501997,-0.888922004173,1958.92291967,126.988757105,10:15,5.74575500179,1.93575435103,6.0677550284,-37.5480551552,6.89027161482,-9.20290250367,3.13162969796,0.346263477329,71.9800794133,-6.5408393198,-2.6353600377,0.479789089088,77.0139336316,34.7569286791,60.6673131979,4407.39429879,43.2650572562,65.5934441217,101.134201249,282.40759148,81.0600504795,75.2831870912,4.55762756348,4.73115040807,3.57642211633,-1.86210076799,50.0,5.7688755734,2.04422141424,-115.308975563,0.0790355291308,6.29276648242,23.8646052619,-27.4171528166,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,49370970-4815-11e9-b189-48a472d32344,78.5603036384,72.9750543106,1.02801871596,7.27591990793,1.15771235615,3.10181499704,-0.3343216953,1.09302083493,3.09433794451,-0.331331362179,609142cc-4814-11e9-b189-48a472d32344
4,03/16/2019,02:00:11 PM,1,4,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Bailey, Dawson",1000057523,Right,NIA_EAG,Windup,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,93.2698226232,-0.849664429991,-3.16048208375,1807.2944398,198.80719721,12:45,6.09336632748,1.5272975601,6.05824539957,-10.4819147413,22.0857458751,7.53212563001,4.43228542479,-0.77290272946,83.064162569,-2.85109167925,-1.72333438,0.410737920663,,,,,,,,,,,,-5.22195108801,12.3542449643,-1.28600780692,50.0,6.02186780995,7.23239039377,-135.383630094,-2.34912512541,-9.45101083048,36.4004636473,-9.81457007947,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,579c2588-4815-11e9-b189-48a472d32344,91.7674619871,,,10.2056600541,-1.16409937125,4.30106513382,0.848656817889,,,,609142cc-4814-11e9-b189-48a472d32344
5,03/16/2019,02:00:25 PM,1,5,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Bailey, Dawson",1000057523,Right,NIA_EAG,Windup,1,Top,0,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.2015728574,-1.79933447864,-2.86033418747,1844.94848189,210.851303782,1:00,5.91933435398,1.55344130246,5.98456795559,-14.2457177846,19.5245725651,11.6816554809,3.06203186986,-0.126101563571,82.3341358024,-4.49455155991,-0.647088000926,0.418252856463,,,,,,,,,,,,-7.2345786886,11.1593752058,-1.33424787296,50.0,5.76948420709,6.24044375082,-132.462165952,-4.6272457612,-12.7006165879,31.4452964363,-12.5832814986,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,602d1973-4815-11e9-b189-48a472d32344,90.1186350282,,,8.867437055,-0.88567163258,2.87827520366,0.14983550416,,,,609142cc-4814-11e9-b189-48a472d32344
6,03/16/2019,02:00:51 PM,2,1,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Serrano, Benny",1000057530,Left,NIA_EAG,Windup,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,93.0336117668,-2.25160386746,-1.94821019243,1832.61021099,196.456512546,12:30,5.97448931063,1.72314309524,6.41900884671,-10.4515236316,21.4774891792,6.35306206697,3.03166794587,0.461146171191,83.9128610315,-4.245588609,-0.733409356751,0.406690721187,,,,,,,,,,,,-4.12344979337,12.5613829213,-1.58721715258,50.0,5.80918147137,4.40868890364,-135.264317588,-5.63799416831,-7.53436977929,33.2948824882,-9.22188262475,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,6d01c2c6-4815-11e9-b189-48a472d32344,92.6806896678,,,9.12075073537,1.27522428491,3.02115928232,-0.45934027447,,,,609142cc-4814-11e9-b189-48a472d32344
7,03/16/2019,02:01:09 PM,2,2,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Serrano, Benny",1000057530,Left,NIA_EAG,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.138131482,-1.49033356824,-2.1068197513,1765.93159374,199.974099633,12:45,6.10514003884,1.6163795623,6.1627545102,-12.4363633498,20.6201881617,7.50587682238,3.69100532392,0.295052273493,82.5389163701,-3.86179894237,-0.673572335449,0.413809342245,,,,,,,,,,,,-4.81892169198,11.7883235264,-1.46062459688,50.0,5.98592242398,4.6897993125,-133.88991452,-3.87627565606,-8.57009498905,34.3758068947,-11.2093890661,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,75f47149-4815-11e9-b189-48a472d32344,91.086335356,,,9.59921511192,-1.44918175985,3.49370245513,-0.263674300713,,,,609142cc-4814-11e9-b189-48a472d32344
8,03/16/2019,02:01:23 PM,2,3,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Serrano, Benny",1000057530,Left,NIA_EAG,Windup,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6233555361,-0.607472501588,-2.969524224,1718.12791641,204.916360455,12:45,5.90048715036,1.68772677218,6.25103827127,-17.7051074395,16.1675406829,7.5251288649,3.86413847245,-0.425824391182,81.7190602411,-3.97741128743,-1.53653333084,0.418886239225,,,,,,,,,,,,-5.06849528885,9.05514040573,-1.47100491465,50.0,5.84669241464,6.60295996759,-131.715264012,-1.93885176866,-8.78310691158,31.5249338431,-16.4825539904,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,7cbe1e97-4815-11e9-b189-48a472d32344,89.9823698932,,,8.90429529499,-1.4656931595,3.65818883008,0.500817945723,,,,609142cc-4814-11e9-b189-48a472d32344
9,03/16/2019,02:01:38 PM,2,4,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Serrano, Benny",1000057530,Left,NIA_EAG,Windup,1,Top,1,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.7956537636,-0.917296449508,-2.5610451854,1666.5147313,208.927100833,1:00,5.72160781788,1.61646014602,6.12203365487,-19.2995016744,14.7319668179,8.15925980062,3.26449362965,-0.0724791075733,81.5873753623,-4.58829556384,-1.00662208559,0.419867117168,68.9523637082,48.4139995483,-120.720360541,3268.12424624,,,,,,,,-5.30305219337,8.34961418388,-1.42485272937,50.0,5.64147761599,5.6462832418,-131.934073891,-2.71752349382,-9.17949921806,32.7658828489,-17.7209988641,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,8c4d314c-4815-11e9-b189-48a472d32344,89.7721564274,,,9.20827840124,1.46675919403,3.26851250519,0.0715981890542,1.21295149147,3.24811275198,0.0760459631302,609142cc-4814-11e9-b189-48a472d32344
10,03/16/2019,02:02:04 PM,2,5,"Kroger, Nathan",1000000913,Right,CIN_BEA,"Serrano, Benny",1000057530,Left,NIA_EAG,Windup,1,Top,1,2,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.0755645872,-2.69763836163,-4.19149571114,1866.27510516,209.743834554,1:00,5.96528413955,1.7371880577,6.42492479776,-10.0968015246,22.4344084089,12.8365955937,2.63609781797,-1.05222942409,83.5047164131,-4.61956954276,-1.75122229887,0.410508001336,,,,,,,,,,,,-8.31217819194,13.1550361335,-1.44440583026,50.0,5.76814906463,9.40566676946,-133.607067465,-6.61563617947,-14.9299115034,30.4866386238,-8.54564204714,CIN_BEA,NIA_EAG,UCincinnati,NCAA,AMER,20190316-UCincinnati-1,99bf2ab3-4815-11e9-b189-48a472d32344,91.8188595556,,,8.5708481741,-1.15120304888,2.42606116883,1.12762363932,,,,609142cc-4814-11e9-b189-48a472d32344
