PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/17/2019,01:04:16 PM,1,1,"Baumann, Cam",1000016827,Left,IOW_HAW,"Bohning, Brandon",1000027222,Right,CAL_MAT,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1637610078,-4.64456917604,3.11283073381,2112.81695828,149.781446833,11:00,6.08035773621,-1.96412986774,6.12014146581,-16.7195877182,17.6006095069,-10.2702255041,0.377885131005,0.0603175301842,82.3282649369,-7.77762058418,1.1711398105,0.421644467103,,,,,,,,,,,,6.48798457734,10.9232249048,1.73129234177,50.0,5.71523368838,-6.78409199705,-130.66090178,-11.1542616768,11.1756124363,28.4578946835,-13.3586943219,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,141b9a78-48df-11e9-b006-1866da1b951e,89.3937415569,,,7.8354960709,3.39640060865,0.645990683409,-0.018400271751,,,,a34b7479-48dc-11e9-b006-1866da1b951e
2,03/17/2019,01:04:31 PM,1,2,"Baumann, Cam",1000016827,Left,IOW_HAW,"Bohning, Brandon",1000027222,Right,CAL_MAT,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.3749577256,-1.75961576097,2.83442521581,2098.30225497,145.362816402,10:45,5.99280972966,-1.90714581965,6.24461086809,-18.3931583559,15.9058412041,-11.0102244885,2.83480178447,-0.208577373512,82.0636663935,-5.2241357503,0.755473582506,0.421514233895,,,,,,,,,,,,6.76010239206,9.14645013647,1.70193864064,50.0,5.8527257935,-6.0998154407,-130.008819844,-4.5618021664,11.62149483,26.1236747001,-16.4501117269,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,1d31d614-48df-11e9-b006-1866da1b951e,89.4213611075,,,7.31129133205,-1.53142401926,2.55949865945,0.173133195083,,,,a34b7479-48dc-11e9-b006-1866da1b951e
3,03/17/2019,01:04:48 PM,1,3,"Baumann, Cam",1000016827,Left,IOW_HAW,"Bohning, Brandon",1000027222,Right,CAL_MAT,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.163195048,-1.89032290737,3.3016414244,2123.99532109,137.375370439,10:30,5.91426218014,-2.02438745821,6.32781986953,-19.6912990766,13.919455038,-12.8397266565,2.52925288406,-0.0509631555488,82.8493810502,-5.60244646173,0.875122365173,0.41726374031,,,,,,,,,,,,7.89813259795,8.11680660111,1.78986441902,50.0,5.76683603737,-7.17358021579,-131.109419698,-4.93234826048,13.8158471996,26.4344385948,-17.9756847839,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,274e3714-48df-11e9-b006-1866da1b951e,90.3322596234,,,7.31381399778,-1.28637926038,2.25890481375,0.013041860531,,,,a34b7479-48dc-11e9-b006-1866da1b951e
4,03/17/2019,01:05:04 PM,1,4,"Baumann, Cam",1000016827,Left,IOW_HAW,"Bohning, Brandon",1000027222,Right,CAL_MAT,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,80.5219700258,-3.0799841673,4.03143470943,1286.9083068,142.678411222,10:45,5.74034538356,-1.75099806371,7.0007064828,-28.7013198857,12.6450965448,-9.67015185051,0.539150683882,1.113869514,74.1300108438,-8.53268512322,2.17994107968,0.462796915297,,,,,,,,,,,,6.54958067062,7.95710023041,1.50769684206,50.0,5.54163051076,-8.01999947995,-116.979382726,-6.97630350306,9.07728213863,22.0263316478,-21.1460381495,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,304a0515-48df-11e9-b006-1866da1b951e,81.4447444987,,,6.39195918203,3.33787093467,0.823710874485,-1.03942555314,,,,a34b7479-48dc-11e9-b006-1866da1b951e
5,03/17/2019,01:05:21 PM,1,5,"Baumann, Cam",1000016827,Left,IOW_HAW,"Bohning, Brandon",1000027222,Right,CAL_MAT,Windup,1,Top,0,2,2,ChangeUp,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.1050505273,-1.95268605902,3.56222922164,1492.44356166,126.795080091,10:15,5.82917950513,-1.98734498575,6.75565207441,-30.8176631455,10.3256830964,-13.8568158883,1.47351453117,0.115491280677,74.3626353565,-7.80769310408,0.913808751922,0.461659018187,,,,,,,,,,,,8.73495399471,6.30881187182,1.75965519861,50.0,5.68918433002,-6.99828627591,-117.927417687,-4.79130850471,12.2673937296,22.9929985864,-23.3139355845,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,393c16e5-48df-11e9-b006-1866da1b951e,81.6454894982,,,6.74241517083,0.997534048586,1.41583653287,-0.122086956493,,,,a34b7479-48dc-11e9-b006-1866da1b951e
6,03/17/2019,01:05:59 PM,2,1,"Baumann, Cam",1000016827,Left,IOW_HAW,"Barret, Kyle",1000027221,Right,CAL_MAT,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.6566600717,-2.88299022964,2.77849418966,2081.97583551,152.616720664,11:00,5.96084760008,-1.91782898943,6.3359681731,-14.4742168905,18.7901045256,-9.74910955231,2.09515083902,-0.170305828838,83.2516206702,-5.61053944408,0.93474862489,0.415107760391,,,,,,,,,,,,6.07422122336,11.0524336496,1.7203998741,50.0,5.74393640915,-6.0991956344,-131.793631408,-7.0859138141,10.7316950851,26.8302334084,-12.6470436098,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,515d36a4-48df-11e9-b006-1866da1b951e,90.8014258408,,,7.40503940156,-0.901360882078,1.8646122996,0.134366468536,,,,a34b7479-48dc-11e9-b006-1866da1b951e
7,03/17/2019,01:06:16 PM,2,2,"Baumann, Cam",1000016827,Left,IOW_HAW,"Barret, Kyle",1000027221,Right,CAL_MAT,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9731298146,-2.67363980549,3.70832312041,2130.98543505,148.720598458,11:00,5.99802187124,-1.96408411891,6.36836414132,-17.0313473009,15.1424150661,-9.21765569647,2.11189187723,0.684415843398,84.896529668,-5.87528431464,1.970955615,0.408246474768,,,,,,,,,,,,5.97382981695,8.95918236217,1.700654797,50.0,5.79657202091,-8.37872100919,-133.658837237,-6.77959700048,10.9128744542,26.1542815305,-15.8075909695,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,5b7f8b14-48df-11e9-b006-1866da1b951e,92.3275002988,,,7.07660014652,-1.61312454537,1.79435938159,-0.785666017748,,,,a34b7479-48dc-11e9-b006-1866da1b951e
8,03/17/2019,01:06:32 PM,2,3,"Baumann, Cam",1000016827,Left,IOW_HAW,"Barret, Kyle",1000027221,Right,CAL_MAT,Windup,1,Top,1,1,1,ChangeUp,ChangeUp,InPlay,Undefined,LineDrive,Single,0,0,,80.623052864,-2.0906424666,3.2851115088,1419.20592863,123.214394126,10:00,5.71143153986,-1.84845394017,6.85955660961,-31.9432365684,8.79892431779,-13.4973027045,1.13992534695,0.0243806944426,75.3383680847,-8.11004546158,0.723738314965,0.45940270504,76.1717520719,25.9533304504,-17.2302597164,1669.70319689,103.061027345,37.0357611163,-38.4498886108,231.229865395,231.001864512,-24.1090262782,3.32977478027,8.2671634575,5.37813457561,1.64457588381,50.0,5.56623398452,-6.40863402046,-117.395668394,-5.07296031625,11.7322867758,18.7020704721,-24.5417067642,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,65f9bbb5-48df-11e9-b006-1866da1b951e,82.0464836354,38.3752679037,3.32746473087,5.28468477926,2.91810783797,1.35134058507,-0.00433356383649,2.74351934538,1.32701931921,-0.00677545763919,a34b7479-48dc-11e9-b006-1866da1b951e
9,03/17/2019,01:07:19 PM,3,1,"Baumann, Cam",1000016827,Left,IOW_HAW,"Elder, Austin",1000016553,Left,CAL_MAT,Stretch,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.5429413756,-1.50330613785,2.72393072379,2041.18488557,150.00116378,11:00,5.91248289502,-2.13251758885,6.13979981432,-18.793575845,15.4239370371,-8.92317020069,2.95533784577,-0.357181277892,82.4024528798,-5.03283406642,1.04446133069,0.421013224829,71.3689495896,26.9900517955,-164.805808931,3017.32705762,,,,,,,,5.55035648742,8.76716764205,1.92972186641,50.0,5.78808258707,-5.9186258274,-130.283088059,-4.01249862634,9.60681466332,25.5695873882,-16.9994278181,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,80cb7c79-48df-11e9-b006-1866da1b951e,89.5277732343,,,7.14048849572,1.36171714776,2.95049584335,0.356180428772,1.3767568602,2.95182150081,0.356454172342,a34b7479-48dc-11e9-b006-1866da1b951e
10,03/17/2019,01:07:43 PM,3,2,"Baumann, Cam",1000016827,Left,IOW_HAW,"Elder, Austin",1000016553,Left,CAL_MAT,Stretch,1,Top,1,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.0391364905,-1.58150439769,3.01039784364,2063.62871661,148.918648853,11:00,6.09850868086,-1.94867327856,6.16080671188,-15.7321135982,18.568033079,-11.2121524589,3.32430684045,-0.0998170649678,81.5949870077,-4.56183720864,0.883610856088,0.42152128253,,,,,,,,,,,,7.0286080345,10.6106210703,1.72619799528,50.0,5.97047422949,-6.53341024062,-130.841500318,-4.10506181914,12.0823762038,29.7626436383,-13.9340905308,IOW_HAW,CAL_MAT,DuaneBanks,NCAA,BIG10,20190317-DuaneBanks-1,8fc9be38-48df-11e9-b006-1866da1b951e,89.419865813,,,8.44414948277,-1.80822666998,3.06096798119,0.0543561456791,,,,a34b7479-48dc-11e9-b006-1866da1b951e
