PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/17/2019,01:03:14 PM,1,1,"Chillari, Bill",8900197,Left,DUK_BLU,"Snider, Jake",10000625,Left,LOU_CAR,Windup,1,Top,0,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Double,0,0,,85.6685902217,-1.29707344762,2.08115805868,1861.66962487,159.51297221,11:15,5.4497445837,-1.52745678532,5.86748320127,-24.561004647,13.4967464571,-5.05611349429,2.19723538871,-0.0149119400981,78.2818135485,-5.90223900311,1.12957954411,0.444010335035,100.290929987,14.4936998452,-6.73106428542,2726.75228523,108.477055524,25.0787891038,-18.239174803,313.084481839,312.969628155,-15.1802980027,3.16804016113,3.31819334163,7.64564652885,1.36197622433,50.0,5.33048070647,-4.36888918146,-124.58491211,-3.59221509021,5.20333521748,25.5618574906,-20.184734569,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,8c3708ca-48d6-11e9-9da6-484d7ed78e9c,84.8907639011,30.5717509444,3.16667631899,7.38677667326,1.82669349978,2.23948490769,0.0230268931174,1.68109352986,2.22451582229,0.0201383549976,53774e41-48d0-11e9-9da6-484d7ed78e9c
2,03/17/2019,01:04:34 PM,2,1,"Chillari, Bill",8900197,Left,DUK_BLU,"Fitzgerald, Tyler",8889834,Right,LOU_CAR,Stretch,1,Top,0,0,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,86.66434484,-1.4575272848,0.976743296898,1822.13579939,146.504294742,11:00,5.62438429111,-1.56032477363,5.82349645178,-23.603793267,13.4848429649,-8.94704658208,2.30200168944,-1.39784802317,79.4994805486,-5.87083789916,-0.703787360157,0.43832066927,,,,,,,,,,,,5.07818105539,7.64986642298,1.48586139996,50.0,5.49133896632,-1.86326389772,-126.114722068,-3.96615958635,8.1920302463,25.2536341535,-19.8334217781,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,b8f471de-48d6-11e9-9da6-484d7ed78e9c,85.992697045,,,7.16486429141,-1.38408141164,2.00741657173,1.43474470066,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
3,03/17/2019,01:05:10 PM,2,2,"Chillari, Bill",8900197,Left,DUK_BLU,"Fitzgerald, Tyler",8889834,Right,LOU_CAR,Stretch,1,Top,0,1,0,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7830106503,0.520329834524,1.26512265726,1912.289759,160.10070576,11:15,5.51800371303,-1.66379114971,6.00952893266,-22.5350033691,14.9832207005,-5.436410503,4.12222427688,-0.944690457987,78.581022892,-3.71856930229,0.241418665889,0.440851836946,,,,,,,,,,,,3.28254097726,7.96848731167,1.56757221559,50.0,5.5464003187,-2.59128981263,-124.903540743,0.441960542067,5.20158806419,24.4316191103,-19.5470048189,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,d2b0d646-48d6-11e9-9da6-484d7ed78e9c,85.4989666874,,,7.2019877583,-1.81255638489,3.90396570981,0.933105798092,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
4,03/17/2019,01:05:40 PM,2,3,"Chillari, Bill",8900197,Left,DUK_BLU,"Fitzgerald, Tyler",8889834,Right,LOU_CAR,Stretch,1,Top,0,2,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.6634787089,0.000306401379315,1.30187450848,1846.81524403,175.053589858,11:45,5.50616538076,-1.67685739194,5.97528095555,-27.0772734132,11.4137771625,-0.99095187239,3.25001002058,-0.552461386591,77.8686257883,-5.07660304789,1.11563397798,0.446530780013,,,,,,,,,,,,0.877520250777,6.16586836032,1.57453691869,50.0,5.49103813375,-2.77153599567,-123.288564831,-0.827507086525,1.35778986778,23.2980429263,-22.6335808825,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,e48caa90-48d6-11e9-9da6-484d7ed78e9c,84.4115976059,,,6.79485292055,-1.68011264682,2.96564406805,0.492491863858,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
5,03/17/2019,01:06:36 PM,2,4,"Chillari, Bill",8900197,Left,DUK_BLU,"Fitzgerald, Tyler",8889834,Right,LOU_CAR,Stretch,1,Top,0,2,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,86.4147664006,-1.83864496437,1.16425829691,1944.76926077,154.591752644,11:15,5.64055764551,-1.55781063949,6.04232026029,-23.5240404241,13.6191166375,-6.48582335358,1.97711119392,-1.02030500962,79.0170967878,-6.26009119084,-0.0612433812568,0.438642719808,70.6548866197,8.65034069169,164.283164697,,,,,,,,,3.85116650472,7.91403363784,1.47068441574,50.0,5.48463858957,-2.35660298898,-125.727750014,-4.75702883248,6.1486100865,26.102383142,-19.5388360849,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,0089e677-48d7-11e9-9da6-484d7ed78e9c,85.9295613925,,,7.39766961288,0.693870048945,1.89738164216,1.02119935199,0.667585257766,1.89446557835,1.02123647023,53774e41-48d0-11e9-9da6-484d7ed78e9c
6,03/17/2019,01:07:15 PM,2,5,"Chillari, Bill",8900197,Left,DUK_BLU,"Fitzgerald, Tyler",8889834,Right,LOU_CAR,Stretch,1,Top,0,2,2,Undefined,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,85.816662452,-1.64489957659,2.0001804194,1957.35952341,157.174282086,11:15,5.58769242332,-1.47787713117,6.03916114915,-25.5924029304,11.8491756585,-5.00201122754,1.93074550061,-0.0421292026973,79.0322091465,-6.43661184229,1.05908648839,0.440401301554,92.8805557316,18.1382076326,13.3418040481,3749.10699101,104.893094621,29.0945398677,33.1272317778,278.061984689,268.673734229,24.0836874164,3.07497253418,3.23704518736,6.85130861622,1.32474156669,50.0,5.44550657732,-4.20824711483,-124.88093191,-4.37161422906,5.13668461681,24.0061684805,-21.3020929497,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,1b61f20d-48d7-11e9-9da6-484d7ed78e9c,85.5864330739,32.5388856544,2.93677418545,6.78445330553,1.68758196982,1.96124764269,0.0471504983787,1.53942190972,1.94458286901,0.0444012015491,53774e41-48d0-11e9-9da6-484d7ed78e9c
7,03/17/2019,01:08:41 PM,3,1,"Chillari, Bill",8900197,Left,DUK_BLU,"Wyatt, Logan",10000620,Left,LOU_CAR,Stretch,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,1,,75.5181798081,0.508045536236,0.604444258912,1838.1808473,227.314011873,1:30,5.46889202988,-1.60096268598,6.12345245869,-42.1266234819,5.9326916189,6.4813440813,2.427995539,-0.502105794599,69.8483579058,-7.38693020238,1.82544718952,0.498953768387,84.4792918054,-11.6715350818,12.0032321986,,,,,12.0521601596,10.3323916969,13.1171750086,0.0917681884766,-3.36177517451,3.08900851492,1.55135505429,50.0,5.48553260766,-1.33279470779,-110.017515869,-0.143093065626,-4.14436142909,18.4526438567,-28.365951025,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,506d90d2-48d7-11e9-9da6-484d7ed78e9c,75.5428236226,2.37083121302,0.0774705673656,5.66982190225,1.37391417697,2.42244733579,0.500742817006,0.978174824576,2.37083121302,0.488086528023,53774e41-48d0-11e9-9da6-484d7ed78e9c
8,03/17/2019,01:09:17 PM,4,1,"Chillari, Bill",8900197,Left,DUK_BLU,"Oriente, Danny",10000619,Right,LOU_CAR,Windup,1,Top,2,0,0,Slider,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,77.6361218864,-1.44626202619,-0.0941065350502,1542.11317323,159.467164543,11:15,5.6597653653,-1.65912063585,6.31368450308,-26.6480310877,18.8169607909,-7.06367767845,2.10674648177,-2.33443638173,71.147180235,-6.47568362883,-1.43477648507,0.485299760823,,,,,,,,,,,,3.84285427881,10.7179653992,1.66940682707,50.0,5.54116726291,0.370245705777,-113.055493038,-3.55060402949,4.96427743188,20.9745905995,-18.3283625411,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,66328689-48d7-11e9-9da6-484d7ed78e9c,77.6682363436,,,6.48894165138,-2.28214203415,1.67349644143,2.43060055359,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
9,03/17/2019,01:09:34 PM,4,2,"Chillari, Bill",8900197,Left,DUK_BLU,"Oriente, Danny",10000619,Right,LOU_CAR,Windup,1,Top,2,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.799445393,-2.56564146277,2.8367652967,1952.21817346,166.452599433,11:30,5.60178144595,-1.53524377723,5.82340441163,-18.1927126474,18.9431365197,-4.57283601104,1.69618648559,0.722891289521,79.4662777321,-5.96432691074,1.97890701744,0.438599566336,,,,,,,,,,,,3.24320437588,10.8985252017,1.3061182658,50.0,5.38110816167,-6.1010034275,-126.080698514,-6.23918447226,5.22401057092,25.4717577944,-14.6191848283,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,7039b5fc-48d7-11e9-9da6-484d7ed78e9c,85.9380159356,,,7.33316766094,-1.10972434876,1.42795569826,-0.809145738597,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
10,03/17/2019,01:09:54 PM,4,3,"Chillari, Bill",8900197,Left,DUK_BLU,"Oriente, Danny",10000619,Right,LOU_CAR,Windup,1,Top,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0293769712,-2.79923771544,2.06447519493,1911.3065383,164.475805314,11:30,5.53801726238,-1.42941167796,5.84401492279,-19.6880512395,17.482537254,-4.86599587503,1.29242858739,0.0843061503523,79.1074978768,-6.49141821333,1.14645397689,0.438804665885,,,,,,,,,,,,3.24686784372,10.2747394005,1.2643389243,50.0,5.29863538048,-4.40149737015,-126.391620082,-6.80944253014,5.21006523183,27.6902937058,-15.6867552345,DUK_BLU,LOU_CAR,DurhamAthleticPark,NCAA,ACC,20190317-DurhamAthleticPark-1,79c9b68a-48d7-11e9-9da6-484d7ed78e9c,85.8978480667,,,7.92187909444,0.945821050025,1.23868587157,-0.0936898560315,,,,53774e41-48d0-11e9-9da6-484d7ed78e9c
