PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/17/2019,02:03:08 PM,1,1,"Walker, Eric",8899299,Right,LSU_TIG,"Daniel, Breydon",1000049392,Left,KEN_WIL,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.168508362,-1.15553399217,-2.22540930953,2096.74081449,206.584683717,1:00,5.99370154955,1.60419992367,6.39240797679,-21.7038046522,15.2292272097,7.63851517319,3.12144420105,0.19316578931,78.5218619754,-5.27340267706,-0.77215949952,0.437400221572,,,,,,,,,,,,-4.84959966331,8.71060068385,-1.44812936419,50.0,5.90071585182,4.65563959284,-125.39436487,-3.14838625952,-7.68412970534,26.5018984471,-18.3722112682,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,48049cb7-48e7-11e9-b837-90b11c7b41a6,86.17365667,,,7.64664638661,-0.989724433161,2.89470985989,-0.162354835849,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
2,03/17/2019,02:03:22 PM,1,2,"Walker, Eric",8899299,Right,LSU_TIG,"Daniel, Breydon",1000049392,Left,KEN_WIL,Windup,1,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.5575765831,-2.40221568476,-2.23499693095,2231.92231235,199.663416396,12:45,6.06672523325,1.593527504,6.30258414985,-18.4443408955,18.2870887921,6.54689616311,2.31380431016,0.0791890763964,79.0121901778,-5.88708613807,-0.992512480032,0.436204794382,,,,,,,,,,,,-4.22923423135,10.7093211497,-1.43288392194,50.0,5.88159091566,4.72178953235,-125.867957101,-5.82120272666,-6.76235958599,26.3339344031,-15.0503149029,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,55caf73a-48e7-11e9-b837-90b11c7b41a6,86.4098171468,,,7.54538640537,-1.92648089552,1.96150962431,-0.0239418456677,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
3,03/17/2019,02:03:40 PM,1,3,"Walker, Eric",8899299,Right,LSU_TIG,"Daniel, Breydon",1000049392,Left,KEN_WIL,Windup,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.7965779696,0.0833975691574,-2.38834412517,2009.03975578,201.556802974,12:45,6.09182059137,1.48587477501,6.47988324593,-22.8630762764,15.0464124804,5.95825898091,4.26319822005,-0.21161481594,77.3795093053,-4.26184330547,-1.25479240813,0.443144621066,,,,,,,,,,,,-3.96337077408,8.26983582681,-1.32087146885,50.0,6.08745604272,4.98464583913,-123.446328309,-0.44996560105,-6.10259450511,25.0734299315,-19.4405806193,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,609c8f6f-48e7-11e9-b837-90b11c7b41a6,85.0566039376,,,7.41706866425,-2.21367420538,3.9815509117,0.288254037337,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
4,03/17/2019,02:03:56 PM,1,4,"Walker, Eric",8899299,Right,LSU_TIG,"Daniel, Breydon",1000049392,Left,KEN_WIL,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.4262731317,-1.48428132818,-2.43580181681,1505.70946079,252.519906495,2:30,6.02394383496,1.79076318535,6.33102986745,-40.2372162278,1.97306244644,6.39136810895,1.30272479494,0.0793857872561,74.4489148931,-9.02992656294,-1.22645594752,0.46760659537,,,,,,,,,,,,-4.15264632291,1.478591388,-1.61649834823,50.0,5.89650094001,4.80631745429,-117.053339597,-4.12453259901,-5.78129012828,21.3825969382,-30.1155622009,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,6a2e9a96-48e7-11e9-b837-90b11c7b41a6,80.6070249956,,,5.9773582386,0.411897495467,1.14155227505,-0.0581063292097,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
5,03/17/2019,02:04:27 PM,2,1,"Walker, Eric",8899299,Right,LSU_TIG,"Shinn, Ryan",3398,Right,KEN_WIL,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.4671162784,-0.818941795404,-1.84087987475,2011.78526152,207.925575512,1:00,6.05564958777,1.60347717543,6.35698642226,-23.38893838,14.0184949948,7.4490670838,3.35250331056,0.529588013749,78.2486363317,-5.24431462481,-0.427508812515,0.440200441611,,,,,,,,,,,,-4.59738434113,7.91640490969,-1.47385057936,50.0,5.98532678478,3.78716108311,-124.445668757,-2.44724504617,-7.20957470251,24.9731530733,-19.7596171457,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,7cdfa0d2-48e7-11e9-b837-90b11c7b41a6,85.6254854792,,,7.21847994661,-1.44659304061,3.08272642967,-0.510440086545,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
6,03/17/2019,02:04:43 PM,2,2,"Walker, Eric",8899299,Right,LSU_TIG,"Shinn, Ryan",3398,Right,KEN_WIL,Windup,1,Top,1,0,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.0819530297,-1.32096999855,-1.63235734411,2022.00089961,225.861797925,1:30,6.05451327097,1.58898282542,6.36012334633,-24.8400665168,12.1717510293,12.5793890945,2.76825424627,1.13477843986,78.6108550807,-6.02401843403,0.760021842748,0.437866504944,,,,,,,,,,,,-7.38050850296,7.06647234651,-1.47693708179,50.0,5.94731184401,3.21080918354,-125.302577445,-3.60150619951,-11.6848834603,26.3084472081,-20.986349794,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,8625ace7-48e7-11e9-b837-90b11c7b41a6,86.0818904747,,,7.47109794905,-1.61192858032,2.44028257391,-1.1791791207,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
7,03/17/2019,02:05:07 PM,2,3,"Walker, Eric",8899299,Right,LSU_TIG,"Shinn, Ryan",3398,Right,KEN_WIL,Windup,1,Top,1,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.3797414571,-0.375068609526,-1.5997889897,2044.97264658,204.201510866,12:45,6.11163678452,1.50884389468,6.49024904006,-20.9244987072,15.7964754877,7.11523592182,4.02350651929,0.632920628812,78.3199571078,-4.36671016428,-0.240029275584,0.436142707761,,,,,,,,,,,,-4.41867274015,8.83969570073,-1.40000728326,50.0,6.07612492546,3.3141574555,-125.756478389,-1.40605851445,-7.00925301189,27.7509408984,-18.1518144246,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,8f94eceb-48e7-11e9-b837-90b11c7b41a6,86.4221179223,,,8.05978434921,-2.48608645164,3.71361791387,-0.620605813187,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
8,03/17/2019,02:05:50 PM,3,1,"Walker, Eric",8899299,Right,LSU_TIG,"Collett, T.J.",8889832,Left,KEN_WIL,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.0052874174,0.604866336095,-1.93271932972,2111.16915845,197.255854821,12:30,6.16997453147,1.48754624039,6.57405776433,-20.1377711087,18.6106234405,5.79215391746,5.0464970497,0.198299489845,75.9985247252,-3.24831385902,-0.823915212368,0.448021004011,,,,,,,,,,,,-3.80578486502,10.1266254606,-1.35753156166,50.0,6.20288635634,3.97262361074,-122.284105756,0.756768051437,-5.70247910165,26.4650408229,-17.0006028397,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,aa6af776-48e7-11e9-b837-90b11c7b41a6,84.1308246346,,,8.0067626922,-3.06694721523,4.77683914512,-0.138182646627,,,,20bee516-48e4-11e9-b837-90b11c7b41a6
9,03/17/2019,02:06:10 PM,3,2,"Walker, Eric",8899299,Right,LSU_TIG,"Collett, T.J.",8889832,Left,KEN_WIL,Windup,1,Top,2,1,0,Fastball,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.9921054003,-2.24224984076,-4.13794835431,2057.47400506,199.666335469,12:45,6.05705193746,1.53107950872,6.59786881355,-19.2759388773,16.9023108459,6.05285839016,2.39030973054,-1.76165167961,79.1541746709,-5.90731335428,-2.98465587444,0.43290768395,39.5285520507,-5.98887673476,-151.741368714,,,,,11.5930044267,3.65120183459,-158.287366618,0.22078918457,-4.58704371847,10.0354536478,-1.25133607682,50.0,5.89574771353,8.97284202934,-126.316434517,-5.48658039506,-7.36139334681,27.3470032211,-16.0689215402,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,ba25b4b8-48e7-11e9-b837-90b11c7b41a6,87.0679313825,2.2905107754,0.0795536725157,7.83793072944,0.096912515989,2.25232945269,1.8300729065,0.459738131291,2.2905107754,1.81134045122,20bee516-48e4-11e9-b837-90b11c7b41a6
10,03/17/2019,02:06:46 PM,4,1,"Walker, Eric",8899299,Right,LSU_TIG,"Shelby, Jaren",8889851,Right,KEN_WIL,Stretch,1,Top,2,0,0,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,85.058250146,-2.3146940156,-3.28488983963,2108.3114992,208.664718076,1:00,6.06403651596,1.43771405804,6.46932034241,-20.3306591464,17.2037739815,9.42431944779,2.23960902441,-0.796700395421,78.3375355714,-6.14950990367,-1.5008855947,0.440947057625,90.9814264751,-18.2455263748,7.135588699,,,,,6.87050389333,5.76244571065,13.423912928,0.0501458740234,-6.03855578551,10.0644380881,-1.210644971,50.0,5.89165456274,6.83677079762,-123.69028841,-5.57406318801,-9.41268250259,23.2471865762,-16.4859662309,LSU_TIG,KEN_WIL,LSU,NCAA,SEC,20190317-LSU-1,ce33091c-48e7-11e9-b837-90b11c7b41a6,85.480503542,2.13308458264,0.0412678457246,6.72071457459,0.555286566696,2.14622817495,0.819018911724,0.43484206407,2.13308458264,0.822099602328,20bee516-48e4-11e9-b837-90b11c7b41a6
