PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/17/2019,12:05:41 PM,1,1,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Plew, Dillon",10000507,Left,WAS_COU,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.205215409,-1.8799403634,-1.59078185469,2364.92977279,189.624247135,12:15,6.48950355188,1.89624185406,6.20247751983,-14.4582770795,19.6711574574,3.34113215668,3.54822311942,0.706045432432,81.6586364058,-4.62166254204,-0.955375811791,0.420471016485,,,,,,,,,,,,-2.31781290324,11.3357984909,-1.77852920644,50.0,6.34107789104,3.54033478912,-131.183494091,-4.7524684551,-3.99637346721,30.486832757,-12.6288625515,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,a8e6104f-48e7-11e9-96fe-ac1f6b46ffc1,89.6432216331,,,8.54657900322,-2.72942785251,3.20382422514,-0.639028327232,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
2,03/17/2019,12:05:58 PM,1,2,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Plew, Dillon",10000507,Left,WAS_COU,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6896436331,-3.37148322137,-2.06383451381,2522.2481193,213.404623744,1:00,6.33940136155,1.72865879225,6.42084367643,-18.3228722132,14.975787832,9.89709432264,1.70796545964,0.65560053017,83.0285875133,-6.82930968621,-0.182683113722,0.415321962186,,,,,,,,,,,,-6.02410488247,9.18677030176,-1.58615777403,50.0,6.09041906401,4.45523933444,-131.819664828,-8.31697683496,-10.5853431124,28.3743953579,-16.0313821128,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,b2bbea64-48e7-11e9-96fe-ac1f6b46ffc1,90.7545951163,,,7.66105611978,-1.76447347962,1.32021847971,-0.64911259864,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
3,03/17/2019,12:06:19 PM,1,3,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Plew, Dillon",10000507,Left,WAS_COU,Windup,1,Top,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,92.7746517469,-2.88520775864,-3.40670744993,2605.03236005,189.869084903,12:15,6.24919096601,1.63651214659,6.17883090225,-14.7396297097,17.5671606892,3.06147833348,2.34975808582,-1.25777761785,84.3749442268,-5.66467286246,-2.82740613987,0.409089587293,,,,,,,,,,,,-2.68028040977,10.4429962262,-1.38074790115,50.0,6.02343860371,7.91900843861,-134.667039767,-7.26855705347,-4.89128164611,30.9496209293,-13.1164769734,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,bbefa3f8-48e7-11e9-96fe-ac1f6b46ffc1,92.1372180859,,,8.39970752016,1.41394019732,2.34948731211,1.25791227092,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
4,03/17/2019,12:06:49 PM,1,4,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Plew, Dillon",10000507,Left,WAS_COU,Windup,1,Top,0,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.3559622513,-2.52500065712,-1.45683074311,2586.00999992,207.423350531,1:00,6.50677555568,1.65548301732,6.23976205115,-15.9456650955,16.2014419692,8.4220915364,2.8468466438,1.0133687341,84.7455255458,-5.52635128681,0.135889561329,0.408077327811,,,,,,,,,,,,-4.98923834354,9.52337772162,-1.55130845891,50.0,6.31080677999,3.15123257026,-134.384396667,-6.43244805118,-9.1498839574,28.3396848357,-14.7088975583,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,cdccc9a6-48e7-11e9-96fe-ac1f6b46ffc1,92.3657697999,,,7.61043670552,-2.2810658105,2.48122927364,-1.02628423578,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
5,03/17/2019,12:07:18 PM,2,1,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Gouldsmith, Garrett",1000025037,Right,WAS_COU,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.874341733,-4.76591370792,-1.46102053299,2377.0991822,213.041551631,1:00,6.35247134235,1.58869273084,6.32961042824,-19.0976455398,13.9867206519,9.11774352021,0.361192927024,1.0029742045,84.1298185252,-8.32749933554,0.261331726837,0.413983400847,,,,,,,,,,,,-5.35570948207,8.85854459833,-1.48669106515,50.0,5.99530773879,3.08631916744,-131.964508597,-11.5912245324,-9.52548242723,25.822786934,-16.4185429255,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,dfb5dd47-48e7-11e9-96fe-ac1f6b46ffc1,91.0480382643,,,6.74452320783,3.50354038362,0.66372092109,-0.994859397902,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
6,03/17/2019,12:07:32 PM,2,2,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Gouldsmith, Garrett",1000025037,Right,WAS_COU,Windup,1,Top,1,1,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.3693343852,-3.13186433962,-2.18042399823,2331.27398003,221.465854473,1:30,6.30848769929,1.90427656781,6.0601281248,-19.7560320072,14.0666402139,12.4582763643,1.75875611098,0.923604636974,83.1643086121,-6.82625262724,0.165326662013,0.418577111569,,,,,,,,,,,,-7.32927232737,8.45387328736,-1.74190361585,50.0,6.05462615778,4.60170153268,-131.351169763,-7.82548978022,-12.8642065389,26.6109921157,-17.335962705,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,e6e1cd22-48e7-11e9-96fe-ac1f6b46ffc1,90.0488236919,,,7.20502577308,0.386245823213,1.63466231563,-0.927047192395,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
7,03/17/2019,12:07:46 PM,2,3,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Gouldsmith, Garrett",1000025037,Right,WAS_COU,Windup,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.1919388491,-4.55160668428,-2.23961611688,2386.19513987,219.045533665,1:15,6.32151359446,1.96506007585,6.14747172933,-19.9662382616,13.1719482997,10.7090485489,0.440195944439,0.787173744368,84.272775807,-8.2690493689,-0.222809753183,0.414319990122,,,,,,,,,,,,-6.39508196002,8.33102639866,-1.80036800693,50.0,5.96421013846,4.83554077798,-132.361104191,-11.1806784882,-11.4273291201,26.3332052055,-17.2873932859,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,f1576858-48e7-11e9-96fe-ac1f6b46ffc1,90.9740717797,,,6.91916304204,3.13145448676,0.687343605971,-0.794951778627,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
8,03/17/2019,12:08:04 PM,2,4,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Gouldsmith, Garrett",1000025037,Right,WAS_COU,Windup,1,Top,1,2,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,91.7248234357,-3.81071388057,-1.47584643889,2527.85576483,200.276377644,12:45,6.35772006551,1.76818245693,6.62434995631,-16.0421605991,16.2281000929,6.00656086073,1.52543722912,0.917132435242,84.0769039364,-6.84506468749,-0.330312642529,0.408858240427,99.6951648584,6.19387592378,-30.7618092633,1872.57423345,92.4067455654,4.32671530122,-59.6728368167,148.494588278,107.00546818,-33.8323021109,1.18652648926,-3.73808945535,10.0517453491,-1.67080588204,50.0,6.09266607967,3.26217992534,-133.354401377,-9.34895849757,-6.72945192827,28.7531858557,-14.0785112693,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,fa88be99-48e7-11e9-96fe-ac1f6b46ffc1,92.1893526757,5.57854320077,0.813010432981,7.64791949928,2.37159517919,1.63953704598,-0.922836986286,2.05544740583,1.60187979732,-0.920904302695,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
9,03/17/2019,12:08:33 PM,3,1,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Manzardo, Kyle",1000058231,Left,WAS_COU,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,92.9043953904,-1.97830928975,-2.17536279476,2486.98648403,203.624951647,12:45,6.35338318933,1.78446767207,6.3381393241,-14.129299305,17.7591925865,7.78112683643,3.35266404805,0.429284370575,84.4755595978,-4.65838698535,-0.695794410937,0.406432574877,,,,,,,,,,,,-4.91081283611,10.3290406357,-1.63001944901,50.0,6.20274965491,4.89188435999,-135.128504391,-5.10862858125,-9.02853455391,31.004698691,-13.1840965056,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,0c65e516-48e8-11e9-96fe-ac1f6b46ffc1,92.7395559585,,,8.4288357926,-1.82131505198,3.08336397402,-0.392955184581,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
10,03/17/2019,12:08:46 PM,3,2,"Dabovich, RJ",1000053998,Right,ARI_SUN,"Manzardo, Kyle",1000058231,Left,WAS_COU,Windup,1,Top,2,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,91.0551343355,-3.82350986487,-2.18546117651,2439.74550168,216.787447865,1:15,6.34242288478,1.7675397289,6.59967201957,-18.7258166914,13.6869018123,10.2572229022,1.27169076467,0.619368290454,84.5722752805,-7.33883188376,-0.243448827009,0.409759703716,,,,,,,,,,,,-6.18200701447,8.4683217648,-1.62303244191,50.0,6.0734394056,4.75449843563,-132.426849762,-9.40298431774,-11.1252439271,24.7248485626,-16.9343141035,ARI_SUN,WAS_COU,PhoenixMunicipal,NCAA,PAC12,20190317-PhoenixMunicipal-1,155b9fbd-48e8-11e9-96fe-ac1f6b46ffc1,91.986537913,,,6.48285905494,1.58721109003,1.29363637327,-0.620103521633,,,,619117fd-48e4-11e9-96fe-ac1f6b46ffc1
