PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/19/2019,06:33:54 PM,1,1,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.3351605133,0.0300397716665,2.90689946326,2051.06781838,141.523514818,10:45,5.26507587413,-2.59537306679,5.66487049664,-23.407740739,11.3186672377,-9.02164203606,3.34247381905,-0.63466508086,82.7802191825,-4.31490782118,1.23105778568,0.424132399918,,,,,,,,,,,,5.48318025255,6.02418446872,2.35559599496,50.0,5.25271183165,-6.29125523433,-129.998197915,-0.735734169705,9.53392819367,23.1469550526,-21.6994444937,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,75933c86-4a9f-11e9-a902-484d7ed78e38,88.8693637373,,,6.55494133081,-0.77710647653,3.1730464874,0.589011798687,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
2,03/19/2019,06:34:06 PM,1,2,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.4034446211,-3.19690923958,2.78901137269,2042.74164511,144.333425867,10:45,5.30944904371,-2.50715495364,5.74359206115,-22.433189873,12.6950241495,-9.13477874293,0.457215446197,-0.669892428974,82.0437498236,-7.37066319016,1.07723776692,0.426579080134,,,,,,,,,,,,5.66468660922,7.68729404181,2.28101870189,50.0,5.02977280433,-6.0171725672,-129.785886235,-8.00789383326,9.67423415985,26.8425586341,-19.045576013,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,7c961f18-4a9f-11e9-a902-484d7ed78e38,88.3596460222,,,7.35969479752,-1.09262503471,0.127560813005,0.624746256843,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
3,03/19/2019,06:34:18 PM,1,3,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,2,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,86.3526902279,0.0759625547045,2.35760431166,1939.83669672,136.558599031,10:30,5.25109783897,-2.49130996373,5.74101677885,-27.1965084811,10.1534958207,-9.64884784098,3.05550314792,-1.099213779,79.3952044198,-5.00101088585,0.553071552553,0.439862407012,,,,,,,,,,,,5.78167711746,5.41845511206,2.30129708854,50.0,5.24072638232,-4.85897972179,-125.638422087,-0.717503847906,9.29879108641,23.974978377,-23.4594349462,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,83e7aa7e-4a9f-11e9-a902-484d7ed78e38,85.691288731,,,6.95748580811,-0.792153012027,2.85755634777,1.07954195122,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
4,03/19/2019,06:34:32 PM,1,4,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,3,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.3102571954,-0.775136858961,2.86983336642,2032.67905652,146.113998368,10:45,5.29687897679,-2.52461892661,5.70613179575,-24.1414336721,12.4800128077,-8.40492078652,2.56201836422,-0.549231662873,80.2826949675,-5.27524640585,1.29995842518,0.435551250955,,,,,,,,,,,,5.24335745979,6.87789675353,2.28952849086,50.0,5.21692873828,-6.08677526055,-126.961636766,-2.51783324027,8.61154816423,24.4831879843,-20.8779773624,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,8a00f433-4a9f-11e9-a902-484d7ed78e38,86.5394748345,,,7.02756222792,-0.745922117827,2.35833879157,0.501533541563,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
5,03/19/2019,06:34:44 PM,1,5,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,3,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.6924218644,-1.55821873141,4.00073786935,1968.80219578,139.150623496,10:45,5.4100479367,-2.24913287991,5.61831889264,-25.7574628928,11.5343180799,-10.0038333906,1.80564435932,0.656543962047,79.9732542755,-6.33580666661,2.14053218683,0.439519431922,,,,,,,,,,,,6.34293879108,6.54113799588,1.91415259976,50.0,5.26033930503,-8.47101184673,-125.887009046,-4.29150672431,10.2693040409,23.4250947551,-21.5838573114,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,92f3a2d3-4a9f-11e9-a902-484d7ed78e38,85.7581571679,,,6.71916758892,0.195889434086,1.66867158753,-0.70165575615,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
6,03/19/2019,06:34:58 PM,1,6,"Joven, Art",1000048892,Left,MIZ_TIG,"Duke, Tyler",1000026208,Right,MUR_RAC,Windup,1,Top,0,3,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,86.7022146901,-2.17779306752,2.57675595267,1907.64954527,144.530336881,10:45,5.35515188288,-2.46643285098,5.74105146304,-24.0980407108,13.05557581,-9.32691531774,1.31642992768,-0.843101531135,79.8004904046,-6.66280878041,0.83185309528,0.438704476039,69.6067214392,-6.88584918212,-6.666301521,,,,,12.1077202274,11.0986152881,-1.4362969507,0.100211791992,5.67632809387,7.56925682238,2.2579819686,50.0,5.15922478456,-5.36763168666,-126.024824184,-5.58248606799,9.17499495505,24.4012127487,-19.9393975619,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,9be651b2-4a9f-11e9-a902-484d7ed78e38,85.917465127,1.40145305113,0.090194158487,6.90172428551,2.21376026954,1.40901714408,0.854882103537,2.14829334458,1.40145305113,0.853898949472,42a47cd3-4a9a-11e9-a902-484d7ed78e38
7,03/19/2019,06:35:31 PM,2,1,"Joven, Art",1000048892,Left,MIZ_TIG,"Slunder, Jake",10000364,Right,MUR_RAC,Windup,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.7410837516,3.35230189884,2.9985253658,2186.24818978,339.875104874,5:15,5.97710652662,-1.98922298082,5.35858304365,-57.7065667464,-8.10255778291,2.95201737907,4.31949756797,1.07098658445,69.7183370078,-7.32434968424,3.54611066361,0.506908889069,,,,,,,,,,,,-0.758772731799,-5.18119283819,1.71782578146,50.0,6.23802308264,-5.84443432612,-109.869650718,4.69991410126,-0.930973817835,18.7804600432,-38.5310968205,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,adcbaf30-4a9f-11e9-a902-484d7ed78e38,74.3573003628,,,6.02274674381,-1.78157873176,3.88706260318,-1.27023506809,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
8,03/19/2019,06:35:43 PM,2,2,"Joven, Art",1000048892,Left,MIZ_TIG,"Slunder, Jake",10000364,Right,MUR_RAC,Windup,1,Top,1,1,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,87.6232430405,-1.66951247659,2.71452069702,2052.97121841,150.478379065,11:00,5.23321659384,-2.40911502247,5.85549946252,-21.9847245445,14.1435215169,-8.02830198872,1.84799575376,-0.554459555219,80.7202621793,-5.77182307505,1.21153198085,0.432608409461,93.6467245721,22.101514722,-12.1114637206,2107.62510391,106.778167954,39.8346308401,-26.4273044615,343.766514476,339.578900686,-17.9481118268,4.17983459473,5.01479498288,8.03423841317,2.19362245157,50.0,5.08477822311,-5.78210353397,-127.42943993,-4.42944287754,8.30610923827,24.3920659423,-18.8667723599,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,b6be5ddf-4a9f-11e9-a902-484d7ed78e38,87.1281641706,53.2027400726,4.10885630862,6.90298086119,2.30130370796,1.93683341451,0.573387651654,2.10032937032,1.91675641109,0.569049028574,42a47cd3-4a9a-11e9-a902-484d7ed78e38
9,03/19/2019,06:36:15 PM,3,1,"Joven, Art",1000048892,Left,MIZ_TIG,"Anderson, Brock",1000035616,Left,MUR_RAC,Windup,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.9220266258,0.0428836496553,3.31928938523,2285.57515731,276.173037576,3:15,5.3620841322,-2.45362360563,5.91100172426,-47.10269276,-0.446464851267,3.72228706704,1.47672402872,0.940425247538,70.7045613482,-8.8153059756,4.02368796577,0.491616363781,,,,,,,,,,,,-0.916925219919,-0.256267033436,2.18537948938,50.0,5.33902474046,-6.66426590394,-113.11845943,-1.22726477603,-1.16637773731,24.1477016215,-32.5000338779,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,c8a3bb54-4a9f-11e9-a902-484d7ed78e38,76.6703049329,,,7.21746527757,-0.321428326981,1.20124943763,-1.0631026206,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
10,03/19/2019,06:36:31 PM,3,2,"Joven, Art",1000048892,Left,MIZ_TIG,"Anderson, Brock",1000035616,Left,MUR_RAC,Windup,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.3745032199,-0.236998956638,3.32086046427,2268.2104894,280.015308577,3:15,5.32550251398,-2.5537583751,5.82348362348,-44.599638433,-1.05384075103,5.73546825839,1.38818948076,1.01459672843,73.7132476583,-8.56019945542,4.39777069753,0.474946447496,,,,,,,,,,,,-2.10257181364,-0.497335608523,2.27903139325,50.0,5.27990074074,-6.94359836812,-116.752077009,-1.79842738464,-2.8827967632,23.3500466476,-32.8559360778,MIZ_TIG,MUR_RAC,TaylorStadium,NCAA,SEC,20190319-TaylorStadium-1,cfe23546-4a9f-11e9-a902-484d7ed78e38,79.3613189863,,,6.66125556162,-1.08901202348,0.99980397499,-1.20859944768,,,,42a47cd3-4a9a-11e9-a902-484d7ed78e38
