PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/20/2019,05:02:40 PM,1,1,"Bafus, Curtis",8893294,Right,VCU_RAM,"Fields, Javon",1000058600,Right,TOW_TIG,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.0879903882,-2.29760307321,-0.901909323342,1978.31172527,196.251453576,12:30,6.81477249641,0.560802097898,6.57319139495,-16.6456275766,17.5374761392,5.12155963745,3.32055101388,0.160953266748,81.5268320617,-5.4560363612,0.0744364132013,0.420801485917,,,,,,,,,,,,-3.08466337872,10.3412384333,-0.501178838152,50.0,6.6500672516,1.89659474101,-129.715744175,-5.67791473852,-5.25116025602,27.3533039375,-14.5696964466,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,7f38d97a-4b53-11e9-9f81-94b86dcc8df4,89.5728218235,,,7.56115832646,-1.56038793279,3.03079312951,-0.166484030824,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
2,03/20/2019,05:02:51 PM,1,2,"Bafus, Curtis",8893294,Right,VCU_RAM,"Fields, Javon",1000058600,Right,TOW_TIG,Windup,1,Top,0,0,1,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.2549193097,0.24723046779,-0.825520563845,2142.065173,297.250846598,4:00,6.71490888108,0.953431246075,5.40188751727,-47.8765699737,-1.63085698548,3.08196842483,2.95685485823,0.43676340246,72.1289502269,-8.6176944872,-0.250683893365,0.489448788781,69.6837427419,17.462168637,138.615762173,3801.96646981,-88.2562573916,17.6889137349,65.6567610132,177.759570414,63.8611865104,146.306615651,2.19179138184,-1.86102483238,-0.932426333202,-0.882105258007,50.0,6.70377577604,1.54460607047,-113.834364358,-0.994445838264,-2.4434988772,20.772575894,-33.3983109406,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,86eb521f-4b53-11e9-9f81-94b86dcc8df4,77.0098473734,18.492016817,0.70585500851,6.12596908281,0.17047524503,2.76539046435,-0.431478338625,0.287739592602,2.78362904104,-0.431961354605,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
3,03/20/2019,05:03:07 PM,1,3,"Bafus, Curtis",8893294,Right,VCU_RAM,"Fields, Javon",1000058600,Right,TOW_TIG,Windup,1,Top,0,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.0066432612,1.22852329251,0.754582548308,2307.81828251,16.0316031467,6:30,6.85569877372,0.380881661761,5.86635154417,-65.6756051248,-15.8729231435,-4.5475090146,2.52407213139,0.702828055126,68.1922021045,-11.211627115,-0.116839045898,0.507923005496,,,,,,,,,,,,2.76336391414,-9.10356928369,-0.439345373507,50.0,6.91803651799,-1.33055333407,-110.344113443,0.59367008816,3.28360800694,26.2536127139,-42.9914992869,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,8f7e9665-4b53-11e9-9f81-94b86dcc8df4,74.2088389643,,,7.81444115667,-0.230451546797,2.19076267706,-0.698996751113,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
4,03/20/2019,05:03:33 PM,2,1,"Bafus, Curtis",8893294,Right,VCU_RAM,"Powers, Brad",1000058749,Right,TOW_TIG,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.345978963,-3.60136813494,-1.00023570821,2018.99127144,168.572362072,11:30,6.93022875167,0.567930556218,6.56836920626,-14.29337094,20.2539184896,-4.10064034533,2.43339051082,-0.690657644412,80.6527472259,-6.32338644679,-1.78744773218,0.42303714993,,,,,,,,,,,,1.94933001565,12.4113653516,-0.497548791267,50.0,6.67667900829,2.38173991112,-129.817041803,-8.5734416495,3.27217635626,31.3169770117,-11.3401333515,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,9a0d79b3-4b53-11e9-9f81-94b86dcc8df4,89.09944795,,,8.69323173711,0.783842739478,2.3630154196,0.710467868159,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
5,03/20/2019,05:03:47 PM,2,2,"Bafus, Curtis",8893294,Right,VCU_RAM,"Powers, Brad",1000058749,Right,TOW_TIG,Windup,1,Top,1,0,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.4837922829,-3.36789694482,-2.40863327752,1313.30498814,237.396473612,2:00,6.73954427326,0.976769559356,6.77732515447,-28.0395880921,12.0659882776,18.9234566257,1.32205041566,0.353557782964,75.0993265795,-8.7019291941,1.23191807335,0.455799557691,,,,,,,,,,,,-11.3283419651,7.80181340607,-0.827454905236,50.0,6.50949881828,4.57172493153,-119.858662462,-7.75607966124,-16.2707346556,25.9061150213,-20.9684161564,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,a7c4f587-4b53-11e9-9f81-94b86dcc8df4,82.695070421,,,7.3844657034,5.08039552261,1.86892424689,-0.284227744658,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
6,03/20/2019,05:04:05 PM,2,3,"Bafus, Curtis",8893294,Right,VCU_RAM,"Powers, Brad",1000058749,Right,TOW_TIG,Windup,1,Top,1,0,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,81.0848823374,1.37872553829,1.27953177388,1388.57729273,241.131628193,2:00,6.69020188068,0.995114464049,6.6016684566,-34.1474371277,7.47262896634,13.6253034263,5.10802296284,3.30277399919,73.5524900487,-5.14625477212,3.88785710094,0.464325891375,,,,,,,,,,,,-7.15913331128,3.71306236635,-1.08789122769,50.0,6.76975321506,-2.98302843767,-118.033550418,1.97274215345,-9.97177332235,25.1236196081,-27.0022191409,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,b157080f-4b53-11e9-9f81-94b86dcc8df4,81.1765555643,,,7.53239228868,-2.89627407662,4.69477985772,-3.60542597224,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
7,03/20/2019,05:04:20 PM,2,4,"Bafus, Curtis",8893294,Right,VCU_RAM,"Powers, Brad",1000058749,Right,TOW_TIG,Windup,1,Top,1,1,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.8972053209,-2.83018665589,-1.33935921871,2167.8720471,178.939116873,12:00,6.80267016057,0.688735159755,6.53584301852,-13.8261048151,20.3104315996,-0.376703329296,3.05203198844,-0.571242647716,81.0302831313,-5.46968087612,-1.411648548,0.420514761401,,,,,,,,,,,,-0.22882567797,12.1815384117,-0.595889160569,50.0,6.60069266844,3.06633725623,-130.690490249,-6.85643821221,-0.38915724363,31.8301382259,-11.457256833,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,bb2bf9c8-4b53-11e9-9f81-94b86dcc8df4,89.6338963121,,,8.86692218966,-1.39828706754,2.77826876089,0.640723950453,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
8,03/20/2019,05:04:45 PM,3,1,"Bafus, Curtis",8893294,Right,VCU_RAM,"Piazza, Zach",8889919,Left,TOW_TIG,Windup,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.9335560392,0.172840500948,-0.8411021619,2319.81437463,18.1612319361,6:30,6.66830400565,0.801326008734,5.59703341643,-49.1355497313,-4.61351535072,-1.49965663518,2.73504141884,-0.108880742427,72.8616564293,-9.00915210145,-1.12360300821,0.480240761167,,,,,,,,,,,,0.537932658057,-2.52430164644,-0.7283890331,50.0,6.65176398585,1.75145789523,-116.199461699,-1.14110097173,0.726136002417,24.3577572898,-35.5815128161,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,ca4a59be-4b53-11e9-9f81-94b86dcc8df4,78.4864167496,,,7.07189960998,-0.953905603122,2.34911441689,0.155680335033,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
9,03/20/2019,05:04:56 PM,3,2,"Bafus, Curtis",8893294,Right,VCU_RAM,"Piazza, Zach",8889919,Left,TOW_TIG,Windup,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.8894626047,-2.43878389022,-1.56366276641,2299.48642965,27.9744939296,7:00,6.72553976595,0.730384487276,5.55639104208,-46.8352233372,-3.38466807176,-1.77602894628,0.542014346415,-0.878787826356,74.4969484716,-11.0912948231,-1.89694453098,0.47442676694,,,,,,,,,,,,0.478455157532,-1.07387363409,-0.594280304811,50.0,6.48446816042,3.26222273577,-117.486214804,-6.4587644196,0.663557337657,23.8681014029,-33.663376696,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,d0eac905-4b53-11e9-9f81-94b86dcc8df4,79.4482502837,,,6.39251413317,0.779673913225,0.416395048444,0.899910767966,,,,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
10,03/20/2019,05:05:11 PM,3,3,"Bafus, Curtis",8893294,Right,VCU_RAM,"Piazza, Zach",8889919,Left,TOW_TIG,Windup,1,Top,2,0,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.5224464859,-2.61965649948,-1.96866856119,2084.18952789,193.845567608,12:30,7.05733398674,0.456810460748,6.5479158841,-15.4122639103,17.9630563572,4.43503498715,3.36787903943,-0.979417624084,82.3197573018,-5.55060068298,-1.12154021888,0.41579976475,72.5075814652,46.5693428719,150.570921184,3775.515264,-101.509938753,61.9132702038,42.3760562888,203.417988279,51.3945239232,161.285328441,3.58760925293,-3.04187546246,10.7209334751,-0.322877724166,50.0,6.86975676359,4.39757158105,-131.656854505,-6.47180953826,-5.30071100428,29.8285621759,-13.4919654966,VCU_RAM,TOW_TIG,TheDiamond,NCAA,A10,20190320-TheDiamond-1,d8a7f84c-4b53-11e9-9f81-94b86dcc8df4,90.6503074714,61.9174748062,0.744211972047,8.20268918406,0.643382628741,3.29237649834,0.994458409131,0.380293349778,3.26653338753,0.999530921954,2b591d5a-4b52-11e9-9f81-94b86dcc8df4
