PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/22/2019,06:33:26 PM,1,1,"Merritt, Jordan",8897377,Right,CIT_BUL,"Nuccio, Callen",1000024726,Left,VIR_KEY,Undefined,1,Top,0,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.6711998179,-0.446395699591,-4.35400089343,2324.80902709,226.249760902,1:30,5.36126078083,2.61716915259,6.05132124816,-19.6983957139,15.3602039599,16.0797775834,3.30535723336,-0.0805169450715,81.5129484888,-4.14212904382,-1.3395676503,0.426156189979,,,,,,,,,,,,-9.80698094565,8.42786745831,-2.28728844845,50.0,5.31580779425,9.30088566086,-128.826901683,-1.62866646209,-16.6263600407,24.5552507519,-17.8857819111,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,7d065f26-4cf2-11e9-af49-484d7efbc10a,88.4473284852,,,7.15825132908,-2.76302099477,2.9904059544,0.168316400166,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
2,03/22/2019,06:33:42 PM,1,2,"Merritt, Jordan",8897377,Right,CIT_BUL,"Nuccio, Callen",1000024726,Left,VIR_KEY,Windup,1,Top,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3040329779,-0.30376176664,-2.69560195213,2215.78959945,231.042404747,1:45,5.43106211791,2.36989240005,5.63911748174,-21.3488100902,14.7310084194,18.2607889814,3.36834275962,1.37543164336,80.5997131719,-4.29636129383,0.724361961382,0.43231837059,,,,,,,,,,,,-10.5108242623,7.95832388684,-2.15267206111,50.0,5.39173293218,5.42957216439,-128.364665522,-1.39922490804,-17.5359875396,26.5918601925,-18.8965866721,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,8c13a890-4cf2-11e9-af49-484d7efbc10a,87.1866177458,,,7.70431980599,-2.92019557615,3.02824190883,-1.44246196386,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
3,03/22/2019,06:33:56 PM,1,3,"Merritt, Jordan",8897377,Right,CIT_BUL,"Nuccio, Callen",1000024726,Left,VIR_KEY,Windup,1,Top,0,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.1100047455,-0.49839978061,-4.11975040219,2198.63063172,222.856924058,1:30,5.47601997292,2.69255336065,6.08138785851,-18.3547341244,17.2713335688,16.0564128342,3.48421502109,0.213089111039,80.5656826317,-3.95444915031,-1.09843686636,0.429591285367,,,,,,,,,,,,-9.82419988209,9.50687925764,-2.38295971267,50.0,5.42769222856,8.72128120012,-128.006294948,-1.68646107567,-16.3498226179,25.673709087,-16.352323492,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,9469c0d0-4cf2-11e9-af49-484d7efbc10a,87.7400864612,,,7.5443221138,-2.57647187548,3.19764524369,-0.145694984861,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
4,03/22/2019,06:34:14 PM,1,4,"Merritt, Jordan",8897377,Right,CIT_BUL,"Nuccio, Callen",1000024726,Left,VIR_KEY,Windup,1,Top,0,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.6668414962,2.59571209587,-2.05025619391,2250.82772923,209.962208233,1:00,5.51939637646,2.67533082254,5.85654008347,-22.147383779,12.9150586283,7.46416295574,6.08829139262,1.39192435489,81.820034008,-1.53746736072,-0.65681096667,0.426179544588,,,,,,,,,,,,-4.49185991981,6.31749929055,-2.51355225366,50.0,5.71690778635,4.3722657297,-128.996810907,5.12277700311,-7.67889787219,23.1744442677,-21.3741944368,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,9d23febf-4cf2-11e9-af49-484d7efbc10a,88.4424815778,,,6.84680748819,-4.11158367611,5.91633087039,-1.33649229629,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
5,03/22/2019,06:34:33 PM,1,5,"Merritt, Jordan",8897377,Right,CIT_BUL,"Nuccio, Callen",1000024726,Left,VIR_KEY,Windup,1,Top,0,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.0294341552,-0.60223558281,-3.28297503528,2192.58644421,236.262136758,2:00,5.36443620076,2.61150224484,5.84120162173,-22.3828845415,12.2240695284,18.3517240311,2.93864107726,1.08683714644,82.878453781,-4.75963109305,0.130256924794,0.423402293931,,,,,,,,,,,,-10.5499245288,6.68003202132,-2.35529613749,50.0,5.30203643647,6.82116877944,-129.574678568,-2.1099860763,-18.3106049655,21.7746447985,-20.5800862333,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,a7da20a2-4cf2-11e9-af49-484d7efbc10a,89.022608194,,,6.15098037421,-3.06241754137,2.55028816477,-1.10965514576,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
6,03/22/2019,06:35:05 PM,2,1,"Merritt, Jordan",8897377,Right,CIT_BUL,"Cook, Noah",1000024723,Right,VIR_KEY,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.1225189957,-1.01347386402,-4.15838851626,2285.43755766,228.510296403,1:30,5.30990443209,2.67242683483,6.11018794794,-19.7936032345,14.6275628608,16.5760340025,2.72087588588,0.202429444578,82.4838002068,-4.71805582679,-1.05590753019,0.422264243545,,,,,,,,,,,,-9.95640415071,8.16157233423,-2.36219215414,50.0,5.22151605796,8.89681225992,-129.564582491,-2.92286400892,-17.1817208311,23.2145512801,-18.0896607326,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,bb9dff0f-4cf2-11e9-af49-484d7efbc10a,89.2625342954,,,6.63871878892,-2.53981836013,2.38343856293,-0.138588371993,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
7,03/22/2019,06:35:20 PM,2,2,"Merritt, Jordan",8897377,Right,CIT_BUL,"Cook, Noah",1000024723,Right,VIR_KEY,Windup,1,Top,1,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.0601619266,-0.749836792771,-5.89076356509,2219.92734829,234.788046912,1:45,5.34457360906,2.40618012886,6.1249805187,-23.0199579309,11.7778641159,16.7351539,2.72946927493,-1.66317615254,81.9209224425,-5.06589600872,-2.76076853637,0.424568285265,,,,,,,,,,,,-10.5615623438,6.5800277894,-1.96373535472,50.0,5.27488907878,12.7970896323,-129.095152608,-2.4173597957,-17.9953944511,24.4441990454,-20.9626205768,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,c3fffda9-4cf2-11e9-af49-484d7efbc10a,88.7781255202,,,7.13923948411,-2.18859538584,2.39891443317,1.82933310086,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
8,03/22/2019,06:35:34 PM,2,3,"Merritt, Jordan",8897377,Right,CIT_BUL,"Cook, Noah",1000024723,Right,VIR_KEY,Windup,1,Top,1,1,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.4846927391,0.761887107253,-0.765127678804,2707.73467188,140.563541437,10:45,5.42709676098,2.55407174795,5.61839099628,-37.3710674761,7.30951862277,-6.046451792,3.02387612314,1.33620480948,72.5367705824,-6.22763282661,-1.89990733521,0.481095117098,,,,,,,,,,,,3.00961035279,3.68597471561,-2.48504818364,50.0,5.46821976245,1.72697319706,-115.608207167,0.406152347542,4.05264948487,22.5642395869,-27.2106274549,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,ca5c9140-4cf2-11e9-af49-484d7efbc10a,78.3470361297,,,6.94792215668,-2.78438138072,2.54155587858,-1.19302396594,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
9,03/22/2019,06:35:53 PM,2,4,"Merritt, Jordan",8897377,Right,CIT_BUL,"Cook, Noah",1000024723,Right,VIR_KEY,Windup,1,Top,1,2,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.4942083882,2.37133924016,-0.832977622525,2683.6221289,179.159797993,12:00,5.43124762207,2.54544460521,5.45607317508,-37.2962691078,8.21930161111,-0.121166475227,4.54418254437,1.75566722049,72.4161618423,-4.5454173294,-0.855481513258,0.48556962864,,,,,,,,,,,,-0.141070029104,3.76786715249,-2.47204559416,50.0,5.61456913498,1.66392983041,-114.184962516,3.56897477639,-0.18831211252,18.8429746572,-27.1443833066,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,d4d71507-4cf2-11e9-af49-484d7efbc10a,77.6250702226,,,6.07804654587,-3.44651268351,4.12704831132,-1.68295084892,,,,a4fca139-4cee-11e9-af49-484d7efbc10a
10,03/22/2019,06:36:15 PM,2,5,"Merritt, Jordan",8897377,Right,CIT_BUL,"Cook, Noah",1000024723,Right,VIR_KEY,Windup,1,Top,1,3,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,89.0192992851,-0.510869301212,-4.42757639073,2309.066191,237.176175907,2:00,5.36281321998,2.53265365586,6.33205208889,-24.2996908833,9.9264237308,15.4386264645,2.86608116478,-0.265224819306,82.4348023728,-5.07491263735,-1.52769001055,0.421066139478,95.0450231348,19.5496214562,21.2094807496,3797.07114333,99.5914513885,34.0950878062,46.7067060046,279.916868781,274.111879868,32.5527024031,3.45639953613,-9.47522684729,5.54119277601,-2.21750729919,50.0,5.31377935804,9.5551875045,-129.42126255,-1.89075127423,-16.3112901582,23.2249118703,-22.6350681553,CIT_BUL,VIR_KEY,RileyPark,NCAA,SOCON,20190322-RileyPark-1,e85360b9-4cf2-11e9-af49-484d7efbc10a,89.5165224348,39.5994940665,3.35094344197,6.58449691231,0.817282215239,2.81252671629,0.281015452505,0.639367751147,2.79651212769,0.285627533527,a4fca139-4cee-11e9-af49-484d7efbc10a
