PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/23/2019,03:45:39 PM,1,1,"Brown, Cameron",9999664,Left,NOT_IRI,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.0946814053,-2.03752019139,3.65325993163,2311.11179096,115.104890128,9:45,5.92789732538,-1.61585938525,6.51245359879,-27.0554397607,7.46677868557,-16.0056010945,1.7991891353,0.406876010509,81.3029626479,-7.16864716345,0.603156167124,0.422883622947,,,,,,,,,,,,9.91494952611,4.72417204215,1.36829977739,50.0,5.77386862036,-7.80729669833,-129.451738558,-5.38888667217,16.7315031567,28.4204602535,-24.2019959274,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,386d8eb8-4da4-11e9-9ecd-7c67a287c2cd,89.1317953116,,,7.79171875741,0.824570583791,1.72436673285,-0.412903226227,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
2,03/23/2019,03:45:54 PM,1,2,"Brown, Cameron",9999664,Left,NOT_IRI,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.6638068154,1.72650989012,0.39999326538,2539.01524538,308.823130521,4:15,5.92984228981,-1.88210228787,5.5665716295,-54.6102794888,-7.40728660111,9.15004046786,2.99214511701,-0.745982541295,70.7769103791,-8.48331664532,2.12125811066,0.494488602816,,,,,,,,,,,,-4.76719773954,-4.49809687145,1.8417551963,50.0,6.0432976548,-1.05934921395,-112.862106764,1.78207850543,-6.07789795369,22.7556542858,-37.9088586617,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,415b6f88-4da4-11e9-9ecd-7c67a287c2cd,76.2249651589,,,6.88689643632,-1.22801894508,2.58360957712,0.645711305599,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
3,03/23/2019,03:46:09 PM,1,3,"Brown, Cameron",9999664,Left,NOT_IRI,"Salvatore, Mike",8888956,Right,FLO_SEM,Windup,1,Top,0,0,2,ChangeUp,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.6644809434,-1.79068929558,1.8111683297,2749.16851676,251.32422311,2:30,5.91766137916,-1.94081047738,5.79391100207,-38.917578015,3.81979081552,11.4196959217,1.00768171537,0.695912126755,73.9607711989,-9.08474952833,3.97431574072,0.470517096941,,,,,,,,,,,,-5.55256939662,2.67439303854,1.78529243569,50.0,5.74759867039,-4.08935640746,-118.581636634,-4.86661653639,-7.73695900271,27.2015535413,-28.4475450554,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,4a52db01-4da4-11e9-9ecd-7c67a287c2cd,80.1084100156,,,7.7037097445,3.36438695742,1.31445026436,-0.562183411385,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
4,03/23/2019,03:46:44 PM,2,1,"Brown, Cameron",9999664,Left,NOT_IRI,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5194421784,-2.03794429786,3.87056517358,2181.65140051,136.948366916,10:30,5.92809303648,-1.73054973321,6.43004214811,-21.5886491428,12.8342625231,-12.0200205403,2.25115358047,0.830140019194,81.2688553086,-6.1385795317,1.58155947082,0.422274950368,,,,,,,,,,,,7.79944680641,7.69217087246,1.46066428842,50.0,5.77312202028,-8.44446343177,-129.993260506,-5.26574940646,13.2290305962,29.4763486908,-19.1269740204,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,6357a3b9-4da4-11e9-9ecd-7c67a287c2cd,89.260271035,,,8.25058686986,-0.562168443122,2.03512443272,-0.883037242283,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
5,03/23/2019,03:46:57 PM,2,2,"Brown, Cameron",9999664,Left,NOT_IRI,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.910685118,0.787426582848,1.59367384054,2545.89211271,310.569960081,4:15,5.9539560902,-1.80538176385,5.68246075701,-52.9613715472,-7.17476127127,8.3295450619,2.27473508536,0.374464205992,71.6676520892,-9.14165644129,3.16706016599,0.487013236047,,,,,,,,,,,,-3.95156604768,-4.11842860644,1.6662304048,50.0,5.98763087534,-3.43447524645,-114.644007989,0.0194890071799,-5.16411485178,24.7652525832,-37.5562281976,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,6b4da0ca-4da4-11e9-9ecd-7c67a287c2cd,77.3949735474,,,7.24303302879,-0.251681005783,2.0004480726,-0.467627459955,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
6,03/23/2019,03:47:10 PM,2,3,"Brown, Cameron",9999664,Left,NOT_IRI,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.281915812,-0.635978871547,2.46827789361,2745.98265182,256.105289958,2:30,6.00091570303,-1.72891961911,5.66975575935,-39.9694868541,3.15400059604,12.9136755369,2.07666486471,1.64967334777,73.9103056485,-8.10457200166,4.89792258122,0.47263780436,,,,,,,,,,,,-6.13735410545,1.90004337159,1.51271729024,50.0,5.9225070269,-5.48103542322,-118.046764879,-2.52636501515,-8.52498495608,25.7455253963,-29.5348263639,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,72b95efa-4da4-11e9-9ecd-7c67a287c2cd,79.7489667,,,7.3716101635,-0.967889247449,1.72754984788,-1.8566976731,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
7,03/23/2019,03:47:23 PM,2,4,"Brown, Cameron",9999664,Left,NOT_IRI,"Albert, Reese",8898919,Left,FLO_SEM,Windup,1,Top,1,1,2,ChangeUp,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.1757910128,0.111920798862,2.1936966196,2763.78583914,287.980021502,3:30,6.02460742294,-1.78331484058,5.6413443412,-47.3234235888,-4.1670064339,12.7149288687,2.1854580948,1.32340378616,74.1036260819,-8.71715494089,4.58301297156,0.472818226379,,,,,,,,,,,,-6.12557584664,-2.26979846761,1.58923079727,50.0,6.00442865648,-4.90658183974,-117.939437634,-1.21651528579,-8.51645951267,25.1343934789,-35.3297758277,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,79797e1b-4da4-11e9-9ecd-7c67a287c2cd,79.718535408,,,7.07216493092,-0.443234394933,1.89343249858,-1.47408780349,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
8,03/23/2019,03:47:51 PM,3,1,"Brown, Cameron",9999664,Left,NOT_IRI,"Mendoza, Drew",8889826,Left,FLO_SEM,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.5347414703,-1.77648423525,3.29853435006,2249.87575572,144.063914127,10:45,6.13969786934,-1.65680734812,6.52149184431,-19.1656116479,15.904333467,-11.5519905924,2.90963363822,0.409867163208,80.19129549,-5.43068934654,1.09118234101,0.42622513938,,,,,,,,,,,,7.40948773123,9.34680025818,1.43254794818,50.0,6.00775583179,-7.08918226107,-128.669281008,-4.53910986858,12.2895173815,29.3478132736,-16.6712677433,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,88f57261-4da4-11e9-9ecd-7c67a287c2cd,88.4330205768,,,8.34344598027,-1.7037781389,2.60596385696,-0.465106846938,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
9,03/23/2019,03:48:04 PM,3,2,"Brown, Cameron",9999664,Left,NOT_IRI,"Mendoza, Drew",8889826,Left,FLO_SEM,Windup,1,Top,2,0,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.8797643996,0.235108494485,2.76806822217,2637.73382457,282.249378175,3:30,5.98491105007,-1.74670679796,5.56646370619,-45.4697611331,-2.56246565423,11.6168031444,2.41562358259,1.80886933442,74.0545429156,-8.27625877275,4.95524014315,0.471451572765,,,,,,,,,,,,-5.28260100642,-1.45346360902,1.5007413147,50.0,5.97606741957,-6.10491308495,-118.821226619,-0.920799183664,-7.39111590034,27.2959748512,-34.2076524531,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,91e81b31-4da4-11e9-9ecd-7c67a287c2cd,79.9496251546,,,7.82522148397,-2.32520944101,1.84575512427,-2.1393070613,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
10,03/23/2019,03:48:17 PM,3,3,"Brown, Cameron",9999664,Left,NOT_IRI,"Mendoza, Drew",8889826,Left,FLO_SEM,Windup,1,Top,2,1,1,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.8667426644,-1.54195585875,2.78486037839,2367.22422306,166.284639878,11:30,6.10313837506,-1.67952409753,6.57942574188,-21.3924280575,13.501904544,-3.30325170871,2.90543109927,0.59916181073,80.1127897302,-5.63398679915,2.15109360949,0.425156640322,,,,,,,,,,,,2.74918411088,8.00278683213,1.49021277822,50.0,5.98846427224,-6.19222724243,-129.191829584,-4.07817290004,4.56605904693,31.2544917088,-18.8823970185,NOT_IRI,FLO_SEM,FrankEck,NCAA,ACC,20190323-FrankEck-2,990c56e6-4da4-11e9-9ecd-7c67a287c2cd,88.6552694852,,,8.75395293418,-1.72077432111,2.58772879252,-0.715776599756,,,,d468b8cf-4da3-11e9-9ecd-7c67a287c2cd
