PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/23/2019,01:04:04 PM,1,1,"Biasi, Dante",8889991,Left,PEN_NIT,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.854356656,-3.20492777768,1.6785071984,1900.36899959,156.543131526,11:15,6.04628910978,-2.21611130422,5.46929315772,-18.6373697791,20.1967253299,-8.77955724019,1.48985934793,-1.37668919186,77.8443914016,-6.67849938928,0.0305814761502,0.448516178645,,,,,,,,,,,,5.19140198828,11.7420591276,2.07461453645,50.0,5.75208943891,-3.35798383847,-124.569070816,-7.59888279876,8.07564320809,27.3608952403,-13.9083314617,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,a55649a8-4d8d-11e9-adce-484d7ed4f1e0,84.0379418084,,,8.00996525437,2.97843198739,1.67111294515,1.3782847708,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
2,03/23/2019,01:04:19 PM,1,2,"Biasi, Dante",8889991,Left,PEN_NIT,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8278634991,-3.68985222951,4.29540765017,1958.95699286,153.18731679,11:00,6.03718646501,-1.95373848162,5.43926979743,-17.9867635149,19.2105129849,-9.72694280502,1.06918221801,1.26475726601,79.9159536041,-7.03004551131,2.48121222982,0.438962165683,,,,,,,,,,,,6.42630111888,11.2906457532,1.58035549849,50.0,5.69778744128,-9.21341909789,-127.105657311,-8.83665758107,10.4609093687,27.2603816593,-13.7948254617,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,ae2d230c-4d8d-11e9-adce-484d7ed4f1e0,85.8670278848,,,7.91190989506,-1.83070989626,0.661607182382,-1.40182750949,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
3,03/23/2019,01:04:34 PM,1,3,"Biasi, Dante",8889991,Left,PEN_NIT,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.3458725035,-2.15688975067,3.27643245316,2065.02437967,147.931494586,11:00,5.98313080043,-1.93477548866,5.50886375934,-18.5520005119,18.0494456706,-11.3301362775,2.41613208435,0.187930562981,80.0359564845,-5.62560249112,1.15242974916,0.435432299561,,,,,,,,,,,,7.03563845621,10.2790079363,1.65662196926,50.0,5.78265092664,-6.95069489018,-128.160052107,-5.466909857,11.5995161122,28.6460677566,-15.2272541871,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,bb946036-4d8d-11e9-adce-484d7ed4f1e0,86.5631156878,,,8.30991601904,-0.600151185093,2.21472885432,-0.226851269708,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
4,03/23/2019,01:04:52 PM,1,4,"Biasi, Dante",8889991,Left,PEN_NIT,"Mezzenga, Ben",8894052,Right,MIN_GOL,Windup,1,Top,0,2,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,90.1288487161,-3.08909791324,2.91315930648,2137.86139649,146.477024223,11:00,6.15438242377,-1.66156277603,5.66450182367,-17.6923273754,16.7555074328,-11.1213498415,1.79351080742,0.129959117789,83.0763821612,-6.37219098875,0.839238957313,0.422427792093,92.7257820155,-6.19098991281,17.7965526407,,,,,17.1986185892,14.5537246688,15.9254975751,0.118744506836,6.677342638,9.73103657884,1.4226074994,50.0,5.88198327173,-6.2785015641,-130.890129714,-7.68101136111,11.681878532,25.4403735251,-15.1497930304,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,c68fa7a5-4d8d-11e9-adce-484d7ed4f1e0,89.2279751159,1.79430409817,0.0986821609286,7.05246655494,1.68345343125,1.82326417169,-0.126023643445,1.42376965052,1.79430409817,-0.12985505006,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
5,03/23/2019,01:05:25 PM,2,1,"Biasi, Dante",8889991,Left,PEN_NIT,"McDevitt, Cole",8894051,Right,MIN_GOL,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4899594552,-1.50595752742,1.5236983247,2168.49268416,150.828077932,11:00,6.14337493326,-2.07567435166,5.33193811321,-15.7202464683,18.9559025047,-10.6001086864,3.41977361699,-1.52928131113,82.7597308859,-4.42475035799,-0.449509557561,0.423825368592,,,,,,,,,,,,6.01620025319,10.4268028229,1.9457702239,50.0,5.99634326537,-3.11463456938,-131.55437314,-4.03028752385,10.5639288078,27.3943199002,-13.8654820064,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,da1a40c5-4d8d-11e9-adce-484d7ed4f1e0,88.9337432687,,,7.73022856934,-1.04860508385,3.22567180592,1.55086979015,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
6,03/23/2019,01:05:39 PM,2,2,"Biasi, Dante",8889991,Left,PEN_NIT,"McDevitt, Cole",8894051,Right,MIN_GOL,Windup,1,Top,1,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.0827806135,-3.19263710916,3.11840133197,2172.85950272,155.153433829,11:15,6.03471775213,-1.86746612789,5.66392188812,-17.1479153289,17.6676866738,-8.19620647278,1.62167204416,0.359729159583,82.2568417619,-6.38892733151,1.58330243505,0.424676738049,,,,,,,,,,,,5.26852155622,10.3598662847,1.60922389247,50.0,5.75389358539,-6.84097438905,-130.690895262,-7.88462153899,9.09743962547,27.9569841088,-14.2851100663,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,e2836bc5-4d8d-11e9-adce-484d7ed4f1e0,88.7554536053,,,7.82593885155,0.101149637294,1.47326241794,-0.395588420268,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
7,03/23/2019,01:05:59 PM,2,3,"Biasi, Dante",8889991,Left,PEN_NIT,"McDevitt, Cole",8894051,Right,MIN_GOL,Windup,1,Top,1,1,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,82.4012345147,-2.05291701175,4.06591804562,1667.19691739,142.388514367,10:45,5.78539043542,-1.75466477465,6.12852786128,-25.2778434953,15.427187134,-11.9149463792,1.77597935468,1.01649766285,75.6802948014,-6.79528908027,1.82290511377,0.459193319624,,,,,,,,,,,,7.57468221811,8.9411399267,1.45027783913,50.0,5.61512092511,-8.16276099443,-119.65630938,-5.02715890903,11.0139994914,22.455348503,-19.1731453146,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,ecdef0d2-4d8d-11e9-adce-484d7ed4f1e0,82.0838956281,,,6.72093971329,0.534348227736,1.67008761727,-1.04424783127,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
8,03/23/2019,01:06:18 PM,2,4,"Biasi, Dante",8889991,Left,PEN_NIT,"McDevitt, Cole",8894051,Right,MIN_GOL,Windup,1,Top,1,2,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,88.9437469359,-3.02406359072,3.06414312701,2019.81790997,153.838975412,11:15,5.97809721542,-1.86139677878,5.658465013,-18.5476894295,17.5080913108,-8.61691285934,1.60612078728,0.280298367951,80.4152929023,-6.49952232174,1.44147001871,0.432174332992,69.2953222366,23.7674867372,126.691737665,3277.5545204,-75.3929204364,17.3910047655,80.0993171285,154.5122987,52.5207578981,135.385640066,2.09545715332,5.5864510397,10.3454447558,1.60768053034,50.0,5.71048672058,-6.61619803336,-128.964470224,-7.44127029939,9.29146877384,29.9314772865,-14.9673503831,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,f5d005e2-4d8d-11e9-adce-484d7ed4f1e0,87.2156758134,20.4892600965,0.633280612959,8.52845403355,2.09007107433,1.68256092723,-0.263212155668,0.598158913532,1.51239159939,-0.300686272767,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
9,03/23/2019,01:06:42 PM,2,5,"Biasi, Dante",8889991,Left,PEN_NIT,"McDevitt, Cole",8894051,Right,MIN_GOL,Windup,1,Top,1,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.8461504321,-2.17070341069,2.97073221121,2254.04964066,150.379270298,11:00,6.1370517521,-1.88339893336,5.46011681959,-18.1543890343,16.9655935978,-9.66469341432,2.58897354834,0.0939350516835,81.1740169375,-5.58669052797,1.14675466658,0.426529098307,,,,,,,,,,,,6.19167064123,9.81547206812,1.62835210154,50.0,5.93376627299,-6.4960613942,-131.672000678,-5.63089646792,10.6182678124,33.9965069038,-15.3412231101,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,07b23173-4d8e-11e9-adce-484d7ed4f1e0,88.3700002431,,,9.67213349462,-0.157398626774,2.43331927252,-0.124563020123,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
10,03/23/2019,01:07:13 PM,3,1,"Biasi, Dante",8889991,Left,PEN_NIT,"Wilson, Eli",1000026722,Right,MIN_GOL,Windup,1,Top,2,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.1813114514,-2.63397614137,3.32920169784,2114.80595333,169.418449901,11:45,6.05189989998,-1.95576370138,5.55523125003,-17.2535563469,18.4755259777,-3.45771900613,2.14750862766,0.86978467053,80.2384842782,-5.88812570548,2.6746593407,0.43021192983,,,,,,,,,,,,3.06214487661,10.8717652669,1.67042213843,50.0,5.81308999286,-7.47944421989,-130.592782461,-6.60310492112,5.13764008071,34.7933286359,-13.9334952076,PEN_NIT,MIN_GOL,LubranoPark,NCAA,BIG10,20190323-LubranoPark-1,19945b16-4d8e-11e9-adce-484d7ed4f1e0,87.6135083841,,,9.94282717325,1.80067712503,2.18706059554,-0.851826490131,,,,9f290c2b-4d82-11e9-adce-484d7ed4f1e0
