PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/24/2019,12:00:01 PM,1,1,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Alejo, Ray",8890449,Right,UCF_KNI,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.1114005157,-2.78524247226,4.22856348562,2067.00399518,135.16852963,10:30,5.7316152562,-2.25957810106,6.10816647713,-24.9832360411,14.1323054282,-14.0859732197,1.06540337711,0.483396774373,77.3824106051,-7.46121928324,1.57944036399,0.450138533369,,,,,,,,,,,,8.77556080485,8.4173699489,1.94231073116,50.0,5.50415591722,-8.60879537906,-122.054363644,-6.69108198502,13.2931363761,23.0856785763,-19.4234962957,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,e18c0312-4e4d-11e9-9ece-74e5f9ab2e57,83.7350587141,,,6.72898991061,-0.129918340936,0.860651860339,-0.524841827867,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
2,03/24/2019,12:00:12 PM,1,2,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Alejo, Ray",8890449,Right,UCF_KNI,Windup,1,Top,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.3350170156,-2.33319738,3.67915937047,2022.62543259,151.417063888,11:00,5.69083949841,-2.30104213036,6.01077560411,-20.555260014,19.5336621351,-10.6630887765,1.81102042757,0.223030701281,76.194874457,-6.19108699898,1.67170034469,0.455704910322,,,,,,,,,,,,6.80676989022,11.236006078,2.01822469462,50.0,5.49627743158,-7.46376805165,-120.994048487,-5.54989628822,10.0843417928,23.7395651988,-15.5277203415,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,e850e808-4e4d-11e9-9ece-74e5f9ab2e57,82.712245726,,,7.14014255858,-1.70019158764,1.46559435334,-0.310274793,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
3,03/24/2019,12:00:25 PM,1,3,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Alejo, Ray",8890449,Right,UCF_KNI,Windup,1,Top,0,1,1,Fastball,Fastball,InPlay,Undefined,FlyBall,HomeRun,0,1,,85.0364400725,-2.20643080766,4.1629318823,2024.54457106,140.367716548,10:45,5.72847787213,-2.30174542247,6.10564235552,-20.9504538607,17.491511673,-14.51678055,1.93605466811,0.344503577991,77.6103247722,-6.15032619079,1.42425082899,0.446245973885,100.425122838,29.2710808352,-21.544139412,1832.5978248,101.281945113,56.6757920873,-42.9169152803,383.91262304,180.027474287,-22.9774131705,4.9363861084,9.07618051965,10.1387423186,1.98954938727,50.0,5.54768551202,-8.55143051455,-123.411492686,-5.38956246723,13.9701706608,25.0097441284,-16.5683694748,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,f14f7ca6-4e4d-11e9-9ece-74e5f9ab2e57,84.4654713475,83.7047168334,1.78345559604,7.42611530024,1.95910876084,1.99430383273,-0.330863588278,2.25561328091,2.0259567558,-0.323278475292,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
4,03/24/2019,12:01:10 PM,2,1,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Osik, Tyler",1000024847,Right,UCF_KNI,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.9591897482,-2.69691779881,4.05649429256,2045.98712867,134.48939879,10:30,5.61808908185,-2.40016322003,6.12404549162,-24.5198523267,14.9344866607,-15.2408328451,1.07386140343,0.0855189345898,76.7258208568,-7.30547447736,1.17829165737,0.452083757748,,,,,,,,,,,,9.45663538744,8.90160564222,2.09779204983,50.0,5.3986339218,-8.19410019765,-121.816653955,-6.4682711724,14.1700016602,24.5562796574,-18.8357139839,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,0556b2e4-4e4e-11e9-9ece-74e5f9ab2e57,83.3747638023,,,7.23336889141,-2.24229894495,0.59277913742,-0.153377611696,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
5,03/24/2019,12:01:22 PM,2,2,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Osik, Tyler",1000024847,Right,UCF_KNI,Windup,1,Top,0,1,0,ChangeUp,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,,76.7579174129,-0.591323014309,3.04878577385,1474.63833398,135.056976843,10:30,5.69455482817,-2.50857440231,6.4783085543,-35.3388423687,11.2302527329,-11.251637814,2.20595055486,-0.644381621558,69.9821078274,-7.30103707918,0.902585518904,0.491157090347,75.1591662357,61.6108857089,107.57028188,4143.77314923,,,,,,,,7.12990080269,6.37679917726,2.29938194752,50.0,5.637255281,-5.666890177,-111.636899729,-2.03033112007,8.92498353227,21.6170118267,-24.1917737365,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,0c7fabeb-4e4e-11e9-9ece-74e5f9ab2e57,76.7419981548,,,6.77580958551,2.71578660005,2.37022651766,0.665545649768,2.95218543272,2.39965009946,0.669546307951,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
6,03/24/2019,12:01:37 PM,2,3,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Osik, Tyler",1000024847,Right,UCF_KNI,Windup,1,Top,0,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.759574128,-1.56217838393,4.36373748934,2086.05796773,155.712054403,11:15,5.69870336248,-2.19910914484,6.09251095813,-21.912743502,17.1467244909,-7.75427296244,2.4232786941,1.19838813586,76.6386026643,-5.70538758122,2.89602083722,0.449815773107,,,,,,,,,,,,5.59413945784,9.83286430557,1.86684993763,50.0,5.56664431516,-9.15326098708,-122.938738691,-4.00709318346,8.45769532653,27.1310553963,-17.3078888709,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,167160d5-4e4e-11e9-9ece-74e5f9ab2e57,83.7951418662,,,8.12097146373,-1.33915210821,2.1414676528,-1.3356307994,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
7,03/24/2019,12:01:51 PM,2,4,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Osik, Tyler",1000024847,Right,UCF_KNI,Windup,1,Top,0,2,1,Fastball,Fastball,InPlay,Undefined,FlyBall,HomeRun,0,1,,84.6008768372,-1.8319134499,3.77332009062,2098.73056096,152.655811351,11:00,5.69923236815,-2.27891005375,6.07793859509,-22.5279072971,16.6949369859,-8.65228219127,2.12290868055,0.495890625748,76.4633300224,-6.09201095227,2.13290880863,0.450755526634,98.5790952915,29.6347377566,-23.4554507945,2563.8295466,99.979696269,57.0577785805,-45.8689221959,359.703640756,169.697992962,-28.2618302536,4.79893615723,5.90921001239,9.67511039811,1.99183276541,50.0,5.54559829849,-7.84226280685,-122.768988981,-4.59812134914,8.8989989293,27.3172131261,-17.6037765754,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,24a92bf0-4e4e-11e9-9ece-74e5f9ab2e57,83.6204423328,80.3088189772,1.72709144846,8.13754681483,3.20117238702,2.31087673388,-0.428422773599,2.96161362417,2.28594678117,-0.437596510135,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
8,03/24/2019,12:02:33 PM,3,1,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Mika, Matthew",8888922,Right,UCF_KNI,Windup,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.1580209479,0.313284628961,1.6339447607,2123.74149892,286.149662285,3:30,5.8621434418,-2.22568828793,5.69021741163,-55.33572323,-1.78573102324,5.99287136628,1.54290029113,-0.203219741699,67.1933400435,-9.921615294,2.75284826891,0.526685332918,,,,,,,,,,,,-2.77874142318,-1.03623422499,2.08473839948,50.0,5.85383964933,-3.16012420647,-105.022751171,-0.942619455392,-3.12280596555,16.7516004481,-33.3385895938,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,3b06ac58-4e4e-11e9-9ece-74e5f9ab2e57,71.565267087,,,4.96468090447,2.14712864948,1.66979002114,0.238231421724,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
9,03/24/2019,12:03:05 PM,4,1,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Beaver, Dallas",1000009857,Right,UCF_KNI,Windup,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.44722205,-0.050656206254,1.67832043674,2121.80904452,304.176958158,4:15,5.86229652109,-2.27936480972,5.77651088013,-58.2876780941,-3.86919618829,5.62292430482,0.957840275662,-0.248866007622,66.7554016359,-10.8213791879,2.72955953556,0.530939124654,,,,,,,,,,,,-2.5804068149,-2.06165909013,2.13755943382,50.0,5.82282901664,-3.19782509318,-104.003856515,-1.65156638826,-2.8450858114,16.3606683842,-34.4471773481,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,4cebf5d0-4e4e-11e9-9ece-74e5f9ab2e57,70.9918986394,,,4.69182041411,-1.21571338971,0.439920793396,0.121997397245,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
10,03/24/2019,12:03:17 PM,4,2,"Kuchmaner, Jake",1000024843,Left,ECU_PIR,"Beaver, Dallas",1000009857,Right,UCF_KNI,Windup,1,Top,1,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.2389119533,-0.0919169884404,2.94771454051,2156.03879928,279.777378121,3:15,5.83597818993,-2.38385792931,5.39793519697,-53.8662823294,-0.960801371515,5.28690995686,1.26088213177,0.821127355378,67.8890930727,-10.0093955881,3.92997665287,0.523506226874,,,,,,,,,,,,-1.99092262706,-0.483699958053,2.11747273011,50.0,5.79043278892,-5.63302200326,-106.412785728,-1.73523449455,-2.28565350249,18.0518347462,-32.7293541661,ECU_PIR,UCF_KNI,ClarkLeClair,NCAA,AMER,20190324-ClarkLeClair-1,55de9f65-4e4e-11e9-9ece-74e5f9ab2e57,71.9998628215,,,5.34981888056,-3.45480059948,0.354105132865,-1.16020366528,,,,5b54142a-4e4d-11e9-9ece-74e5f9ab2e57
