PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/24/2019,12:03:54 PM,1,1,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Hunter, Skyler",10000823,Right,PUR_BOI,Windup,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.0556867211,0.0623868438137,1.83718849627,1951.13324916,156.348114969,11:15,6.03354797297,-1.36483642846,5.35616236387,-26.9804994727,11.8338420019,-5.19882853737,3.84370427536,-0.0747202329925,78.6772948465,-4.92322745507,0.874621895799,0.448402091378,,,,,,,,,,,,3.18456515368,6.22585858733,1.20353648137,50.0,6.01998179506,-3.79212027487,-123.785710086,-0.791138123752,5.00544026475,21.6990599291,-22.3883598511,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,cbc0341a-4e56-11e9-b1ad-d46d6d941da2,84.0593236425,,,6.37839187463,-2.51244961065,3.49095431374,0.0174855772677,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
2,03/24/2019,12:04:07 PM,1,2,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Hunter, Skyler",10000823,Right,PUR_BOI,Windup,1,Top,0,1,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Double,0,0,,85.360777665,-1.22422232902,1.58266359251,1996.90464958,149.13203925,11:00,6.11111572855,-1.29686863292,5.12389252615,-24.5925361553,14.5345640182,-8.70971139117,2.90818633783,-0.531793653931,78.5264101895,-5.7575363972,-0.0291158185194,0.45020503678,89.0157234319,6.85578037363,35.5559017798,2764.59333875,83.884215026,3.58527588699,71.157493824,131.746587781,126.422592255,41.1924772121,1.18055236816,4.97487889083,7.93348628448,1.15499314404,50.0,5.97736555733,-3.12016069839,-124.110574268,-3.52567775183,7.80810321898,23.3858510097,-19.7223927162,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,d1c667d2-4e56-11e9-b1ad-d46d6d941da2,83.7226895344,6.68222639526,1.12697267193,6.83436747541,-0.627679276836,2.69853316622,0.534081541677,0.444186833179,2.80933703622,0.532569926856,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
3,03/24/2019,12:05:21 PM,2,1,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Nasuti, Charlie",1000024536,Right,PUR_BOI,Stretch,1,Top,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.3312666948,-2.04819692584,3.27537674011,2088.72258889,119.187678773,10:00,5.89211777998,-1.59483220325,5.06625952634,-33.2597410248,8.37274389525,-15.0589042069,1.18549825901,0.241573411001,76.2496066247,-8.17472432861,0.481510990404,0.464395160274,,,,,,,,,,,,8.83240199265,4.97656211916,1.29552475196,50.0,5.67172570688,-6.395588354,-120.857381617,-5.47976466719,13.0239358815,24.223030799,-24.8357926659,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,01702d5c-4e57-11e9-b1ad-d46d6d941da2,81.1644473186,,,7.08166007011,2.22607248047,1.30101928487,-0.234428849246,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
4,03/24/2019,12:05:52 PM,2,2,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Nasuti, Charlie",1000024536,Right,PUR_BOI,Stretch,1,Top,0,0,1,Curveball,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.3689336978,0.662483154682,0.558141238755,1329.28483469,284.762450664,3:30,5.97252647203,-1.67974330901,4.42229916891,-54.125442255,-1.14018036919,4.13783411106,2.09415003452,-0.802431791627,68.8096755048,-9.16064424735,1.31511562464,0.523900799214,,,,,,,,,,,,-1.9678852731,-0.758781706171,1.61659821947,50.0,5.99129698069,-1.19327913278,-108.051617444,-0.590608347769,-2.33679929121,18.0463914776,-33.0750769738,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,1355817c-4e57-11e9-b1ad-d46d6d941da2,71.9456366123,,,5.55925819303,-1.68110704493,1.57697039096,0.729977823322,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
5,03/24/2019,12:06:38 PM,2,3,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Nasuti, Charlie",1000024536,Right,PUR_BOI,Stretch,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.5140942203,2.28457702932,1.2197384021,1508.0451829,344.444587444,5:30,6.10670338077,-1.55849101848,4.65886090742,-52.1223416748,-2.40686316662,0.656977814844,3.93490624159,-0.344954999334,70.3894161888,-7.25229554453,1.34042422227,0.507478129294,,,,,,,,,,,,-0.0137608132268,-1.85032391287,1.43354101359,50.0,6.29358625811,-2.38782895056,-111.103386668,2.66798136416,-0.0172694099502,19.1578569975,-34.4961498498,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,2e2d7e59-4e57-11e9-b1ad-d46d6d941da2,74.273893485,,,6.12467803147,-2.2362369792,3.44625580081,0.259182091574,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
6,03/24/2019,12:07:15 PM,2,4,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Nasuti, Charlie",1000024536,Right,PUR_BOI,Stretch,1,Top,0,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.0732360953,0.116949631067,2.94098122272,1526.57030991,40.6155968013,7:15,6.05256326597,-1.4455476882,4.68481009447,-48.8040924566,-1.13505368837,-0.934958575752,2.09673803935,1.27125982361,72.235931391,-8.77085595673,2.76961464799,0.496923706197,,,,,,,,,,,,1.25467221503,-0.616363854701,1.14761560006,50.0,6.02148254594,-5.79122019813,-113.351999354,-1.45077009465,1.64128837115,19.6640915919,-32.9803394864,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,46464f7d-4e57-11e9-b1ad-d46d6d941da2,75.8514356451,,,5.83730470429,-2.65957967049,1.43952973054,-1.46792671374,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
7,03/24/2019,12:07:37 PM,2,5,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"Nasuti, Charlie",1000024536,Right,PUR_BOI,Stretch,1,Top,0,2,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,1,,83.0165911857,-0.253987331142,3.57260150496,2029.6283574,125.387053609,10:15,5.94319566333,-1.69695188414,5.16715147343,-34.1660592646,7.23334242975,-10.237972371,2.85655123094,0.816118981443,76.4402902886,-6.5510904645,1.68050985057,0.463093356534,62.4940304591,-28.946399548,11.5760328887,,,,,7.17142959411,7.15007352445,2.06191869494,0.0660369873047,6.29899536718,3.86120158885,1.37172048202,50.0,5.89373596765,-7.1759584585,-120.550592025,-1.70534969272,9.33003334085,21.9985185028,-26.4548604225,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,51f82540-4e57-11e9-b1ad-d46d6d941da2,81.392609048,2.92134510374,0.0657193434116,6.57630089713,1.06268869079,2.81573668937,-0.826460361858,1.98391003621,2.92134510374,-0.799364106371,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
8,03/24/2019,12:08:10 PM,3,1,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"McKenzie, Cole",1000038156,Left,PUR_BOI,Windup,1,Top,1,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,85.2143025892,-2.34491731764,2.90363837745,2068.92236465,152.484489109,11:00,6.13815511713,-1.09200063042,5.49045965316,-26.4829859494,12.2394453743,-6.39462909649,1.73382260488,1.09342366257,78.8034245894,-7.23420332804,1.71595265222,0.447870881411,,,,,,,,,,,,4.12261276989,7.08271677759,0.842226850204,50.0,5.91487198915,-6.06542418824,-123.806036362,-5.96340098374,6.45808608966,22.5714644589,-21.0789500712,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,63dd7867-4e57-11e9-b1ad-d46d6d941da2,84.1590245885,,,6.41087799977,0.529274739041,1.62041127321,-1.11983454801,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
9,03/24/2019,12:08:34 PM,3,2,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"McKenzie, Cole",1000038156,Left,PUR_BOI,Windup,1,Top,1,0,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.592323543,0.816689552983,1.82331501017,1946.19587991,325.903711753,4:45,6.11649232148,-1.3229058681,4.79970236146,-51.5103156939,-1.81853220121,1.1994387055,2.59816508278,0.50509071227,70.1949267022,-8.64241450648,2.04500142286,0.507357179686,,,,,,,,,,,,-0.0920574936439,-1.18241852821,1.1404341761,50.0,6.15439075569,-3.57972077595,-111.206472811,-0.115402523755,-0.114756316402,20.7908301536,-33.6480186741,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,7510058f-4e57-11e9-b1ad-d46d6d941da2,74.2915997452,,,6.3973968408,-2.85432275623,1.91586077967,-0.658357792954,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
10,03/24/2019,12:08:51 PM,3,3,"Pagliarini, Jack",1000026612,Left,NOR_CAT,"McKenzie, Cole",1000038156,Left,PUR_BOI,Windup,1,Top,1,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.4281737949,2.76570331118,0.741400281267,1691.61669346,353.136096256,5:45,6.0695714204,-1.44851309475,4.63360185794,-52.0929124109,-4.21458372815,0.501908008567,4.35908187969,-0.702075274206,71.2737067734,-6.82331478103,0.834114107029,0.498013378014,,,,,,,,,,,,-0.03754786997,-3.00609711878,1.37215420218,50.0,6.30689326414,-1.48917841094,-113.740453875,3.69856569316,-0.048826774435,22.2905794298,-36.083139167,NOR_CAT,PUR_BOI,Northwestern,NCAA,BIG10,20190324-Northwestern-1,7eb574ac-4e57-11e9-b1ad-d46d6d941da2,75.6854698791,,,7.15446702152,-3.10449219436,3.78092497372,0.635893796715,,,,7ca128e9-4e4d-11e9-b1ad-d46d6d941da2
