PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/24/2019,01:03:53 PM,1,1,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Mosley, Rigsby",8896793,Left,TRO_TRJ,Undefined,1,Top,0,0,0,Sinker,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7112364113,-2.94030547103,2.96000079251,2103.86487095,143.64206797,10:45,6.35255444202,-0.40665679908,5.62516154931,-20.2456851973,15.5028336848,-11.4368571486,1.91586158128,1.40458149249,81.4948068317,-6.70038984538,0.824432750125,0.430328931184,,,,,,,,,,,,6.89140538225,9.0568659582,0.161806909526,50.0,6.08876165287,-6.27139766077,-128.794910372,-7.31151857205,11.6232245204,25.7201389386,-16.8985016041,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,c7f6b634-4e56-11e9-9e77-484d7ece3e54,87.589687306,,,7.21642957958,-0.718077218455,1.66181184037,-1.43347352757,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
2,03/24/2019,01:04:05 PM,1,2,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Mosley, Rigsby",8896793,Left,TRO_TRJ,Undefined,1,Top,0,1,0,Sinker,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.8545723255,-1.93787999004,2.21355541054,2175.63043863,123.974216552,10:15,6.18155718392,-0.510094769032,5.61732505781,-26.4200411116,9.66736544759,-14.3967329204,2.16942833081,0.356882374119,81.4747707965,-6.82554597742,-0.46533177953,0.432363829255,,,,,,,,,,,,8.19988730738,5.61578714791,0.330595826458,50.0,5.9990695288,-4.45092436314,-127.799253393,-5.22456946991,13.7329337057,23.2167453109,-22.7688909345,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,d087a8e8-4e56-11e9-9e77-484d7ece3e54,87.1774509585,,,6.37980152898,0.584349632514,2.06917135078,-0.349779476569,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
3,03/24/2019,01:04:18 PM,1,3,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Mosley, Rigsby",8896793,Left,TRO_TRJ,Undefined,1,Top,0,1,1,Sinker,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,89.0549812003,-1.1738781602,1.85557307374,2162.99350745,124.109139102,10:15,6.33636990465,-0.493941486564,5.51831692945,-25.4433929267,10.3035523641,-15.2626805921,3.11787320179,-0.0304087085385,81.204130723,-5.91947774373,-1.0031757369,0.430319459892,,,,,,,,,,,,8.66782158638,5.82875519322,0.342579759054,50.0,6.21736145503,-3.66685538985,-129.442451874,-3.53183755917,14.6460298462,28.0533528857,-22.3251930308,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,d7e9e377-4e56-11e9-9e77-484d7ece3e54,87.591615147,,,7.85085047739,2.74777067992,3.25431869529,0.00805373462007,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
4,03/24/2019,01:04:45 PM,1,4,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Mosley, Rigsby",8896793,Left,TRO_TRJ,Undefined,1,Top,0,1,2,Sinker,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,90.4596375199,-2.41773459318,2.57676648342,2199.98292038,142.005495763,10:45,6.42305668929,-0.528580630241,5.60074353793,-18.7778160777,15.5199229648,-12.1482851402,2.59769745674,0.866053919071,83.1858806296,-5.90601633346,0.310628700607,0.42150648832,96.5990432452,-18.8746463124,-2.82483669493,,,,,9.27145999032,8.84312581909,-7.75011389417,0.0572418212891,7.14467186462,8.90051100945,0.315868239749,50.0,6.20374580765,-5.49219013479,-131.446743447,-6.2100227345,12.5775063975,26.2521037262,-16.5055565272,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,ebc16f9a-4e56-11e9-9e77-484d7ece3e54,89.4230043085,2.61402986925,0.05405749185,7.2737568903,1.7124681178,2.62824033685,-0.864413297225,1.57470520368,2.61402986925,-0.865186564329,8953f368-4e56-11e9-9e77-484d7ece3e54
5,03/24/2019,01:05:18 PM,2,1,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Frederic, Drew",1000001326,Right,TRO_TRJ,Undefined,1,Top,0,0,0,Sinker,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.2690213564,-1.40594036065,1.32070775564,2236.43534564,137.710955419,10:30,6.13033065411,-0.795157004698,5.48119624703,-21.3253217402,14.1068998141,-12.8616633164,3.03725142054,-0.631129022812,81.773835075,-5.37127620675,-1.08019700783,0.428420959765,,,,,,,,,,,,7.19315230562,7.87803474348,0.688067327045,50.0,5.99270187888,-2.54313792448,-129.822680106,-3.93306355553,12.2960250636,26.7648206136,-18.7072806441,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,fda6d494-4e56-11e9-9e77-484d7ece3e54,87.9797677073,,,7.49518628139,-0.800519037357,2.82507461956,0.675151262195,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
6,03/24/2019,01:05:52 PM,2,2,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Frederic, Drew",1000001326,Right,TRO_TRJ,Undefined,1,Top,0,0,1,ChangeUp,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,82.6439312216,1.36864933846,0.502461964485,2125.26912257,136.417329154,10:30,6.07814932912,-0.779765456329,5.75890090779,-29.2539247402,11.8659554253,-11.3297501073,4.91444702107,-1.25624640311,75.1676180573,-4.12901371635,-1.62981846835,0.461527345973,,,,,,,,,,,,6.23528677366,5.97630067604,0.745014371508,50.0,6.17380135474,-0.705864852571,-120.213342592,1.97269456178,9.07880384574,24.3900038701,-23.4723378684,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,14686a70-4e57-11e9-9e77-484d7ece3e54,81.6687826843,,,7.4763131643,-1.69219780992,4.67977027675,1.34863790826,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
7,03/24/2019,01:06:08 PM,2,3,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Frederic, Drew",1000001326,Right,TRO_TRJ,Undefined,1,Top,0,1,1,Sinker,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,86.7238666784,-1.29900989077,1.46371376238,2119.62466294,127.695695548,10:15,6.09792266503,-0.624281561041,5.66393295177,-26.3438190513,11.2627186019,-14.6202736135,2.69082995222,-0.477602554401,78.8608447261,-6.23174117936,-1.28753503346,0.441370389228,96.7134495697,4.87674860323,-21.3728720514,2986.33102195,,,,85.6207674264,83.9039866306,-22.891232547,0.65471862793,8.27754966259,6.42841591679,0.509791445655,50.0,5.97171819579,-2.74324777398,-126.066973536,-3.72097635701,13.2128856343,27.5748613038,-21.9128084817,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,1ead92d2-4e57-11e9-9e77-484d7ece3e54,85.3985166224,4.13614675494,0.640386809065,7.86302195226,1.7696886907,2.72927058879,0.46973338866,1.62821686558,2.71389388805,0.472871270879,8953f368-4e56-11e9-9e77-484d7ece3e54
8,03/24/2019,01:06:46 PM,3,1,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Sinquefield, Dalton",1000058953,Right,TRO_TRJ,Undefined,1,Top,0,0,0,Sinker,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8888821093,-3.76400452632,3.47859209239,2157.98559496,133.161162087,10:30,6.24147165491,-0.513196368882,5.59453746127,-20.9531627137,14.0015387142,-14.9654380735,0.969771684476,1.49126458666,82.6276449451,-7.64528820128,0.686507796144,0.425524251824,,,,,,,,,,,,8.90438530848,8.46873820746,0.224572541336,50.0,5.90444315843,-7.40520220038,-130.322068873,-9.31309814117,15.3761699576,26.3414809752,-17.5501578,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,3356e1bd-4e57-11e9-9e77-484d7ece3e54,88.5786799684,,,7.26123716424,4.48507097479,1.37483911437,-1.44960991884,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
9,03/24/2019,01:07:09 PM,3,2,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Sinquefield, Dalton",1000058953,Right,TRO_TRJ,Undefined,1,Top,0,1,0,ChangeUp,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.5842149285,-3.11966637785,2.17173053575,2075.80962301,131.785326201,10:30,6.21206946432,-0.595369045087,5.76525271435,-25.9584214882,13.3953433078,-15.0310055171,1.14070706129,0.174054395177,77.3887849315,-7.95725504491,-0.655435364953,0.45150718021,,,,,,,,,,,,8.70525843958,8.10166208567,0.424807792618,50.0,5.93805566089,-4.1853208987,-122.815689771,-7.51385904211,13.2446045398,25.2059825964,-19.8477849326,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,42c2306f-4e57-11e9-9e77-484d7ece3e54,83.4812339054,,,7.195429997,3.01428525027,1.3616838151,-0.190968554491,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
10,03/24/2019,01:07:36 PM,3,3,"McDaniels, Garrett",1000016973,Left,COA_CHA,"Sinquefield, Dalton",1000058953,Right,TRO_TRJ,Undefined,1,Top,0,1,1,Sinker,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,87.9887840614,-3.33756479084,2.22845861137,2115.93625884,127.243670366,10:15,6.29702546276,-0.539620142433,5.58174956529,-24.7419160252,12.2633414264,-16.1765768017,1.11263998574,0.194349542633,79.6415077078,-7.95677090093,-0.820570606015,0.437827698785,,,,,,,,,,,,9.37378837453,7.63633760082,0.358518110878,50.0,5.99401453161,-4.42495716702,-127.588469896,-8.27213940471,15.2256490185,29.8353484233,-19.7705046048,COA_CHA,TRO_TRJ,SpringsBrooksStadium,NCAA,SBELT,20190324-SpringsBrooksStadium-1,4e2eef1f-4e57-11e9-9e77-484d7ece3e54,86.0895202057,,,8.34727635357,3.06588360531,1.34075267023,-0.21638549688,,,,8953f368-4e56-11e9-9e77-484d7ece3e54
