PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,02/27/2019,05:02:23 PM,1,1,"Witt, Ty",8891135,Left,WAK_DEA,"Hardison, Greg",1000026388,Left,UNC_SPA,Stretch,1,Top,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.7844799483,-1.84897722691,4.7357130984,1864.49291997,130.974887738,10:15,5.10229803884,-2.56089783418,6.14272465072,-26.539329193,11.7312239638,-13.5486116405,1.17584463842,0.695688328835,77.2978547819,-6.8784298376,2.16199222444,0.445249958957,,,,,,,,,,,,8.95778997031,7.01834383993,2.2069631193,50.0,4.94760510323,-9.9010816235,-124.315353611,-4.80555207882,13.7808582204,28.8564651198,-21.376876294,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,5b32f31e-3adb-11e9-b163-94b86dcc8dae,84.6544188559,,,8.48662516642,1.29517451065,1.16116393062,-0.700267470479,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
2,02/27/2019,05:02:37 PM,1,2,"Witt, Ty",8891135,Left,WAK_DEA,"Hardison, Greg",1000026388,Left,UNC_SPA,Stretch,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.2936425123,-1.35664758255,4.56569387133,1797.07967886,109.217733189,9:45,4.9796341396,-2.64098554383,6.17028345373,-32.5781930617,6.98990965647,-20.1590268186,1.00771560253,-0.0955999907387,76.0301232935,-7.53326748498,0.728721053097,0.452735063985,,,,,,,,,,,,12.5310091585,4.27099903469,2.30552503619,50.0,4.86031646742,-9.18148712724,-122.21708094,-3.83804092433,18.625727592,27.9730201657,-25.8257597986,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,642484ad-3adb-11e9-b163-94b86dcc8dae,83.2548205773,,,8.26351921875,1.42331058195,1.00859423311,0.0956845294747,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
3,02/27/2019,05:02:55 PM,1,3,"Witt, Ty",8891135,Left,WAK_DEA,"Hardison, Greg",1000026388,Left,UNC_SPA,Stretch,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.2947219775,-1.01735238852,4.26667883176,1886.92520348,123.361744917,10:00,5.11742139337,-2.59859481297,6.11138828973,-28.3592521865,10.3141871647,-15.7202602307,1.81088023812,0.0432978233579,76.8350547949,-6.39600889621,1.27878230998,0.44758746658,,,,,,,,,,,,9.9770965446,5.96309637273,2.27942332799,50.0,5.02457826898,-8.76866909355,-123.724886877,-3.03646890353,15.2069681042,28.531756253,-23.0851702503,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,6d157ef9-3adb-11e9-b163-94b86dcc8dae,84.2123145429,,,8.45966718258,0.0061460101726,1.65063252145,-0.073624440531,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
4,02/27/2019,05:03:10 PM,1,4,"Witt, Ty",8891135,Left,WAK_DEA,"Hardison, Greg",1000026388,Left,UNC_SPA,Stretch,1,Top,0,2,1,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,85.6099305662,-0.35628887294,3.72104492733,1855.82842026,126.6628414,10:15,5.05690887218,-2.53439603154,6.35286303836,-25.8956930946,12.2555804945,-16.5125857274,2.57034485158,-0.481144455711,76.6475540276,-5.31125300234,0.557285012443,0.444555552097,84.689806541,-21.2444727086,44.4217602088,,,,,8.68569083855,8.68569083855,36.6754021002,0.0588586425781,10.381650945,6.87900168547,2.27244372354,50.0,5.01902081241,-7.62102181313,-124.295271134,-1.50009097841,15.8808476734,30.065171161,-21.6512156765,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,74a1a6fe-3adb-11e9-b163-94b86dcc8dae,84.7866511695,2.63367853284,0.0609504683998,8.96237653865,2.49136094225,2.66913487263,0.492314463146,2.10282891201,2.63367853284,0.488111030193,4a542c82-3ad6-11e9-b163-94b86dcc8dae
5,02/27/2019,05:03:46 PM,2,1,"Witt, Ty",8891135,Left,WAK_DEA,"Webster, Caleb",8900667,Right,UNC_SPA,Stretch,1,Top,1,0,0,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,85.1693733226,-0.518951413272,3.78352738208,1849.00338226,122.005631031,10:00,5.01981376969,-2.50659726741,6.06003506455,-29.7973641084,8.87429079764,-14.2569040911,2.05539469341,-0.188257227946,77.0204819862,-6.15671386869,1.08008715223,0.447577140313,87.8920566613,27.37979618,-7.48668885033,2413.54458659,109.140035739,50.0032131756,-13.7271606411,326.933487007,320.188315395,-7.52817046191,4.49139587402,8.95337365705,4.99405674733,2.2206362,50.0,4.96367418817,-7.75310686889,-123.651455529,-2.00883689862,13.6856034764,27.5837057717,-24.5404254105,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,90daec9e-3adb-11e9-b163-94b86dcc8dae,84.2142574456,64.2760760592,4.36542127562,8.14889133641,2.29359342264,2.14916851384,0.205190889153,2.15467852987,2.1344251708,0.202455077315,4a542c82-3ad6-11e9-b163-94b86dcc8dae
6,02/27/2019,05:04:21 PM,3,1,"Witt, Ty",8891135,Left,WAK_DEA,"Embler, Austin",8882755,Left,UNC_SPA,Stretch,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.6621022022,0.933316969077,3.25567404862,1818.71304733,121.686249679,10:00,5.05932347898,-2.47844907466,6.1061176519,-28.6145948034,9.58105671505,-15.5795618603,3.53919634273,-0.76328446601,77.1316871015,-4.50282863236,0.293446311538,0.444814032606,,,,,,,,,,,,9.54526111066,4.92593468574,2.23668992291,50.0,5.11609788375,-6.61589701841,-124.418885266,1.18258200335,14.7401631684,28.4220216393,-24.5672287761,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,a2beda56-3adb-11e9-b163-94b86dcc8dae,84.737381823,,,8.53041510068,-2.16255298443,3.24371491236,0.752362674272,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
7,02/27/2019,05:04:37 PM,3,2,"Witt, Ty",8891135,Left,WAK_DEA,"Embler, Austin",8882755,Left,UNC_SPA,Stretch,1,Top,2,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,85.3717524108,0.62094920807,2.95568966664,1843.3809143,132.22533208,10:30,5.08100613302,-2.51324285743,6.23944517939,-27.0289337666,11.2388855131,-12.4234019822,3.4020690345,-0.820133631142,76.8343209367,-4.52917675279,0.586276126359,0.44523405534,,,,,,,,,,,,7.77196681475,5.95980591827,2.29942847109,50.0,5.11394247534,-6.04841044637,-124.062092595,0.569230637705,11.9185067865,28.5365487902,-23.0345361297,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,abaff417-3adb-11e9-b163-94b86dcc8dae,84.6574426844,,,8.53743147412,-2.13660533353,3.10782755825,0.789637441222,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
8,02/27/2019,05:04:56 PM,3,3,"Witt, Ty",8891135,Left,WAK_DEA,"Embler, Austin",8882755,Left,UNC_SPA,Stretch,1,Top,2,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.5967716758,-0.866841849169,4.58653614972,1870.00394885,114.498742743,9:45,5.04931453568,-2.50402725732,6.28996790033,-30.8636112678,7.20517691014,-15.8897827162,1.67601375588,0.40689823034,77.3593794045,-6.72832121643,1.5624164386,0.444074713768,,,,,,,,,,,,10.1886894598,4.23281362056,2.17404053444,50.0,4.97055868323,-9.50815216809,-124.176024359,-2.76562068478,15.6853667681,28.1224603102,-25.6576821129,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,b4a0c056-3adb-11e9-b163-94b86dcc8dae,84.8784570535,,,8.23739227127,0.141877020529,1.52370452993,-0.440711336031,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
9,02/27/2019,05:05:12 PM,3,4,"Witt, Ty",8891135,Left,WAK_DEA,"Embler, Austin",8882755,Left,UNC_SPA,Stretch,1,Top,2,2,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.9232923025,-1.52486909124,3.67684779034,1879.08719648,126.271331062,10:15,5.0923307286,-2.56880632534,6.18836176311,-27.6830455152,11.3150898445,-15.469761837,1.37445845433,-0.458926311626,76.2985532593,-6.78927698646,0.723820882181,0.449462475612,,,,,,,,,,,,9.72339644899,6.71727717167,2.2995525642,50.0,4.96349184979,-7.47468329605,-123.235187446,-4.08288448638,14.6418610583,29.2411394786,-22.0589165083,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,bd93cbe4-3adb-11e9-b163-94b86dcc8dae,83.8610085743,,,8.62473904326,0.861196918518,1.30800327435,0.452087242819,,,,4a542c82-3ad6-11e9-b163-94b86dcc8dae
10,02/27/2019,05:05:29 PM,3,5,"Witt, Ty",8891135,Left,WAK_DEA,"Embler, Austin",8882755,Left,UNC_SPA,Stretch,1,Top,2,3,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.8367675249,0.263063432175,3.04037677087,1818.42783305,135.294671594,10:30,5.08582643094,-2.45156092551,6.66340540737,-26.6712288911,12.4830464727,-12.3917390337,3.10423644084,-0.700012097352,75.2755805434,-4.86570911126,0.65455125632,0.450361351507,55.2959888306,-17.6942046009,157.23465533,,,,,,,,,7.92722708933,6.86698532298,2.25284807796,50.0,5.09269090561,-6.15521622126,-121.896092663,-0.126628842141,11.6906775225,28.3929380275,-22.046962495,WAK_DEA,UNC_SPA,GeneHooksField,NCAA,ACC,20190227-GeneHooksField-1,c5d0d6a9-3adb-11e9-b163-94b86dcc8dae,83.6936304481,,,8.56118698153,2.3327556087,3.18137921281,0.710871348031,2.0634485581,3.1588766262,0.707597489305,4a542c82-3ad6-11e9-b163-94b86dcc8dae
