PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID
1,03/03/2019,09:59:01 AM,1,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Griffith, Banks",1000056237,Right,FUR_PAL,Windup,1,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6828532729,-2.2456955887,1.05892193788,2156.32581736,153.394948985,11:00,5.85239427495,-0.830740177136,6.12213911195,-13.0710585565,20.5666272687,-10.3171086868,2.68596420836,-0.71159774372,82.6979758659,-4.70998033196,-0.893606846313,0.417430879911,,,,,,,,,,,,5.91710623725,11.8343288775,0.755233873411,50.0,5.67390260139,-2.11227641602,-131.925555114,-5.58760729813,10.4000198168,28.7726558853,-11.3738043306,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,e1447e98-3dc4-11e9-b163-94b86dcc8dae,90.2960905267,,,7.98487740697,-2.16062660286,2.38513105601,0.772180610772,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
2,03/03/2019,09:59:12 AM,1,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Griffith, Banks",1000056237,Right,FUR_PAL,Windup,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.3037213348,-0.173222170535,0.0174969247065,2027.52750536,238.679610774,2:00,5.88143309115,-0.870610859653,5.8075662343,-42.2083418905,1.89368608207,3.18021569832,2.20300580938,-0.589323942169,73.4116148761,-8.02977437177,0.613457861899,0.477970175827,,,,,,,,,,,,-1.70300682697,1.06195769608,0.867277682194,50.0,5.84202537009,-0.129177337667,-115.48989688,-1.59553898114,-2.31388480019,20.3003817202,-30.7311607579,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,e7ed4824-3dc4-11e9-b163-94b86dcc8dae,78.8592645052,,,5.89210645871,-1.37648030352,1.79736333561,0.558543830343,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
3,03/03/2019,09:59:26 AM,1,3,"Shuster, Jared",8899269,Left,WAK_DEA,"Griffith, Banks",1000056237,Right,FUR_PAL,Windup,1,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6197887944,-3.25564419286,0.755916677401,2099.12716705,142.042534439,10:45,5.77396972241,-0.853246169407,5.93684335791,-16.1721840217,17.5970824297,-13.7520906523,1.40296204598,-1.29805426936,83.3484728847,-6.27129423903,-1.82869265666,0.418246515807,,,,,,,,,,,,7.62210001148,10.3617013415,0.800854250887,50.0,5.50527607784,-1.28631807638,-131.756393387,-8.02697589349,13.4567824149,26.8548815363,-13.8805126292,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,f0052d33-3dc4-11e9-b163-94b86dcc8dae,90.1200012352,,,7.27131590975,0.520382733293,1.30395655503,1.32706084234,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
4,03/03/2019,09:59:42 AM,1,4,"Shuster, Jared",8899269,Left,WAK_DEA,"Griffith, Banks",1000056237,Right,FUR_PAL,Windup,1,Top,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,90.1457642272,-0.9285570016,2.33539401591,2102.73834026,133.164623909,10:30,5.71187643606,-0.718252594627,5.90334717591,-22.8102893064,11.1073588321,-11.8767820129,2.94839100589,0.460802321285,83.2848490863,-5.18690853144,0.11250140656,0.419164393313,89.8810967895,49.4367018971,-54.5535499094,1725.8908277,64.3227770868,121.566840777,-89.2331541779,293.720009817,44.6525246695,-55.4533301598,6.31505554199,6.96734780131,6.20638324283,0.537698890866,50.0,5.62414954976,-4.95817042444,-131.217561655,-2.88380711309,12.281606532,24.8970142227,-21.2338229284,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,fa8131ba-3dc4-11e9-b163-94b86dcc8dae,89.9226583231,145.799027773,0.569977194754,6.86091514089,2.70386983832,3.06392700009,-0.457591556666,2.66212485693,3.060221174,-0.457717081083,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
5,03/03/2019,10:00:04 AM,1,5,"Shuster, Jared",8899269,Left,WAK_DEA,"Griffith, Banks",1000056237,Right,FUR_PAL,Windup,1,Top,0,1,2,ChangeUp,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.7343316775,-2.38551619139,1.65129209357,1632.20490052,133.913336291,10:30,5.79929823572,-0.690092877389,6.55529678078,-36.7981184192,9.3850786957,-9.79309913117,0.543652476546,0.00808470179188,70.7410153271,-9.32178486831,-0.215711686366,0.489117853605,,,,,,,,,,,,5.88106870785,5.8643033851,0.580632843249,50.0,5.61906532878,-2.9793867096,-111.678625245,-5.55670089953,7.41286363662,20.479409065,-24.7823169721,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,071796b8-3dc5-11e9-b163-94b86dcc8dae,77.0619519269,,,5.99331635042,3.41723789082,0.866689975815,-0.0141923085683,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
6,03/03/2019,10:00:30 AM,2,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Huebner, Bret",8894281,Right,FUR_PAL,Windup,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.8723268748,-2.35014556816,0.530634274139,1927.77481283,134.566832295,10:30,5.87501677945,-0.898446455024,5.95763345505,-39.7313434503,1.32771181172,-1.3871335532,0.383704683065,-0.522023777869,76.3735518595,-9.70861807553,0.270506335025,0.461185871909,,,,,,,,,,,,0.880289411719,1.30185413609,0.857171558407,50.0,5.66618358627,-1.0625688923,-119.185700389,-6.07403092527,1.27903315365,20.7383040085,-30.2824949615,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,10cd80da-3dc5-11e9-b163-94b86dcc8dae,81.7292523838,,,5.49877501525,2.71413403184,0.603357372758,0.52823083535,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
7,03/03/2019,10:00:47 AM,2,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Huebner, Bret",8894281,Right,FUR_PAL,Windup,1,Top,1,0,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.1675804934,-1.54280925322,1.42417892702,1587.49368901,141.311262041,10:45,5.71365106556,-0.888273138285,6.81370335152,-33.8259526198,11.242084713,-9.03691506569,1.48660813284,-0.341864803344,71.08500282,-7.96657141231,-0.305318053942,0.483176541696,,,,,,,,,,,,5.43585500045,6.69879701379,0.800099019191,50.0,5.60147279396,-2.58455040528,-112.436773518,-3.81839095627,6.95842178231,20.391692338,-23.5989384676,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,2065d4de-3dc5-11e9-b163-94b86dcc8dae,78.0095333039,,,6.08257767345,0.492631123752,1.35623007771,0.347072368664,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
8,03/03/2019,10:00:58 AM,2,3,"Shuster, Jared",8899269,Left,WAK_DEA,"Huebner, Bret",8894281,Right,FUR_PAL,Windup,1,Top,1,0,2,ChangeUp,ChangeUp,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.6575849889,-1.31032476507,0.935783022161,1577.38142485,133.588014463,10:30,5.61007738568,-0.712412169187,6.77639101759,-37.1692746294,8.54456312265,-9.02158811503,1.31606362881,-0.609851355763,70.7032642965,-8.36009701192,-0.789798352722,0.486626056523,,,,,,,,,,,,5.28475199035,5.12334462266,0.655113646666,50.0,5.51048542852,-1.61385582438,-111.717695286,-3.42477254848,6.6784750249,20.1392301478,-25.6995481127,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,275cf405-3dc5-11e9-b163-94b86dcc8dae,77.4565521428,,,5.95432069233,0.684121952067,1.20767014869,0.620127414051,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
9,03/03/2019,10:01:25 AM,3,1,"Shuster, Jared",8899269,Left,WAK_DEA,"Roper, Dax",1000056239,Right,FUR_PAL,Windup,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6298831218,-2.66925302554,0.432816610202,2163.56090637,147.88956091,11:00,5.93914656085,-0.78164060258,6.03567645872,-12.0856484307,21.6848168444,-13.6282921107,2.45885876731,-1.51660680822,82.7837178088,-4.93821185912,-2.14021474354,0.418253939707,,,,,,,,,,,,7.51373906994,12.5157703165,0.755313666585,50.0,5.72451133306,-0.557738235401,-131.816393658,-6.5340347028,13.1988828994,28.4391023084,-10.1884319061,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,34955d5c-3dc5-11e9-b163-94b86dcc8dae,90.1184016282,,,7.84616531302,-2.61739990349,2.10296507466,1.67536924106,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
10,03/03/2019,10:01:37 AM,3,2,"Shuster, Jared",8899269,Left,WAK_DEA,"Roper, Dax",1000056239,Right,FUR_PAL,Windup,1,Top,2,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.4113531297,-2.97709950884,1.75516933904,2111.58890616,149.519445682,11:00,5.78125011745,-0.714683989716,6.19132040765,-15.1430988637,18.4087939407,-10.8537621775,1.76733963501,0.00157380417659,83.1839094524,-5.81883412993,-0.292609726833,0.416898210681,,,,,,,,,,,,6.36791241312,10.80133168,0.588235932234,50.0,5.54938423281,-3.68979457478,-131.501586704,-7.31632477655,11.2157875601,26.3598491979,-13.14969118,WAK_DEA,FUR_PAL,GeneHooksField,NCAA,ACC,20190303-GeneHooksField-1,3d86291f-3dc5-11e9-b163-94b86dcc8dae,90.411461492,,,7.22744367734,-1.08341512261,1.50918227198,0.0136130116547,,,,af54d7e2-3dbf-11e9-b163-94b86dcc8dae
